Word,Category,Similarity,Frequency
+꼬,액션,1,1
가난,고통,0.7040712237358093,17
가능,여행,0.6136982440948486,9
가수,음악,0.6117961406707764,1
가슴,상처,0.6098507642745972,3
가입,희망,0.5199176073074341,3
가정,가족,0.7013463377952576,1
가족,가족,1,4
가치,윤리,0.6346501111984253,8
갈등,갈등,1,2
감동,기쁨,0.6450744271278381,53
감상,음악,0.6411212086677551,19
감성,심리,0.6301533579826355,4
감자,음식,0.531127393245697,1
감정,심리,0.7588332891464233,8
감탄,열정,0.5392419099807739,1
강도,저항,0.6040131449699402,1
강력,충격,0.5549739599227905,3
강압,권력,0.5841453671455383,2
강점,성장,0.5418332815170288,1
개봉작,드라마,0.5794780254364014,2
개성,자아,0.5115846395492554,1
개인기,개그,0.5068779587745667,1
거동,동정,0.5113197565078735,1
거북,동물,0.6017308235168457,2
걱정,후회,0.651527464389801,2
건설,도시,0.6078121066093445,1
검색,여행,0.6249870657920837,5
결실,기쁨,0.5356451272964478,1
결혼,연애,0.6863196492195129,2
경험,열정,0.6344258189201355,6
계획,여행,0.6060113906860352,13
고객,가족,0.5992609262466431,10
고급,음식,0.5831040740013123,1
고난,고통,0.6465856432914734,4
고생,고통,0.5584161281585693,1
공동,대화,0.5171006321907043,1
과정,교육,0.6268183588981628,5
관람,여행,0.5587009191513062,12
관심,기대,0.6249675154685974,2
관장,고문,0.5125513076782227,5
괴로움,고통,0.6400415301322937,2
교감,대화,0.5680186152458191,1
교훈,희망,0.596325695514679,3
구역,도시,0.6346057057380676,4
구타,폭력,0.6581145524978638,2
구토,폭력,0.600831151008606,1
국가,경제,0.7089344263076782,3
권투,액션,0.5972084403038025,4
극단,미술,0.5709163546562195,1
극복,고통,0.6304678916931152,4
긍정,희망,0.608379602432251,5
기대,기대,1,2
기름,전기,0.5815778970718384,2
기쁨,기쁨,1,1
기술,농업,0.6986809968948364,1
기억,사랑,0.6537694931030273,1
기초,교육,0.6542633175849915,1
김치,음식,0.7045021653175354,1
깡패,도둑,0.6545424461364746,10
꼬마,도둑,0.5964561700820923,5
낙하,충격,0.6555513739585876,1
날개,유령,0.5668269395828247,2
남매,가족,0.677724301815033,14
남자,사랑,0.5456969141960144,2
네트워크,컴퓨터,0.5800560712814331,2
노력,헌신,0.6555296182632446,7
노무,교육,0.5872817039489746,8
노인,가족,0.6170642375946045,2
노출,충격,0.60725998878479,1
눈물,슬픔,0.6957001090049744,14
뉴스,방송,0.70646071434021,1
느낌,슬픔,0.6343626976013184,9
능력,교육,0.6137364506721497,1
능청,유쾌,0.6301367878913879,2
단편,만화,0.737099826335907,1
달동네,시골,0.5428656339645386,5
대책,재난,0.5927299857139587,1
댓글,후회,0.505795419216156,1
데뷔,방송,0.5465471744537354,1
