Word,Category,Similarity,Frequency
가늠,기대,0.5158867239952087,1
가능,여행,0.6136982440948486,3
가슴,상처,0.6098507642745972,3
가족,가족,1,1
갈구,욕망,0.6502506136894226,1
갈망,욕망,0.7525596022605896,12
감동,기쁨,0.6450744271278381,2
감상,음악,0.6411212086677551,4
감정,심리,0.7588332891464233,17
강력,충격,0.5549739599227905,1
개별,음악,0.5007151961326599,1
거리,도시,0.60332190990448,1
거실,가족,0.6177316308021545,1
거장,미술,0.5483318567276001,1
걱정,후회,0.651527464389801,4
건물,학교,0.6180571913719177,1
걸텐,액션,1,3
검색,여행,0.6249870657920837,3
결혼,연애,0.6863196492195129,2
경감,재난,0.5005417466163635,1
경고,의심,0.5979491472244263,1
경험,열정,0.6344258189201355,2
고독,고독,1,17
고통,고통,1,2
공부,교육,0.6627280712127686,2
공상,우주,0.6748765707015991,2
공연,음악,0.7031762599945068,1
공포,공포,1,2
과자,음식,0.7175213694572449,6
과정,교육,0.6268183588981628,4
과학,과학,1,8
과학사,과학,0.6185031533241272,1
관람,여행,0.5587009191513062,9
관심,기대,0.6249675154685974,1
관찰,발견,0.5781939625740051,1
광고,방송,0.6559303998947144,1
괴로움,고통,0.6400415301322937,3
괴수,괴물,0.711188793182373,1
교감,대화,0.5680186152458191,1
구매,여행,0.5682201981544495,2
구속,충격,0.5845648646354675,4
구애,사랑,0.5114209651947021,1
구입,여행,0.5183897018432617,1
구전,신화,0.5773791670799255,1
구조,환경,0.6101574897766113,1
국가,경제,0.7089344263076782,1
권력,권력,1,1
규칙,윤리,0.5834123492240906,1
극장가,드라마,0.5290873050689697,1
기계,전기,0.6900599598884583,1
기대,기대,1,7
기대감,기대,0.6246221661567688,1
기분,유쾌,0.6678951382637024,3
기쁨,기쁨,1,1
기술,농업,0.6986809968948364,1
기억,사랑,0.6537694931030273,2
꼬마,도둑,0.5964561700820923,2
꾸밈,개그,0.547623336315155,1
나체,춤,0.5363216400146484,1
남남,갈등,0.6485471129417419,1
남녀,평등,0.5715689063072205,1
남자,사랑,0.5456969141960144,5
남편,가족,0.6233720779418945,11
냉소,분노,0.720836877822876,1
노래,춤,0.7242721915245056,2
노력,헌신,0.6555296182632446,1
노예,평등,0.6012166738510132,2
노인,가족,0.6170642375946045,3
노출,충격,0.60725998878479,1
논쟁,갈등,0.6280096769332886,1
농담,개그,0.6088651418685913,2
눈길,동정,0.5653472542762756,1
눈물,슬픔,0.6957001090049744,1
느낌,슬픔,0.6343626976013184,11
능력,교육,0.6137364506721497,5
단계,성장,0.6726707220077515,5
단발,액션,0.5860862731933594,1
단편,만화,0.737099826335907,1
당황,충격,0.6099472045898438,2
대답,후회,0.5436964631080627,2
대항,폭력,0.5444368720054626,1
댓글,후회,0.505795419216156,1
덮밥,음식,0.6334396600723267,2
데이트,로맨스,0.5355676412582397,2
도깨비,드라마,0.5560027360916138,1
도달,발견,0.5293484926223755,1
도로,교통,0.7222923040390015,7
도전,열정,0.6956499814987183,4
도피처,배신,0.5156517624855042,1
독서,철학,0.7120826244354248,1
독점,권력,0.5065333843231201,1
독창,춤,0.6945516467094421,2
독특,춤,0.5334261655807495,4
돌싱라이프,외계인,0.5412644743919373,1
동영상,가상현실,0.5586168169975281,1
돼지,동물,0.6352735757827759,1
두뇌,과학,0.5985945463180542,1
둘이,가족,0.5058346390724182,1
드라마,드라마,1,6
등록,여행,0.5735748410224915,1
램프,전기,0.65838223695755,9
랭킹,여행,0.5360299348831177,1
로맨스,로맨스,1,9
로맨티스트,로맨스,0.5782933235168457,2
로맨틱,로맨스,0.6721806526184082,1
마법,마법,1,2
마법사,판타지,0.5302509665489197,3
마약,범죄,0.71501225233078,1
마음,기쁨,0.6783162951469421,16
마케팅,가상현실,0.5079087615013123,1
만끽,평온,0.5107535123825073,1
만족,기대,0.6570032238960266,5
맛집,음식,0.6337778568267822,1
망각,고독,0.7046898603439331,1
매너,음식,0.54179447889328,1
매력,열정,0.6489761471748352,9
매몰,고통,0.5522159337997437,1
맹목,욕망,0.6913981437683105,2
먼지,전기,0.5306687355041504,6
메시지,대화,0.5048822164535522,1
멜로드라마,로맨스,0.577587366104126,1
모순,갈등,0.6281998157501221,2
모습,꿈,0.5368646383285522,21
모험,모험,1,1
목표,성장,0.6552416682243347,1
몸매,의리,0.5643829703330994,1
몽환,공포,0.573314368724823,1
무드,음악,0.6014951467514038,1
문물,종교,0.6034926176071167,1
문제,갈등,0.6495088934898376,4
