Word,Category,Similarity,Frequency
가게,여행,0.5113754868507385,1
가능,여행,0.6136982440948486,2
가상,우주,0.619330644607544,1
가슴,상처,0.6098507642745972,9
가입,희망,0.5199176073074341,1
가족,가족,1,28
가축,동물,0.6834333539009094,1
가치,윤리,0.6346501111984253,2
가혹,폭력,0.7184136509895325,1
간통,살인,0.6256090998649597,1
갈등,갈등,1,1
감동,기쁨,0.6450744271278381,68
감방,감옥,0.7492210865020752,16
감상,음악,0.6411212086677551,6
감성,심리,0.6301533579826355,7
감시,범죄,0.5818687081336975,1
감옥,감옥,1,22
감자,음식,0.531127393245697,8
감정,심리,0.7588332891464233,19
감탄,열정,0.5392419099807739,2
감행,추격,0.5397303700447083,1
감화,기쁨,0.6117310523986816,1
강간,범죄,0.732934832572937,15
강간범,살인,0.636356770992279,4
강박,자아,0.6491145491600037,1
강압,권력,0.5841453671455383,2
강점,성장,0.5418332815170288,2
개성,자아,0.5115846395492554,4
개요,여행,0.5623396039009094,1
거리,도시,0.60332190990448,2
거상,해적,0.5985183119773865,1
거짓,범죄,0.5651490092277527,5
거짓말,부도덕,0.5334540605545044,1
검색,여행,0.6249870657920837,2
겁탈,살인,0.6617544293403625,2
게임,만화,0.7299426198005676,1
격파,전투,0.590761125087738,1
견인,성장,0.5418386459350586,1
결백,부도덕,0.591943085193634,3
계획,여행,0.6060113906860352,1
고마움,기쁨,0.5609286427497864,1
고생,고통,0.5584161281585693,1
고심,기대,0.5159546732902527,1
고의,범죄,0.5445482730865479,3
고전,미술,0.6437533497810364,1
고증,미술,0.5211591720581055,2
골목,괴담,0.5829960107803345,1
공상,우주,0.6748765707015991,1
공판,전쟁,0.5674858689308167,1
과도,권력,0.5410835146903992,1
과정,교육,0.6268183588981628,3
관념,욕망,0.6592566967010498,1
관람,여행,0.5587009191513062,8
관전,정치,0.5587530136108398,2
교도소,감옥,0.6448109149932861,56
교정,교육,0.6010701060295105,1
교회,종교,0.6748078465461731,17
구매,여행,0.5682201981544495,11
구멍,상처,0.5373755693435669,3
구박,고통,0.587178647518158,2
구입,여행,0.5183897018432617,8
구조,환경,0.6101574897766113,5
구타,폭력,0.6581145524978638,1
국가,경제,0.7089344263076782,4
굴복,배신,0.5670102834701538,1
궁극,생존,0.5224151611328125,1
권장,모험,0.5027817487716675,1
균형,질서,0.6706463098526001,2
극복,고통,0.6304678916931152,3
근거,의심,0.5799501538276672,4
금지,도박,0.519909143447876,2
기대,기대,1,1
기분,유쾌,0.6678951382637024,1
기쁨,기쁨,1,1
기억,사랑,0.6537694931030273,1
기타,음악,0.5873071551322937,1
기획,교육,0.625312864780426,2
꼬마,도둑,0.5964561700820923,5
날씨,환경,0.6094790697097778,6
날짜,여행,0.5524149537086487,4
남자,사랑,0.5456969141960144,2
노력,헌신,0.6555296182632446,8
논증,철학,0.6008906960487366,1
누명,살인,0.5723448395729065,15
눈길,동정,0.5653472542762756,1
눈물,슬픔,0.6957001090049744,43
눈물샘,상처,0.5447229146957397,2
느낌,슬픔,0.6343626976013184,6
능동,자아,0.532185435295105,1
능력,교육,0.6137364506721497,1
단합,희생,0.595459520816803,1
담임,학교,0.570489764213562,1
담장,학교,0.5684550404548645,3
답안,윤리,0.5497373938560486,7
당부,희망,0.507290780544281,1
대답,후회,0.5436964631080627,7
대종상,드라마,0.5584242939949036,1
대피,재난,0.6124057769775391,2
댓글,후회,0.505795419216156,3
데뷔작,드라마,0.5683770775794983,1
도망,도둑,0.5489647388458252,1
도움,기대,0.5482439994812012,1
도전,열정,0.6956499814987183,3
독방,감옥,0.6755964159965515,4
돈벌이,도박,0.5817777514457703,1
두뇌,과학,0.5985945463180542,3
드라마,드라마,1,21
등록,여행,0.5735748410224915,2
로맨스,로맨스,1,1
리메이크,드라마,0.5311616063117981,3
리모콘,컴퓨터,0.5631677508354187,1
마음,기쁨,0.6783162951469421,19
만끽,평온,0.5107535123825073,1
만족,기대,0.6570032238960266,1
만화,만화,1,1
말소,발견,0.5225526094436646,1
