Word,Category,Similarity,Frequency
=하,액션,1,1
가게,여행,0.5113754868507385,1
가능,여행,0.6136982440948486,22
가상,우주,0.619330644607544,1
가슴,상처,0.6098507642745972,2
가입,희망,0.5199176073074341,4
가정,가족,0.7013463377952576,1
가족,가족,1,6
가치,윤리,0.6346501111984253,4
각국,경제,0.5319766998291016,1
각지,도시,0.5373378992080688,4
간접,교육,0.5171768665313721,3
갈등,갈등,1,6
감동,기쁨,0.6450744271278381,51
감상,음악,0.6411212086677551,35
감상회,음악,0.6172261238098145,1
감성,심리,0.6301533579826355,1
감정,심리,0.7588332891464233,5
강도,저항,0.6040131449699402,3
개별,음악,0.5007151961326599,1
개성,자아,0.5115846395492554,8
개통,여행,0.5202666521072388,2
거대,괴물,0.5640032887458801,1
거리,도시,0.60332190990448,1
거액,도박,0.5036361217498779,2
걱정,후회,0.651527464389801,6
건물,학교,0.6180571913719177,3
건축,미술,0.7201681733131409,1
검색,여행,0.6249870657920837,11
게임,만화,0.7299426198005676,1
결혼,연애,0.6863196492195129,2
경험,열정,0.6344258189201355,25
계략,군사,0.6058172583580017,1
계획,여행,0.6060113906860352,11
고생,고통,0.5584161281585693,1
고전,미술,0.6437533497810364,3
공방,미술,0.5317274332046509,1
공상,우주,0.6748765707015991,1
공포,공포,1,1
과정,교육,0.6268183588981628,6
과학부,과학,0.6102131009101868,3
관념,욕망,0.6592566967010498,1
관람,여행,0.5587009191513062,9
관심,기대,0.6249675154685974,2
광고,방송,0.6559303998947144,1
광신도,부도덕,0.5766445398330688,1
광역,교통,0.554053783416748,1
괴짜,탐정,0.7281141877174377,5
교통수단,교통,0.5854009985923767,2
교훈,희망,0.596325695514679,1
구간,교통,0.5263970494270325,1
구석,철학,0.5159526467323303,1
구입,여행,0.5183897018432617,1
국가,경제,0.7089344263076782,6
권력자,권력,0.6178524494171143,1
규범,윤리,0.7303454875946045,2
규칙,윤리,0.5834123492240906,1
극복,고통,0.6304678916931152,9
금전,도박,0.6236042380332947,1
긍정,희망,0.608379602432251,2
기계,전기,0.6900599598884583,1
기대,기대,1,17
기대감,기대,0.6246221661567688,5
기분,유쾌,0.6678951382637024,3
기상천외,미스터리,0.5333998799324036,3
기술,농업,0.6986809968948364,1
기억,사랑,0.6537694931030273,10
기차,교통,0.6118013858795166,2
꼬마,도둑,0.5964561700820923,8
날짜,여행,0.5524149537086487,2
남편,가족,0.6233720779418945,2
내기,내면,0.5713791251182556,13
내면,내면,1,3
노년,가족,0.5874111652374268,1
노래,춤,0.7242721915245056,1
노력,헌신,0.6555296182632446,1
눈길,동정,0.5653472542762756,1
느낌,슬픔,0.6343626976013184,3
능력,교육,0.6137364506721497,2
닌자,좀비,0.7675874829292297,1
다큐멘터리,다큐멘터리,1,1
단편,만화,0.737099826335907,1
당일,여행,0.5352691411972046,2
당첨,기대,0.522482693195343,3
대결,갈등,0.5924415588378906,3
대립,갈등,0.8246769905090332,2
대입,교육,0.5688934922218323,1
대처,재난,0.5325601696968079,3
댓글,후회,0.505795419216156,2
도달,발견,0.5293484926223755,1
도시,도시,1,3
도움,기대,0.5482439994812012,2
도전,열정,0.6956499814987183,22
도착,여행,0.6466491222381592,12
독서,철학,0.7120826244354248,2
독신,가족,0.5847299695014954,1
독특,춤,0.5334261655807495,2
돌발,재난,0.5403636693954468,1
