Word,Category,Similarity,Frequency
-끗,액션,1,1
가구,가족,0.611595630645752,1
가능,여행,0.6136982440948486,31
가수,음악,0.6117961406707764,1
가슴,상처,0.6098507642745972,1
가요,음악,0.6719156503677368,1
가족,가족,1,10
가치,윤리,0.6346501111984253,1
간식,음식,0.7144152522087097,6
간판,학교,0.5174685716629028,1
갈등,갈등,1,1
갈비,음식,0.571494460105896,1
갈치,만화,0.524678111076355,1
감기,질병,0.6120592355728149,1
감동,기쁨,0.6450744271278381,3
감상,음악,0.6411212086677551,6
감성,심리,0.6301533579826355,8
감영,군대,0.5308147668838501,1
감정,심리,0.7588332891464233,2
감지,발견,0.5597200989723206,1
강압,권력,0.5841453671455383,1
강점,성장,0.5418332815170288,1
개꿀,후회,0.5460979342460632,1
개냥이,동물,0.516987681388855,1
개별,음악,0.5007151961326599,3
객리,액션,1,3
객실,가족,0.6377797722816467,43
거리,도시,0.60332190990448,17
거실,가족,0.6177316308021545,4
거울,용기,0.5582752227783203,1
거주,도시,0.6213511228561401,1
거지,도둑,0.6057764291763306,1
걱정,후회,0.651527464389801,6
건물,학교,0.6180571913719177,12
검색,여행,0.6249870657920837,9
게임,만화,0.7299426198005676,4
결제,여행,0.5954683423042297,2
겸용,전기,0.5455175638198853,1
경운기,전기,0.5189234614372253,1
경제,경제,1,1
경험,열정,0.6344258189201355,3
계단,괴담,0.5106033086776733,6
계란,음식,0.5809228420257568,1
계절,이별,0.5606238842010498,1
계획,여행,0.6060113906860352,3
고마움,기쁨,0.5609286427497864,1
고물,도둑,0.6210659742355347,1
고발,범죄,0.5842509865760803,1
고생,고통,0.5584161281585693,2
고속,교통,0.5951749682426453,1
고추,도둑,0.576099693775177,1
고통,고통,1,1
골프,여행,0.580535888671875,1
공룡,동물,0.6991666555404663,1
공연,음악,0.7031762599945068,2
공포,공포,1,1
공항,교통,0.7404273152351379,15
과일,음식,0.7224454879760742,3
과정,교육,0.6268183588981628,1
관광,교통,0.7508423924446106,3
관광지,교통,0.5272136926651001,1
관심,기대,0.6249675154685974,5
광고,방송,0.6559303998947144,2
교실,학교,0.7313963174819946,1
교육,교육,1,1
