Word,Category,Similarity,Frequency
가난,고통,0.7040712237358093,2
가능,여행,0.6136982440948486,3
가입,희망,0.5199176073074341,1
가정,가족,0.7013463377952576,1
가치,윤리,0.6346501111984253,4
가치관,자기성찰,0.5398943424224854,2
갈등,갈등,1,6
감동,기쁨,0.6450744271278381,3
감상,음악,0.6411212086677551,8
감정,심리,0.7588332891464233,3
강요,용서,0.5793744921684265,1
개요,여행,0.5623396039009094,1
거리,도시,0.60332190990448,1
거울,용기,0.5582752227783203,3
거장,미술,0.5483318567276001,2
거짓,범죄,0.5651490092277527,1
걱정,후회,0.651527464389801,1
검색,여행,0.6249870657920837,2
게임,만화,0.7299426198005676,36
결함,의심,0.6190357208251953,1
결혼,연애,0.6863196492195129,4
경험,열정,0.6344258189201355,3
계급,평등,0.6543788909912109,1
계층,환경,0.5694180130958557,6
고립,불안,0.661411464214325,1
고발,범죄,0.5842509865760803,1
공연,음악,0.7031762599945068,1
공정,평등,0.5861278176307678,10
공통,환경,0.583020031452179,1
과정,교육,0.6268183588981628,2
관람,여행,0.5587009191513062,1
국가,경제,0.7089344263076782,1
권력,권력,1,1
귀족,권력,0.5714877843856812,2
규칙,윤리,0.5834123492240906,39
그리움,고독,0.5979834794998169,1
그림자,유령,0.5297560691833496,1
극복,고통,0.6304678916931152,1
기대,기대,1,1
기술,농업,0.6986809968948364,1
기억,사랑,0.6537694931030273,1
기타,음악,0.5873071551322937,1
난무,괴담,0.5966172814369202,2
남자,사랑,0.5456969141960144,3
남편,가족,0.6233720779418945,3
내면,내면,1,2
내전,전쟁,0.7661944627761841,1
노력,헌신,0.6555296182632446,3
농부,시골,0.6694933176040649,1
능력,교육,0.6137364506721497,1
다큐멘터리,다큐멘터리,1,3
단면,충격,0.5512654781341553,1
도덕,윤리,0.8225712776184082,4
도망,도둑,0.5489647388458252,1
도전,열정,0.6956499814987183,1
독특,춤,0.5334261655807495,2
드라마,드라마,1,7
등록,여행,0.5735748410224915,5
레슬링,스포츠,0.6888082027435303,1
렌즈,용기,0.5198469161987305,1
로맨스,로맨스,1,1
류트,춤,0.5634241104125977,1
마음,기쁨,0.6783162951469421,1
막장,개그,0.6745045781135559,1
망토,도둑,0.574202835559845,1
매너,음식,0.54179447889328,1
매력,열정,0.6489761471748352,2
메시지,대화,0.5048822164535522,4
모델,교육,0.5252665281295776,2
모돗,액션,1,1
모바일,컴퓨터,0.590937614440918,1
모습,꿈,0.5368646383285522,2
모양,인형,0.6405982375144958,3
몰이,좀비,0.5280947089195251,1
문자,대화,0.5297391414642334,1
문제,갈등,0.6495088934898376,4
미니멀,복고,0.5344106554985046,1
미래,미래,1,1
밀렵,범죄,0.5979468822479248,1
바이올린,춤,0.5247064232826233,1
박물관,미술,0.5244410634040833,1
반성,후회,0.62535560131073,2
반칙,폭력,0.6150811910629272,1
발견,발견,1,3
발매,방송,0.5153555870056152,1
방문,여행,0.5841829180717468,1
방향,미래,0.5546501278877258,1
배신,배신,1,2
백합,만화,0.6247093081474304,2
법칙,철학,0.6116989850997925,2
변덕,고독,0.7021976113319397,1
병합,멸망,0.5156170725822449,1
복도,유령,0.5545416474342346,2
복사,발견,0.5001623630523682,1
복제,동물,0.5838690400123596,3
본능,욕망,0.7253124713897705,1
부인,가족,0.5428288578987122,1
부정,폭력,0.6489901542663574,1
부조리,부조리,1,1
분노,분노,1,1
분야,과학,0.6800429821014404,1
불륜,연애,0.7070099711418152,1
불멸,고독,0.5689334273338318,1
뷰어,만화,0.5880469083786011,1
비난,분노,0.6010863780975342,3
비디오,컴퓨터,0.6554548740386963,1
비명,괴담,0.5712770819664001,1
비행사,우주,0.6022586822509766,2
사건,살인,0.7159186005592346,4
사고,의심,0.5630502700805664,1
사냥,전투,0.6896240711212158,6
사냥터,해적,0.5025001168251038,1
사람,꿈,0.5610076785087585,8
사랑,사랑,1,8
사물,동물,0.6133488416671753,1
사색,철학,0.6594800353050232,1
사운드,음악,0.5262696146965027,1
사회,경제,0.8096231818199158,20
삭제,의심,0.5076044797897339,2
삼각관계,갈등,0.543746292591095,2
상상,욕망,0.6180667877197266,1
상영,방송,0.6350025534629822,1
상황,혼란,0.6442916989326477,4
생각,후회,0.6602693200111389,11
생물학,과학,0.6285178661346436,1
생활,환경,0.7009555697441101,2
서사,신화,0.6202012896537781,1
선수권,스포츠,0.5526883006095886,1
선택,희망,0.5827092528343201,2
설득,대화,0.5834951996803284,2
성공,성장,0.6859850287437439,1
성장,성장,1,2
세계,경제,0.6071235537528992,4
세상,기쁨,0.6082786321640015,1
소동,도둑,0.6143503189086914,1
쇼트,액션,0.605980396270752,1
수발,질병,0.5194812417030334,1
스마트,가상현실,0.5641322731971741,1
스마트폰,컴퓨터,0.6610336303710938,1
스키,여행,0.6113173961639404,1
스트리밍,음악,0.5658097267150879,2
스포츠,스포츠,1,4
승낙,여행,0.5163658857345581,1
승패,전투,0.5012703537940979,1
시리즈,만화,0.5106303691864014,3
시작,발견,0.534450113773346,6
실종,살인,0.5558342933654785,1
실패,후회,0.6084508299827576,2
심리,심리,1,1
싸움,전투,0.6696678996086121,1
아들,가족,0.5667959451675415,3
악기,음악,0.7113656997680664,1
압축,충격,0.5453988909721375,1
애니메이션,만화,0.68199223279953,2
애인,연애,0.6649367809295654,1
야유,폭력,0.5774328708648682,2
에피소드,드라마,0.5304465889930725,2
여자,사랑,0.5380519032478333,1
역사,철학,0.6869469285011292,4
연구소,과학,0.5466880202293396,1
연극,미술,0.7502412796020508,1
연출,액션,0.5377380847930908,1
영상미,액션,0.5695945620536804,1
영향,기대,0.5794242024421692,3
영화,만화,0.7536719441413879,102
영화사,드라마,0.5089171528816223,2
예상,기대,0.655988872051239,2
오르골,인형,0.5050365328788757,1
온라인,교육,0.5160459876060486,1
온몸,상처,0.5155565738677979,1
외설,폭력,0.6754100322723389,1
욕망,욕망,1,4
용기,용기,1,3
운동선수,스포츠,0.6130902171134949,1
원본,만화,0.5679762363433838,2
유발,의심,0.6065707206726074,1
유혹,욕망,0.6288394331932068,1
은퇴,미래,0.5451258420944214,1
음악,음악,1,3
이기심,무력감,0.6152219772338867,1
이해,철학,0.5395932197570801,3
인간관계,사회문제,0.5430835485458374,1
인디,액션,0.6633222103118896,1
인물,정치,0.5848035216331482,6
인상,기대,0.6044384241104126,2
자료,교육,0.5909054279327393,5
자연,환경,0.6941760182380676,2
작가주의,판타지,0.5321022868156433,2
잔혹,폭력,0.6832144260406494,1
장르,음악,0.7329081892967224,3
장면,액션,0.5999083518981934,3
장소,여행,0.6031988263130188,1
재미,모험,0.6051297187805176,1
저택,감옥,0.6136187314987183,10
전쟁,전쟁,1,1
전투,전투,1,1
전편,만화,0.6458731293678284,1
전화,대화,0.5852361917495728,1
접속,방송,0.5524121522903442,1
접촉,대화,0.5968011617660522,1
정보,교통,0.6121577620506287,5
제공,여행,0.6024255156517029,4
제한,상실,0.636760413646698,1
조각,인형,0.646467387676239,2
존엄,평등,0.6833188533782959,1
종달새,꿈,0.5284185409545898,2
좌절,절망,0.6658827662467957,1
주목,기대,0.562468945980072,1
주요,도시,0.5643994808197021,2
줄거리,드라마,0.531794548034668,5
즉흥,춤,0.6668667793273926,1
지배,권력,0.6291192173957825,2
직면,고통,0.5117434859275818,2
집사,탐정,0.574050784111023,1
집착,욕망,0.6720618605613708,1
짝짓기,동물,0.5110672116279602,1
차별,평등,0.7053220272064209,3
착각,후회,0.5621350407600403,3
참담,충격,0.5467712879180908,1
참여,기대,0.5516729950904846,3
철학가,철학,0.6498081088066101,1
청소년,교육,0.5544909238815308,2
초래,상실,0.6091538071632385,1
최초,발견,0.5291507840156555,3
추구,헌신,0.5950697660446167,1
추천,여행,0.5768113136291504,9
출연,방송,0.659591019153595,1
충돌,갈등,0.6331798434257507,1
취미,음악,0.5891837477684021,1
캐릭터,인형,0.5306801795959473,3
컨텐츠,가상현실,0.517380952835083,2
코미디,코미디,1,1
코트,액션,0.5462599992752075,1
탐구,철학,0.6451975703239441,1
토끼,동물,0.7010551691055298,3
특권,권력,0.6667213439941406,1
특성,환경,0.650132417678833,1
파악,발견,0.628048837184906,2
파탄,경제,0.5744760036468506,1
편견,분노,0.6501380205154419,3
편협,폭력,0.5843505263328552,1
평론가,다큐멘터리,0.5252968668937683,3
평민,시골,0.5470766425132751,1
평화,평등,0.671115517616272,1
포용,용서,0.5688936710357666,1
표정,유쾌,0.5511194467544556,1
표현,대화,0.5644240975379944,1
풍미,음식,0.6398752331733704,1
풍자,정치,0.6569647192955017,4
플롯,개그,0.5973898768424988,2
피부,상처,0.6124958992004395,1
피아노,뮤지컬,0.5582685470581055,2
하녀,도둑,0.6068404316902161,3
하드,액션,0.6686204671859741,1
하층민,시골,0.5918861627578735,1
한번,후회,0.5221735835075378,1
해석,심리,0.5405862331390381,1
행복,기쁨,0.7726561427116394,2
허리,상처,0.5423044562339783,1
현대,미술,0.6356669068336487,2
혐오,폭력,0.7583182454109192,1
호소,동정,0.5579015016555786,1
혹평,분노,0.527694821357727,1
혼란,혼란,1,2
혼합,음식,0.5249561071395874,1
화면,액션,0.6001543998718262,3
화법,정치,0.6203706860542297,2
화분,꿈,0.602375328540802,1
화살,도둑,0.5926694869995117,1
화해,대화,0.665494978427887,1
확인,발견,0.6419516205787659,5
활동,교육,0.6086112856864929,2
활용,교육,0.557722270488739,1
횡단,탐험,0.6497835516929626,2
훈련,교육,0.6947369575500488,1
흐름,질서,0.5799944400787354,2
희생,희생,1,3

Category,Count,average
여행,11,0.5843275026841597
음악,9,0.6730157335599264
액션,9,0.6435087190734016
교육,9,0.587592687871721
만화,8,0.6378553435206413
폭력,7,0.6489710637501308
대화,7,0.5757247124399457
기대,6,0.6589989066123962
발견,6,0.638960619767507
철학,6,0.6321208079655966
후회,6,0.6049853066603342
욕망,5,0.728856110572815
평등,5,0.6600526213645935
환경,5,0.6395404100418091
도둑,5,0.5874055624008179
권력,4,0.7168320864439011
전투,4,0.7151405811309814
스포츠,4,0.7136466801166534
갈등,4,0.7066087573766708
