Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,2
가정,가족,0.7013463377952576,1
가족,가족,1,3
갈증,기쁨,0.6175435781478882,1
감동,기쁨,0.6450744271278381,2
감상,음악,0.6411212086677551,12
감흥,슬픔,0.63573157787323,1
강타,충격,0.5686725378036499,1
개요,여행,0.5623396039009094,1
거짓,범죄,0.5651490092277527,2
걱정,후회,0.651527464389801,3
게임,만화,0.7299426198005676,3
격차,평등,0.6109746694564819,2
경쟁,갈등,0.6576756238937378,1
계획,여행,0.6060113906860352,1
공격,전투,0.6404148936271667,1
과정,교육,0.6268183588981628,2
관람,여행,0.5587009191513062,3
귓가,유쾌,0.6767988801002502,1
그래픽,컴퓨터,0.6070578694343567,2
그램,액션,0.5368850827217102,1
기대,기대,1,2
기대감,기대,0.6246221661567688,2
기억,사랑,0.6537694931030273,4
나날,이별,0.6136053204536438,1
노래,춤,0.7242721915245056,8
농담,개그,0.6088651418685913,1
눈사람,인형,0.5204224586486816,5
느낌,슬픔,0.6343626976013184,11
능동,자아,0.532185435295105,1
단편,만화,0.737099826335907,3
달러,위안,0.6735437512397766,1
대답,후회,0.5436964631080627,1
대피,재난,0.6124057769775391,2
도전,열정,0.6956499814987183,2
도착,여행,0.6466491222381592,1
드라마,드라마,1,2
드레스,로맨스,0.5291532278060913,2
등골,개그,0.5085983276367188,1
마법,마법,1,9
마음,기쁨,0.6783162951469421,2
만화,만화,1,1
매력,열정,0.6489761471748352,1
먹거리,음식,0.5923094749450684,1
명작,만화,0.6867616772651672,3
모습,꿈,0.5368646383285522,2
모험,모험,1,5
몰살,배신,0.5945814251899719,1
몰입,열정,0.6674494743347168,1
몸매,의리,0.5643829703330994,1
몽랑,액션,1,1
문제,갈등,0.6495088934898376,1
뮤지컬,뮤지컬,1,3
미흡,기대,0.5619783997535706,1
바지,학교,0.5488675236701965,1
반응,충격,0.5951288342475891,2
발전,성장,0.7311267852783203,6
발휘,기대,0.5250481367111206,1
방향,미래,0.5546501278877258,1
부각,성장,0.5576289892196655,1
부모,가족,0.6875284910202026,8
부정,폭력,0.6489901542663574,2
분쟁,갈등,0.7055279612541199,1
불안,불안,1,1
불호,자아,0.5083271861076355,1
비중,성장,0.5152275562286377,3
사람,꿈,0.5610076785087585,5
사랑,사랑,1,1
사슴,동물,0.7194421291351318,1
사안,정치,0.5182824730873108,1
사운드,음악,0.5262696146965027,1
상대,추격,0.558393657207489,1
상영,방송,0.6350025534629822,5
생각,후회,0.6602693200111389,6
선물,사랑,0.605575680732727,1
성공,성장,0.6859850287437439,2
성인,교육,0.5841577649116516,1
세계,경제,0.6071235537528992,13
세상,기쁨,0.6082786321640015,4
스틸,액션,0.5995299220085144,3
시리즈,만화,0.5106303691864014,10
시작,발견,0.534450113773346,4
시장,경제,0.6355687975883484,1
식구,가족,0.6756171584129333,1
신경,질병,0.5199351906776428,3
신작,만화,0.6367781758308411,2
실천,철학,0.6342154145240784,1
심장,기쁨,0.5264105200767517,1
아웃,액션,0.5564733147621155,11
애니,만화,0.7641763091087341,1
애니메이션,만화,0.68199223279953,26
어드벤처,서바이벌,0.5903871655464172,1
얼음,바다,0.6190788745880127,1
여왕,유령,0.5411664247512817,7
여행,여행,1,1
역경,절망,0.6212114691734314,1
역사,철학,0.6869469285011292,3
연말,가족,0.5282685160636902,1
연인,사랑,0.6981024742126465,1
연출,액션,0.5377380847930908,1
열기,여행,0.5069565176963806,2
열풍,복고,0.5646018981933594,4
영상미,액션,0.5695945620536804,4
영화,만화,0.7536719441413879,34
예고편,드라마,0.5787103772163391,1
왕자,도둑,0.5981267690658569,1
외화,경제,0.5344226360321045,1
용기,용기,1,1
원더풀,뮤지컬,0.5890448689460754,1
원주민,해양,0.511862576007843,2
위기,혼란,0.6975850462913513,1
위험,불안,0.6922099590301514,4
의견,갈등,0.5687873959541321,1
이해,철학,0.5395932197570801,2
인기,여행,0.6119158267974854,2
인사이드,코미디,0.5295332074165344,11
입증,발견,0.5962595343589783,2
자매,가족,0.6219213008880615,3
자연,환경,0.6941760182380676,3
작업,수색,0.6102691888809204,1
장르,음악,0.7329081892967224,1
장면,액션,0.5999083518981934,1
장편,만화,0.7140740752220154,1
재난,재난,1,1
재미,모험,0.6051297187805176,1
재현,발견,0.5103026628494263,1
저금통,인형,0.5797374248504639,1
저주,살인,0.6187702417373657,3
전망,여행,0.6263327598571777,2
전편,만화,0.6458731293678284,1
절벽,바다,0.5490967631340027,2
정령,마법,0.6773650646209717,4
정보,교통,0.6121577620506287,2
제작,방송,0.6307950615882874,2
제작진,드라마,0.5286853313446045,1
조약돌,바다,0.518739640712738,2
주목,기대,0.562468945980072,1
줄거리,드라마,0.531794548034668,1
진정,기쁨,0.5493860840797424,1
질문,대화,0.5432519912719727,1
징표,마법,0.603035032749176,1
청혼,이별,0.6528633236885071,1
최신,과학,0.5843662023544312,1
최초,발견,0.5291507840156555,6
추구,헌신,0.5950697660446167,1
추천,여행,0.5768113136291504,2
충격,충격,1,1
츠아,액션,1,1
치마,군대,0.5427905321121216,1
캐릭터,인형,0.5306801795959473,7
코미디,코미디,1,1
콘텐츠,가상현실,0.5792493224143982,3
탄생,신화,0.5951989889144897,2
통제,질서,0.5960743427276611,1
파워,액션,0.5782656669616699,2
판타지,판타지,1,2
펜타,정글,0.5196047425270081,1
편린,기쁨,0.65335613489151,1
평론가,다큐멘터리,0.5252968668937683,1
평화,평등,0.671115517616272,3
포옹,이별,0.6516401767730713,1
포토,동정,0.5201435089111328,1
표정,유쾌,0.5511194467544556,1
표현,대화,0.5644240975379944,1
한번,후회,0.5221735835075378,1
해결,갈등,0.5887223482131958,1
행복,기쁨,0.7726561427116394,6
협정,전쟁,0.5770884156227112,1
협찬,방송,0.5449087023735046,1
화장,인형,0.5367721319198608,1
확인,발견,0.6419516205787659,1
확장,교육,0.5293398499488831,2
회전,춤,0.5261223316192627,1
효과,기대,0.5692968964576721,2
후속작,판타지,0.5277939438819885,1
희생,희생,1,1

Category,Count,average
만화,11,0.7146363962780345
여행,10,0.6309415698051453
액션,9,0.6642661094665527
기쁨,8,0.6313777267932892
가족,6,0.7024469673633575
기대,6,0.6405690908432007
갈등,5,0.6340444445610046
발견,5,0.5624229431152343
사랑,4,0.7393619120121002
드라마,4,0.6597975641489029
성장,4,0.6224920898675919
후회,4,0.5944167077541351
인형,4,0.5419030487537384
마법,3,0.7601333657900492
충격,3,0.7212671240170797
열정,3,0.6706918676694235
이별,3,0.6393696069717407
음악,3,0.6334330042203268
철학,3,0.6202518542607626
방송,3,0.6035687724749247
경제,3,0.592371662457784
교육,3,0.5801053245862325
바다,3,0.5623050928115845
불안,2,0.8461049795150757
재난,2,0.8062028884887695
모험,2,0.8025648593902588
뮤지컬,2,0.7945224344730377
코미디,2,0.7647666037082672
판타지,2,0.7638969719409943
평등,2,0.641045093536377
슬픔,2,0.6350471377372742
춤,2,0.6251972615718842
유쾌,2,0.6139591634273529
개그,2,0.558731734752655
대화,2,0.5538380444049835
꿈,2,0.5489361584186554
자아,2,0.5202563107013702
용기,1,1.0
희생,1,1.0
동물,1,0.7194421291351318
혼란,1,0.6975850462913513
환경,1,0.6941760182380676
위안,1,0.6735437512397766
폭력,1,0.6489901542663574
전투,1,0.6404148936271667
절망,1,0.6212114691734314
살인,1,0.6187702417373657
교통,1,0.6121577620506287
수색,1,0.6102691888809204
컴퓨터,1,0.6070578694343567
도둑,1,0.5981267690658569
질서,1,0.5960743427276611
신화,1,0.5951989889144897
헌신,1,0.5950697660446167
배신,1,0.5945814251899719
음식,1,0.5923094749450684
서바이벌,1,0.5903871655464172
과학,1,0.5843662023544312
가상현실,1,0.5792493224143982
전쟁,1,0.5770884156227112
범죄,1,0.5651490092277527
복고,1,0.5646018981933594
의리,1,0.5643829703330994
추격,1,0.558393657207489
미래,1,0.5546501278877258
학교,1,0.5488675236701965
군대,1,0.5427905321121216
유령,1,0.5411664247512817
로맨스,1,0.5291532278060913
다큐멘터리,1,0.5252968668937683
동정,1,0.5201435089111328
질병,1,0.5199351906776428
정글,1,0.5196047425270081
정치,1,0.5182824730873108
해양,1,0.511862576007843
