Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,1
가슴,상처,0.6098507642745972,1
가족,가족,1,4
감동,기쁨,0.6450744271278381,1
감상,음악,0.6411212086677551,2
감성,심리,0.6301533579826355,2
감옥,감옥,1,1
감정,심리,0.7588332891464233,5
강탈,배신,0.5558199882507324,1
개그,개그,1,1
개냥이,동물,0.516987681388855,1
개요,여행,0.5623396039009094,1
갸릉,액션,1,1
거리,도시,0.60332190990448,2
걱정,후회,0.651527464389801,2
검색,여행,0.6249870657920837,1
결혼,연애,0.6863196492195129,1
경고,의심,0.5979491472244263,1
고독사,재난,0.5626275539398193,1
고령,가족,0.5334233045578003,1
공부,교육,0.6627280712127686,1
공책,만화,0.5820149779319763,3
관람,여행,0.5587009191513062,3
관심,기대,0.6249675154685974,4
교감,대화,0.5680186152458191,1
교류,대화,0.6140486598014832,1
국가,경제,0.7089344263076782,1
그리움,고독,0.5979834794998169,1
글씨,꿈,0.5032174587249756,1
긍정,희망,0.608379602432251,1
기분,유쾌,0.6678951382637024,2
기억,사랑,0.6537694931030273,1
냥이,인형,0.5773642659187317,1
네일,미술,0.5655103325843811,1
노인,가족,0.6170642375946045,17
노화,질병,0.6835041046142578,1
눈물,슬픔,0.6957001090049744,1
느낌,슬픔,0.6343626976013184,5
담소,대화,0.6191774606704712,1
대여,여행,0.6416856050491333,1
댄스,음악,0.7449625134468079,2
댓글,후회,0.505795419216156,2
덧글,만화,0.5002226233482361,1
도시,도시,1,7
도움,기대,0.5482439994812012,5
도전,열정,0.6956499814987183,1
독서,철학,0.7120826244354248,1
동거,연애,0.6906545758247375,1
드라마,드라마,1,7
러브,액션,0.6233081817626953,2
로맨스,로맨스,1,1
리틀,정글,0.6318785548210144,1
마비,혼란,0.6122421026229858,1
마음,기쁨,0.6783162951469421,10
만족,기대,0.6570032238960266,1
만화,만화,1,10
만화책,만화,0.6684035062789917,2
맛집,음식,0.6337778568267822,1
매력,열정,0.6489761471748352,2
매매,도박,0.5757066011428833,1
먹이,동물,0.6372129321098328,1
모습,꿈,0.5368646383285522,16
목표,성장,0.6552416682243347,1
무덤,신화,0.5744480490684509,1
문제,갈등,0.6495088934898376,1
미사여구,부도덕,0.5081059336662292,1
미완,고독,0.5895963311195374,3
반려,동물,0.5831385850906372,1
반려동물,동물,0.5375193953514099,2
반말,폭력,0.5853083729743958,1
발견,발견,1,9
발작,불안,0.5706687569618225,1
배급,교육,0.5531435608863831,1
번아웃,무력감,0.5329789519309998,1
벚꽃,괴담,0.5476364493370056,1
보건의,교육,0.5109936594963074,1
부인,가족,0.5428288578987122,1
분지,해양,0.5276750922203064,1
불호,자아,0.5083271861076355,1
비하,폭력,0.5519798398017883,1
사건,살인,0.7159186005592346,2
사기,도박,0.624628484249115,1
사람,꿈,0.5610076785087585,35
사랑,사랑,1,11
사별,가족,0.6193550229072571,1
사이언스,과학,0.5978793501853943,1
사자,도둑,0.6428564786911011,1
사치,욕망,0.5516767501831055,3
사회,경제,0.8096231818199158,1
삭제,의심,0.5076044797897339,1
산보,춤,0.528891921043396,1
산책,여행,0.5863888263702393,4
상처,상처,1,1
새끼,동물,0.6447408199310303,2
색감,미술,0.5213123559951782,1
생각,후회,0.6602693200111389,15
생선,음식,0.7121021151542664,2
생활,환경,0.7009555697441101,3
선택,희망,0.5827092528343201,5
설득,대화,0.5834951996803284,2
설레임,기쁨,0.5999643802642822,1
세상,기쁨,0.6082786321640015,4
소원,사랑,0.6399070620536804,1
소통,대화,0.694833517074585,1
스테이션,컴퓨터,0.5199851989746094,2
스푼,개그,0.5391286015510559,1
슬픔,슬픔,1,1
시골,시골,1,3
시작,발견,0.534450113773346,5
식당,음식,0.6759225726127625,1
실사,만화,0.575007438659668,1
심사,교육,0.5537958741188049,1
심장,기쁨,0.5264105200767517,2
아내,가족,0.582758903503418,17
아들,가족,0.5667959451675415,7
아트,미술,0.6990192532539368,1
아픔,상처,0.7904168963432312,1
앙숙,갈등,0.6360934376716614,1
애기,인형,0.5244230031967163,1
어촌,시골,0.724385678768158,1
엄두,후회,0.5174670219421387,1
엄마,사랑,0.5908297300338745,1
여생,고독,0.5445051193237305,1
연출,액션,0.5377380847930908,1
염려,불안,0.6227399110794067,1
영상미,액션,0.5695945620536804,1
영화,만화,0.7536719441413879,79
영화상,드라마,0.5307199358940125,1
예고편,드라마,0.5787103772163391,2
예상,기대,0.655988872051239,1
오해,상처,0.5473958253860474,1
요리,음식,0.7475793361663818,8
용기,용기,1,1
움짤,액션,0.5601097941398621,1
원작,만화,0.7227425575256348,8
위로,바다,0.5024420619010925,1
육체,자아,0.5753576159477234,1
이웃,가족,0.6304181218147278,6
인기,여행,0.6119158267974854,2
인상,기대,0.6044384241104126,2
일상,유쾌,0.5978867411613464,19
자매,가족,0.6219213008880615,1
자손,생존,0.5799992680549622,1
자식,가족,0.5835269689559937,1
자연,환경,0.6941760182380676,2
장담,후회,0.6085733771324158,1
장르,음악,0.7329081892967224,2
장면,액션,0.5999083518981934,8
장소,여행,0.6031988263130188,3
절망,절망,1,1
절친,연애,0.6004643440246582,1
정보,교통,0.6121577620506287,5
죽음,고독,0.6896678805351257,3
줄거리,드라마,0.531794548034668,5
즐거움,기쁨,0.6185970902442932,1
집배원,도둑,0.5206931829452515,1
집사,탐정,0.574050784111023,1
찌잉,액션,1,1
책상,여행,0.5781858563423157,1
철장,도둑,0.5596933364868164,1
청소년,교육,0.5544909238815308,2
추억,사랑,0.6609922647476196,5
추천,여행,0.5768113136291504,3
축제,춤,0.6026461720466614,1
출연,방송,0.659591019153595,3
카페,유령,0.5409449934959412,16
커플,가족,0.6512839198112488,2
콩밥,괴담,0.5225313305854797,2
키치,신화,0.5691781044006348,19
특유,춤,0.5365961194038391,2
판타지,판타지,1,1
편안,유쾌,0.6909911036491394,2
평화,평등,0.671115517616272,4
표정,유쾌,0.5511194467544556,1
표지,만화,0.5380036234855652,1
풍류,춤,0.6465778350830078,1
픽션,만화,0.6685272455215454,1
학교,학교,1,1
한번,후회,0.5221735835075378,1
할모,액션,1,1
행복,기쁨,0.7726561427116394,7
호흡,춤,0.5944341421127319,1
화면,액션,0.6001543998718262,1
확인,발견,0.6419516205787659,1
활력,기쁨,0.6071287393569946,1
황혼,고독,0.6202458143234253,1
후회,후회,1,2
흐름,질서,0.5799944400787354,1
희로애락,고독,0.5500572919845581,1
희망,희망,1,3
힐링,정글,0.5479092597961426,15

Category,Count,average
가족,11,0.6317615075544878
여행,10,0.5957912087440491
액션,9,0.7212014860577054
만화,9,0.667621546321445
기쁨,8,0.6320532783865929
후회,7,0.6379723123141697
고독,6,0.5986759861310323
사랑,5,0.7090997099876404
기대,5,0.6181284070014954
대화,5,0.6159146904945374
동물,5,0.583919882774353
춤,5,0.5818292379379273
교육,5,0.567030417919159
상처,4,0.7369158715009689
음식,4,0.6923454701900482
드라마,4,0.6603062152862549
유쾌,4,0.626973107457161
슬픔,3,0.7766876022020975
희망,3,0.7303629517555237
발견,3,0.7254672447840372
음악,3,0.7063306371370951
연애,3,0.6591461896896362
미술,3,0.595280647277832
도둑,3,0.574414332707723
꿈,3,0.5336965918540955
시골,2,0.862192839384079
도시,2,0.80166095495224
개그,2,0.769564300775528
경제,2,0.759278804063797
환경,2,0.6975657939910889
심리,2,0.6944933235645294
열정,2,0.6723130643367767
갈등,2,0.6428011655807495
도박,2,0.6001675426959991
불안,2,0.5967043340206146
정글,2,0.5898939073085785
신화,2,0.5718130767345428
폭력,2,0.568644106388092
의심,2,0.5527768135070801
인형,2,0.550893634557724
자아,2,0.5418424010276794
괴담,2,0.5350838899612427
감옥,1,1.0
로맨스,1,1.0
용기,1,1.0
절망,1,1.0
판타지,1,1.0
학교,1,1.0
살인,1,0.7159186005592346
철학,1,0.7120826244354248
질병,1,0.6835041046142578
평등,1,0.671115517616272
방송,1,0.659591019153595
성장,1,0.6552416682243347
혼란,1,0.6122421026229858
교통,1,0.6121577620506287
과학,1,0.5978793501853943
생존,1,0.5799992680549622
질서,1,0.5799944400787354
탐정,1,0.574050784111023
재난,1,0.5626275539398193
배신,1,0.5558199882507324
욕망,1,0.5516767501831055
유령,1,0.5409449934959412
무력감,1,0.5329789519309998
해양,1,0.5276750922203064
컴퓨터,1,0.5199851989746094
부도덕,1,0.5081059336662292
바다,1,0.5024420619010925
