Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,10
가입,희망,0.5199176073074341,3
가족,가족,1,2
가치,윤리,0.6346501111984253,2
갈등,갈등,1,5
감동,기쁨,0.6450744271278381,16
감상,음악,0.6411212086677551,16
감정,심리,0.7588332891464233,6
강력,충격,0.5549739599227905,3
개봉작,드라마,0.5794780254364014,3
개성,자아,0.5115846395492554,1
거대,괴물,0.5640032887458801,4
거리,도시,0.60332190990448,4
검사,심리,0.583127498626709,5
검색,여행,0.6249870657920837,3
결전,전투,0.6634336709976196,2
경쟁심,자아,0.579612672328949,1
경험,열정,0.6344258189201355,6
고뇌,고독,0.6679061055183411,1
고향,시골,0.6128569841384888,1
공갈,폭력,0.6419568657875061,1
과도,권력,0.5410835146903992,1
과정,교육,0.6268183588981628,1
관람,여행,0.5587009191513062,14
관심,기대,0.6249675154685974,4
괴물,괴물,1,2
구조,환경,0.6101574897766113,1
국가,경제,0.7089344263076782,1
굿즈,인형,0.614889919757843,24
권장,모험,0.5027817487716675,1
극장판,드라마,0.5479550361633301,21
긍정,희망,0.608379602432251,2
기대,기대,1,12
기분,유쾌,0.6678951382637024,1
기쁨,기쁨,1,1
기술,농업,0.6986809968948364,4
긴장,불안,0.6880083084106445,1
남매,가족,0.677724301815033,16
남자,사랑,0.5456969141960144,7
남편,가족,0.6233720779418945,1
납치,살인,0.6689104437828064,1
내면,내면,1,2
노력,헌신,0.6555296182632446,1
눈물,슬픔,0.6957001090049744,1
뉴스,방송,0.70646071434021,1
느낌,슬픔,0.6343626976013184,7
능력,교육,0.6137364506721497,9
대결,갈등,0.5924415588378906,2
대립,갈등,0.8246769905090332,1
도전,열정,0.6956499814987183,2
도착,여행,0.6466491222381592,5
돌격,전투,0.5611221790313721,1
두려움,두려움,1,2
드라마,드라마,1,10
등록,여행,0.5735748410224915,6
또래,가족,0.6356732845306396,1
랜덤,좀비,0.5619427561759949,3
로드,액션,0.6272988319396973,1
마그,좀비,0.5264204144477844,2
마음,기쁨,0.6783162951469421,5
만족,기대,0.6570032238960266,1
만족감,기대,0.5598728656768799,1
만화,만화,1,7
매력,열정,0.6489761471748352,2
먹이,동물,0.6372129321098328,1
메시지,대화,0.5048822164535522,3
메이킹,서바이벌,0.5047268867492676,1
명장면,코미디,0.5314233899116516,1
모바일,컴퓨터,0.590937614440918,3
모습,꿈,0.5368646383285522,16
모험,모험,1,4
목표,성장,0.6552416682243347,2
몰입,열정,0.6674494743347168,1
반응,충격,0.5951288342475891,1
발견,발견,1,1
발휘,기대,0.5250481367111206,1
방문,여행,0.5841829180717468,4
방향,미래,0.5546501278877258,1
배급,교육,0.5531435608863831,2
배치,수색,0.5295758843421936,1
변화,성장,0.7235260605812073,8
보도,방송,0.6695681214332581,4
복도,유령,0.5545416474342346,2
봉투,도둑,0.5675815343856812,3
분리,갈등,0.5047985911369324,1
빙하,해양,0.6379818916320801,1
사건,살인,0.7159186005592346,1
사고,의심,0.5630502700805664,1
사람,꿈,0.5610076785087585,10
사랑,사랑,1,5
사슬,도둑,0.504044234752655,1
사운드,음악,0.5262696146965027,1
사전,교육,0.5635393261909485,1
사진,미술,0.5546669960021973,3
사투,추격,0.57225102186203,5
살인,살인,1,1
살해,살인,0.6861730217933655,1
상대,추격,0.558393657207489,3
상영,방송,0.6350025534629822,4
상황,혼란,0.6442916989326477,2
생각,후회,0.6602693200111389,15
선택,희망,0.5827092528343201,3
성공,성장,0.6859850287437439,1
성장,성장,1,13
성향,심리,0.5809999704360962,2
세상,기쁨,0.6082786321640015,1
세트,인형,0.564244270324707,9
