Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,3
가입,희망,0.5199176073074341,1
감동,기쁨,0.6450744271278381,3
감상,음악,0.6411212086677551,3
감정,심리,0.7588332891464233,1
거리,도시,0.60332190990448,2
거짓말,부도덕,0.5334540605545044,7
건물,학교,0.6180571913719177,1
겁페,액션,1,3
게임,만화,0.7299426198005676,1
격려,동정,0.5737254619598389,1
결제,여행,0.5954683423042297,1
경험,열정,0.6344258189201355,1
고등학교,학교,0.6346824765205383,1
관람,여행,0.5587009191513062,6
관심,기대,0.6249675154685974,3
구매,여행,0.5682201981544495,1
극장판,드라마,0.5479550361633301,15
기대감,기대,0.6246221661567688,2
기쁨,기쁨,1,1
기억,사랑,0.6537694931030273,1
기차,교통,0.6118013858795166,1
긴장,불안,0.6880083084106445,2
남자,사랑,0.5456969141960144,1
노력,헌신,0.6555296182632446,2
농구,개그,0.6286988854408264,1
느낌,슬픔,0.6343626976013184,1
댓글,후회,0.505795419216156,1
덕질,개그,0.610794723033905,1
덩크,액션,0.5596431493759155,2
드라마,드라마,1,6
등록,여행,0.5735748410224915,1
디키,괴물,0.5571511387825012,2
라이벌,자존심,0.5227869749069214,2
레이스,스포츠,0.55909663438797,1
로드,액션,0.6272988319396973,1
마음,기쁨,0.6783162951469421,1
만족,기대,0.6570032238960266,1
만화,만화,1,7
매력,열정,0.6489761471748352,1
명작,만화,0.6867616772651672,1
명장면,코미디,0.5314233899116516,1
모바일,컴퓨터,0.590937614440918,1
모습,꿈,0.5368646383285522,3
뮤지컬,뮤지컬,1,1
믹스,음악,0.5708146095275879,1
박자,춤,0.549708902835846,1
반값,좀비,0.5070330500602722,1
발견,발견,1,2
발휘,기대,0.5250481367111206,1
배급,교육,0.5531435608863831,3
배치,수색,0.5295758843421936,1
범죄,범죄,1,2
보이,정글,0.5561686158180237,1
비참,고독,0.6815916895866394,1
사람,꿈,0.5610076785087585,2
사이클,스포츠,0.5481253266334534,10
사치,욕망,0.5516767501831055,2
상영,방송,0.6350025534629822,1
상처,상처,1,1
생각,후회,0.6602693200111389,3
생활,환경,0.7009555697441101,1
선박,해양,0.712157666683197,1
설치,교육,0.5344357490539551,1
성공,성장,0.6859850287437439,3
성장,성장,1,1
소질,자아,0.6226111650466919,1
스릴러,스릴러,1,1
스마트폰,컴퓨터,0.6610336303710938,1
스포츠,스포츠,1,4
슬램,액션,0.5865660905838013,2
슬픔,슬픔,1,1
시골,시골,1,1
시리즈,만화,0.5106303691864014,4
시작,발견,0.534450113773346,4
시청,방송,0.6024045944213867,1
시티,여행,0.6037575602531433,1
신작,만화,0.6367781758308411,1
실사,만화,0.575007438659668,7
아들,가족,0.5667959451675415,3
애니메이션,만화,0.68199223279953,4
여행,여행,1,1
영화,만화,0.7536719441413879,28
영화관,드라마,0.5831791758537292,2
예고편,드라마,0.5787103772163391,6
예상,기대,0.655988872051239,1
오타쿠,만화,0.5039249658584595,1
왕복,여행,0.617037296295166,2
외침,분노,0.6074551939964294,1
원작,만화,0.7227425575256348,13
인기,여행,0.6119158267974854,1
자료,교육,0.5909054279327393,7
자연,환경,0.6941760182380676,1
작별,이별,0.7365326285362244,1
장르,음악,0.7329081892967224,5
장면,액션,0.5999083518981934,4
재현,발견,0.5103026628494263,1
절약,환경,0.6258813738822937,1
정보,교통,0.6121577620506287,1
제공,여행,0.6024255156517029,1
제작,방송,0.6307950615882874,1
제휴,여행,0.5417444109916687,1
졸업,여행,0.5504979491233826,1
주목,기대,0.562468945980072,1
즐거움,기쁨,0.6185970902442932,1
청춘,사랑,0.612774670124054,1
체전,학교,0.5215868949890137,4
최강,괴물,0.5176655650138855,1
추천,여행,0.5768113136291504,1
출동,수색,0.5925505757331848,1
출연,방송,0.659591019153595,5
충격,충격,1,1
충전,전기,0.6041690111160278,1
카피,용기,0.5158012509346008,3
커플,가족,0.6512839198112488,1
컨텐츠,가상현실,0.517380952835083,1
키드,좀비,0.5989137887954712,1
태블릿,컴퓨터,0.6287781000137329,1
특가,여행,0.6959012746810913,1
판명,의심,0.556715190410614,1
페달,전기,0.5104746222496033,1
플랫폼,가상현실,0.5415536761283875,2
피아노,뮤지컬,0.5582685470581055,4
피아니스트,뮤지컬,0.5434163808822632,1
학급,학교,0.6789641976356506,1
할인,여행,0.5819051265716553,1
합리,질서,0.6118694543838501,1
합법,범죄,0.5498071312904358,1
행복,기쁨,0.7726561427116394,1
혼동,갈등,0.5477047562599182,1
흉내,내면,0.5602818131446838,1
히메,만화,0.5489796996116638,1

Category,Count,average
여행,15,0.6194439212481181
만화,11,0.6682210618799383
기대,6,0.6083498100439707
기쁨,5,0.7429287910461426
액션,5,0.6746832847595214
드라마,4,0.6774611473083496
방송,4,0.6319483071565628
학교,4,0.6133226901292801
스포츠,3,0.7024073203404745
뮤지컬,3,0.7005616426467896
발견,3,0.6815842588742574
환경,3,0.6736709872881571
음악,3,0.6482813358306885
컴퓨터,3,0.6269164482752482
사랑,3,0.6040803591410319
교육,3,0.5594949126243591
성장,2,0.842992514371872
슬픔,2,0.8171813488006592
범죄,2,0.7749035656452179
열정,2,0.6417009830474854
개그,2,0.6197468042373657
교통,2,0.6119795739650726
가족,2,0.6090399324893951
후회,2,0.5830323696136475
수색,2,0.5610632300376892
전기,2,0.5573218166828156
좀비,2,0.5529734194278717
꿈,2,0.5489361584186554
괴물,2,0.5374083518981934
가상현실,2,0.5294673144817352
상처,1,1.0
스릴러,1,1.0
시골,1,1.0
충격,1,1.0
심리,1,0.7588332891464233
이별,1,0.7365326285362244
해양,1,0.712157666683197
불안,1,0.6880083084106445
고독,1,0.6815916895866394
헌신,1,0.6555296182632446
자아,1,0.6226111650466919
질서,1,0.6118694543838501
분노,1,0.6074551939964294
도시,1,0.60332190990448
동정,1,0.5737254619598389
내면,1,0.5602818131446838
의심,1,0.556715190410614
정글,1,0.5561686158180237
욕망,1,0.5516767501831055
춤,1,0.549708902835846
갈등,1,0.5477047562599182
부도덕,1,0.5334540605545044
코미디,1,0.5314233899116516
자존심,1,0.5227869749069214
희망,1,0.5199176073074341
용기,1,0.5158012509346008
