Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,2
가수,음악,0.6117961406707764,1
가슴,상처,0.6098507642745972,2
가족,가족,1,6
갈망,욕망,0.7525596022605896,1
감동,기쁨,0.6450744271278381,5
감성,심리,0.6301533579826355,4
감정,심리,0.7588332891464233,4
강력,충격,0.5549739599227905,2
개간,농업,0.6451284289360046,1
개그,개그,1,1
개성,자아,0.5115846395492554,1
거대,괴물,0.5640032887458801,2
걱정,후회,0.651527464389801,1
검사,심리,0.583127498626709,7
검색,여행,0.6249870657920837,1
검술,마법,0.649684488773346,1
겁보,액션,1,1
게임,만화,0.7299426198005676,3
결핵,질병,0.6684396266937256,1
고급,음식,0.5831040740013123,1
고통,고통,1,1
곡상,액션,1,2
공격,전투,0.6404148936271667,8
공방전,전투,0.5658938884735107,1
과정,교육,0.6268183588981628,2
관람,여행,0.5587009191513062,9
관심,기대,0.6249675154685974,3
광고,방송,0.6559303998947144,1
괴물,괴물,1,1
구간,교통,0.5263970494270325,1
국가,경제,0.7089344263076782,1
굿즈,인형,0.614889919757843,2
귀살,액션,1,1
귓가,유쾌,0.6767988801002502,1
극장판,드라마,0.5479550361633301,35
금발,마법,0.610371470451355,1
기계,전기,0.6900599598884583,1
기대,기대,1,2
기술,농업,0.6986809968948364,2
기억,사랑,0.6537694931030273,3
기차,교통,0.6118013858795166,1
꼰대,절망,0.6119091510772705,1
꽃향기,설원,0.5387865900993347,1
남매,가족,0.677724301815033,1
내면,내면,1,2
내면세계,자기성찰,0.6325609683990479,1
노래,춤,0.7242721915245056,3
노력,헌신,0.6555296182632446,1
눈물,슬픔,0.6957001090049744,5
느낌,슬픔,0.6343626976013184,4
능력,교육,0.6137364506721497,3
단편,만화,0.737099826335907,1
단행본,만화,0.562895655632019,1
당황,충격,0.6099472045898438,2
대결,갈등,0.5924415588378906,6
대란,혼란,0.5936112403869629,1
대쪽,부도덕,0.5129253268241882,2
댓글,후회,0.505795419216156,2
더빙,방송,0.5857229828834534,1
덩크,액션,0.5596431493759155,1
도깨비,드라마,0.5560027360916138,10
도주,추격,0.6170496940612793,1
독특,춤,0.5334261655807495,2
돌끼,액션,1,1
동영상,가상현실,0.5586168169975281,1
드라마,드라마,1,3
드럼,전기,0.5194173455238342,1
랭곡,액션,1,1
레그,액션,0.6029916405677795,2
로켓,우주,0.6648953557014465,2
리더,성장,0.5860862135887146,1
리얼,액션,0.6809289455413818,1
마법,마법,1,1
마음,기쁨,0.6783162951469421,5
마음가짐,자기성찰,0.5756369233131409,1
만화,만화,1,13
만화책,만화,0.6684035062789917,1
매거진,드라마,0.5009645223617554,1
매니아,판타지,0.5267682075500488,1
매력,열정,0.6489761471748352,7
매치,액션,0.5586719512939453,1
맹공,추격,0.6549248695373535,1
메시지,대화,0.5048822164535522,1
메일,만화,0.5050849914550781,1
멸식,액션,1,1
명작,만화,0.6867616772651672,1
명장면,코미디,0.5314233899116516,1
모션,액션,0.6868695020675659,11
모습,꿈,0.5368646383285522,9
목표,성장,0.6552416682243347,2
몰살,배신,0.5945814251899719,1
몰입,열정,0.6674494743347168,3
무잔,액션,1,1
미래,미래,1,1
미안,후회,0.5432184934616089,2
민족주의,정치,0.5287231802940369,1
반문,신화,0.5213050246238708,1
발견,발견,1,4
방영,방송,0.7201281189918518,1
방패,마법,0.5824995040893555,1
배송,여행,0.6038719415664673,2
배치,수색,0.5295758843421936,1
배틀,전투,0.6447144746780396,1
분노,분노,1,1
사냥,전투,0.6896240711212158,2
사람,꿈,0.5610076785087585,16
사명감,열정,0.6485658884048462,1
사운드,음악,0.5262696146965027,2
사진,미술,0.5546669960021973,2
사회,경제,0.8096231818199158,1
삭제,의심,0.5076044797897339,1
살해,살인,0.6861730217933655,1
상대,추격,0.558393657207489,2
상영,방송,0.6350025534629822,1
상처,상처,1,1
상품,여행,0.6432608962059021,1
상황,혼란,0.6442916989326477,2
생각,후회,0.6602693200111389,13
생물,동물,0.7907639741897583,1
생존,생존,1,1
선택,희망,0.5827092528343201,3
섬광,마법,0.5842835307121277,5
성공,성장,0.6859850287437439,4
성인,교육,0.5841577649116516,3
성장,성장,1,1
성향,심리,0.5809999704360962,1
세계,경제,0.6071235537528992,7
세트,인형,0.564244270324707,1
센츠,액션,1,1
소비,경제,0.6587632894515991,2
수면,환경,0.5423021912574768,2
수행,성장,0.5646498799324036,5
순애보,드라마,0.6065585613250732,1
슬램,액션,0.5865660905838013,1
슬픔,슬픔,1,1
승객,교통,0.6048595309257507,7
시대극,드라마,0.6777624487876892,2
시리즈,만화,0.5106303691864014,1
시작,발견,0.534450113773346,12
시즌,방송,0.5284544229507446,6
시청자,방송,0.5191292762756348,1
식도락,음식,0.6200299263000488,1
신경,질병,0.5199351906776428,1
신경질,무력감,0.5594394207000732,1
신념,욕망,0.6720592975616455,4
실감,기대,0.5343434810638428,1
실력,춤,0.5194166302680969,3
실사,만화,0.575007438659668,1
실종,살인,0.5558342933654785,1
실종자,수색,0.5530996322631836,1
실패,후회,0.6084508299827576,2
실화,공포,0.6056075096130371,1
싸움,전투,0.6696678996086121,4
아재,개그,0.652924656867981,1
아카,좀비,0.5529399514198303,1
악기,음악,0.7113656997680664,1
악당,좀비,0.6801067590713501,2
악몽,공포,0.6761541962623596,2
애니,만화,0.7641763091087341,3
애니메이션,만화,0.68199223279953,34
액션,액션,1,15
어둠,절망,0.694835364818573,4
어필,열정,0.5022490620613098,1
엄마,사랑,0.5908297300338745,1
에피소드,드라마,0.5304465889930725,3
엔진,전기,0.573421835899353,1
여타,해양,0.5220579504966736,1
여행,여행,1,1
역설,미래,0.5096436142921448,1
연옥,분노,0.537549614906311,1
열차,교통,0.6419475078582764,81
열풍,복고,0.5646018981933594,6
엽서,만화,0.5620483756065369,2
영상미,액션,0.5695945620536804,1
영웅,신화,0.649358868598938,1
영화,만화,0.7536719441413879,47
영화관,드라마,0.5831791758537292,1
예고편,드라마,0.5787103772163391,3
예상,기대,0.655988872051239,1
옛날,시골,0.5727385878562927,3
오빠,연애,0.5599910020828247,1
오케스트라,뮤지컬,0.5524607300758362,1
오타쿠,만화,0.5039249658584595,2
완결,만화,0.5634143352508545,1
외곽,도시,0.6960200667381287,1
요괴,좀비,0.6535662412643433,2
욕망,욕망,1,1
워터,정글,0.5681936144828796,1
원작,만화,0.7227425575256348,3
원피스,로맨스,0.5207769274711609,1
웹툰,만화,0.7226575613021851,1
유머,개그,0.6961884498596191,1
유행,복고,0.6242704391479492,1
은둔,감옥,0.5560358166694641,1
음악,음악,1,3
이름,신화,0.5608668327331543,1
이웃,가족,0.6304181218147278,1
이질,질병,0.6333496570587158,1
이해,철학,0.5395932197570801,4
인기,여행,0.6119158267974854,5
인물,정치,0.5848035216331482,6
인상,기대,0.6044384241104126,2
일격,마법,0.5936428904533386,1
일러스트,만화,0.5200430750846863,1
일렉트로닉,판타지,0.5426506996154785,1
일상,유쾌,0.5978867411613464,3
자세,액션,0.5511509776115417,1
자식,가족,0.5835269689559937,1
자연,환경,0.6941760182380676,1
작가,만화,0.6290877461433411,3
잠결,액션,1,1
장르,음악,0.7329081892967224,3
장면,액션,0.5999083518981934,10
장악,권력,0.5244024395942688,1
재미,모험,0.6051297187805176,5
저녁,음식,0.5039622187614441,1
저음,음악,0.537652313709259,1
전략,미래,0.6338134407997131,1
전반,정치,0.5626547336578369,1
전쟁,전쟁,1,1
전통,음식,0.6568764448165894,2
전투,전투,1,8
절정,춤,0.5627835988998413,2
점령,전쟁,0.6118645668029785,1
점프,액션,0.7024405002593994,1
정보,교통,0.6121577620506287,4
제공,여행,0.6024255156517029,1
조종,군사,0.5176326632499695,1
조직,군대,0.5703792572021484,3
조화,질서,0.6025887727737427,1
주말,여행,0.5565044283866882,2
주먹,도둑,0.5742208957672119,1
주목,기대,0.562468945980072,3
주축,정치,0.5133327841758728,1
죽음,고독,0.6896678805351257,3
줄거리,드라마,0.531794548034668,6
중딩,만화,0.5674779415130615,1
지브리,미술,0.5128082036972046,1
짐승,괴물,0.678253173828125,1
처치,전투,0.5220757722854614,1
첫날,추격,0.5005456805229187,2
청춘,사랑,0.612774670124054,1
체어,액션,0.511106014251709,2
촉수,인형,0.6184476613998413,1
최강,괴물,0.5176655650138855,8
최초,발견,0.5291507840156555,1
추억,사랑,0.6609922647476196,1
추천,여행,0.5768113136291504,4
출연,방송,0.659591019153595,1
충격파,충격,0.5816287398338318,1
취소,여행,0.5734337568283081,1
치명상,상처,0.5564205050468445,1
캐릭터,인형,0.5306801795959473,37
컬러,액션,0.5884228348731995,1
쿄쥬,액션,1,1
타겟,좀비,0.6022775769233704,1
탄생,신화,0.5951989889144897,1
터미네이터,좀비,0.5516793131828308,1
테마,여행,0.6632397174835205,5
통곡,고통,0.5360884666442871,1
퇴장,폭력,0.5022277235984802,1
특별,의료,0.5320938229560852,1
특색,도시,0.519700825214386,1
특유,춤,0.5365961194038391,1
특전,여행,0.5606608986854553,2
판타지,판타지,1,3
패러디,코미디,0.5152478814125061,1
폭발,충격,0.6844252347946167,1
표현,대화,0.5644240975379944,3
플래시,컴퓨터,0.5947218537330627,1
피아노,뮤지컬,0.5582685470581055,1
필살,마법,0.6508774757385254,1
하반기,뮤지컬,0.5055423378944397,1
학교,학교,1,1
합창,춤,0.6545168161392212,3
해결,갈등,0.5887223482131958,1
행복,기쁨,0.7726561427116394,4
허공,바다,0.582145631313324,1
혈귀,유령,0.6132259964942932,14
혈전,절망,0.5367928743362427,4
협찬,방송,0.5449087023735046,1
호흡,춤,0.5944341421127319,11
혹평,분노,0.527694821357727,1
화면,액션,0.6001543998718262,4
화염,마법,0.6151210069656372,8
화제작,드라마,0.5287382006645203,1
확인,발견,0.6419516205787659,1
환경,환경,1,2
환영,희망,0.5663730502128601,1
활동,교육,0.6086112856864929,2
활약,성장,0.5549848675727844,4
활용,교육,0.557722270488739,1
회한,슬픔,0.7548103928565979,1
횟수,액션,0.5170024633407593,1
효과,기대,0.5692968964576721,33
후속작,판타지,0.5277939438819885,1
후손,가족,0.5599483847618103,1
휴대폰,컴퓨터,0.5683847665786743,1
흐름,질서,0.5799944400787354,1
흔적,발견,0.5892268419265747,3
희노애락,자기성찰,0.5267648696899414,1

Category,Count,average
액션,25,0.7726180553436279
만화,20,0.6483531564474105
여행,13,0.6299623480209937
드라마,11,0.6038283814083446
마법,8,0.6608100458979607
방송,8,0.6061084344983101
전투,7,0.6760558571134295
기대,7,0.6502148764474052
춤,7,0.5893493805612836
음악,6,0.6866653263568878
성장,6,0.6744912763436636
가족,5,0.690323555469513
발견,5,0.6589558720588684
좀비,5,0.608113968372345
교통,5,0.599432647228241
교육,5,0.5982092261314392
후회,5,0.5938523054122925
슬픔,4,0.7712182998657227
경제,4,0.6961111128330231
괴물,4,0.6899805068969727
판타지,4,0.649303212761879
심리,4,0.638278529047966
사랑,4,0.6295915395021439
열정,4,0.616810142993927
충격,4,0.6077437847852707
음식,4,0.5909931659698486
추격,4,0.5827284753322601
인형,4,0.5820655077695847
신화,4,0.5816824287176132
정치,4,0.5473785549402237
욕망,3,0.808206299940745
개그,3,0.7830377022425333
환경,3,0.7454927364985148
상처,3,0.7220904231071472
미래,3,0.7144856850306193
기쁨,3,0.6986822883288065
분노,3,0.6884148120880127
절망,3,0.6145124634106954
질병,3,0.6072414914766947
전기,3,0.5942997137705485
자기성찰,3,0.5783209204673767
뮤지컬,3,0.5387572050094604
전쟁,2,0.8059322834014893
고통,2,0.7680442333221436
농업,2,0.6719047129154205
공포,2,0.6408808529376984
유쾌,2,0.6373428106307983
살인,2,0.621003657579422
혼란,2,0.6189514696598053
도시,2,0.6078604459762573
복고,2,0.5944361686706543
질서,2,0.591291606426239
갈등,2,0.5905819535255432
컴퓨터,2,0.5815533101558685
희망,2,0.5745411515235901
꿈,2,0.5489361584186554
수색,2,0.5413377583026886
대화,2,0.5346531569957733
미술,2,0.5337375998497009
코미디,2,0.5233356356620789
내면,1,1.0
생존,1,1.0
학교,1,1.0
동물,1,0.7907639741897583
고독,1,0.6896678805351257
우주,1,0.6648953557014465
헌신,1,0.6555296182632446
유령,1,0.6132259964942932
모험,1,0.6051297187805176
배신,1,0.5945814251899719
바다,1,0.582145631313324
도둑,1,0.5742208957672119
시골,1,0.5727385878562927
군대,1,0.5703792572021484
정글,1,0.5681936144828796
연애,1,0.5599910020828247
무력감,1,0.5594394207000732
가상현실,1,0.5586168169975281
감옥,1,0.5560358166694641
철학,1,0.5395932197570801
설원,1,0.5387865900993347
의료,1,0.5320938229560852
권력,1,0.5244024395942688
해양,1,0.5220579504966736
로맨스,1,0.5207769274711609
군사,1,0.5176326632499695
부도덕,1,0.5129253268241882
자아,1,0.5115846395492554
의심,1,0.5076044797897339
폭력,1,0.5022277235984802
