Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,1
가슴,상처,0.6098507642745972,1
가입,희망,0.5199176073074341,2
가족,가족,1,2
가치,윤리,0.6346501111984253,1
갈등,갈등,1,2
감동,기쁨,0.6450744271278381,2
감상,음악,0.6411212086677551,8
감정,심리,0.7588332891464233,1
감흥,슬픔,0.63573157787323,1
강력,충격,0.5549739599227905,2
개성,자아,0.5115846395492554,1
개입,음모,0.5886576175689697,1
검색,여행,0.6249870657920837,2
경험,열정,0.6344258189201355,2
계략,군사,0.6058172583580017,1
고독,고독,1,1
고통,고통,1,1
공포,공포,1,1
관람,여행,0.5587009191513062,1
그림자,유령,0.5297560691833496,2
극장판,드라마,0.5479550361633301,29
금지,도박,0.519909143447876,1
기대,기대,1,5
기아,폭력,0.5792511105537415,1
기억,사랑,0.6537694931030273,1
남자,사랑,0.5456969141960144,1
느낌,슬픔,0.6343626976013184,5
댓글,후회,0.505795419216156,1
데이터,컴퓨터,0.5682036876678467,1
도시,도시,1,1
도움,기대,0.5482439994812012,5
도전,열정,0.6956499814987183,1
도주,추격,0.6170496940612793,1
독소,전쟁,0.5792742967605591,1
드라마,드라마,1,2
등록,여행,0.5735748410224915,4
마력,마법,0.671467125415802,3
마법,마법,1,2
만족,기대,0.6570032238960266,1
만화,만화,1,3
만화책,만화,0.6684035062789917,1
매력,열정,0.6489761471748352,2
메모리,컴퓨터,0.606806755065918,1
메일,만화,0.5050849914550781,1
모바일,컴퓨터,0.590937614440918,1
모습,꿈,0.5368646383285522,3
모험,모험,1,4
목격,발견,0.6813858151435852,2
몰락,멸망,0.6989313364028931,1
무단,폭력,0.5057473182678223,1
문제,갈등,0.6495088934898376,1
박해,종교,0.6111473441123962,1
발견,발견,1,1
방영,방송,0.7201281189918518,1
배신,배신,1,1
배포,교육,0.5816227197647095,1
변화,성장,0.7235260605812073,1
보호,환경,0.6321627497673035,1
비참,고독,0.6815916895866394,1
빈민가,도시,0.578300952911377,1
빙결,마법,0.6503084301948547,1
사람,꿈,0.5610076785087585,6
사랑,사랑,1,2
상상,욕망,0.6180667877197266,2
상영,방송,0.6350025534629822,2
상황,혼란,0.6442916989326477,2
생각,후회,0.6602693200111389,2
생존,생존,1,3
생활,환경,0.7009555697441101,3
서쪽,도시,0.5944399833679199,2
설치,교육,0.5344357490539551,1
성공,성장,0.6859850287437439,1
성장,성장,1,1
세계,경제,0.6071235537528992,6
소설,만화,0.8215566873550415,3
수수께끼,미스터리,0.61151123046875,3
수용소,감옥,0.6408903002738953,1
슈필,액션,1,6
스릴,액션,0.6477225422859192,2
스마트폰,컴퓨터,0.6610336303710938,1
스트리밍,음악,0.5658097267150879,2
스핀,개그,0.5972995758056641,1
시리즈,만화,0.5106303691864014,3
시작,발견,0.534450113773346,6
시청,방송,0.6024045944213867,1
실천,철학,0.6342154145240784,1
실화,공포,0.6056075096130371,1
싸움,전투,0.6696678996086121,1
악화,혼란,0.6455839276313782,1
안부,대화,0.6139237284660339,1
안심,희망,0.5662862062454224,1
압박,충격,0.5949738621711731,1
애니,만화,0.7641763091087341,2
애니메이션,만화,0.68199223279953,8
액션,액션,1,3
양산,생존,0.5309751033782959,1
여왕,유령,0.5411664247512817,5
여정,이별,0.6358245611190796,1
역경,절망,0.6212114691734314,1
영향,기대,0.5794242024421692,1
영화,만화,0.7536719441413879,25
영화관,드라마,0.5831791758537292,1
예고편,드라마,0.5787103772163391,1
예상,기대,0.655988872051239,2
오염,환경,0.6792325973510742,2
오프,액션,0.5603551268577576,1
온몸,상처,0.5155565738677979,2
왕관,인형,0.565689742565155,5
외전,유령,0.5707129240036011,1
용기,용기,1,1
원작,만화,0.7227425575256348,7
위기,혼란,0.6975850462913513,5
위험,불안,0.6922099590301514,1
위협,폭력,0.639009416103363,1
유대인,종교,0.5570569634437561,6
은신처,수색,0.5444790720939636,1
음모,음모,1,2
음악,음악,1,2
의견,갈등,0.5687873959541321,3
의존,불안,0.6040859818458557,1
이해,철학,0.5395932197570801,1
인기,여행,0.6119158267974854,3
인상,기대,0.6044384241104126,1
자료,교육,0.5909054279327393,1
작가,만화,0.6290877461433411,1
잔인,음모,0.569640040397644,1
잔해,수색,0.5960478782653809,1
잔혹,폭력,0.6832144260406494,1
잠적,이별,0.5559582114219666,1
장르,음악,0.7329081892967224,1
장면,액션,0.5999083518981934,2
재미,모험,0.6051297187805176,2
저금통,인형,0.5797374248504639,1
저주,살인,0.6187702417373657,7
저항,저항,1,2
적립,여행,0.5065537691116333,1
전반,정치,0.5626547336578369,1
전슬,액션,1,1
전쟁,전쟁,1,4
전투,전투,1,2
점령,전쟁,0.6118645668029785,1
점처,액션,1,1
접속,방송,0.5524121522903442,1
정보,교통,0.6121577620506287,1
제공,여행,0.6024255156517029,4
제작,방송,0.6307950615882874,4
제한,상실,0.636760413646698,1
주술사,흡혈귀,0.5103386640548706,1
주요,도시,0.5643994808197021,1
줄거리,드라마,0.531794548034668,1
즉흥,춤,0.6668667793273926,1
즐거움,기쁨,0.6185970902442932,1
지략,의리,0.5906131267547607,1
직면,고통,0.5117434859275818,1
질병,질병,1,1
집합,가족,0.548344075679779,1
차단,의심,0.5930317640304565,1
차별,평등,0.7053220272064209,1
채굴,농업,0.5714449882507324,5
처절,의리,0.5655478239059448,1
추방,독재,0.5840529203414917,2
추천,여행,0.5768113136291504,4
캐릭터,인형,0.5306801795959473,7
콘텐츠,가상현실,0.5792493224143982,2
탐구,철학,0.6451975703239441,1
탐색,탐험,0.67387855052948,1
태블릿,컴퓨터,0.6287781000137329,1
통합,교육,0.6034629344940186,1
투고,만화,0.5567171573638916,1
투쟁,권력,0.6418794989585876,2
파생,만화,0.5660743117332458,1
판타지,판타지,1,3
팬심,의리,0.616875171661377,1
편안,유쾌,0.6909911036491394,1
폐허,전쟁,0.5982295274734497,2
포로,군사,0.5937460660934448,1
플랫폼,가상현실,0.5415536761283875,1
피아노,뮤지컬,0.5582685470581055,1
피아니스트,뮤지컬,0.5434163808822632,3
피폐,혼란,0.5803899765014648,1
해결,갈등,0.5887223482131958,2
협력,대화,0.6538437008857727,4
화면,액션,0.6001543998718262,1
확인,발견,0.6419516205787659,4
환경,환경,1,1
회복력,성장,0.5381298661231995,2
흑막,배신,0.5486862063407898,1
희망,희망,1,1

Category,Count,average
만화,12,0.6816781510909399
액션,8,0.801017552614212
여행,8,0.5835834369063377
기대,6,0.6741831203301748
드라마,5,0.6483278274536133
방송,5,0.6281484961509705
컴퓨터,5,0.6111519575119019
환경,4,0.753087729215622
성장,4,0.7369102388620377
음악,4,0.7349597811698914
발견,4,0.7144468873739243
갈등,4,0.7017546594142914
전쟁,4,0.6973420977592468
도시,4,0.6842851042747498
혼란,4,0.6419626623392105
폭력,4,0.601805567741394
교육,4,0.5776067078113556
마법,3,0.7739251852035522
사랑,3,0.7331554690996805
음모,3,0.719432552655538
희망,3,0.6954012711842855
열정,3,0.6596839825312296
철학,3,0.6063354015350342
의리,3,0.5910120407740275
인형,3,0.5587024490038554
유령,3,0.5472118059794108
고독,2,0.8407958447933197
전투,2,0.834833949804306
공포,2,0.8028037548065186
모험,2,0.8025648593902588
배신,2,0.7743431031703949
가족,2,0.7741720378398895
생존,2,0.765487551689148
고통,2,0.7558717429637909
불안,2,0.6481479704380035
슬픔,2,0.6350471377372742
대화,2,0.6338837146759033
기쁨,2,0.6318357586860657
군사,2,0.5997816622257233
이별,2,0.5958913862705231
종교,2,0.5841021537780762
후회,2,0.5830323696136475
충격,2,0.5749739110469818
수색,2,0.5702634751796722
상처,2,0.5627036690711975
가상현실,2,0.5604014992713928
뮤지컬,2,0.5508424639701843
꿈,2,0.5489361584186554
용기,1,1.0
저항,1,1.0
질병,1,1.0
판타지,1,1.0
심리,1,0.7588332891464233
평등,1,0.7053220272064209
멸망,1,0.6989313364028931
유쾌,1,0.6909911036491394
탐험,1,0.67387855052948
춤,1,0.6668667793273926
권력,1,0.6418794989585876
감옥,1,0.6408903002738953
상실,1,0.636760413646698
윤리,1,0.6346501111984253
절망,1,0.6212114691734314
살인,1,0.6187702417373657
욕망,1,0.6180667877197266
추격,1,0.6170496940612793
교통,1,0.6121577620506287
미스터리,1,0.61151123046875
경제,1,0.6071235537528992
개그,1,0.5972995758056641
의심,1,0.5930317640304565
독재,1,0.5840529203414917
농업,1,0.5714449882507324
정치,1,0.5626547336578369
도박,1,0.519909143447876
자아,1,0.5115846395492554
흡혈귀,1,0.5103386640548706
