Word,Category,Similarity,Frequency
가게,여행,0.5113754868507385,4
가공,농업,0.5658583641052246,1
가능,여행,0.6136982440948486,5
가속,충격,0.5504187941551208,1
가슴,상처,0.6098507642745972,1
가정,가족,0.7013463377952576,5
가족,가족,1,2
가짜,괴담,0.5858274698257446,4
가치,윤리,0.6346501111984253,1
갈등,갈등,1,2
감동,기쁨,0.6450744271278381,7
감상,음악,0.6411212086677551,13
감성,심리,0.6301533579826355,1
감정,심리,0.7588332891464233,2
감회,유쾌,0.5907583236694336,2
개념,교육,0.6287856698036194,1
거대,괴물,0.5640032887458801,4
거리,도시,0.60332190990448,1
거짓,범죄,0.5651490092277527,1
게임,만화,0.7299426198005676,2
결제,여행,0.5954683423042297,9
경악,충격,0.724260687828064,1
경험,열정,0.6344258189201355,4
계단,괴담,0.5106033086776733,1
고옥,사랑,0.5582346320152283,1
고통,고통,1,2
공포,공포,1,3
과도,권력,0.5410835146903992,1
관람,여행,0.5587009191513062,7
괴기,괴담,0.5977715253829956,1
괴물,괴물,1,1
구멤,액션,1,1
구석,철학,0.5159526467323303,4
국가,경제,0.7089344263076782,1
굿즈,인형,0.614889919757843,7
귓가,유쾌,0.6767988801002502,1
극장판,드라마,0.5479550361633301,90
근심,슬픔,0.7307228446006775,1
기계,전기,0.6900599598884583,1
기대,기대,1,9
기분,유쾌,0.6678951382637024,3
기술,농업,0.6986809968948364,2
기억,사랑,0.6537694931030273,9
기획,교육,0.625312864780426,1
날개,유령,0.5668269395828247,1
남매,가족,0.677724301815033,1
남자,사랑,0.5456969141960144,1
납득,용서,0.5769292116165161,4
너모,유쾌,0.5391758680343628,1
노래,춤,0.7242721915245056,9
농담,개그,0.6088651418685913,2
눈물,슬픔,0.6957001090049744,1
눈알,인형,0.6169314980506897,1
눈앞,기대,0.5104065537452698,1
뉴스,방송,0.70646071434021,1
느낌,슬픔,0.6343626976013184,25
능력,교육,0.6137364506721497,1
다갸,액션,1,2
단계,성장,0.6726707220077515,1
당일,여행,0.5352691411972046,2
당첨,기대,0.522482693195343,1
당해,범죄,0.5026742815971375,1
당황,충격,0.6099472045898438,1
대책,재난,0.5927299857139587,1
댓글,후회,0.505795419216156,2
더빙,방송,0.5857229828834534,17
덕질,개그,0.610794723033905,1
도움,기대,0.5482439994812012,1
도착,여행,0.6466491222381592,2
독특,춤,0.5334261655807495,1
동심,사랑,0.569958508014679,3
동전,인형,0.5470857620239258,1
드라마,드라마,1,3
드래곤,판타지,0.5588497519493103,2
들통,의심,0.5254730582237244,1
디바이스,컴퓨터,0.5763373970985413,1
디지털,컴퓨터,0.6325473189353943,3
라멘,음식,0.5300243496894836,9
라스트,카우보이,0.5365300178527832,21
랜덤,좀비,0.5619427561759949,1
로컬,음식,0.5831502079963684,2
로프,액션,0.6495073437690735,1
마모,저항,0.5231888890266418,1
마음,기쁨,0.6783162951469421,7
만족,기대,0.6570032238960266,5
만화,만화,1,4
매개,동물,0.5523080229759216,1
매력,열정,0.6489761471748352,4
매석,액션,1,1
맥락,질서,0.601793110370636,1
먼지,전기,0.5306687355041504,1
메시지,대화,0.5048822164535522,6
메일,만화,0.5050849914550781,1
멘탈,자아,0.5968596339225769,2
멘트,개그,0.5644389390945435,1
명장면,코미디,0.5314233899116516,1
모드,액션,0.6706643104553223,4
모면,고통,0.6130481362342834,1
모바일,컴퓨터,0.590937614440918,1
모션,액션,0.6868695020675659,1
모습,꿈,0.5368646383285522,13
모험,모험,1,10
목격,발견,0.6813858151435852,1
몰루,액션,1,2
몰입,열정,0.6674494743347168,1
문어,괴물,0.5492439270019531,2
문제,갈등,0.6495088934898376,7
므엥,액션,1,1
미래,미래,1,5
바코드,컴퓨터,0.5121059417724609,1
반응,충격,0.5951288342475891,1
발견,발견,1,1
발매,방송,0.5153555870056152,1
발사,전투,0.5510220527648926,1
발송,여행,0.5930681824684143,1
배급,교육,0.5531435608863831,1
배급사,드라마,0.5019193887710571,2
배분,질서,0.5007746815681458,1
배제,상실,0.6328111886978149,1
배치,수색,0.5295758843421936,2
배트,액션,0.5291370153427124,1
배포,교육,0.5816227197647095,1
변화,성장,0.7235260605812073,4
복귀,생존,0.5351816415786743,1
본질,윤리,0.6154810786247253,1
부정,폭력,0.6489901542663574,2
부화,생존,0.5801286101341248,3
분노,분노,1,2
불안,불안,1,3
불행,절망,0.6734789609909058,4
뷰티,음식,0.5668029189109802,1
브이,액션,0.5347021818161011,3
비극,살인,0.6638696789741516,3
비기,좀비,0.5114507079124451,1
비기닝,슈퍼히어로,0.5100246667861938,24
비닐,용기,0.5203546285629272,1
비중,성장,0.5152275562286377,8
비참,고독,0.6815916895866394,1
빌드,전투,0.5823649764060974,1
빌딩,도시,0.5439313054084778,1
빙판,설원,0.6806506514549255,6
뻐렁,액션,1,1
사건,살인,0.7159186005592346,2
사견,윤리,0.5357550382614136,1
사람,꿈,0.5610076785087585,22
삭제,의심,0.5076044797897339,1
산소,전기,0.5702613592147827,1
상실,상실,1,1
상영,방송,0.6350025534629822,4
상황,혼란,0.6442916989326477,3
생각,후회,0.6602693200111389,50
서사,신화,0.6202012896537781,14
선물,사랑,0.605575680732727,3
선택,희망,0.5827092528343201,49
성공,성장,0.6859850287437439,1
성인,교육,0.5841577649116516,3
성장,성장,1,2
세계,경제,0.6071235537528992,13
세기말,판타지,0.5618348121643066,1
세상,기쁨,0.6082786321640015,11
셔터,액션,0.6059330105781555,3
셔틀,여행,0.6454382538795471,2
소매,의료,0.5509104132652283,1
소비,경제,0.6587632894515991,2
소원,사랑,0.6399070620536804,9
소통,대화,0.694833517074585,2
속내,분노,0.531327486038208,1
수습,혼란,0.5311461687088013,1
스틸,액션,0.5995299220085144,1
스핀,개그,0.5972995758056641,1
슬픔,슬픔,1,1
시리즈,만화,0.5106303691864014,10
시사,정치,0.7213011980056763,1
시작,발견,0.534450113773346,13
시청,방송,0.6024045944213867,1
신경,질병,0.5199351906776428,1
신비,기쁨,0.6222472786903381,2
신작,만화,0.6367781758308411,2
신체,자아,0.5770981311798096,1
실례,윤리,0.5352948307991028,2
실존,생존,0.5969371199607849,1
실체,배신,0.5563049912452698,1
심장,기쁨,0.5264105200767517,1
심플,복고,0.5281141996383667,1
아가,동물,0.5144633650779724,1
아동,가족,0.6625723242759705,2
아들,가족,0.5667959451675415,1
아트,미술,0.6990192532539368,2
악담,절망,0.5579028129577637,1
악몽,공포,0.6761541962623596,1
앞날,미래,0.573104202747345,1
앞발,동물,0.5215190649032593,1
애기,인형,0.5244230031967163,3
애니메이션,만화,0.68199223279953,7
액션,액션,1,12
앨범,음악,0.6174340844154358,1
야구,개그,0.6280479431152344,1
야밤,후회,0.5858097672462463,1
어깨,상처,0.5547419190406799,1
어드벤쳐,서바이벌,0.5466640591621399,3
어플,음악,0.5505043864250183,1
엄마,사랑,0.5908297300338745,16
에피소드,드라마,0.5304465889930725,1
엑스,좀비,0.6085123419761658,2
여전,불안,0.5362235903739929,1
여행,여행,1,2
역습,추격,0.5622625350952148,1
연말,가족,0.5282685160636902,1
연출,액션,0.5377380847930908,8
열쇠,희망,0.5891710519790649,1
영상미,액션,0.5695945620536804,1
영향,기대,0.5794242024421692,1
영화,만화,0.7536719441413879,70
영화관,드라마,0.5831791758537292,10
예고편,드라마,0.5787103772163391,3
예상,기대,0.655988872051239,3
옛날,시골,0.5727385878562927,5
오디오,컴퓨터,0.5893809199333191,2
오타쿠,만화,0.5039249658584595,2
오프,액션,0.5603551268577576,1
왕따,폭력,0.717434287071228,2
용기,용기,1,1
웃코,액션,1,1
원망,절망,0.6686849594116211,1
원멤,액션,1,1
원숭이,동물,0.5235002636909485,2
위기,혼란,0.6975850462913513,5
위조,범죄,0.5427451729774475,1
위험,불안,0.6922099590301514,1
유대,종교,0.6230841875076294,1
유발,의심,0.6065707206726074,2
유출,충격,0.6404003500938416,1
음료수,음식,0.560031533241272,1
음서,정치,0.5214896202087402,1
음원,음악,0.6726253628730774,1
음향,음악,0.6697120070457458,1
이득,배신,0.5013233423233032,1
이름,신화,0.5608668327331543,8
이별,이별,1,2
이웃,가족,0.6304181218147278,3
이해,철학,0.5395932197570801,4
인기,여행,0.6119158267974854,1
인물,정치,0.5848035216331482,1
인상,기대,0.6044384241104126,6
인색,유쾌,0.6159427165985107,1
인터뷰,다큐멘터리,0.5540832281112671,3
일러스트,만화,0.5200430750846863,1
일상,유쾌,0.5978867411613464,3
자막,방송,0.6141181588172913,8
자만심,죄책감,0.5915791988372803,1
자식,가족,0.5835269689559937,1
작가,만화,0.6290877461433411,1
작위,권력,0.5234174132347107,1
잔인,음모,0.569640040397644,1
잔혹,폭력,0.6832144260406494,1
잡채,음식,0.6061944365501404,1
장르,음악,0.7329081892967224,2
장면,액션,0.5999083518981934,19
장애,질병,0.7015629410743713,1
재미,모험,0.6051297187805176,4
재질,미술,0.5245922207832336,1
전적,심리,0.5597242712974548,1
전통,음식,0.6568764448165894,1
전투,전투,1,7
전편,만화,0.6458731293678284,1
절망,절망,1,2
정보,교통,0.6121577620506287,6
제공,여행,0.6024255156517029,1
제작사,드라마,0.522915244102478,1
조작,범죄,0.5801150798797607,1
조절,저항,0.5050233602523804,1
조종,군사,0.5176326632499695,4
조카,가족,0.5838918089866638,1
존중,평등,0.623870849609375,1
주말,여행,0.5565044283866882,1
주목,기대,0.562468945980072,3
줄거리,드라마,0.531794548034668,3
중계,방송,0.7659165263175964,2
중점,교육,0.5276418924331665,1
즐거움,기쁨,0.6185970902442932,1
지진,재난,0.7209848761558533,1
직속,군대,0.5349818468093872,1
진입,추격,0.5556859374046326,1
짜가,개그,0.5708091855049133,1
짜증,불안,0.627656877040863,1
짝꿍,도둑,0.6333647966384888,7
쩌리,언더독,0.5097905397415161,1
차단,의심,0.5930317640304565,1
참담,충격,0.5467712879180908,1
참여,기대,0.5516729950904846,1
첫날,추격,0.5005456805229187,1
청덱,액션,1,1
체감,기대,0.6011069416999817,2
초보,탐정,0.5099632143974304,2
최신,과학,0.5843662023544312,2
최초,발견,0.5291507840156555,13
추락,충격,0.5615158081054688,3
추리,탐정,0.6983305811882019,2
추모,희생,0.5564480423927307,2
추억,사랑,0.6609922647476196,21
추천,여행,0.5768113136291504,7
추측,의심,0.6156793236732483,1
축하,꿈,0.5423662662506104,1
출연,방송,0.659591019153595,1
출현,발견,0.6073639988899231,1
충격,충격,1,8
충전,전기,0.6041690111160278,1
치부,부도덕,0.560454249382019,1
친모,가족,0.5646045207977295,1
카피,용기,0.5158012509346008,1
캐릭터,인형,0.5306801795959473,26
캐터피,동물,0.5324780344963074,1
캡슐,음식,0.6289175152778625,3
캡처,방송,0.5567418932914734,2
컴퓨터,컴퓨터,1,1
컴퓨터실,컴퓨터,0.6051927208900452,1
콜라,폭력,0.5190795660018921,1
클립,액션,0.5796673893928528,1
키즈,정글,0.6012908220291138,3
타겟,좀비,0.6022775769233704,3
타워,정글,0.5906772613525391,5
타일,미술,0.5293759107589722,1
타입,액션,0.5572192668914795,16
탄생,신화,0.5951989889144897,4
테마,여행,0.6632397174835205,1
토대,질서,0.5876781940460205,1
토치,전기,0.5399700999259949,1
퇴화,자아,0.5108828544616699,3
투명,액션,0.5615780353546143,1
투자,경제,0.6519772410392761,1
트라우마,트라우마,1,1
특가,여행,0.6959012746810913,1
특유,춤,0.5365961194038391,1
특이,의심,0.5189300179481506,1
특전,여행,0.5606608986854553,10
특징,환경,0.5862691402435303,1
티저,신화,0.5522939562797546,1
티켓,여행,0.6218228340148926,3
파워,액션,0.5782656669616699,40
파이터,서바이벌,0.5620080828666687,2
파일,권력,0.5008075833320618,7
파피,정글,0.5291921496391296,1
팝콘,음식,0.529098629951477,2
패딩,액션,0.519060492515564,2
팬심,의리,0.616875171661377,3
펀딩,성장,0.5684903264045715,1
편의,여행,0.6722133159637451,1
포즈,액션,0.6194324493408203,1
폭력,폭력,1,1
표면,바다,0.5469607710838318,1
표정,유쾌,0.5511194467544556,2
표지,만화,0.5380036234855652,2
표현,대화,0.5644240975379944,4
플롯,개그,0.5973898768424988,2
피눈물,고통,0.518746018409729,1
피조물,우주,0.5654100179672241,1
픽셀,액션,0.6083705425262451,1
필마,액션,1,1
필모그래피,드라마,0.5541918277740479,1
핑계,이별,0.5365244746208191,1
학교,학교,1,2
학대,범죄,0.6776032447814941,6
할인,여행,0.5819051265716553,2
합체,우주,0.5051572918891907,10
해결,갈등,0.5887223482131958,6
