Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,3
가슴,상처,0.6098507642745972,1
가족,가족,1,3
간질,질병,0.6509125828742981,2
감동,기쁨,0.6450744271278381,3
감정,심리,0.7588332891464233,1
개봉작,드라마,0.5794780254364014,1
거대,괴물,0.5640032887458801,1
검색,여행,0.6249870657920837,1
게임,만화,0.7299426198005676,8
격돌,추격,0.6100903153419495,1
공격,전투,0.6404148936271667,2
공략,추격,0.5841163992881775,1
공부,교육,0.6627280712127686,1
공주,유령,0.5845017433166504,1
과정,교육,0.6268183588981628,1
관람,여행,0.5587009191513062,7
관심,기대,0.6249675154685974,4
광고,방송,0.6559303998947144,4
극장판,드라마,0.5479550361633301,51
긍정,희망,0.608379602432251,1
기계,전기,0.6900599598884583,1
기대,기대,1,4
기대감,기대,0.6246221661567688,3
기억,사랑,0.6537694931030273,2
기획,교육,0.625312864780426,1
꽃밭,꿈,0.6128173470497131,1
남자,사랑,0.5456969141960144,1
넘버,액션,0.5979622006416321,2
노래,춤,0.7242721915245056,1
녹음,음악,0.6460626721382141,1
눈길,동정,0.5653472542762756,1
뉴스,방송,0.70646071434021,1
느낌,슬픔,0.6343626976013184,2
당첨,기대,0.522482693195343,2
대결,갈등,0.5924415588378906,3
더빙,방송,0.5857229828834534,2
데이터,컴퓨터,0.5682036876678467,2
데이트,로맨스,0.5355676412582397,1
도착,여행,0.6466491222381592,1
등록,여행,0.5735748410224915,1
등정,탐험,0.547044038772583,1
또래,가족,0.6356732845306396,2
레드,정글,0.5992697477340698,1
리얼,액션,0.6809289455413818,9
리클,액션,1,1
마음,기쁨,0.6783162951469421,1
만화,만화,1,1
매너,음식,0.54179447889328,2
매점,학교,0.6130265593528748,1
멘트,개그,0.5644389390945435,1
모습,꿈,0.5368646383285522,9
모험,모험,1,10
목장,시골,0.5894415974617004,2
몰입,열정,0.6674494743347168,1
무스,정글,0.5682785511016846,1
문제,갈등,0.6495088934898376,1
미안,후회,0.5432184934616089,1
반격,추격,0.641403079032898,1
발매,방송,0.5153555870056152,4
방영,방송,0.7201281189918518,1
방지,충격,0.5433129668235779,1
방해,혼란,0.5498800277709961,1
방향,미래,0.5546501278877258,1
배급,교육,0.5531435608863831,2
배틀,전투,0.6447144746780396,15
배포,교육,0.5816227197647095,8
버스,교통,0.730898916721344,1
벌레,동물,0.6886223554611206,1
변화,성장,0.7235260605812073,2
보도,방송,0.6695681214332581,1
봄날,이별,0.6270255446434021,1
부가,교통,0.571665346622467,1
분노,분노,1,1
빙판,설원,0.6806506514549255,1
사람,꿈,0.5610076785087585,4
사전,교육,0.5635393261909485,2
사진,미술,0.5546669960021973,3
상상,욕망,0.6180667877197266,1
상영,방송,0.6350025534629822,6
상품,여행,0.6432608962059021,1
상황,혼란,0.6442916989326477,3
생각,후회,0.6602693200111389,6
생산,농업,0.6487099528312683,1
서이추대,드라마,0.5645563006401062,1
선단,해양,0.524976372718811,1
선물,사랑,0.605575680732727,41
선택,희망,0.5827092528343201,2
설문,교육,0.5877143144607544,1
성공,성장,0.6859850287437439,1
세계,경제,0.6071235537528992,50
소프트웨어,컴퓨터,0.7426072359085083,5
수수께끼,미스터리,0.61151123046875,2
스마트,가상현실,0.5641322731971741,1
스마트폰,컴퓨터,0.6610336303710938,1
스캔,액션,0.5369033217430115,1
스킬,마법,0.6498743295669556,1
스틸,액션,0.5995299220085144,1
스페셜,드라마,0.5839550495147705,4
스펙터클,코미디,0.5635918378829956,3
시공,환경,0.5052318572998047,1
시리즈,만화,0.5106303691864014,9
시작,발견,0.534450113773346,15
신경,질병,0.5199351906776428,3
신전,신화,0.5559541583061218,1
실패,후회,0.6084508299827576,1
싸움,전투,0.6696678996086121,2
아들,가족,0.5667959451675415,3
악당,좀비,0.6801067590713501,1
안내,여행,0.6065822839736938,1
암호,과학,0.5643569827079773,1
애니메이션,만화,0.68199223279953,3
애정,사랑,0.719462513923645,1
액션,액션,1,1
어드벤처,서바이벌,0.5903871655464172,1
엄마,사랑,0.5908297300338745,1
여부,의심,0.5392217040061951,1
여자,사랑,0.5380519032478333,2
여행,여행,1,2
역습,추격,0.5622625350952148,1
연출,액션,0.5377380847930908,1
열광,분노,0.6348607540130615,1
영향,기대,0.5794242024421692,1
영화,만화,0.7536719441413879,61
영화관,드라마,0.5831791758537292,7
영화사,드라마,0.5089171528816223,2
예고편,드라마,0.5787103772163391,4
예약,여행,0.7399519085884094,1
온라인,교육,0.5160459876060486,1
외화,경제,0.5344226360321045,1
워치,액션,0.5781934261322021,1
위험,불안,0.6922099590301514,7
위협,폭력,0.639009416103363,1
유행,복고,0.6242704391479492,1
이름,신화,0.5608668327331543,1
이면,내면,0.5193107724189758,1
이목,동정,0.5794278979301453,1
이웃,가족,0.6304181218147278,2
이추,연애,0.5332813262939453,1
이해,철학,0.5395932197570801,2
인물,정치,0.5848035216331482,1
인터넷,컴퓨터,0.609046220779419,1
일러스트,만화,0.5200430750846863,2
일상,유쾌,0.5978867411613464,2
잡지,만화,0.5816023349761963,1
장르,음악,0.7329081892967224,1
장면,액션,0.5999083518981934,5
장편,만화,0.7140740752220154,1
재미,모험,0.6051297187805176,1
저녁,음식,0.5039622187614441,3
전략,미래,0.6338134407997131,1
전반,정치,0.5626547336578369,1
점심,음식,0.586047887802124,1
정보,교통,0.6121577620506287,3
제공,여행,0.6024255156517029,3
제작,방송,0.6307950615882874,1
제품,환경,0.5750954747200012,1
종료,방송,0.607399046421051,1
주말,여행,0.5565044283866882,1
주목,기대,0.562468945980072,1
주요,도시,0.5643994808197021,1
주차,교통,0.6286762952804565,3
줄거리,드라마,0.531794548034668,5
지속,성장,0.6684333086013794,1
책임,윤리,0.6478115320205688,1
책자,여행,0.594768226146698,1
첫날,추격,0.5005456805229187,1
체력,전투,0.5275833606719971,2
초극,모험,0.5919279456138611,1
최초,발견,0.5291507840156555,1
추억,사랑,0.6609922647476196,1
추천,여행,0.5768113136291504,2
출동,수색,0.5925505757331848,2
출력,전기,0.5477647185325623,2
카피,용기,0.5158012509346008,1
캐릭터,인형,0.5306801795959473,2
캡처,방송,0.5567418932914734,1
코드,액션,0.5642611384391785,21
콘텐츠,가상현실,0.5792493224143982,1
탄생,신화,0.5951989889144897,1
통신,교통,0.6865499019622803,1
투자,경제,0.6519772410392761,1
특별,의료,0.5320938229560852,3
특이,의심,0.5189300179481506,1
티켓,여행,0.6218228340148926,1
파워,액션,0.5782656669616699,1
판타지,판타지,1,1
팝콘,음식,0.529098629951477,5
포켓,액션,0.5525084137916565,9
폭발,충격,0.6844252347946167,1
표지,만화,0.5380036234855652,1
품절,여행,0.569629430770874,1
행궁,여행,0.5559513568878174,1
행복,기쁨,0.7726561427116394,3
협업,대화,0.5782889723777771,1
혼란,혼란,1,3
화면,액션,0.6001543998718262,2
확인,발견,0.6419516205787659,6
확장,교육,0.5293398499488831,1
