Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,1
가족,가족,1,1
가중,혼란,0.5712937712669373,1
가치,윤리,0.6346501111984253,3
감상,음악,0.6411212086677551,2
검거,수색,0.5919314026832581,1
과정,교육,0.6268183588981628,1
관람,여행,0.5587009191513062,2
국가,경제,0.7089344263076782,2
긴급,재난,0.6583430171012878,1
긴장,불안,0.6880083084106445,1
납치,살인,0.6689104437828064,1
낭비,혼란,0.5356693863868713,3
노력,헌신,0.6555296182632446,1
노출,충격,0.60725998878479,1
농락,배신,0.5366092324256897,2
느낌,슬픔,0.6343626976013184,2
도움,기대,0.5482439994812012,4
드라마,드라마,1,1
마음,기쁨,0.6783162951469421,2
매력,열정,0.6489761471748352,1
매체,방송,0.6981302499771118,1
먹거리,음식,0.5923094749450684,1
메시지,대화,0.5048822164535522,1
명작,만화,0.6867616772651672,1
모습,꿈,0.5368646383285522,1
목재,농업,0.6071723103523254,1
몰입,열정,0.6674494743347168,1
문법,철학,0.664255678653717,1
미궁,모험,0.6382749080657959,3
미스터리,미스터리,1,1
반응,충격,0.5951288342475891,3
발견,발견,1,1
발생,혼란,0.6102904081344604,7
방문,여행,0.5841829180717468,1
방범,교통,0.6239477396011353,1
배급,교육,0.5531435608863831,1
범죄,범죄,1,8
범죄자,범죄,0.5728323459625244,1
베테랑,탐정,0.5211659669876099,4
변덕,고독,0.7021976113319397,1
변화,성장,0.7235260605812073,1
보호,환경,0.6321627497673035,1
부정,폭력,0.6489901542663574,1
분노,분노,1,1
분열,혼란,0.6591632962226868,1
불법,범죄,0.6486050486564636,1
비극,살인,0.6638696789741516,1
사건,살인,0.7159186005592346,25
사냥,전투,0.6896240711212158,3
사람,꿈,0.5610076785087585,2
사이코패스,정신병,0.6299716830253601,1
살인,살인,1,11
살인범,정신병,0.575529932975769,5
색귀,액션,1,1
생각,후회,0.6602693200111389,4
성공,성장,0.6859850287437439,1
세상,기쁨,0.6082786321640015,1
손실,충격,0.6243991851806641,1
수사,범죄,0.673683226108551,1
스릴러,스릴러,1,13
스마트폰,컴퓨터,0.6610336303710938,1
스틸,액션,0.5995299220085144,2
시리즈,만화,0.5106303691864014,1
시신,수색,0.6265639066696167,1
시작,발견,0.534450113773346,2
시청,방송,0.6024045944213867,2
신격,신화,0.5912100672721863,1
실수,후회,0.5709443092346191,2
실종,살인,0.5558342933654785,8
실패,후회,0.6084508299827576,1
실패작,괴물,0.5209373235702515,1
싸이코,코미디,0.6010916829109192,2
어부,해적,0.6063424944877625,1
여대,학교,0.5447520017623901,1
여자,사랑,0.5380519032478333,2
여행,여행,1,1
연계,교육,0.5888965725898743,1
연쇄,살인,0.6428334712982178,9
연출,액션,0.5377380847930908,6
영화,만화,0.7536719441413879,44
예고편,드라마,0.5787103772163391,2
오디오,컴퓨터,0.5893809199333191,1
용의자,살인,0.5122509598731995,7
운반,수색,0.5822270512580872,1
원작,만화,0.7227425575256348,1
유료,방송,0.5883169174194336,1
인격,자아,0.7295798063278198,1
인상,기대,0.6044384241104126,1
잠재력,성장,0.5360828042030334,3
장르,음악,0.7329081892967224,2
재미,모험,0.6051297187805176,1
저택,감옥,0.6136187314987183,1
전반,정치,0.5626547336578369,1
정보,교통,0.6121577620506287,5
주말,여행,0.5565044283866882,1
주목,기대,0.562468945980072,3
줄거리,드라마,0.531794548034668,8
증폭,충격,0.6132881045341492,1
짐작,기대,0.5603034496307373,1
짜증,불안,0.627656877040863,1
처단,용서,0.5645942687988281,1
추격,추격,1,1
추리,탐정,0.6983305811882019,7
추천,여행,0.5768113136291504,2
출동,수색,0.5925505757331848,1
출연,방송,0.659591019153595,2
충격,충격,1,1
캐릭터,인형,0.5306801795959473,1
파악,발견,0.628048837184906,1
판사,살인,0.603876531124115,2
평론가,다큐멘터리,0.5252968668937683,1
플레이,서바이벌,0.5245938897132874,1
해결,갈등,0.5887223482131958,6
행복,기쁨,0.7726561427116394,1
현장,교육,0.5853086113929749,4
형사,탐정,0.7352063655853271,4
혼란,혼란,1,3
화면,액션,0.6001543998718262,1
환영,희망,0.5663730502128601,1
흐름,질서,0.5799944400787354,1
희생,희생,1,1

Category,Count,average
살인,8,0.6704367473721504
여행,6,0.6483163038889567
충격,5,0.6880152225494385
혼란,5,0.6752833724021912
범죄,4,0.7237801551818848
액션,4,0.6843556016683578
만화,4,0.6684516370296478
방송,4,0.6371106952428818
수색,4,0.5983182340860367
교육,4,0.5885417759418488
기대,4,0.5688637048006058
발견,3,0.7208329836527506
드라마,3,0.7035016417503357
기쁨,3,0.686417023340861
탐정,3,0.6515676379203796
성장,3,0.6485312978426615
후회,3,0.6132214864095052
음악,2,0.6870146989822388
열정,2,0.658212810754776
불안,2,0.6578325927257538
컴퓨터,2,0.6252072751522064
모험,2,0.6217023134231567
교통,2,0.618052750825882
정신병,2,0.6027508080005646
꿈,2,0.5489361584186554
가족,1,1.0
미스터리,1,1.0
분노,1,1.0
스릴러,1,1.0
추격,1,1.0
희생,1,1.0
자아,1,0.7295798063278198
경제,1,0.7089344263076782
고독,1,0.7021976113319397
전투,1,0.6896240711212158
철학,1,0.664255678653717
재난,1,0.6583430171012878
헌신,1,0.6555296182632446
폭력,1,0.6489901542663574
윤리,1,0.6346501111984253
슬픔,1,0.6343626976013184
환경,1,0.6321627497673035
감옥,1,0.6136187314987183
농업,1,0.6071723103523254
해적,1,0.6063424944877625
코미디,1,0.6010916829109192
음식,1,0.5923094749450684
신화,1,0.5912100672721863
갈등,1,0.5887223482131958
질서,1,0.5799944400787354
희망,1,0.5663730502128601
용서,1,0.5645942687988281
정치,1,0.5626547336578369
학교,1,0.5447520017623901
사랑,1,0.5380519032478333
배신,1,0.5366092324256897
인형,1,0.5306801795959473
다큐멘터리,1,0.5252968668937683
서바이벌,1,0.5245938897132874
괴물,1,0.5209373235702515
대화,1,0.5048822164535522
