Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,2
가슴,상처,0.6098507642745972,4
가시,상처,0.5885528922080994,1
가정,가족,0.7013463377952576,1
가족,가족,1,2
간극,갈등,0.6181369423866272,1
갈등,갈등,1,1
갈래,신화,0.5194810628890991,2
감동,기쁨,0.6450744271278381,1
감상,음악,0.6411212086677551,5
감성,심리,0.6301533579826355,4
감정,심리,0.7588332891464233,66
개그,개그,1,1
개요,여행,0.5623396039009094,1
거리,도시,0.60332190990448,1
검색,여행,0.6249870657920837,3
결혼,연애,0.6863196492195129,23
경험,열정,0.6344258189201355,5
계절,이별,0.5606238842010498,3
고등학교,학교,0.6346824765205383,6
고전,미술,0.6437533497810364,2
고통,고통,1,4
곤란,상실,0.6153967976570129,1
공격,전투,0.6404148936271667,5
공동,대화,0.5171006321907043,3
공연,음악,0.7031762599945068,1
공학,과학,0.7757261991500854,2
과정,교육,0.6268183588981628,3
관람,여행,0.5587009191513062,6
관전,정치,0.5587530136108398,1
광고,방송,0.6559303998947144,1
교류,대화,0.6140486598014832,2
교수,윤리,0.563416063785553,1
교제,연애,0.6230595707893372,1
구조,환경,0.6101574897766113,1
국가,경제,0.7089344263076782,1
귓가,유쾌,0.6767988801002502,1
그리움,고독,0.5979834794998169,1
극장가,드라마,0.5290873050689697,3
금지,도박,0.519909143447876,3
금품,폭력,0.5790282487869263,1
기대,기대,1,5
기독교,종교,0.6900428533554077,1
기력,전투,0.5499060750007629,1
기분,유쾌,0.6678951382637024,4
기숙사,학교,0.5904747843742371,1
기억,사랑,0.6537694931030273,6
기질,욕망,0.6052412986755371,1
길가,시골,0.6048659682273865,1
까리,액션,1,1
나발,인형,0.507112979888916,1
남녀,평등,0.5715689063072205,4
남자,사랑,0.5456969141960144,16
내레이션,다큐멘터리,0.5530755519866943,2
노력,헌신,0.6555296182632446,2
노출,충격,0.60725998878479,1
눈물,슬픔,0.6957001090049744,7
느낌,슬픔,0.6343626976013184,16
단둘,액션,1,1
단발,액션,0.5860862731933594,1
단짝,사랑,0.5452064275741577,1
당일,여행,0.5352691411972046,4
당첨,기대,0.522482693195343,3
당황,충격,0.6099472045898438,2
대답,후회,0.5436964631080627,5
대목,꿈,0.5127710700035095,1
대처,재난,0.5325601696968079,1
댓글,후회,0.505795419216156,2
데뷔,방송,0.5465471744537354,2
도서관,학교,0.5833439230918884,1
동성애,시민운동,0.5410732626914978,4
동영상,가상현실,0.5586168169975281,1
동작,춤,0.578336238861084,1
두려움,두려움,1,1
둘이,가족,0.5058346390724182,2
드라마,드라마,1,8
드레스,로맨스,0.5291532278060913,2
딸기,만화,0.5862758755683899,1
또래,가족,0.6356732845306396,1
라디오,드라마,0.6265520453453064,1
레듀,액션,1,1
로맨스,로맨스,1,13
로맨틱,로맨스,0.6721806526184082,2
마음,기쁨,0.6783162951469421,41
마케팅,가상현실,0.5079087615013123,1
매체,방송,0.6981302499771118,1
메시지,대화,0.5048822164535522,4
메일,만화,0.5050849914550781,1
메타포,철학,0.5080273747444153,1
명장면,코미디,0.5314233899116516,1
모델,교육,0.5252665281295776,3
모범,교육,0.5256304740905762,3
모습,꿈,0.5368646383285522,10
모양,인형,0.6405982375144958,1
목격,발견,0.6813858151435852,1
몰입,열정,0.6674494743347168,3
문자,대화,0.5297391414642334,2
문제,갈등,0.6495088934898376,1
물리,과학,0.7363146543502808,2
물품,인형,0.5920984745025635,1
뮤비,음악,0.6098979711532593,1
뮤직비디오,드라마,0.5922357439994812,1
미래,미래,1,10
미흡,기대,0.5619783997535706,1
반응,충격,0.5951288342475891,5
발각,살인,0.5089609622955322,1
발상,철학,0.5057413578033447,1
발전,성장,0.7311267852783203,2
방해,혼란,0.5498800277709961,1
배구,경제,0.5807338953018188,1
배급,교육,0.5531435608863831,1
배부,교육,0.543956458568573,1
배제,상실,0.6328111886978149,1
백합,만화,0.6247093081474304,3
범벅,괴담,0.5813131332397461,1
벚꽃,괴담,0.5476364493370056,2
변화,성장,0.7235260605812073,2
부각,성장,0.5576289892196655,1
부모,가족,0.6875284910202026,6
부스,인형,0.5842044353485107,2
불안,불안,1,4
불의,마법,0.6184589266777039,1
비혼,평등,0.6066820025444031,1
빈약,기대,0.5086852312088013,1
빗속,춤,0.5444942116737366,2
빡쳐,의리,0.5053835511207581,1
뽀뽀,이별,0.5463150143623352,1
사건,살인,0.7159186005592346,1
사람,꿈,0.5610076785087585,56
사랑,사랑,1,130
사진,미술,0.5546669960021973,1
사회,경제,0.8096231818199158,2
상념,고독,0.6749123334884644,1
상대,추격,0.558393657207489,3
상상,욕망,0.6180667877197266,3
상쇄,저항,0.5002554059028625,1
상영,방송,0.6350025534629822,1
상처,상처,1,4
상황,혼란,0.6442916989326477,16
새뱃,액션,1,1
색감,미술,0.5213123559951782,1
생각,후회,0.6602693200111389,22
생물학,과학,0.6285178661346436,1
생활,환경,0.7009555697441101,2
샤워,여행,0.5888627767562866,1
서랍,가족,0.5487664937973022,1
선택,희망,0.5827092528343201,5
성당,감옥,0.5520095825195312,2
성실,헌신,0.6314191222190857,1
성인,교육,0.5841577649116516,6
세상,기쁨,0.6082786321640015,4
