Word,Category,Similarity,Frequency
+짜,액션,1,1
가능,여행,0.6136982440948486,3
가수,음악,0.6117961406707764,3
가슴,상처,0.6098507642745972,2
갈등,갈등,1,4
감동,기쁨,0.6450744271278381,2
감정,심리,0.7588332891464233,9
감정인,심리,0.5214259624481201,1
강가,바다,0.5740353465080261,1
거리,도시,0.60332190990448,1
거짓말,부도덕,0.5334540605545044,1
걱정,후회,0.651527464389801,2
게임,만화,0.7299426198005676,1
결제,여행,0.5954683423042297,1
결혼,연애,0.6863196492195129,6
경비,교통,0.6123348474502563,1
경험,열정,0.6344258189201355,1
계단,괴담,0.5106033086776733,1
고뇌,고독,0.6679061055183411,1
고독,고독,1,1
고생,고통,0.5584161281585693,1
공연,음악,0.7031762599945068,1
과시,열정,0.509526789188385,1
과정,교육,0.6268183588981628,3
과학,과학,1,1
관람,여행,0.5587009191513062,4
광고,방송,0.6559303998947144,1
교수,윤리,0.563416063785553,2
교육,교육,1,1
교회,종교,0.6748078465461731,3
구리,전기,0.5783329010009766,14
구멍,상처,0.5373755693435669,2
국가,경제,0.7089344263076782,1
굿즈,인형,0.614889919757843,9
규칙,윤리,0.5834123492240906,1
그릇,음식,0.6678139567375183,1
극장가,드라마,0.5290873050689697,1
글로벌,가상현실,0.526810348033905,1
금지,도박,0.519909143447876,1
급조,폭력,0.509345531463623,1
기대,기대,1,5
기억,사랑,0.6537694931030273,53
기타,음악,0.5873071551322937,2
나날,이별,0.6136053204536438,2
나불나불,음모론,0.5083216428756714,1
남녀,평등,0.5715689063072205,1
남자,사랑,0.5456969141960144,7
남친,연애,0.6194848418235779,1
남편,가족,0.6233720779418945,2
내색,후회,0.5738341212272644,1
냄새,음식,0.5817655324935913,1
너와나,이별,0.6129801273345947,1
노래,춤,0.7242721915245056,4
노력,헌신,0.6555296182632446,1
논문,과학,0.5451151728630066,2
뇌종양,정신병,0.6303978562355042,3
누나,가족,0.5465071797370911,9
눈물,슬픔,0.6957001090049744,4
눈물샘,상처,0.5447229146957397,1
느낌,슬픔,0.6343626976013184,4
당근,도둑,0.5249003767967224,1
당황,충격,0.6099472045898438,5
댓글,후회,0.505795419216156,1
데뷔,방송,0.5465471744537354,1
도로,교통,0.7222923040390015,1
도움,기대,0.5482439994812012,1
도전,열정,0.6956499814987183,2
도착,여행,0.6466491222381592,1
드라마,드라마,1,4
드레스,로맨스,0.5291532278060913,2
러브,액션,0.6233081817626953,4
로맨스,로맨스,1,9
리메이크,드라마,0.5311616063117981,1
마음,기쁨,0.6783162951469421,5
말썽,혼란,0.526727557182312,1
맛집,음식,0.6337778568267822,1
매직,액션,0.5553796291351318,1
메모,대화,0.5669617652893066,2
메일,만화,0.5050849914550781,1
모델,교육,0.5252665281295776,2
모습,꿈,0.5368646383285522,6
몰입,열정,0.6674494743347168,4
문제,갈등,0.6495088934898376,4
문제점,사회문제,0.5382509231567383,1
물품,인형,0.5920984745025635,1
미러,액션,0.5596200227737427,1
미안,후회,0.5432184934616089,1
민폐,개그,0.5627604722976685,1
반품,여행,0.6105901002883911,1
