Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,2
가수,음악,0.6117961406707764,1
가슴,상처,0.6098507642745972,1
가입,희망,0.5199176073074341,1
가정,가족,0.7013463377952576,1
가족,가족,1,2
감동,기쁨,0.6450744271278381,5
감상,음악,0.6411212086677551,3
감성,심리,0.6301533579826355,6
감정,심리,0.7588332891464233,32
강력,충격,0.5549739599227905,2
강타,충격,0.5686725378036499,1
개그,개그,1,1
개요,여행,0.5623396039009094,1
개척,탐험,0.6222059726715088,2
거리,도시,0.60332190990448,2
걱정,후회,0.651527464389801,1
검사,심리,0.583127498626709,1
검색,여행,0.6249870657920837,1
결석,질병,0.5192524790763855,1
결혼,연애,0.6863196492195129,18
경쟁,갈등,0.6576756238937378,1
경제,경제,1,1
경험,열정,0.6344258189201355,5
계절,이별,0.5606238842010498,1
고3,학교,0.5822110772132874,9
고등,과학,0.6939653754234314,1
고등학교,학교,0.6346824765205383,10
고마움,기쁨,0.5609286427497864,2
고생,고통,0.5584161281585693,1
고통,고통,1,1
공부,교육,0.6627280712127686,12
공세,전쟁,0.6314626336097717,2
공연,음악,0.7031762599945068,1
공학,과학,0.7757261991500854,2
과정,교육,0.6268183588981628,9
관람,여행,0.5587009191513062,11
관심,기대,0.6249675154685974,4
관통,충격,0.5143977403640747,1
광고,방송,0.6559303998947144,1
교무실,학교,0.5326188206672668,1
교정,교육,0.6010701060295105,1
국가,경제,0.7089344263076782,6
군대,군대,1,4
권장,모험,0.5027817487716675,1
그리움,고독,0.5979834794998169,4
극단,미술,0.5709163546562195,2
극복,고통,0.6304678916931152,5
근처,학교,0.5683311223983765,1
기대,기대,1,4
기력,전투,0.5499060750007629,1
기분,유쾌,0.6678951382637024,2
기쁨,기쁨,1,1
기억,사랑,0.6537694931030273,20
기획,교육,0.625312864780426,1
끈기,열정,0.6553615927696228,1
낙담,고통,0.6708939671516418,1
낙방,후회,0.6385146975517273,1
난동,폭력,0.638001561164856,1
남녀,평등,0.5715689063072205,8
남발,괴담,0.5062358379364014,1
남자,사랑,0.5456969141960144,48
남친,연애,0.6194848418235779,2
내공,열정,0.5447922348976135,1
내역,여행,0.5270281434059143,1
너의,사랑,0.659273624420166,1
노래,춤,0.7242721915245056,5
노력,헌신,0.6555296182632446,13
노여움,무력감,0.5976505279541016,1
눈가,유쾌,0.530243456363678,1
눈물,슬픔,0.6957001090049744,3
느낌,슬픔,0.6343626976013184,8
단편,만화,0.737099826335907,2
당일,여행,0.5352691411972046,2
당황,충격,0.6099472045898438,1
대중음악,음악,0.6267694234848022,1
대학교,학교,0.5889599323272705,9
댓글,후회,0.505795419216156,1
데뷔,방송,0.5465471744537354,3
데뷔작,드라마,0.5683770775794983,1
데이트,로맨스,0.5355676412582397,2
도시,도시,1,2
도움,기대,0.5482439994812012,1
도전,열정,0.6956499814987183,1
독백,고독,0.6572872996330261,1
독서,철학,0.7120826244354248,2
동영상,가상현실,0.5586168169975281,1
드라마,드라마,1,9
등교,학교,0.5902007222175598,1
라이프,판타지,0.5347487926483154,1
러브,액션,0.6233081817626953,1
러브레터,드라마,0.6174168586730957,1
러블리,로맨스,0.5936728715896606,1
럭비,학교,0.561723530292511,1
로맨스,로맨스,1,53
로맨틱,로맨스,0.6721806526184082,1
리메이크,드라마,0.5311616063117981,17
리얼,액션,0.6809289455413818,1
리포터,드라마,0.5692278742790222,1
마음,기쁨,0.6783162951469421,39
만족,기대,0.6570032238960266,2
만화,만화,1,1
만화책,만화,0.6684035062789917,1
맛집,음식,0.6337778568267822,1
매력,열정,0.6489761471748352,8
맥주,음식,0.6920314431190491,1
먹거리,음식,0.5923094749450684,1
메시지,대화,0.5048822164535522,3
멘트,개그,0.5644389390945435,1
면모,자아,0.5388920903205872,1
명암,갈등,0.5055415034294128,1
명작,만화,0.6867616772651672,2
명장면,코미디,0.5314233899116516,1
모델,교육,0.5252665281295776,5
모습,꿈,0.5368646383285522,22
모임,가족,0.6203815937042236,1
목격,발견,0.6813858151435852,1
목표,성장,0.6552416682243347,4
몰입,열정,0.6674494743347168,6
무덤,신화,0.5744480490684509,1
무모,살인,0.5360095500946045,6
문제,갈등,0.6495088934898376,5
미래,미래,1,2
미련,고독,0.6796653270721436,5
미안,후회,0.5432184934616089,4
바닷가,바다,0.5303730368614197,3
바람둥이,로맨스,0.5863642692565918,2
반응,충격,0.5951288342475891,3
발각,살인,0.5089609622955322,1
발견,발견,1,1
발전,성장,0.7311267852783203,2
발현,성장,0.5772488117218018,1
방문,여행,0.5841829180717468,2
방해,혼란,0.5498800277709961,3
방향,미래,0.5546501278877258,1
배급,교육,0.5531435608863831,3
배려,헌신,0.6277512907981873,1
배웅,이별,0.6292405724525452,1
배합,음식,0.5140936374664307,1
버스,교통,0.730898916721344,1
범죄,범죄,1,2
법칙,철학,0.6116989850997925,2
베테랑,탐정,0.5211659669876099,1
변화,성장,0.7235260605812073,8
보호,환경,0.6321627497673035,1
부정,폭력,0.6489901542663574,1
분식집,음식,0.5058572292327881,1
분쟁,갈등,0.7055279612541199,1
비중,성장,0.5152275562286377,1
사건,살인,0.7159186005592346,2
사고,의심,0.5630502700805664,3
사람,꿈,0.5610076785087585,65
사랑,사랑,1,164
사진,미술,0.5546669960021973,9
삭제,의심,0.5076044797897339,1
상대,추격,0.558393657207489,9
상상,욕망,0.6180667877197266,3
상영,방송,0.6350025534629822,1
상처,상처,1,9
상황,혼란,0.6442916989326477,11
새드,액션,0.6351451277732849,1
색감,미술,0.5213123559951782,1
색깔,동물,0.5537340044975281,1
생각,후회,0.6602693200111389,53
생활,환경,0.7009555697441101,2
서사,신화,0.6202012896537781,3
선물,사랑,0.605575680732727,3
선택,희망,0.5827092528343201,5
성공,성장,0.6859850287437439,9
성인,교육,0.5841577649116516,4
성장,성장,1,22
세상,기쁨,0.6082786321640015,8
세포,동물,0.5726385116577148,1
섹션,만화,0.5100024938583374,1
소설,만화,0.8215566873550415,1
소통,대화,0.694833517074585,1
손익,경제,0.5327790975570679,1
수험,연애,0.6053141951560974,1
순애보,드라마,0.6065585613250732,2
스틸,액션,0.5995299220085144,3
스페셜,드라마,0.5839550495147705,1
슬픔,슬픔,1,6
습관,철학,0.6081326007843018,1
시리즈,만화,0.5106303691864014,2
시작,발견,0.534450113773346,20
시집,이별,0.6299842000007629,1
시청,방송,0.6024045944213867,2
시험,교육,0.6255394220352173,2
식장,꿈,0.5094988346099854,1
신체,자아,0.5770981311798096,1
신혼,가족,0.683169960975647,1
실기,미술,0.6127828359603882,2
실의,슬픔,0.5026541352272034,1
심쿵,유쾌,0.6625705361366272,1
싱글,연애,0.5561257600784302,1
싱글즈,드라마,0.5805362462997437,1
싸움,전투,0.6696678996086121,3
아픔,상처,0.7904168963432312,8
안경,인형,0.6577499508857727,1
애교,개그,0.5999221205711365,1
애인,연애,0.6649367809295654,1
애정,사랑,0.719462513923645,4
야속,액션,1,2
어깨,상처,0.5547419190406799,2
억양,춤,0.6130768656730652,1
엄마,사랑,0.5908297300338745,1
에피소드,드라마,0.5304465889930725,1
엔진,전기,0.573421835899353,1
여자,사랑,0.5380519032478333,32
여정,이별,0.6358245611190796,2
여주인공,로맨스,0.5319628715515137,1
여행,여행,1,2
역린,액션,0.5804046988487244,2
연극,미술,0.7502412796020508,1
연애,연애,1,15
연예,방송,0.7187750935554504,2
연인,사랑,0.6981024742126465,9
연출,액션,0.5377380847930908,2
열쇠,희망,0.5891710519790649,1
열풍,복고,0.5646018981933594,1
영상미,액션,0.5695945620536804,3
영화,만화,0.7536719441413879,298
영화관,드라마,0.5831791758537292,3
영화학,미술,0.5628341436386108,1
예고편,드라마,0.5787103772163391,7
예상,기대,0.655988872051239,2
옛날,시골,0.5727385878562927,2
오디션,뮤지컬,0.6122252941131592,1
요유,액션,1,1
용기,용기,1,1
용츠,액션,1,18
우울,불안,0.7772703766822815,1
웃음,개그,0.6434062123298645,5
원고,고문,0.537358820438385,1
원작,만화,0.7227425575256348,18
위로,바다,0.5024420619010925,2
유머,개그,0.6961884498596191,2
음악,음악,1,3
음악과,음악,0.625594437122345,1
의견,갈등,0.5687873959541321,2
이름,신화,0.5608668327331543,5
이별,이별,1,21
이사,고문,0.5024828314781189,2
이질감,갈등,0.5083499550819397,1
이해,철학,0.5395932197570801,6
인기,여행,0.6119158267974854,4
인물,정치,0.5848035216331482,4
인상,기대,0.6044384241104126,3
인터넷,컴퓨터,0.609046220779419,1
인터뷰,다큐멘터리,0.5540832281112671,1
일러스트,만화,0.5200430750846863,1
일상,유쾌,0.5978867411613464,5
입맞춤,이별,0.6077718734741211,1
입시,교육,0.6970886588096619,1
입학,학교,0.5971783399581909,5
자막,방송,0.6141181588172913,3
자연,환경,0.6941760182380676,2
자존감,자기성찰,0.5486114025115967,1
자처,고문,0.5536627173423767,2
작업,수색,0.6102691888809204,1
장르,음악,0.7329081892967224,13
장면,액션,0.5999083518981934,14
장벽,불안,0.5758340358734131,1
장편,만화,0.7140740752220154,1
재미,모험,0.6051297187805176,4
재질,미술,0.5245922207832336,1
전반,정치,0.5626547336578369,4
전학,학교,0.5563510656356812,18
전화,대화,0.5852361917495728,4
절망,절망,1,1
정보,교통,0.6121577620506287,34
제대,군대,0.613605797290802,2
조도,바다,0.5058226585388184,1
조심,도박,0.5663047432899475,1
조작,범죄,0.5801150798797607,1
졸업,여행,0.5504979491233826,5
좌절,절망,0.6658827662467957,1
좌절감,무력감,0.768183171749115,2
주먹,도둑,0.5742208957672119,1
주목,기대,0.562468945980072,1
주요,도시,0.5643994808197021,2
주저,후회,0.5583959817886353,1
줄거리,드라마,0.531794548034668,31
줍줍,액션,1,1
중독자,도박,0.5584331154823303,1
중점,교육,0.5276418924331665,1
중학교,학교,0.5561110973358154,2
증표,희망,0.5751324892044067,1
지방,도시,0.6361674070358276,1
지속,성장,0.6684333086013794,3
지역,도시,0.7241222858428955,1
직업,교육,0.6447048187255859,2
진입,추격,0.5556859374046326,1
진정,기쁨,0.5493860840797424,1
질문,대화,0.5432519912719727,2
질투,욕망,0.6958162188529968,2
집안,가족,0.6251765489578247,4
짜증,불안,0.627656877040863,1
짝사랑,연애,0.6175044178962708,4
찌질,개그,0.6416961550712585,2
차단,의심,0.5930317640304565,1
채널,방송,0.7239679098129272,3
첫날,추격,0.5005456805229187,1
첫사랑,로맨스,0.5646798014640808,76
청량,음식,0.5688881874084473,1
청춘,사랑,0.612774670124054,19
청춘스타,언더독,0.5390520691871643,1
체구,인형,0.5288395881652832,1
체육,미술,0.7045322060585022,10
초과,기대,0.5078169107437134,2
촬영,방송,0.6484997272491455,1
촬영장,드라마,0.5815523266792297,1
추구,헌신,0.5950697660446167,1
추억,사랑,0.6609922647476196,16
추천,여행,0.5768113136291504,20
축하,꿈,0.5423662662506104,2
출연,방송,0.659591019153595,6
충격,충격,1,2
취미,음악,0.5891837477684021,1
취업,교육,0.6516762971878052,5
취업난,불안,0.5689091682434082,1
캐릭터,인형,0.5306801795959473,13
캐미,언더독,0.5166010856628418,1
커플,가족,0.6512839198112488,12
케이팝,뮤지컬,0.5280177593231201,1
코드,액션,0.5642611384391785,2
코미디,코미디,1,8
코믹,만화,0.7493361830711365,2
코피,절망,0.512416422367096,1
콘텐츠,가상현실,0.5792493224143982,1
콧물,슬픔,0.5188833475112915,1
토대,질서,0.5876781940460205,1
특별,의료,0.5320938229560852,5
특성,환경,0.650132417678833,1
특유,춤,0.5365961194038391,2
특징,환경,0.5862691402435303,1
티켓,여행,0.6218228340148926,1
파격,충격,0.5102958679199219,1
파렴치,범죄,0.5944387316703796,1
편안,유쾌,0.6909911036491394,1
평론가,다큐멘터리,0.5252968668937683,1
평범,유쾌,0.6256139874458313,1
포토,동정,0.5201435089111328,8
폭력,폭력,1,1
폭발,충격,0.6844252347946167,2
표정,유쾌,0.5511194467544556,1
표출,분노,0.5903345346450806,1
표현,대화,0.5644240975379944,15
플레이,서바이벌,0.5245938897132874,3
플레이어,컴퓨터,0.5088710188865662,1
플루,질병,0.5098066926002502,2
플룻,춤,0.5936020612716675,1
필모그래피,드라마,0.5541918277740479,2
핑계,이별,0.5365244746208191,1
하이틴,코미디,0.558600902557373,4
학교,학교,1,15
학력,평등,0.5215060114860535,1
학생,학교,0.7100017070770264,3
학창,만화,0.580868124961853,5
한탄,슬픔,0.6152825951576233,1
해결,갈등,0.5887223482131958,1
해석,심리,0.5405862331390381,1
해피엔딩,로맨스,0.6157752275466919,6
행복,기쁨,0.7726561427116394,15
행패,폭력,0.589257538318634,1
허송,후회,0.5239173769950867,1
협업,대화,0.5782889723777771,3
호감,자아,0.6214834451675415,1
혹자,액션,1,1
혼란,혼란,1,1
화살,도둑,0.5926694869995117,1
화제,방송,0.5529026389122009,1
확인,발견,0.6419516205787659,4
환영,희망,0.5663730502128601,1
활동,교육,0.6086112856864929,1
활용,교육,0.557722270488739,1
효과,기대,0.5692968964576721,1
후회,후회,1,11
흐름,질서,0.5799944400787354,3
흔적,발견,0.5892268419265747,3
희곡,미술,0.6216503977775574,1
희망,희망,1,1
희생,희생,1,1

Category,Count,average
액션,14,0.7422013580799103
교육,14,0.6065344214439392
드라마,14,0.6012220084667206
만화,13,0.6903992707912738
학교,12,0.6231974909702936
여행,12,0.6139378299315771
사랑,11,0.6622299335219644
방송,10,0.6357739269733429
기대,9,0.6366916431321038
미술,9,0.6026143100526598
성장,8,0.6945986524224281
음악,8,0.6913186758756638
로맨스,8,0.6375254169106483
후회,8,0.6352048441767693
충격,8,0.6297301724553108
기쁨,7,0.68780574628285
연애,7,0.6785265207290649
이별,7,0.6571385094097683
유쾌,7,0.6180457728249686
갈등,7,0.5977305259023394
가족,6,0.7135597268740336
개그,6,0.6909419794877371
슬픔,6,0.6611471474170685
열정,6,0.6411092082659403
희망,6,0.638883908589681
음식,6,0.584492971499761
대화,6,0.578486164410909
도시,5,0.7056022167205811
발견,5,0.6894028782844543
환경,5,0.6527391791343689
상처,4,0.7387523949146271
폭력,4,0.7190623134374619
고통,4,0.7149444967508316
불안,4,0.6374176144599915
심리,4,0.6281750947237015
철학,4,0.6178768575191498
춤,4,0.6168868094682693
꿈,4,0.5374343544244766
경제,3,0.7472378412882487
혼란,3,0.7313905755678812
절망,3,0.7260997295379639
범죄,3,0.7248512705167135
코미디,3,0.6966747641563416
고독,3,0.6449787020683289
헌신,3,0.6261168917020162
살인,3,0.5869630376497904
신화,3,0.5851720571517944
자아,3,0.5791578888893127
인형,3,0.5724232395490011
의심,3,0.5545621713002523
추격,3,0.5382084250450134
고문,3,0.5311681230862936
바다,3,0.5128792524337769
군대,2,0.806802898645401
미래,2,0.7773250639438629
과학,2,0.7348457872867584
무력감,2,0.6829168498516083
교통,2,0.6715283393859863
욕망,2,0.6569415032863617
전투,2,0.6097869873046875
