Word,Category,Similarity,Frequency
가난,고통,0.7040712237358093,2
가능,여행,0.6136982440948486,3
가상,우주,0.619330644607544,2
가입,희망,0.5199176073074341,1
가치관,자기성찰,0.5398943424224854,1
갈등,갈등,1,2
감동,기쁨,0.6450744271278381,13
감상,음악,0.6411212086677551,8
감정,심리,0.7588332891464233,6
강점,성장,0.5418332815170288,1
개별,음악,0.5007151961326599,1
개성,자아,0.5115846395492554,1
거리,도시,0.60332190990448,1
건물,학교,0.6180571913719177,1
검사,심리,0.583127498626709,1
검색,여행,0.6249870657920837,2
격려,동정,0.5737254619598389,1
경험,열정,0.6344258189201355,8
고뇌,고독,0.6679061055183411,1
고등,과학,0.6939653754234314,1
고의,범죄,0.5445482730865479,1
공정,평등,0.5861278176307678,5
공포,공포,1,1
과실,살인,0.5696340799331665,1
과정,교육,0.6268183588981628,2
관광,교통,0.7508423924446106,1
관심,기대,0.6249675154685974,2
교훈,희망,0.596325695514679,1
구조,환경,0.6101574897766113,2
권력,권력,1,1
극악,좀비,0.5708756446838379,1
긍정,희망,0.608379602432251,1
기술,농업,0.6986809968948364,2
꾸중,고통,0.5941413044929504,2
날것,유쾌,0.528749942779541,1
남자,사랑,0.5456969141960144,1
내면,내면,1,5
내밀,내면,0.5048536658287048,1
노력,헌신,0.6555296182632446,1
논조,정치,0.6118559241294861,1
논픽션,만화,0.5550446510314941,3
놀라움,기쁨,0.5606492757797241,1
다큐멘터리,다큐멘터리,1,4
대화체,대화,0.572024941444397,1
도덕,윤리,0.8225712776184082,2
독특,춤,0.5334261655807495,3
드라마,드라마,1,6
등록,여행,0.5735748410224915,5
마음,기쁨,0.6783162951469421,3
매력,열정,0.6489761471748352,3
메시지,대화,0.5048822164535522,1
면모,자아,0.5388920903205872,3
명작,만화,0.6867616772651672,1
명절,음식,0.602050244808197,1
모바일,컴퓨터,0.590937614440918,1
모순,갈등,0.6281998157501221,1
모습,꿈,0.5368646383285522,2
몰입,열정,0.6674494743347168,5
문제,갈등,0.6495088934898376,16
미래,미래,1,1
반성,후회,0.62535560131073,1
발견,발견,1,1
발생,혼란,0.6102904081344604,4
발전,성장,0.7311267852783203,1
발휘,기대,0.5250481367111206,1
방지,충격,0.5433129668235779,1
배신,배신,1,2
범죄,범죄,1,7
범죄자,범죄,0.5728323459625244,2
범행,범죄,0.5743876695632935,1
법질서,질서,0.583708643913269,1
변화,성장,0.7235260605812073,3
보도,방송,0.6695681214332581,1
보병,군대,0.6668580770492554,1
복합,의료,0.577019214630127,1
부모,가족,0.6875284910202026,2
분노,분노,1,1
붕괴,혼란,0.6892794370651245,7
비극,살인,0.6638696789741516,3
비중,성장,0.5152275562286377,1
비참,고독,0.6815916895866394,1
빵집,도둑,0.5785322189331055,1
사건,살인,0.7159186005592346,27
사고,의심,0.5630502700805664,6
사람,꿈,0.5610076785087585,16
사랑,사랑,1,1
사형,독재,0.5577566027641296,8
사회,경제,0.8096231818199158,20
살인,살인,1,2
살인죄,범죄,0.5440533757209778,1
살해,살인,0.6861730217933655,1
상념,고독,0.6749123334884644,1
상처,상처,1,1
상황,혼란,0.6442916989326477,3
생각,후회,0.6602693200111389,22
생활,환경,0.7009555697441101,1
석면,전기,0.5682985186576843,3
선택,희망,0.5827092528343201,3
성공,성장,0.6859850287437439,2
성장,성장,1,2
세계,경제,0.6071235537528992,3
세상,기쁨,0.6082786321640015,4
소송,법정,0.7026453018188477,3
소외,고통,0.6188626289367676,1
수사,범죄,0.673683226108551,1
스마트,가상현실,0.5641322731971741,1
스마트폰,컴퓨터,0.6610336303710938,1
시리즈,만화,0.5106303691864014,4
시작,발견,0.534450113773346,1
시청,방송,0.6024045944213867,1
시청자,방송,0.5191292762756348,1
안락,평온,0.6294413805007935,1
애니메이션,만화,0.68199223279953,2
어둠,절망,0.694835364818573,2
어휘,교육,0.5927156805992126,1
언론,정치,0.741054117679596,1
업무,교통,0.6426385641098022,1
여정,이별,0.6358245611190796,2
역경,절망,0.6212114691734314,1
역사,철학,0.6869469285011292,5
연대감,갈등,0.6140624284744263,1
연쇄,살인,0.6428334712982178,1
연출,액션,0.5377380847930908,5
영향,기대,0.5794242024421692,1
영화,만화,0.7536719441413879,101
예고편,드라마,0.5787103772163391,1
예상,기대,0.655988872051239,2
용기,용기,1,2
우울,불안,0.7772703766822815,1
위로,바다,0.5024420619010925,1
유골,수색,0.6134949326515198,1
음악,음악,1,2
의견,갈등,0.5687873959541321,3
이슈,정치,0.619047224521637,4
이해,철학,0.5395932197570801,2
인륜,윤리,0.6141999959945679,1
인물,정치,0.5848035216331482,11
인상,기대,0.6044384241104126,8
인터뷰,다큐멘터리,0.5540832281112671,1
일당,해적,0.5479298233985901,1
일상,유쾌,0.5978867411613464,1
자료,교육,0.5909054279327393,8
자세,액션,0.5511509776115417,1
자연,환경,0.6941760182380676,3
작가,만화,0.6290877461433411,1
잔인,음모,0.569640040397644,2
잔혹,폭력,0.6832144260406494,1
장르,음악,0.7329081892967224,2
장면,액션,0.5999083518981934,4
재미,모험,0.6051297187805176,1
재판,법정,0.6558515429496765,1
전자,전기,0.7106999754905701,1
접속,방송,0.5524121522903442,2
정보,교통,0.6121577620506287,3
제공,여행,0.6024255156517029,5
제작,방송,0.6307950615882874,1
제한,상실,0.636760413646698,2
조각,인형,0.646467387676239,4
존엄,평등,0.6833188533782959,1
존폐,갈등,0.5891202688217163,1
주요,도시,0.5643994808197021,3
줄거리,드라마,0.531794548034668,3
중수부장,고문,0.5280730128288269,1
직면,고통,0.5117434859275818,2
진정,기쁨,0.5493860840797424,1
질문,대화,0.5432519912719727,2
집행,교육,0.5486619472503662,2
참사,재난,0.6216191649436951,2
창작,만화,0.6693662405014038,1
책임,윤리,0.6478115320205688,1
처벌,폭력,0.6293380856513977,1
체포,고문,0.6018785238265991,1
추격,추격,1,3
추석,가족,0.5576308369636536,1
추천,여행,0.5768113136291504,11
출근,이별,0.512470543384552,1
출소,이별,0.5374647378921509,1
출연,방송,0.659591019153595,16
충격,충격,1,7
치사,살인,0.584929347038269,1
칭찬,열정,0.5763967633247375,1
캐릭터,인형,0.5306801795959473,7
컨텐츠,가상현실,0.517380952835083,2
코트,액션,0.5462599992752075,3
쿠데타,반란,0.5579196214675903,1
킬러,괴물,0.6982237100601196,3
탐구,철학,0.6451975703239441,1
투쟁,권력,0.6418794989585876,1
특징,환경,0.5862691402435303,2
티저,신화,0.5522939562797546,1
파장,충격,0.5587085485458374,1
판결,법정,0.6012944579124451,2
편안,유쾌,0.6909911036491394,1
표정,유쾌,0.5511194467544556,1
표현,대화,0.5644240975379944,4
플랫폼,가상현실,0.5415536761283875,1
플롯,개그,0.5973898768424988,4
피해,범죄,0.5507293343544006,3
하드,액션,0.6686204671859741,1
학교,학교,1,1
한번,후회,0.5221735835075378,1
합헌,법정,0.506992518901825,1
항복,전투,0.5696406364440918,1
해석,심리,0.5405862331390381,2
행위,폭력,0.6302486658096313,1
헌법,평등,0.6251720786094666,1
혐의,범죄,0.6398565173149109,1
확인,발견,0.6419516205787659,8
활동,교육,0.6086112856864929,2
활용,교육,0.557722270488739,2
효과,기대,0.5692968964576721,1
후자,전기,0.51507967710495,1
흉악,범죄,0.774447500705719,1
희망,희망,1,2

Category,Count,average
범죄,9,0.6527264714241028
살인,7,0.6947654570852008
만화,7,0.6409364087241036
성장,6,0.6996164520581564
갈등,6,0.6749464670817057
방송,6,0.6056500375270844
기대,6,0.5931940078735352
교육,6,0.5875724951426188
희망,5,0.6614664316177368
기쁨,5,0.6083409428596497
여행,5,0.5982993960380554
액션,5,0.5807355761528015
음악,4,0.7186861485242844
환경,4,0.6478895545005798
정치,4,0.6391901969909668
열정,4,0.6318120509386063
법정,4,0.6166959553956985
고통,4,0.6072046607732773
유쾌,4,0.5921868085861206
대화,4,0.5461458116769791
발견,3,0.7254672447840372
드라마,3,0.7035016417503357
충격,3,0.7006738384564718
윤리,3,0.6948609352111816
고독,3,0.6748033761978149
교통,3,0.6685462395350138
혼란,3,0.6479538480440775
폭력,3,0.6476003925005595
평등,3,0.6315395832061768
심리,3,0.6275156736373901
철학,3,0.6239125728607178
후회,3,0.6025995016098022
전기,3,0.5980260570844015
이별,3,0.5619199474652609
가상현실,3,0.5410223007202148
권력,2,0.8209397494792938
학교,2,0.8090285956859589
다큐멘터리,2,0.7770416140556335
사랑,2,0.7728484570980072
내면,2,0.7524268329143524
경제,2,0.7083733677864075
절망,2,0.6580234169960022
컴퓨터,2,0.6259856224060059
가족,2,0.6225796639919281
인형,2,0.5885737836360931
도시,2,0.5838606953620911
고문,2,0.564975768327713
꿈,2,0.5489361584186554
자아,2,0.5252383649349213
공포,1,1.0
미래,1,1.0
배신,1,1.0
분노,1,1.0
상처,1,1.0
용기,1,1.0
추격,1,1.0
불안,1,0.7772703766822815
농업,1,0.6986809968948364
괴물,1,0.6982237100601196
과학,1,0.6939653754234314
군대,1,0.6668580770492554
헌신,1,0.6555296182632446
상실,1,0.636760413646698
평온,1,0.6294413805007935
재난,1,0.6216191649436951
우주,1,0.619330644607544
수색,1,0.6134949326515198
모험,1,0.6051297187805176
음식,1,0.602050244808197
개그,1,0.5973898768424988
질서,1,0.583708643913269
도둑,1,0.5785322189331055
의료,1,0.577019214630127
동정,1,0.5737254619598389
좀비,1,0.5708756446838379
전투,1,0.5696406364440918
음모,1,0.569640040397644
의심,1,0.5630502700805664
반란,1,0.5579196214675903
독재,1,0.5577566027641296
신화,1,0.5522939562797546
해적,1,0.5479298233985901
자기성찰,1,0.5398943424224854
춤,1,0.5334261655807495
바다,1,0.5024420619010925
