Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,5
가닥,절망,0.5257274508476257,1
가담자,반란,0.536919355392456,1
가슴,상처,0.6098507642745972,9
가정,가족,0.7013463377952576,4
가족,가족,1,3
가치관,자기성찰,0.5398943424224854,1
갈등,갈등,1,9
갈망,욕망,0.7525596022605896,1
감동,기쁨,0.6450744271278381,1
감상,음악,0.6411212086677551,1
감성,심리,0.6301533579826355,1
감정,심리,0.7588332891464233,23
감행,추격,0.5397303700447083,1
강압,권력,0.5841453671455383,1
강요,용서,0.5793744921684265,1
개봉작,드라마,0.5794780254364014,1
갱생,교육,0.5466806888580322,1
거리,도시,0.60332190990448,1
거리감,불안,0.5247846245765686,1
거만,유쾌,0.5570982694625854,1
거짓말,부도덕,0.5334540605545044,1
걱정,후회,0.651527464389801,1
검색,여행,0.6249870657920837,1
격정,분노,0.6496756076812744,1
결손,상실,0.5530339479446411,1
결함,의심,0.6190357208251953,1
경악,충격,0.724260687828064,1
경험,열정,0.6344258189201355,3
계획,여행,0.6060113906860352,1
고교,학교,0.6200820207595825,2
고뇌,고독,0.6679061055183411,1
고등,과학,0.6939653754234314,2
고발,범죄,0.5842509865760803,2
고생,고통,0.5584161281585693,1
고위급,군사,0.5409925580024719,1
고질,범죄,0.5445252060890198,1
고질병,상처,0.5185720920562744,1
고통,고통,1,7
공격,전투,0.6404148936271667,1
공모,미술,0.5397971272468567,2
공부,교육,0.6627280712127686,1
공분,분노,0.5915727019309998,2
공연,음악,0.7031762599945068,3
공주,유령,0.5845017433166504,1
공포,공포,1,1
과목,교육,0.6874532103538513,1
과정,교육,0.6268183588981628,2
관내,시골,0.5647799968719482,1
관람,여행,0.5587009191513062,14
관심,기대,0.6249675154685974,6
괴롭힘,죄책감,0.5694694519042969,4
괴물,괴물,1,19
교도소,감옥,0.6448109149932861,1
교류,대화,0.6140486598014832,1
교육,교육,1,2
교장,좀비,0.5557513236999512,2
교장실,학교,0.5427694320678711,1
구간,교통,0.5263970494270325,1
구석,철학,0.5159526467323303,1
구속,충격,0.5845648646354675,3
구조,환경,0.6101574897766113,2
국가,경제,0.7089344263076782,5
국제중,학교,0.5339810252189636,7
굴복,배신,0.5670102834701538,1
권력,권력,1,12
권선징악,로맨스,0.5401951670646667,1
규범,윤리,0.7303454875946045,15
극단,미술,0.5709163546562195,3
극도,괴담,0.5402888059616089,2
극본,미술,0.5002976655960083,1
극우,정치,0.6748930811882019,1
극작가,뮤지컬,0.5212523937225342,3
근절,폭력,0.6210501194000244,1
근처,학교,0.5683311223983765,4
기대,기대,1,4
기대감,기대,0.6246221661567688,2
기력,전투,0.5499060750007629,1
기숙,학교,0.7479764223098755,1
기억,사랑,0.6537694931030273,4
기획,교육,0.625312864780426,1
긴장,불안,0.6880083084106445,1
꼬리,동물,0.517152726650238,1
꿀밤,인형,0.5592658519744873,1
낚시,여행,0.6184428334236145,1
날조,범죄,0.5828922390937805,1
남자,사랑,0.5456969141960144,1
남편,가족,0.6233720779418945,1
낭독,대화,0.5829904079437256,1
내면,내면,1,2
널뛰기,춤,0.5124399662017822,1
노력,헌신,0.6555296182632446,5
노출,충격,0.60725998878479,1
논란,갈등,0.5854588747024536,1
눈길,동정,0.5653472542762756,1
눈물,슬픔,0.6957001090049744,3
뉴스,방송,0.70646071434021,1
느낌,슬픔,0.6343626976013184,7
능력,교육,0.6137364506721497,4
다독,철학,0.5341385006904602,1
다툼,갈등,0.7528305649757385,1
단체,종교,0.635517418384552,1
담임,학교,0.570489764213562,27
답변,의심,0.5017156600952148,1
당일,여행,0.5352691411972046,1
대결,갈등,0.5924415588378906,1
대립,갈등,0.8246769905090332,2
대처,재난,0.5325601696968079,1
데이터,컴퓨터,0.5682036876678467,1
도달,발견,0.5293484926223755,1
도덕,윤리,0.8225712776184082,2
도덕심,자기성찰,0.5822167992591858,1
도보,교통,0.5771064758300781,1
도움,기대,0.5482439994812012,2
도전,열정,0.6956499814987183,1
독서,철학,0.7120826244354248,1
독특,춤,0.5334261655807495,1
동성애,시민운동,0.5410732626914978,1
동참,기대,0.5190383791923523,1
두둔,독재,0.5262949466705322,1
드라마,드라마,1,10
드론,해양,0.626142680644989,7
라이프,판타지,0.5347487926483154,1
리얼,액션,0.6809289455413818,2
마음,기쁨,0.6783162951469421,17
만족,기대,0.6570032238960266,1
말싸움,갈등,0.5753747820854187,2
맛집,음식,0.6337778568267822,2
매력,열정,0.6489761471748352,2
먹거리,음식,0.5923094749450684,1
메시지,대화,0.5048822164535522,5
모습,꿈,0.5368646383285522,31
모의,심리,0.5262766480445862,1
목격,발견,0.6813858151435852,1
몰입,열정,0.6674494743347168,7
묘미,개그,0.5619542598724365,1
무죄,용서,0.5991327166557312,2
문소리,드라마,0.5094874501228333,5
문제,갈등,0.6495088934898376,34
미끼,도둑,0.5375844836235046,1
미래,미래,1,2
미스터리,미스터리,1,1
미스테리,미스터리,0.7573594450950623,1
