Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,17
가상,우주,0.619330644607544,2
가입,희망,0.5199176073074341,3
가족,가족,1,2
가치,윤리,0.6346501111984253,2
가치관,자기성찰,0.5398943424224854,1
각료,군사,0.5394341945648193,3
갈구,욕망,0.6502506136894226,1
갈등,갈등,1,5
감동,기쁨,0.6450744271278381,13
감상,음악,0.6411212086677551,20
감정,심리,0.7588332891464233,18
감탄,열정,0.5392419099807739,2
감행,추격,0.5397303700447083,1
개성,자아,0.5115846395492554,2
개요,여행,0.5623396039009094,2
개입,음모,0.5886576175689697,1
거래,도박,0.6013003587722778,1
거리,도시,0.60332190990448,3
걱정,후회,0.651527464389801,2
건물,학교,0.6180571913719177,1
건설,도시,0.6078121066093445,1
검색,여행,0.6249870657920837,3
게임,만화,0.7299426198005676,1
격언,철학,0.5797916054725647,1
결단,용서,0.5725662112236023,4
결혼,연애,0.6863196492195129,2
경험,열정,0.6344258189201355,10
고급,음식,0.5831040740013123,1
고난,고통,0.6465856432914734,1
고뇌,고독,0.6679061055183411,4
고독,고독,1,2
고립,불안,0.661411464214325,6
고심,기대,0.5159546732902527,1
고전,미술,0.6437533497810364,2
공격,전투,0.6404148936271667,2
공부,교육,0.6627280712127686,1
공연,음악,0.7031762599945068,1
과정,교육,0.6268183588981628,9
관람,여행,0.5587009191513062,11
관심,기대,0.6249675154685974,5
광고,방송,0.6559303998947144,2
교류,대화,0.6140486598014832,3
교회,종교,0.6748078465461731,1
교훈,희망,0.596325695514679,1
구절,윤리,0.5378264784812927,1
구조,환경,0.6101574897766113,1
국가,경제,0.7089344263076782,9
국운,경제,0.6101670861244202,1
군대,군대,1,2
군사,군사,1,1
군상,고독,0.5473668575286865,1
군인,군대,0.6802380084991455,2
굴복,배신,0.5670102834701538,12
귀족,권력,0.5714877843856812,1
균형,질서,0.6706463098526001,1
그릇,음식,0.6678139567375183,1
그림자,유령,0.5297560691833496,1
극단,미술,0.5709163546562195,1
극복,고통,0.6304678916931152,1
근처,학교,0.5683311223983765,1
기대감,기대,0.6246221661567688,1
기쁨,기쁨,1,1
기술,농업,0.6986809968948364,1
기억,사랑,0.6537694931030273,6
긴박,유쾌,0.5951035618782043,1
긴장,불안,0.6880083084106445,4
꼭두각시,인형,0.5578640699386597,1
난간,바다,0.561069130897522,1
난세,멸망,0.6006054878234863,2
남자,사랑,0.5456969141960144,2
남편,가족,0.6233720779418945,1
내각,독재,0.5866646766662598,1
내면,내면,1,12
내역,여행,0.5270281434059143,3
노래,춤,0.7242721915245056,3
노력,헌신,0.6555296182632446,2
노예,평등,0.6012166738510132,1
노인,가족,0.6170642375946045,2
논란,갈등,0.5854588747024536,1
논리,철학,0.5892475247383118,2
논쟁,갈등,0.6280096769332886,1
느낌,슬픔,0.6343626976013184,9
능력,교육,0.6137364506721497,5
다크,액션,0.6620553135871887,13
단련,춤,0.5826825499534607,1
단합,희생,0.595459520816803,1
담배,음식,0.6096588969230652,1
담시,만화,0.5115127563476562,1
당면,미래,0.582683801651001,1
당위,질서,0.6208310127258301,1
당황,충격,0.6099472045898438,2
대답,후회,0.5436964631080627,2
대립,갈등,0.8246769905090332,3
댓글,후회,0.505795419216156,2
덩케르크,전쟁,0.5376548767089844,12
도덕,윤리,0.8225712776184082,1
도망,도둑,0.5489647388458252,1
도시,도시,1,1
도움,기대,0.5482439994812012,3
도착,여행,0.6466491222381592,1
독일군,군대,0.5101509094238281,2
독재자,독재,0.5564436912536621,1
독특,춤,0.5334261655807495,5
독해,철학,0.6137232184410095,2
돌파구,미래,0.507773756980896,1
동물,동물,1,1
두려움,두려움,1,21
드라마,드라마,1,22
드라마틱,드라마,0.5321051478385925,2
들판,바다,0.5628754496574402,2
등록,여행,0.5735748410224915,6
라디오,드라마,0.6265520453453064,2
리더,성장,0.5860862135887146,13
리더십,자기성찰,0.5289939641952515,8
마담,탐정,0.5380905270576477,1
마음,기쁨,0.6783162951469421,14
막후,권력,0.6894932389259338,1
만족,기대,0.6570032238960266,2
맛깔,유쾌,0.537874162197113,1
매력,열정,0.6489761471748352,3
메시지,대화,0.5048822164535522,7
메일,만화,0.5050849914550781,1
면모,자아,0.5388920903205872,3
명장면,코미디,0.5314233899116516,4
모바일,컴퓨터,0.590937614440918,3
모습,꿈,0.5368646383285522,30
모의,심리,0.5262766480445862,1
모험,모험,1,3
목표,성장,0.6552416682243347,1
몰두,열정,0.5224281549453735,1
몰입,열정,0.6674494743347168,8
무능,불안,0.6468364000320435,1
무모,살인,0.5360095500946045,1
문맥,윤리,0.544297456741333,1
문제,갈등,0.6495088934898376,3
뮤지컬,뮤지컬,1,1
뮤직비디오,드라마,0.5922357439994812,1
미래,미래,1,1
미스터리,미스터리,1,2
민주주의,시민운동,0.6024901866912842,1
바다,바다,1,1
반감,분노,0.6136011481285095,1
반대파,독재,0.5491348505020142,1
발견,발견,1,2
발레,미술,0.6749600768089294,1
발발,전쟁,0.7246169447898865,1
발생,혼란,0.6102904081344604,2
발언,대화,0.537577211856842,2
발휘,기대,0.5250481367111206,3
방문,여행,0.5841829180717468,3
방영,방송,0.7201281189918518,1
방지,충격,0.5433129668235779,1
방향,미래,0.5546501278877258,2
방황,이별,0.6669331789016724,1
배급,교육,0.5531435608863831,2
배제,상실,0.6328111886978149,1
벼랑,절망,0.5671937465667725,1
변화,성장,0.7235260605812073,3
별장,가족,0.6181378960609436,1
병력,군대,0.6510816216468811,2
병사,군대,0.6129758954048157,3
보호,환경,0.6321627497673035,1
본론,윤리,0.5625672340393066,1
본토,군사,0.5685155391693115,3
봄날,이별,0.6270255446434021,1
부각,성장,0.5576289892196655,5
부곽,액션,1,1
부인,가족,0.5428288578987122,2
부패,범죄,0.6599663496017456,1
북부,도시,0.6214250326156616,1
분노,분노,1,1
분석,교육,0.5877142548561096,4
분장,개그,0.5647703409194946,20
불만,분노,0.6757481098175049,1
불씨,혼란,0.5543485283851624,1
불안,불안,1,4
브이,액션,0.5347021818161011,1
비극,살인,0.6638696789741516,1
비난,분노,0.6010863780975342,1
비서,탐정,0.5611511468887329,3
비화,전쟁,0.5711193084716797,1
빙의,마법,0.5283884406089783,1
사건,살인,0.7159186005592346,5
사람,꿈,0.5610076785087585,31
사랑,사랑,1,5
사방,정글,0.5186978578567505,1
사안,정치,0.5182824730873108,1
사전,교육,0.5635393261909485,1
사진,미술,0.5546669960021973,1
사퇴,혼란,0.5275890231132507,2
사항,여행,0.572464108467102,2
사회,경제,0.8096231818199158,3
삭발,희생,0.5102717876434326,1
삭제,의심,0.5076044797897339,1
살길,미래,0.5398378968238831,1
상대,추격,0.558393657207489,1
상상,욕망,0.6180667877197266,4
상쇄,저항,0.5002554059028625,1
상영,방송,0.6350025534629822,6
상처,상처,1,1
상품,여행,0.6432608962059021,2
상황,혼란,0.6442916989326477,33
새력,액션,1,1
생각,후회,0.6602693200111389,32
생애,철학,0.5437271595001221,1
생존,생존,1,8
생체,과학,0.6173260807991028,1
생활,환경,0.7009555697441101,1
선택,희망,0.5827092528343201,19
설득,대화,0.5834951996803284,5
설문,교육,0.5877143144607544,1
성공,성장,0.6859850287437439,18
성장,성장,1,4
성향,심리,0.5809999704360962,1
세계,경제,0.6071235537528992,28
세상,기쁨,0.6082786321640015,4
소견,동정,0.5353370904922485,1
소극,공포,0.528337299823761,1
소설,만화,0.8215566873550415,1
소통,대화,0.694833517074585,1
소품,인형,0.6749653220176697,1
속성,환경,0.6046976447105408,1
수세,환경,0.5428494215011597,1
수작,개그,0.621087908744812,4
수행,성장,0.5646498799324036,1
숙고,윤리,0.558142364025116,2
스릴러,스릴러,1,1
스마트,가상현실,0.5641322731971741,3
스마트폰,컴퓨터,0.6610336303710938,3
스트레스,무력감,0.6226179003715515,1
스트리밍,음악,0.5658097267150879,3
스파이,드라마,0.5523907542228699,3
습관,철학,0.6081326007843018,2
시골,시골,1,1
시대극,드라마,0.6777624487876892,1
시름,고통,0.5898357033729553,1
시리즈,만화,0.5106303691864014,11
시오니스트,군사,0.5026953220367432,1
시작,발견,0.534450113773346,11
시집,이별,0.6299842000007629,2
시청,방송,0.6024045944213867,4
시청자,방송,0.5191292762756348,3
식민지,전쟁,0.5045368671417236,1
신경질,무력감,0.5594394207000732,1
신념,욕망,0.6720592975616455,8
신임,동정,0.559855043888092,1
실각,혼란,0.5678122043609619,1
실감,기대,0.5343434810638428,1
실력,춤,0.5194166302680969,1
실수,후회,0.5709443092346191,2
실시,교육,0.5766685009002686,1
실용,과학,0.6698190569877625,1
실존,생존,0.5969371199607849,1
실종,살인,0.5558342933654785,1
실책,권력,0.5139845013618469,1
실패,후회,0.6084508299827576,10
실화,공포,0.6056075096130371,2
심리,심리,1,1
심정,슬픔,0.5811508297920227,2
십자,상처,0.5313938856124878,1
싸움,전투,0.6696678996086121,2
아내,가족,0.582758903503418,6
아워,액션,0.5549901723861694,4
아카데미,뮤지컬,0.5939404964447021,10
안목,철학,0.5071123242378235,1
안부,대화,0.6139237284660339,1
안팎,내면,0.5116078853607178,1
암살,음모,0.6178366541862488,1
암송,기쁨,0.5814308524131775,1
압박,충격,0.5949738621711731,3
압박감,무력감,0.6311113238334656,1
애국심,자존심,0.5142337679862976,1
애니,만화,0.7641763091087341,1
애니메이션,만화,0.68199223279953,3
야당,정치,0.6626960635185242,4
야욕,권력,0.553051233291626,2
어둠,절망,0.694835364818573,6
어순,철학,0.5456287860870361,1
