Word,Category,Similarity,Frequency
2부,윤리,0.5670897364616394,1
간병,의료,0.7057814002037048,2
감상,음악,0.6411212086677551,3
감성,심리,0.6301533579826355,2
감정,심리,0.7588332891464233,4
거리감,불안,0.5247846245765686,1
게임,만화,0.7299426198005676,1
경제,경제,1,1
경향,정치,0.5916027426719666,1
고통,고통,1,1
고향,시골,0.6128569841384888,12
공부,교육,0.6627280712127686,2
공포,공포,1,3
과정,교육,0.6268183588981628,4
관람,여행,0.5587009191513062,1
관심,기대,0.6249675154685974,1
구조,환경,0.6101574897766113,1
국가,경제,0.7089344263076782,1
군청,시골,0.5034171938896179,4
그림자,유령,0.5297560691833496,1
기대,기대,1,3
기분,유쾌,0.6678951382637024,1
기억,사랑,0.6537694931030273,6
기획,교육,0.625312864780426,1
나날,이별,0.6136053204536438,1
낙방,후회,0.6385146975517273,1
남친,연애,0.6194848418235779,1
남편,가족,0.6233720779418945,1
너머,바다,0.5151404738426208,1
노력,헌신,0.6555296182632446,1
노인,가족,0.6170642375946045,1
노출,충격,0.60725998878479,1
눈물,슬픔,0.6957001090049744,1
느낌,슬픔,0.6343626976013184,16
다툼,갈등,0.7528305649757385,1
단체,종교,0.635517418384552,1
단편,만화,0.737099826335907,5
담배,음식,0.6096588969230652,1
당첨,기대,0.522482693195343,1
대학교,학교,0.5889599323272705,2
도시,도시,1,1
도착,여행,0.6466491222381592,5
독백,고독,0.6572872996330261,1
두려움,두려움,1,1
두절,방송,0.5696694850921631,1
드라마,드라마,1,1
뚝심,열정,0.5767696499824524,1
루틴,기쁨,0.5188190937042236,1
마음,기쁨,0.6783162951469421,12
맞춤,교육,0.5435973405838013,1
매력,열정,0.6489761471748352,2
먹방,음식,0.6508429050445557,1
먹을거리,음식,0.5610687732696533,1
모습,꿈,0.5368646383285522,5
목격,발견,0.6813858151435852,2
목표,성장,0.6552416682243347,1
몽환,공포,0.573314368724823,1
무녀,마법,0.5532649159431458,2
무당,신화,0.5986296534538269,6
무서움,불안,0.5561872124671936,1
물건,인형,0.6116355657577515,2
미래,미래,1,1
미련,고독,0.6796653270721436,1
미스테리,미스터리,0.7573594450950623,3
발견,발견,1,3
방문,여행,0.5841829180717468,1
방출,충격,0.545696496963501,1
배회,수색,0.5202049016952515,3
버스,교통,0.730898916721344,6
부류,자아,0.5049813389778137,1
분리,갈등,0.5047985911369324,1
분석,교육,0.5877142548561096,1
불만,분노,0.6757481098175049,1
비극,살인,0.6638696789741516,2
빈집,도둑,0.6238487958908081,1
사건,살인,0.7159186005592346,1
사내,학교,0.6063098907470703,2
사람,꿈,0.5610076785087585,42
사진,미술,0.5546669960021973,1
산골,시골,0.7590840458869934,3
상상,욕망,0.6180667877197266,1
상황,혼란,0.6442916989326477,1
생각,후회,0.6602693200111389,18
생활,환경,0.7009555697441101,2
선물,사랑,0.605575680732727,1
설득,대화,0.5834951996803284,1
성향,심리,0.5809999704360962,1
세계,경제,0.6071235537528992,2
세상,기쁨,0.6082786321640015,3
센터,의료,0.6881778836250305,1
소꿉,가족,0.5620416402816772,1
소음,환경,0.5501613020896912,2
소절,춤,0.5557035803794861,1
소질,자아,0.6226111650466919,1
수작,개그,0.621087908744812,1
슬픔,슬픔,1,4
시골,시골,1,3
시작,발견,0.534450113773346,17
시험,교육,0.6255394220352173,6
식사,음식,0.727923572063446,2
신경,질병,0.5199351906776428,1
신비,기쁨,0.6222472786903381,1
썸녀,연애,0.6032776236534119,1
아픔,상처,0.7904168963432312,3
악기,음악,0.7113656997680664,1
안심,희망,0.5662862062454224,1
애인,연애,0.6649367809295654,3
애정,사랑,0.719462513923645,1
앵글,액션,0.5800015926361084,2
어린아이,외계인,0.5061091780662537,1
어투,대화,0.5463354587554932,1
엄마,사랑,0.5908297300338745,10
에피소드,드라마,0.5304465889930725,4
연극,미술,0.7502412796020508,1
연인,사랑,0.6981024742126465,2
연출,액션,0.5377380847930908,10
영혼,슬픔,0.7210677266120911,1
영화,만화,0.7536719441413879,136
예고편,드라마,0.5787103772163391,2
예상,기대,0.655988872051239,1
옴니버스,코미디,0.5680863857269287,5
외국어,교육,0.5155206918716431,3
외출,이별,0.5706635117530823,1
우울,불안,0.7772703766822815,2
원고,고문,0.537358820438385,1
위로,바다,0.5024420619010925,3
유령,유령,1,1
음악,음악,1,6
이름,신화,0.5608668327331543,1
이별,이별,1,3
이자,경제,0.5216480493545532,1
이장,동정,0.5199370980262756,1
이질,질병,0.6333496570587158,1
이해,철학,0.5395932197570801,6
인디,액션,0.6633222103118896,3
인물,정치,0.5848035216331482,4
인상,기대,0.6044384241104126,9
인터뷰,다큐멘터리,0.5540832281112671,1
일상,유쾌,0.5978867411613464,3
읽기,대화,0.5175639986991882,1
자아,자아,1,1
자연,환경,0.6941760182380676,1
작가,만화,0.6290877461433411,1
잔재,신화,0.5620097517967224,1
잠결,액션,1,1
장르,음악,0.7329081892967224,2
장면,액션,0.5999083518981934,29
장편,만화,0.7140740752220154,1
재미,모험,0.6051297187805176,4
저녁,음식,0.5039622187614441,1
저승,신화,0.5756393671035767,2
저장,음식,0.5627219080924988,1
전용관,뮤지컬,0.5030120611190796,1
절망,절망,1,1
정보,교통,0.6121577620506287,1
제작,방송,0.6307950615882874,1
조부모,가족,0.5576609373092651,3
주목,기대,0.562468945980072,1
죽음,고독,0.6896678805351257,33
줄거리,드라마,0.531794548034668,3
중점,교육,0.5276418924331665,1
중편,고독,0.5847568511962891,1
지속,성장,0.6684333086013794,1
지역,도시,0.7241222858428955,1
질문,대화,0.5432519912719727,1
짐작,기대,0.5603034496307373,1
처절,의리,0.5655478239059448,3
처지,갈등,0.5487500429153442,1
초복,이별,0.5443756580352783,1
촛불,복고,0.5645776987075806,1
촬영,방송,0.6484997272491455,4
추모,희생,0.5564480423927307,1
추억,사랑,0.6609922647476196,3
추천,여행,0.5768113136291504,1
출연,방송,0.659591019153595,3
충격,충격,1,1
치매,질병,0.6339659690856934,1
칭찬,열정,0.5763967633247375,1
커플,가족,0.6512839198112488,2
특유,춤,0.5365961194038391,1
판타지,판타지,1,1
편안,유쾌,0.6909911036491394,3
평화,평등,0.671115517616272,1
폐가,상처,0.5042445659637451,3
폐허,전쟁,0.5982295274734497,1
표정,유쾌,0.5511194467544556,5
표현,대화,0.5644240975379944,4
학교,학교,1,2
한몫,기대,0.5284513235092163,1
행복,기쁨,0.7726561427116394,3
행색,고독,0.5569513440132141,1
행위,폭력,0.6302486658096313,1
형체,욕망,0.5624823570251465,2
호흡,춤,0.5944341421127319,1
화면,액션,0.6001543998718262,2
확장,교육,0.5293398499488831,1
활동,교육,0.6086112856864929,1
흔적,발견,0.5892268419265747,10
희망,희망,1,1

Category,Count,average
교육,10,0.5852824032306672
기대,8,0.6323876529932022
액션,6,0.6635207732518514
사랑,6,0.6547886927922567
음식,6,0.6026963790257772
만화,5,0.7127752423286438
기쁨,5,0.640063488483429
고독,5,0.6336657404899597
가족,5,0.602284562587738
대화,5,0.5510141491889954
음악,4,0.771348774433136
슬픔,4,0.762782633304596
시골,4,0.718839555978775
경제,4,0.7094265073537827
발견,4,0.7012656927108765
이별,4,0.6821611225605011
드라마,4,0.6602378785610199
환경,4,0.6388625949621201
방송,4,0.6271388232707977
유쾌,4,0.626973107457161
여행,4,0.5915860682725906
신화,4,0.5742864012718201
학교,3,0.7317566076914469
충격,3,0.717652161916097
자아,3,0.7091975013415018
심리,3,0.6566622058550516
연애,3,0.6292330821355184
불안,3,0.6194140712420145
갈등,3,0.602126399676005
열정,3,0.6007141868273417
질병,3,0.5957502722740173
춤,3,0.5622446139653524
도시,2,0.8620611429214478
공포,2,0.7866571843624115
희망,2,0.7831431031227112
유령,2,0.7648780345916748
의료,2,0.6969796419143677
살인,2,0.6898941397666931
교통,2,0.6715283393859863
성장,2,0.6618374884128571
미술,2,0.652454137802124
후회,2,0.6493920087814331
상처,2,0.6473307311534882
욕망,2,0.5902745723724365
정치,2,0.5882031321525574
꿈,2,0.5489361584186554
바다,2,0.5087912678718567
고통,1,1.0
두려움,1,1.0
미래,1,1.0
절망,1,1.0
판타지,1,1.0
미스터리,1,0.7573594450950623
분노,1,0.6757481098175049
평등,1,0.671115517616272
헌신,1,0.6555296182632446
혼란,1,0.6442916989326477
종교,1,0.635517418384552
폭력,1,0.6302486658096313
도둑,1,0.6238487958908081
개그,1,0.621087908744812
인형,1,0.6116355657577515
모험,1,0.6051297187805176
전쟁,1,0.5982295274734497
코미디,1,0.5680863857269287
윤리,1,0.5670897364616394
의리,1,0.5655478239059448
복고,1,0.5645776987075806
희생,1,0.5564480423927307
다큐멘터리,1,0.5540832281112671
마법,1,0.5532649159431458
철학,1,0.5395932197570801
고문,1,0.537358820438385
수색,1,0.5202049016952515
동정,1,0.5199370980262756
외계인,1,0.5061091780662537
뮤지컬,1,0.5030120611190796
