Word,Category,Similarity,Frequency
19금,판타지,0.5272679924964905,1
가능,여행,0.6136982440948486,3
가상,우주,0.619330644607544,1
가수,음악,0.6117961406707764,1
가입,희망,0.5199176073074341,1
가정,가족,0.7013463377952576,1
가족,가족,1,2
가치,윤리,0.6346501111984253,1
가혹,폭력,0.7184136509895325,2
각오,희망,0.5891996622085571,1
간질,질병,0.6509125828742981,1
갈등,갈등,1,1
갈망,욕망,0.7525596022605896,1
감상,음악,0.6411212086677551,4
감정,심리,0.7588332891464233,3
갑을,의리,0.5230704545974731,1
강탈,배신,0.5558199882507324,1
개봉작,드라마,0.5794780254364014,1
개요,여행,0.5623396039009094,1
개입,음모,0.5886576175689697,1
거대,괴물,0.5640032887458801,2
거래,도박,0.6013003587722778,5
거리,도시,0.60332190990448,1
거물,고문,0.5415357947349548,1
거장,미술,0.5483318567276001,1
거짓,범죄,0.5651490092277527,1
거품,충격,0.5463438630104065,1
걱정,후회,0.651527464389801,1
검경,군대,0.5419554710388184,2
검사,심리,0.583127498626709,3
검색,여행,0.6249870657920837,1
검찰,권력,0.591492235660553,7
게임,만화,0.7299426198005676,5
결탁,갈등,0.6806472539901733,3
경제,경제,1,1
계략,군사,0.6058172583580017,1
계파,정치,0.6678840517997742,1
계획,여행,0.6060113906860352,14
고발,범죄,0.5842509865760803,1
고생,고통,0.5584161281585693,1
고위직,군대,0.5437256693840027,1
고충,불안,0.5883891582489014,1
고통,고통,1,1
공격,전투,0.6404148936271667,2
공권력,폭력,0.5053700804710388,2
공부,교육,0.6627280712127686,1
공약,미래,0.5432408452033997,1
공정,평등,0.5861278176307678,1
공천,정치,0.5674523115158081,36
공통,환경,0.583020031452179,1
과반,기대,0.5315589308738708,1
과정,교육,0.6268183588981628,11
관람,여행,0.5587009191513062,19
관심,기대,0.6249675154685974,5
광고,방송,0.6559303998947144,2
괴로움,고통,0.6400415301322937,1
괴물,괴물,1,2
교훈,희망,0.596325695514679,3
구역,도시,0.6346057057380676,1
구조,환경,0.6101574897766113,2
구타,폭력,0.6581145524978638,1
국가,경제,0.7089344263076782,1
국회의원,시민운동,0.5213994383811951,10
군사,군사,1,1
굴복,배신,0.5670102834701538,1
권력,권력,1,30
권력욕,권력,0.5941116213798523,2
권력자,권력,0.6178524494171143,1
권선징악,로맨스,0.5401951670646667,1
그림자,유령,0.5297560691833496,1
극복,고통,0.6304678916931152,1
극비,군사,0.5217694044113159,3
금융,경제,0.7615653276443481,1
긍정,희망,0.608379602432251,1
기대,기대,1,10
기대감,기대,0.6246221661567688,1
기밀,군사,0.5613275766372681,1
기분,유쾌,0.6678951382637024,6
기시감,음모론,0.5551002621650696,2
기억,사랑,0.6537694931030273,2
긴박,유쾌,0.5951035618782043,1
긴장,불안,0.6880083084106445,5
깡패,도둑,0.6545424461364746,8
꼬리,동물,0.517152726650238,1
나물,음식,0.6678498983383179,1
낙마,상실,0.5203374624252319,1
난투극,폭력,0.543147623538971,1
날짜,여행,0.5524149537086487,1
남자,사랑,0.5456969141960144,1
남편,가족,0.6233720779418945,1
납득,용서,0.5769292116165161,2
납치,살인,0.6689104437828064,1
냄새,음식,0.5817655324935913,4
노래,춤,0.7242721915245056,1
노력,헌신,0.6555296182632446,2
노인,가족,0.6170642375946045,3
녹음,음악,0.6460626721382141,1
녹음기,컴퓨터,0.590388298034668,1
누나,가족,0.5465071797370911,1
눈앞,기대,0.5104065537452698,1
느낌,슬픔,0.6343626976013184,21
능력,교육,0.6137364506721497,5
다발,살인,0.5137037634849548,1
다짐,열정,0.6131012439727783,1
단계,성장,0.6726707220077515,3
단상,저항,0.5492252707481384,1
단편,만화,0.737099826335907,1
담배,음식,0.6096588969230652,1
당황,충격,0.6099472045898438,1
대결,갈등,0.5924415588378906,2
대꾸,후회,0.5918521285057068,1
대립,갈등,0.8246769905090332,2
대외,경제,0.6580508947372437,1
대입,교육,0.5688934922218323,1
대출,유령,0.5509581565856934,1
대학원,학교,0.5080148577690125,1
댓가,배신,0.5249300599098206,2
댓글,후회,0.505795419216156,2
도달,발견,0.5293484926223755,2
도시,도시,1,6
도전,열정,0.6956499814987183,1
동영상,가상현실,0.5586168169975281,1
두뇌,과학,0.5985945463180542,4
두려움,두려움,1,1
뒤끝,개그,0.5897234082221985,1
드라마,드라마,1,17
등록,여행,0.5735748410224915,1
뚝심,열정,0.5767696499824524,1
마음,기쁨,0.6783162951469421,10
마케팅,가상현실,0.5079087615013123,1
만족,기대,0.6570032238960266,3
맛깔,유쾌,0.537874162197113,1
맛집,음식,0.6337778568267822,3
매너,음식,0.54179447889328,1
매력,열정,0.6489761471748352,4
먹거리,음식,0.5923094749450684,1
메박,액션,1,1
메시지,대화,0.5048822164535522,5
멸망,멸망,1,1
명작,만화,0.6867616772651672,1
명절,음식,0.602050244808197,1
모략,배신,0.6525670886039734,1
모방,살인,0.515190601348877,1
모색,발견,0.5564829111099243,1
모습,꿈,0.5368646383285522,16
목표,성장,0.6552416682243347,4
몰입,열정,0.6674494743347168,6
무릎,상처,0.5319340229034424,1
무마,폭력,0.5678592324256897,1
무속,종교,0.7344335317611694,1
문제,갈등,0.6495088934898376,10
미드,정글,0.6025518774986267,1
미친개,괴물,0.5683534741401672,1
민낯,충격,0.5121684670448303,1
민주주의,시민운동,0.6024901866912842,1
밀도,저항,0.5150157809257507,1
바다,바다,1,2
반란,반란,1,1
반문,신화,0.5213050246238708,1
반응,충격,0.5951288342475891,2
발전,성장,0.7311267852783203,1
방문,여행,0.5841829180717468,1
방해,혼란,0.5498800277709961,5
방향,미래,0.5546501278877258,2
배려,헌신,0.6277512907981873,1
배신,배신,1,12
배신감,죄책감,0.7084836959838867,2
배지,동물,0.5677112340927124,1
배후,음모,0.5052520632743835,2
뱃지,인형,0.5093172788619995,3
번복,이별,0.5030183792114258,3
범죄,범죄,1,25
범죄자,범죄,0.5728323459625244,1
변모,성장,0.627336323261261,1
변수,불안,0.5909573435783386,1
변심,고독,0.6129739880561829,1
변화,성장,0.7235260605812073,2
보도,방송,0.6695681214332581,2
보복,폭력,0.687204122543335,1
복사,발견,0.5001623630523682,1
복수심,죄책감,0.6118570566177368,2
복제,동물,0.5838690400123596,1
봄날,이별,0.6270255446434021,2
봉투,도둑,0.5675815343856812,3
부인,가족,0.5428288578987122,1
부정,폭력,0.6489901542663574,17
부패,범죄,0.6599663496017456,1
분야,과학,0.6800429821014404,1
불굴,희생,0.52096027135849,1
불꽃,꿈,0.6512660980224609,1
불법,범죄,0.6486050486564636,11
비디오,컴퓨터,0.6554548740386963,1
비리,범죄,0.6398225426673889,9
비서,탐정,0.5611511468887329,1
비열,저항,0.5966613292694092,1
비중,성장,0.5152275562286377,1
비트,액션,0.5860874652862549,1
빈약,기대,0.5086852312088013,1
빌미,괴담,0.5338877439498901,1
사건,살인,0.7159186005592346,5
사냥개,유령,0.5520978569984436,1
사람,꿈,0.5610076785087585,31
사례,교육,0.6318955421447754,1
사명감,열정,0.6485658884048462,1
사운드,음악,0.5262696146965027,1
사전,교육,0.5635393261909485,1
사진,미술,0.5546669960021973,4
사채업자,도둑,0.5499154925346375,1
사탕,인형,0.6739246249198914,1
사항,여행,0.572464108467102,1
사회,경제,0.8096231818199158,3
살인,살인,1,1
삼류,만화,0.6614797115325928,1
상대,추격,0.558393657207489,3
상반,기대,0.5090402364730835,1
상상,욕망,0.6180667877197266,3
상영,방송,0.6350025534629822,3
상황,혼란,0.6442916989326477,7
새끼,동물,0.6447408199310303,1
생각,후회,0.6602693200111389,34
생산,농업,0.6487099528312683,1
생존,생존,1,1
생쥐,동물,0.7270085215568542,1
서치,액션,0.5209937691688538,1
석사,교육,0.5729935765266418,1
선거,정치,0.6827003955841064,64
선전,정치,0.5829622745513916,2
선택,희망,0.5827092528343201,3
설문,교육,0.5877143144607544,1
성공,성장,0.6859850287437439,8
세간,자아,0.5878546237945557,1
세계,경제,0.6071235537528992,3
세상,기쁨,0.6082786321640015,21
셀프,액션,0.6212833523750305,1
소득,경제,0.648128092288971,1
소비,경제,0.6587632894515991,1
소풍,여행,0.5816136598587036,1
속성,환경,0.6046976447105408,1
손발,상처,0.5660101771354675,1
손익,경제,0.5327790975570679,2
손해,후회,0.5230175852775574,1
솜씨,춤,0.5051486492156982,1
수사,범죄,0.673683226108551,2
수습,혼란,0.5311461687088013,1
숙적,배신,0.547491729259491,1
스릴러,스릴러,1,8
스틸,액션,0.5995299220085144,6
시대극,드라마,0.6777624487876892,1
시련,절망,0.6770740151405334,1
시사,정치,0.7213011980056763,1
시신,수색,0.6265639066696167,1
시작,발견,0.534450113773346,17
시장,경제,0.6355687975883484,2
시청,방송,0.6024045944213867,1
식구,가족,0.6756171584129333,1
신경,질병,0.5199351906776428,1
신념,욕망,0.6720592975616455,1
신스틸러,드라마,0.5632084608078003,1
신작,만화,0.6367781758308411,3
실력파,뮤지컬,0.5257112979888916,1
실망감,무력감,0.6360117197036743,1
실세,권력,0.6756688356399536,22
실패,후회,0.6084508299827576,4
실화,공포,0.6056075096130371,5
심문,고문,0.6351572871208191,1
심사,교육,0.5537958741188049,1
싸움,전투,0.6696678996086121,9
아내,가족,0.582758903503418,1
아웃,액션,0.5564733147621155,1
아재,개그,0.652924656867981,1
아카데미,뮤지컬,0.5939404964447021,1
악마,괴물,0.7208051085472107,6
악인,배신,0.5918014645576477,16
악질,독재,0.5931555032730103,1
안면,상처,0.5154585242271423,1
암수,동물,0.579461932182312,1
앙금,열정,0.5213291049003601,1
앞날,미래,0.573104202747345,1
애매,유쾌,0.5057909488677979,2
애정,사랑,0.719462513923645,2
액션,액션,1,5
약점,배신,0.5301685929298401,2
양가,가족,0.6494414806365967,1
양산,생존,0.5309751033782959,1
양자,대화,0.5467797517776489,1
어둠,절망,0.694835364818573,5
어린이집,학교,0.5558413863182068,1
어필,열정,0.5022490620613098,1
언론,정치,0.741054117679596,3
여당,정치,0.6055628657341003,3
여론,정치,0.6992284059524536,1
여우,동물,0.6776934266090393,1
여지,의심,0.5871012210845947,1
여행,여행,1,2
역사,철학,0.6869469285011292,2
역설,미래,0.5096436142921448,1
역전,살인,0.5333908200263977,3
연가,사랑,0.6094855070114136,1
연설,전쟁,0.575287401676178,2
연습,전투,0.5603004097938538,1
연줄,권력,0.6337330937385559,1
연출,액션,0.5377380847930908,7
열변,액션,1,1
열풍,복고,0.5646018981933594,1
염려,불안,0.6227399110794067,1
영향,기대,0.5794242024421692,2
영혼,슬픔,0.7210677266120911,3
영화,만화,0.7536719441413879,237
영화관,드라마,0.5831791758537292,4
예고편,드라마,0.5787103772163391,6
예상,기대,0.655988872051239,7
오락,도박,0.677858829498291,1
온라인,교육,0.5160459876060486,1
올림픽,스포츠,0.6479299068450928,1
외압,권력,0.6317509412765503,1
욕망,욕망,1,10
욕심,욕망,0.6326161026954651,8
운운,의심,0.5061776638031006,1
운전,교통,0.6394338011741638,1
원본,만화,0.5679762363433838,1
위기,혼란,0.6975850462913513,3
위반,범죄,0.5682921409606934,1
위탁,교육,0.5505252480506897,1
위험,불안,0.6922099590301514,4
위협,폭력,0.639009416103363,1
유발,의심,0.6065707206726074,1
음모,음모,1,3
음악,음악,1,2
음악인,뮤지컬,0.5558468699455261,1
의견,갈등,0.5687873959541321,1
의무,윤리,0.6379601955413818,1
의심,의심,1,1
의욕,열정,0.6521819233894348,1
의자,인형,0.6082906723022461,1
