Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,2
가슴,상처,0.6098507642745972,1
가업,의리,0.526752233505249,1
가치,윤리,0.6346501111984253,1
가혹,폭력,0.7184136509895325,1
각지,도시,0.5373378992080688,2
갈등,갈등,1,3
감상,음악,0.6411212086677551,4
감옥,감옥,1,6
감정,심리,0.7588332891464233,1
감탄,열정,0.5392419099807739,1
감행,추격,0.5397303700447083,1
강도,저항,0.6040131449699402,1
강력,충격,0.5549739599227905,1
개요,여행,0.5623396039009094,1
거리,도시,0.60332190990448,2
검색,여행,0.6249870657920837,1
검토,여행,0.5617150664329529,1
결제,여행,0.5954683423042297,1
결혼,연애,0.6863196492195129,1
경험,열정,0.6344258189201355,1
고급,음식,0.5831040740013123,1
고초,고통,0.6023682951927185,1
고통,고통,1,2
고향,시골,0.6128569841384888,1
공정,평등,0.5861278176307678,1
공통,환경,0.583020031452179,2
공포,공포,1,1
공항,교통,0.7404273152351379,1
과정,교육,0.6268183588981628,2
관람,여행,0.5587009191513062,3
관측,우주,0.5884171724319458,2
광고,방송,0.6559303998947144,1
교육,교육,1,1
구금,수색,0.5746465921401978,1
구조,환경,0.6101574897766113,2
국가,경제,0.7089344263076782,1
군부,독재,0.7003925442695618,1
궁극,생존,0.5224151611328125,1
권력,권력,1,1
규범,윤리,0.7303454875946045,1
그래픽,컴퓨터,0.6070578694343567,1
극단,미술,0.5709163546562195,1
극한,생존,0.5677410364151001,1
근처,학교,0.5683311223983765,1
금욕,고독,0.582161545753479,1
금지,도박,0.519909143447876,1
급행,교통,0.5596449971199036,1
기대,기대,1,1
기악,음악,0.6995739936828613,1
기억,사랑,0.6537694931030273,7
긴장,불안,0.6880083084106445,2
낙인,충격,0.5184834003448486,1
날짜,여행,0.5524149537086487,2
남자,사랑,0.5456969141960144,6
냉전,전쟁,0.6666041016578674,1
너머,바다,0.5151404738426208,1
노력,헌신,0.6555296182632446,1
노출,충격,0.60725998878479,1
논란,갈등,0.5854588747024536,2
누명,살인,0.5723448395729065,1
눈물,슬픔,0.6957001090049744,2
느낌,슬픔,0.6343626976013184,7
다짐,열정,0.6131012439727783,1
단속,범죄,0.5896289348602295,1
단층,미술,0.5329630374908447,1
대낮,살인,0.5650933980941772,1
대목,꿈,0.5127710700035095,1
데이터,컴퓨터,0.5682036876678467,1
도덕,윤리,0.8225712776184082,1
독방,감옥,0.6755964159965515,1
독특,춤,0.5334261655807495,2
동굴,바다,0.6222226619720459,1
돼지,동물,0.6352735757827759,3
돼지고기,음식,0.5820161700248718,1
되내,액션,1,1
드라마,드라마,1,1
디스토피아,공상과학,0.6713545918464661,3
로드무비,드라마,0.5140120983123779,2
마약,범죄,0.71501225233078,7
마음,기쁨,0.6783162951469421,7
매력,열정,0.6489761471748352,4
메시지,대화,0.5048822164535522,1
메일,만화,0.5050849914550781,1
명작,만화,0.6867616772651672,2
모바일,컴퓨터,0.590937614440918,2
모습,꿈,0.5368646383285522,2
모욕,폭력,0.6555696129798889,1
모험,모험,1,1
목격,발견,0.6813858151435852,1
몰이,좀비,0.5280947089195251,1
무슬림,종교,0.547084629535675,1
문제,갈등,0.6495088934898376,2
물품,인형,0.5920984745025635,1
미래,미래,1,2
미안,후회,0.5432184934616089,1
밀수,범죄,0.6525008082389832,1
반발,저항,0.5964624285697937,1
발견,발견,1,2
발생,혼란,0.6102904081344604,8
발언,대화,0.537577211856842,1
발행,만화,0.5132414698600769,1
방문,여행,0.5841829180717468,1
방문지,여행,0.5668389201164246,2
배설,음식,0.5533545613288879,1
범죄,범죄,1,1
변론,법정,0.5465629696846008,1
보살핌,고통,0.5492244362831116,1
복도,유령,0.5545416474342346,1
복합,의료,0.577019214630127,1
부정,폭력,0.6489901542663574,1
분주,저항,0.5748528242111206,1
불안,불안,1,2
사건,살인,0.7159186005592346,3
사람,꿈,0.5610076785087585,13
사랑,사랑,1,2
사법,법정,0.6408103108406067,2
사운드,음악,0.5262696146965027,2
