Word,Category,Similarity,Frequency
가구,가족,0.611595630645752,1
가능,여행,0.6136982440948486,4
가슴,상처,0.6098507642745972,1
가족,가족,1,7
갈망,욕망,0.7525596022605896,1
감동,기쁨,0.6450744271278381,3
감상,음악,0.6411212086677551,6
감탄,열정,0.5392419099807739,2
갑툭튀,음모론,0.5070508718490601,1
강도,저항,0.6040131449699402,1
강력,충격,0.5549739599227905,11
강박,자아,0.6491145491600037,1
거대,괴물,0.5640032887458801,1
거래,도박,0.6013003587722778,1
거미집,동물,0.5140861868858337,3
걱정,후회,0.651527464389801,4
게임,만화,0.7299426198005676,2
격돌,추격,0.6100903153419495,1
격투,액션,0.6852583885192871,1
결전,전투,0.6634336709976196,2
경쟁,갈등,0.6576756238937378,1
경험,열정,0.6344258189201355,3
계시,기쁨,0.5932968854904175,1
계절,이별,0.5606238842010498,1
계획,여행,0.6060113906860352,1
고딕,복고,0.60976642370224,1
고릴라,외계인,0.5214260220527649,1
고생,고통,0.5584161281585693,1
고전,미술,0.6437533497810364,2
고통,고통,1,4
고해,이별,0.5976052284240723,1
고향,시골,0.6128569841384888,1
공격,전투,0.6404148936271667,4
공급,교육,0.5476977229118347,1
공략,추격,0.5841163992881775,1
공연,음악,0.7031762599945068,3
공조,액션,0.5622533559799194,1
공짜,좀비,0.531777560710907,1
공포,공포,1,121
공포감,무력감,0.6693056225776672,7
과도,권력,0.5410835146903992,1
과시,열정,0.509526789188385,1
과정,교육,0.6268183588981628,7
관람,여행,0.5587009191513062,12
괴롭힘,죄책감,0.5694694519042969,2
괴수,괴물,0.711188793182373,1
교장,좀비,0.5557513236999512,1
교회,종교,0.6748078465461731,3
구조,환경,0.6101574897766113,2
국가,경제,0.7089344263076782,6
굴절,충격,0.5108532309532166,1
그림자,유령,0.5297560691833496,2
극복,고통,0.6304678916931152,1
극장가,드라마,0.5290873050689697,6
금지,도박,0.519909143447876,2
기계,전기,0.6900599598884583,1
기대,기대,1,17
기대감,기대,0.6246221661567688,1
기대치,기대,0.6108274459838867,1
기분,유쾌,0.6678951382637024,3
기숙,학교,0.7479764223098755,7
기숙사,학교,0.5904747843742371,2
기억,사랑,0.6537694931030273,12
기타,음악,0.5873071551322937,1
기획,교육,0.625312864780426,1
긴박감,유쾌,0.531667947769165,1
긴장,불안,0.6880083084106445,1
깨알,개그,0.5848792195320129,1
꽃씨,꿈,0.6421613097190857,1
나날,이별,0.6136053204536438,1
나잉,액션,1,1
낙마,상실,0.5203374624252319,1
날씨,환경,0.6094790697097778,1
남매,가족,0.677724301815033,1
남발,괴담,0.5062358379364014,1
남자,사랑,0.5456969141960144,3
남편,가족,0.6233720779418945,1
납치,살인,0.6689104437828064,1
낭비,혼란,0.5356693863868713,2
노력,헌신,0.6555296182632446,1
논리,철학,0.5892475247383118,1
놀이,춤,0.6705771684646606,1
누드,폭력,0.5381184220314026,1
눈물,슬픔,0.6957001090049744,1
느낌,슬픔,0.6343626976013184,28
능력,교육,0.6137364506721497,3
다큐멘터리,다큐멘터리,1,1
단련,춤,0.5826825499534607,1
단체,종교,0.635517418384552,1
담배,음식,0.6096588969230652,1
대결,갈등,0.5924415588378906,4
대적,추격,0.5902887582778931,1
대항,폭력,0.5444368720054626,1
댓글,후회,0.505795419216156,1
데뷔작,드라마,0.5683770775794983,2
데이터,컴퓨터,0.5682036876678467,1
도움,기대,0.5482439994812012,4
동심,사랑,0.569958508014679,1
동영상,가상현실,0.5586168169975281,2
둔감,무력감,0.5871251225471497,1
드라마,드라마,1,6
딱지,인형,0.5324317216873169,1
떼문,액션,1,1
라스트,카우보이,0.5365300178527832,2
레이스,스포츠,0.55909663438797,1
로맨스,로맨스,1,2
리메이크,드라마,0.5311616063117981,1
마당,가족,0.5519530773162842,1
마라톤,스포츠,0.6136941909790039,3
마법,마법,1,1
마음,기쁨,0.6783162951469421,3
만족,기대,0.6570032238960266,3
맛집,음식,0.6337778568267822,1
매거진,드라마,0.5009645223617554,2
매니아,판타지,0.5267682075500488,1
매력,열정,0.6489761471748352,2
맵큰,액션,1,1
먹거리,음식,0.5923094749450684,1
메시지,대화,0.5048822164535522,1
메일,만화,0.5050849914550781,1
명절,음식,0.602050244808197,7
모독,분노,0.6484084725379944,1
모습,꿈,0.5368646383285522,29
모욕,폭력,0.6555696129798889,1
목격,발견,0.6813858151435852,1
목표,성장,0.6552416682243347,1
몰입,열정,0.6674494743347168,3
무서움,불안,0.5561872124671936,5
문제,갈등,0.6495088934898376,3
물리,과학,0.7363146543502808,1
미션,액션,0.6060617566108704,2
미스터리,미스터리,1,9
미스테리,미스터리,0.7573594450950623,5
바디,액션,0.6481185555458069,1
바퀴,인형,0.504509449005127,1
반공,독재,0.6549791097640991,1
발견,발견,1,7
발란,액션,1,1
발생,혼란,0.6102904081344604,7
발휘,기대,0.5250481367111206,1
방어,전투,0.6440592408180237,2
방해,혼란,0.5498800277709961,1
배급,교육,0.5531435608863831,1
배급사,드라마,0.5019193887710571,2
배달,음식,0.6220709681510925,1
배탈,음식,0.5448530912399292,1
뱀파이어,흡혈귀,0.6941889524459839,1
벌레,동물,0.6886223554611206,1
베테랑,탐정,0.5211659669876099,1
벽면,용기,0.5117151737213135,1
벽지,미술,0.628760576248169,1
변동,혼란,0.5747342705726624,1
변화,성장,0.7235260605812073,2
본능,욕망,0.7253124713897705,2
본론,윤리,0.5625672340393066,1
부모,가족,0.6875284910202026,1
