Word,Category,Similarity,Frequency
19금,판타지,0.5272679924964905,1
가구,가족,0.611595630645752,1
가능,여행,0.6136982440948486,4
가상,우주,0.619330644607544,1
가정교육,교육,0.5400468111038208,1
갈등,갈등,1,2
갈망,욕망,0.7525596022605896,1
감동,기쁨,0.6450744271278381,2
감상,음악,0.6411212086677551,15
감정,심리,0.7588332891464233,4
갑툭튀,음모론,0.5070508718490601,1
강압,권력,0.5841453671455383,1
강타,충격,0.5686725378036499,1
개요,여행,0.5623396039009094,1
거대,괴물,0.5640032887458801,2
거리,도시,0.60332190990448,2
거울,용기,0.5582752227783203,2
건물,학교,0.6180571913719177,2
검사,심리,0.583127498626709,1
검색,여행,0.6249870657920837,4
격려,동정,0.5737254619598389,1
결점,상처,0.5049402117729187,1
결혼,연애,0.6863196492195129,1
경고,의심,0.5979491472244263,1
경험,열정,0.6344258189201355,2
계단,괴담,0.5106033086776733,1
계층,환경,0.5694180130958557,1
계획,여행,0.6060113906860352,1
고급,음식,0.5831040740013123,2
고령,가족,0.5334233045578003,1
고전,미술,0.6437533497810364,3
고통,고통,1,2
고풍,기쁨,0.5386812686920166,3
공부,교육,0.6627280712127686,1
공정,평등,0.5861278176307678,1
공포,공포,1,41
공포감,무력감,0.6693056225776672,5
과정,교육,0.6268183588981628,3
관람,여행,0.5587009191513062,8
관심,기대,0.6249675154685974,2
관음,만화,0.5297953486442566,4
관찰,발견,0.5781939625740051,1
굉음,절망,0.5760860443115234,3
교정,교육,0.6010701060295105,1
국가,경제,0.7089344263076782,3
굴절,충격,0.5108532309532166,1
규범,윤리,0.7303454875946045,1
규칙,윤리,0.5834123492240906,7
극단,미술,0.5709163546562195,1
금지,도박,0.519909143447876,1
긍정,희망,0.608379602432251,1
기대,기대,1,3
기대감,기대,0.6246221661567688,2
기술,농업,0.6986809968948364,1
기억,사랑,0.6537694931030273,2
기획,교육,0.625312864780426,2
긴박,유쾌,0.5951035618782043,1
긴박감,유쾌,0.531667947769165,1
긴장,불안,0.6880083084106445,2
꽁냥,액션,1,1
나날,이별,0.6136053204536438,1
낙서,폭력,0.5975281000137329,2
난무,괴담,0.5966172814369202,3
난임,의료,0.573151171207428,3
남녀,평등,0.5715689063072205,1
남자,사랑,0.5456969141960144,7
남편,가족,0.6233720779418945,3
납득,용서,0.5769292116165161,1
내막,충격,0.5473086833953857,1
내면,내면,1,1
