Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,7
가상,우주,0.619330644607544,5
가입,희망,0.5199176073074341,2
가족,가족,1,2
가치,윤리,0.6346501111984253,1
갈등,갈등,1,1
감동,기쁨,0.6450744271278381,5
감상,음악,0.6411212086677551,12
감식,수색,0.5954192876815796,3
감전,충격,0.6082007884979248,3
감정,심리,0.7588332891464233,2
강박,자아,0.6491145491600037,1
개념,교육,0.6287856698036194,1
개요,여행,0.5623396039009094,1
거래,도박,0.6013003587722778,1
거리감,불안,0.5247846245765686,1
거짓말,부도덕,0.5334540605545044,4
검색,여행,0.6249870657920837,2
게임,만화,0.7299426198005676,1
게재,만화,0.5185191035270691,3
결백,부도덕,0.591943085193634,1
결혼,연애,0.6863196492195129,2
경각,유쾌,0.5532318949699402,1
경악,충격,0.724260687828064,3
경험,열정,0.6344258189201355,7
고립감,무력감,0.738244891166687,1
고비,희망,0.530087947845459,1
고속,교통,0.5951749682426453,1
고통,고통,1,1
공격,전투,0.6404148936271667,1
공모,미술,0.5397971272468567,1
공통,환경,0.583020031452179,1
공포,공포,1,51
공포물,개그,0.6559643149375916,1
과시,열정,0.509526789188385,1
과정,교육,0.6268183588981628,7
과학,과학,1,1
관람,여행,0.5587009191513062,8
관심,기대,0.6249675154685974,1
괴물,괴물,1,2
국가,경제,0.7089344263076782,3
권총,도둑,0.5374994874000549,3
균형,질서,0.6706463098526001,1
그래픽,컴퓨터,0.6070578694343567,1
극복,고통,0.6304678916931152,1
금지,도박,0.519909143447876,1
기대,기대,1,3
기분,유쾌,0.6678951382637024,2
기억,사랑,0.6537694931030273,3
기획,교육,0.625312864780426,1
긴장,불안,0.6880083084106445,3
꽃미남,로맨스,0.598773181438446,2
꽃밭,꿈,0.6128173470497131,1
꿈속,꿈,0.5705016851425171,1
남자,사랑,0.5456969141960144,2
납득,용서,0.5769292116165161,1
납치,살인,0.6689104437828064,6
낭비,혼란,0.5356693863868713,1
내께,액션,1,1
내막,충격,0.5473086833953857,2
내면,내면,1,2
