Word,Category,Similarity,Frequency
가난,고통,0.7040712237358093,1
가능,여행,0.6136982440948486,5
가슴,상처,0.6098507642745972,5
가정,가족,0.7013463377952576,1
가족,가족,1,11
갈등,갈등,1,2
갈증,기쁨,0.6175435781478882,1
감동,기쁨,0.6450744271278381,4
감상,음악,0.6411212086677551,3
감시,범죄,0.5818687081336975,3
감염,질병,0.6859014630317688,1
감정,심리,0.7588332891464233,6
개봉작,드라마,0.5794780254364014,1
거대,괴물,0.5640032887458801,4
거리,도시,0.60332190990448,1
거물,고문,0.5415357947349548,1
거액,도박,0.5036361217498779,2
걱정,후회,0.651527464389801,3
검사,심리,0.583127498626709,2
검출,발견,0.6066651344299316,2
경례,춤,0.5739671587944031,2
경제,경제,1,1
경험,열정,0.6344258189201355,1
고령,가족,0.5334233045578003,1
고비,희망,0.530087947845459,1
고통,고통,1,2
곤궁,무력감,0.6433359384536743,1
공급,교육,0.5476977229118347,2
과정,교육,0.6268183588981628,3
과학자,과학,0.5320860147476196,4
관람,여행,0.5587009191513062,3
관여,기대,0.5187691450119019,1
교외,도시,0.6819154620170593,1
교훈,희망,0.596325695514679,1
국가,경제,0.7089344263076782,15
국외,여행,0.5387252569198608,2
군대,군대,1,1
군복,군대,0.6708796620368958,1
군인,군대,0.6802380084991455,21
귀국,여행,0.5005411505699158,1
극복,고통,0.6304678916931152,1
극비,군사,0.5217694044113159,3
근심,슬픔,0.7307228446006775,2
근처,학교,0.5683311223983765,1
금지,도박,0.519909143447876,1
급여,법정,0.5327235460281372,2
기대,기대,1,1
기밀,군사,0.5613275766372681,2
기술,농업,0.6986809968948364,2
기억,사랑,0.6537694931030273,3
기타,음악,0.5873071551322937,1
남자,사랑,0.5456969141960144,3
남편,가족,0.6233720779418945,1
넘사벽,언더독,0.5530304312705994,1
노조,학교,0.6147674918174744,1
노트북,컴퓨터,0.692142903804779,1
노후,불안,0.5608594417572021,1
뉴스,방송,0.70646071434021,1
느낌,슬픔,0.6343626976013184,1
능청,유쾌,0.6301367878913879,1
단체,종교,0.635517418384552,5
당황,충격,0.6099472045898438,2
대역,방송,0.5083501935005188,1
대출,유령,0.5509581565856934,1
대항,폭력,0.5444368720054626,1
데이터,컴퓨터,0.5682036876678467,2
도급,법정,0.5203813314437866,1
도망,도둑,0.5489647388458252,1
도착,여행,0.6466491222381592,1
독특,춤,0.5334261655807495,1
두려움,두려움,1,1
드라마,드라마,1,2
또래,가족,0.6356732845306396,1
로맨스,로맨스,1,1
로열패밀리,드라마,0.5597202777862549,1
마음,기쁨,0.6783162951469421,4
만족,기대,0.6570032238960266,4
망신,도둑,0.5133843421936035,1
매드,정글,0.5962803959846497,1
매력,열정,0.6489761471748352,4
매체,방송,0.6981302499771118,1
먹거리,음식,0.5923094749450684,1
면모,자아,0.5388920903205872,1
명령,군사,0.5395892262458801,1
명작,만화,0.6867616772651672,2
모습,꿈,0.5368646383285522,6
모양,인형,0.6405982375144958,1
모험,모험,1,1
목장,시골,0.5894415974617004,1
목표,성장,0.6552416682243347,1
몰수,도박,0.5112819671630859,1
몰입,열정,0.6674494743347168,4
무릎,상처,0.5319340229034424,7
문제,갈등,0.6495088934898376,4
뮤비,음악,0.6098979711532593,2
미군,군사,0.6460919976234436,5
미납,법정,0.5142479538917542,1
미션,액션,0.6060617566108704,8
민병대,전투,0.5104473233222961,1
바이러스,질병,0.5053297281265259,7
박탈,상실,0.673868715763092,3
방지,충격,0.5433129668235779,1
방향,미래,0.5546501278877258,2
배급,교육,0.5531435608863831,1
배려,헌신,0.6277512907981873,1
배신,배신,1,1
배신감,죄책감,0.7084836959838867,1
백신,의료,0.5905396342277527,3
백업,환경,0.5367010235786438,1
번개,도둑,0.5835573077201843,1
범죄,범죄,1,1
베테랑,탐정,0.5211659669876099,1
벼랑,절망,0.5671937465667725,1
벽안,인형,0.5529040098190308,2
변화,성장,0.7235260605812073,1
병원균,질병,0.5196609497070312,1
보험,의료,0.7324044108390808,3
복귀,생존,0.5351816415786743,1
복지,교육,0.7402962446212769,3
본사,학교,0.5560317039489746,4
부대,군대,0.6763806939125061,14
부대원,군대,0.5070174336433411,7
부인,가족,0.5428288578987122,1
부정,폭력,0.6489901542663574,1
부종,질병,0.6112443208694458,1
분노,분노,1,1
분석,교육,0.5877142548561096,1
분통,분노,0.5459387302398682,1
불법,범죄,0.6486050486564636,1
불안,불안,1,3
불행,절망,0.6734789609909058,3
비디오,컴퓨터,0.6554548740386963,1
비정,상실,0.5024368166923523,2
비중,성장,0.5152275562286377,1
빈혈,질병,0.6702291965484619,1
빚쟁이,도둑,0.5471546649932861,1
빵야빵야,개그,0.5321640372276306,1
뼛속,고통,0.5342979431152344,3
사건,살인,0.7159186005592346,3
사고,의심,0.5630502700805664,1
사람,꿈,0.5610076785087585,7
사랑,사랑,1,3
사례,교육,0.6318955421447754,2
사설,재난,0.5673307776451111,4
사전,교육,0.5635393261909485,1
사진,미술,0.5546669960021973,1
사회,경제,0.8096231818199158,6
살림,경제,0.5295937657356262,2
살인,살인,1,1
살해,살인,0.6861730217933655,2
상황,혼란,0.6442916989326477,5
생각,후회,0.6602693200111389,11
생화학,과학,0.5613106489181519,2
생활,환경,0.7009555697441101,1
서사,신화,0.6202012896537781,1
선가,신화,0.5061306953430176,1
선임,고문,0.5488312840461731,1
선택,희망,0.5827092528343201,6
설득,대화,0.5834951996803284,1
성공,성장,0.6859850287437439,4
성장,성장,1,1
세계,경제,0.6071235537528992,4
세상,기쁨,0.6082786321640015,2
센터,의료,0.6881778836250305,1
소굴,음모,0.5808374881744385,1
소란,폭력,0.6053000092506409,2
소음,환경,0.5501613020896912,2
수락,대화,0.551040768623352,2
수술,상처,0.585891604423523,1
수행,성장,0.5646498799324036,7
스릴,액션,0.6477225422859192,2
스릴러,스릴러,1,14
스틸,액션,0.5995299220085144,1
스파이,드라마,0.5523907542228699,1
스포츠,스포츠,1,1
시골,시골,1,1
시리즈,만화,0.5106303691864014,2
시작,발견,0.534450113773346,4
시즌,방송,0.5284544229507446,2
시카리오,스릴러,0.51005619764328,1
식당,음식,0.6759225726127625,1
신경,질병,0.5199351906776428,1
신분,평등,0.5665543079376221,1
신비,기쁨,0.6222472786903381,1
신작,만화,0.6367781758308411,1
신체,자아,0.5770981311798096,2
실력,춤,0.5194166302680969,1
실시,교육,0.5766685009002686,1
심장,기쁨,0.5264105200767517,1
십자,상처,0.5313938856124878,1
아내,가족,0.582758903503418,5
아들,가족,0.5667959451675415,6
악당,좀비,0.6801067590713501,3
악수,대화,0.5958215594291687,1
악액질,질병,0.5244223475456238,1
악화,혼란,0.6455839276313782,1
안보,경제,0.724059522151947,2
암살자,흡혈귀,0.5788726210594177,1
압류,도박,0.5081636309623718,1
압박,충격,0.5949738621711731,1
애석,슬픔,0.5296512842178345,1
액션,액션,1,34
액션물,스릴러,0.6431871652603149,3
야전,군사,0.6391071677207947,1
약물,질병,0.6198446154594421,7
약제,질병,0.627418577671051,1
얄상,액션,1,1
어필,열정,0.5022490620613098,1
언론,정치,0.741054117679596,1
업계,방송,0.5229802131652832,1
여행,여행,1,1
역사,철학,0.6869469285011292,1
연계,교육,0.5888965725898743,1
연금,경제,0.611906886100769,5
연작,유령,0.5906467437744141,1
연출,액션,0.5377380847930908,1
영향,기대,0.5794242024421692,2
영혼,슬픔,0.7210677266120911,1
영화,만화,0.7536719441413879,86
영화관,드라마,0.5831791758537292,1
예고편,드라마,0.5787103772163391,3
예방,질병,0.6877777576446533,1
예상,기대,0.655988872051239,1
옛날,시골,0.5727385878562927,1
오락물,코미디,0.5855786204338074,1
오해,상처,0.5473958253860474,1
욕조,여행,0.6723040342330933,1
용역,수색,0.5119978189468384,2
우려,혼란,0.6615874171257019,1
운동선수,스포츠,0.6130902171134949,2
웃음,개그,0.6434062123298645,2
원톱,언더독,0.5615196228027344,2
위기,혼란,0.6975850462913513,7
위로,바다,0.5024420619010925,3
위장,질병,0.5374902486801147,1
위험,불안,0.6922099590301514,1
위협,폭력,0.639009416103363,6
육군,군대,0.749611496925354,2
은퇴,미래,0.5451258420944214,3
음모,음모,1,4
의료,의료,1,2
의무,윤리,0.6379601955413818,1
의외,충격,0.5524848699569702,1
의존,불안,0.6040859818458557,1
이름,신화,0.5608668327331543,3
이해,철학,0.5395932197570801,1
인물,정치,0.5848035216331482,8
인상,기대,0.6044384241104126,7
일상,유쾌,0.5978867411613464,1
일자리,희망,0.5018449425697327,2
입금,여행,0.5090913772583008,1
자격,상실,0.5623282790184021,1
