Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,4
가입,희망,0.5199176073074341,3
가정,가족,0.7013463377952576,1
가족,가족,1,1
가치,윤리,0.6346501111984253,1
갈등,갈등,1,3
감내,고통,0.5415177941322327,1
감동,기쁨,0.6450744271278381,5
감상,음악,0.6411212086677551,12
감성,심리,0.6301533579826355,1
감정,심리,0.7588332891464233,12
거래,도박,0.6013003587722778,1
건설,도시,0.6078121066093445,1
검색,여행,0.6249870657920837,2
결별,이별,0.5961124300956726,2
결혼,연애,0.6863196492195129,2
경제,경제,1,1
경험,열정,0.6344258189201355,3
공부,교육,0.6627280712127686,1
교수,윤리,0.563416063785553,2
긍정,희망,0.608379602432251,1
기력,전투,0.5499060750007629,2
기숙사,학교,0.5904747843742371,1
남자,사랑,0.5456969141960144,4
남편,가족,0.6233720779418945,12
내면,내면,1,3
내조,권력,0.5868105292320251,1
냉소주의,부도덕,0.6181780099868774,1
놀림,상처,0.6173624396324158,1
눈길,동정,0.5653472542762756,1
느낌,슬픔,0.6343626976013184,1
다시보기,드라마,0.5788900852203369,1
단절,상실,0.6133437752723694,1
데이트,로맨스,0.5355676412582397,2
도움,기대,0.5482439994812012,1
도전,열정,0.6956499814987183,2
드라마,드라마,1,6
등록,여행,0.5735748410224915,5
디너,음식,0.5245805978775024,2
또래,가족,0.6356732845306396,1
마음,기쁨,0.6783162951469421,3
만끽,평온,0.5107535123825073,1
매력,열정,0.6489761471748352,1
메시지,대화,0.5048822164535522,1
모교,학교,0.5476897954940796,1
모바일,컴퓨터,0.590937614440918,2
모습,꿈,0.5368646383285522,5
몰입,열정,0.6674494743347168,1
문제,갈등,0.6495088934898376,1
발생,혼란,0.6102904081344604,1
방문,여행,0.5841829180717468,1
변화,성장,0.7235260605812073,3
복지,교육,0.7402962446212769,1
복합,의료,0.577019214630127,1
부모,가족,0.6875284910202026,1
사건,살인,0.7159186005592346,5
사람,꿈,0.5610076785087585,2
사랑,사랑,1,2
사회,경제,0.8096231818199158,1
상품,여행,0.6432608962059021,2
상황,혼란,0.6442916989326477,3
색채,미술,0.6537377238273621,1
생각,후회,0.6602693200111389,6
생활,환경,0.7009555697441101,1
선택,희망,0.5827092528343201,2
성공,성장,0.6859850287437439,1
세계,경제,0.6071235537528992,2
스마트,가상현실,0.5641322731971741,2
스마트폰,컴퓨터,0.6610336303710938,2
스트리밍,음악,0.5658097267150879,1
승부욕,열정,0.6291996836662292,1
시리즈,만화,0.5106303691864014,4
시작,발견,0.534450113773346,5
시청자,방송,0.5191292762756348,6
신경,질병,0.5199351906776428,1
심리,심리,1,1
아내,가족,0.582758903503418,1
아들,가족,0.5667959451675415,1
아픔,상처,0.7904168963432312,1
애니메이션,만화,0.68199223279953,2
여배우,드라마,0.5256187319755554,1
여행,여행,1,1
연인,사랑,0.6981024742126465,2
연출,액션,0.5377380847930908,4
영혼,슬픔,0.7210677266120911,1
영화,만화,0.7536719441413879,36
예상,기대,0.655988872051239,5
욕망,욕망,1,1
유발,의심,0.6065707206726074,1
음악,음악,1,1
의무,윤리,0.6379601955413818,1
이슈,정치,0.619047224521637,1
이혼,이별,0.6634467244148254,3
인간관계,사회문제,0.5430835485458374,1
인물,정치,0.5848035216331482,3
인상,기대,0.6044384241104126,1
임명,동정,0.5194627642631531,2
입학,학교,0.5971783399581909,2
자료,교육,0.5909054279327393,4
자축,가족,0.5764821171760559,1
장면,액션,0.5999083518981934,1
재미,모험,0.6051297187805176,4
저찌,액션,1,1
전념,헌신,0.5255851745605469,1
전문,의료,0.6444779634475708,1
전화,대화,0.5852361917495728,1
접속,방송,0.5524121522903442,1
정보,교통,0.6121577620506287,3
제공,여행,0.6024255156517029,4
제한,상실,0.636760413646698,2
졸업,여행,0.5504979491233826,2
주목,기대,0.562468945980072,1
주요,도시,0.5643994808197021,1
줄거리,드라마,0.531794548034668,2
중개,의료,0.5382221937179565,1
지루,후회,0.5244942307472229,1
책임,윤리,0.6478115320205688,1
추천,여행,0.5768113136291504,7
축하,꿈,0.5423662662506104,1
충격,충격,1,1
칭찬,열정,0.5763967633247375,1
캐릭터,인형,0.5306801795959473,4
컨텐츠,가상현실,0.517380952835083,4
코드,액션,0.5642611384391785,1
코미디,코미디,1,1
콘텐츠,가상현실,0.5792493224143982,1
탐구,철학,0.6451975703239441,1
탐험,탐험,1,1
통신,교통,0.6865499019622803,2
페미니스트,시민운동,0.6123239994049072,2
편안,유쾌,0.6909911036491394,1
폭로전,언더독,0.6582348942756653,1
표현,대화,0.5644240975379944,3
플레이,서바이벌,0.5245938897132874,1
학교,학교,1,1
학년,학교,0.6330993175506592,1
한번,후회,0.5221735835075378,1
해결,갈등,0.5887223482131958,1
해석,심리,0.5405862331390381,2
행복,기쁨,0.7726561427116394,2
헌신,헌신,1,1
현대,미술,0.6356669068336487,1
확인,발견,0.6419516205787659,2
회관,학교,0.6056663990020752,1

Category,Count,average
여행,9,0.6410487492879232
가족,8,0.6717446446418762
학교,6,0.6623514393965403
열정,6,0.6420163114865621
심리,4,0.7323932200670242
액션,4,0.6754768937826157
드라마,4,0.6590758413076401
윤리,4,0.6209594756364822
기대,4,0.5927850604057312
경제,3,0.8055822451909384
사랑,3,0.7479331294695536
갈등,3,0.7460770805676779
음악,3,0.7356436451276144
기쁨,3,0.6986822883288065
교육,3,0.6646432479222616
만화,3,0.6487648487091064
의료,3,0.5865731239318848
희망,3,0.5703354875246683
후회,3,0.5689790447552999
가상현실,3,0.5535875161488851
대화,3,0.5515141685803732
꿈,3,0.5467461943626404
헌신,2,0.7627925872802734
성장,2,0.7047555446624756
상처,2,0.7038896679878235
슬픔,2,0.6777152121067047
교통,2,0.6493538320064545
미술,2,0.6447023153305054
이별,2,0.629779577255249
혼란,2,0.6272910535335541
컴퓨터,2,0.6259856224060059
상실,2,0.6250520944595337
정치,2,0.6019253730773926
발견,2,0.5882008671760559
도시,2,0.5861057937145233
동정,2,0.5424050092697144
방송,2,0.5357707142829895
내면,1,1.0
욕망,1,1.0
충격,1,1.0
코미디,1,1.0
탐험,1,1.0
살인,1,0.7159186005592346
환경,1,0.7009555697441101
유쾌,1,0.6909911036491394
연애,1,0.6863196492195129
언더독,1,0.6582348942756653
철학,1,0.6451975703239441
부도덕,1,0.6181780099868774
시민운동,1,0.6123239994049072
의심,1,0.6065707206726074
모험,1,0.6051297187805176
도박,1,0.6013003587722778
권력,1,0.5868105292320251
전투,1,0.5499060750007629
사회문제,1,0.5430835485458374
고통,1,0.5415177941322327
로맨스,1,0.5355676412582397
인형,1,0.5306801795959473
서바이벌,1,0.5245938897132874
음식,1,0.5245805978775024
질병,1,0.5199351906776428
평온,1,0.5107535123825073
