Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,15
가상,우주,0.619330644607544,1
가족,가족,1,2
간판,학교,0.5174685716629028,1
갈망,욕망,0.7525596022605896,1
갈증,기쁨,0.6175435781478882,1
감동,기쁨,0.6450744271278381,1
감상,음악,0.6411212086677551,12
감상문,뮤지컬,0.5310428738594055,1
감옥,감옥,1,23
감정,심리,0.7588332891464233,2
감탄,열정,0.5392419099807739,2
감행,추격,0.5397303700447083,1
갑옷,전투,0.5631587505340576,2
강도,저항,0.6040131449699402,1
강력,충격,0.5549739599227905,4
강탈,배신,0.5558199882507324,1
개그,개그,1,2
개봉작,드라마,0.5794780254364014,2
개성,자아,0.5115846395492554,5
거대,괴물,0.5640032887458801,6
거리,도시,0.60332190990448,3
거물,고문,0.5415357947349548,1
거짓말,부도덕,0.5334540605545044,1
걱정,후회,0.651527464389801,4
건물,학교,0.6180571913719177,2
검색,여행,0.6249870657920837,1
게이머,서바이벌,0.5203580260276794,1
게임,만화,0.7299426198005676,81
격투,액션,0.6852583885192871,1
결전,전투,0.6634336709976196,1
경기장,스포츠,0.5333521962165833,1
경비,교통,0.6123348474502563,1
계략,군사,0.6058172583580017,1
계절,이별,0.5606238842010498,1
계획,여행,0.6060113906860352,5
곤충,동물,0.8180686831474304,4
골드,정글,0.5455614924430847,7
공격,전투,0.6404148936271667,3
공부,교육,0.6627280712127686,1
과시,열정,0.509526789188385,1
과정,교육,0.6268183588981628,14
관람,여행,0.5587009191513062,31
관심,기대,0.6249675154685974,3
광고,방송,0.6559303998947144,1
괴물,괴물,1,2
괴수,괴물,0.711188793182373,1
교류,대화,0.6140486598014832,1
국가,경제,0.7089344263076782,6
군대,군대,1,1
권선징악,로맨스,0.5401951670646667,2
규칙,윤리,0.5834123492240906,1
그래픽,컴퓨터,0.6070578694343567,2
근간,철학,0.5598404407501221,1
금고,여행,0.586035966873169,1
긍정,희망,0.608379602432251,2
기대,기대,1,18
기분,유쾌,0.6678951382637024,1
기시감,음모론,0.5551002621650696,1
기억,사랑,0.6537694931030273,3
기타,음악,0.5873071551322937,2
깃털,동물,0.6710516214370728,2
꼬리,동물,0.517152726650238,1
꼬임,충격,0.5054212808609009,1
난관,갈등,0.5635523796081543,1
날개,유령,0.5668269395828247,3
남매,가족,0.677724301815033,5
남자,사랑,0.5456969141960144,2
내공,열정,0.5447922348976135,1
냉소,분노,0.720836877822876,1
노력,헌신,0.6555296182632446,1
노예,평등,0.6012166738510132,2
녹색,희망,0.6179736256599426,1
놀이,춤,0.6705771684646606,1
눈길,동정,0.5653472542762756,1
눈앞,기대,0.5104065537452698,2
느낌,슬픔,0.6343626976013184,17
능력,교육,0.6137364506721497,29
다크호스,언더독,0.5837750434875488,1
다툼,갈등,0.7528305649757385,1
단면,충격,0.5512654781341553,1
단언,후회,0.5361717343330383,1
당일,여행,0.5352691411972046,1
대항,폭력,0.5444368720054626,1
댓글,후회,0.505795419216156,3
도끼,신화,0.5833896994590759,1
도덕,윤리,0.8225712776184082,1
도둑,도둑,1,3
도망,도둑,0.5489647388458252,1
도배,폭력,0.5458524823188782,1
도시,도시,1,5
도움,기대,0.5482439994812012,4
도적,해적,0.6823083162307739,23
도착,여행,0.6466491222381592,2
독점,권력,0.5065333843231201,1
독창,춤,0.6945516467094421,1
독특,춤,0.5334261655807495,1
동굴,바다,0.6222226619720459,5
동물,동물,1,8
동영상,가상현실,0.5586168169975281,1
드라마,드라마,1,4
드래곤,판타지,0.5588497519493103,58
디스플레이,컴퓨터,0.5588019490242004,2
뚱보,도둑,0.6259090900421143,1
러블리,로맨스,0.5936728715896606,1
레게,음악,0.6592756509780884,5
레고,인형,0.631523072719574,1
레드,정글,0.5992697477340698,2
레지던트,코미디,0.5585560202598572,2
로맨스,로맨스,1,1
로맨틱,로맨스,0.6721806526184082,1
롤플레잉,판타지,0.6069844961166382,2
리더,성장,0.5860862135887146,3
리듬감,춤,0.5051783919334412,1
리얼,액션,0.6809289455413818,2
마법,마법,1,23
마법사,판타지,0.5302509665489197,7
마술사,마법,0.5550655722618103,1
마음,기쁨,0.6783162951469421,6
마케팅,가상현실,0.5079087615013123,2
만족,기대,0.6570032238960266,10
만화,만화,1,2
말솜씨,유쾌,0.5005207061767578,1
말장난,개그,0.590356707572937,1
망자,법정,0.5381845831871033,1
매거진,드라마,0.5009645223617554,1
매니아,판타지,0.5267682075500488,1
매력,열정,0.6489761471748352,20
매체,방송,0.6981302499771118,1
멀티,액션,0.6227184534072876,1
면모,자아,0.5388920903205872,1
명령,군사,0.5395892262458801,1
명장면,코미디,0.5314233899116516,1
모션,액션,0.6868695020675659,1
모습,꿈,0.5368646383285522,14
모양,인형,0.6405982375144958,2
모종,동물,0.5004690289497375,1
모험,모험,1,34
목표,성장,0.6552416682243347,1
몰입,열정,0.6674494743347168,8
무덤,신화,0.5744480490684509,1
문제,갈등,0.6495088934898376,3
물건,인형,0.6116355657577515,1
미래,미래,1,1
미믹,유령,0.5979054570198059,3
미션,액션,0.6060617566108704,2
미술과,미술,0.637946605682373,1
바드,정글,0.5059807896614075,9
반응,충격,0.5951288342475891,4
발견,발견,1,1
발매,방송,0.5153555870056152,2
발휘,기대,0.5250481367111206,4
방패,마법,0.5824995040893555,1
배급,교육,0.5531435608863831,2
배급사,드라마,0.5019193887710571,1
배신,배신,1,10
배신자,배신,0.5174744129180908,2
배치,수색,0.5295758843421936,1
배포,교육,0.5816227197647095,1
배후,음모,0.5052520632743835,1
버스,교통,0.730898916721344,1
번개,도둑,0.5835573077201843,1
법사,탐정,0.513884425163269,4
법칙,철학,0.6116989850997925,1
변장,인형,0.5359223484992981,1
별거,연애,0.5366382002830505,1
보드,액션,0.6568782329559326,1
보드게임,서바이벌,0.5626656413078308,1
보증,의료,0.5057603716850281,1
보호,환경,0.6321627497673035,1
본론,윤리,0.5625672340393066,1
본토,군사,0.5685155391693115,1
부인,가족,0.5428288578987122,3
부합,환경,0.5545921921730042,1
분노,분노,1,2
분리,갈등,0.5047985911369324,6
분배,평등,0.5771034955978394,1
분신,절망,0.6349835395812988,1
비중,성장,0.5152275562286377,3
비하,폭력,0.5519798398017883,1
빅뱅,신화,0.6238892674446106,1
빈약,기대,0.5086852312088013,1
빌드,전투,0.5823649764060974,1
사건,살인,0.7159186005592346,6
사기,도박,0.624628484249115,2
사람,꿈,0.5610076785087585,27
사랑,사랑,1,2
사슴,동물,0.7194421291351318,1
사악,유쾌,0.588767945766449,2
사안,정치,0.5182824730873108,1
사운드,음악,0.5262696146965027,1
사진,미술,0.5546669960021973,2
사투,추격,0.57225102186203,2
사회,경제,0.8096231818199158,1
삭제,의심,0.5076044797897339,1
상상,욕망,0.6180667877197266,3
상영,방송,0.6350025534629822,4
상자,용기,0.6402463316917419,2
상투,권력,0.505069375038147,1
상황,혼란,0.6442916989326477,5
생각,후회,0.6602693200111389,28
생명체,동물,0.5420880317687988,1
생성,발견,0.5995927453041077,1
생활,환경,0.7009555697441101,1
서브,액션,0.61309415102005,1
서사,신화,0.6202012896537781,8
선물,사랑,0.605575680732727,2
선전,정치,0.5829622745513916,1
선택,희망,0.5827092528343201,2
성공,성장,0.6859850287437439,11
성장,성장,1,2
성향,심리,0.5809999704360962,1
세계,경제,0.6071235537528992,13
세상,기쁨,0.6082786321640015,1
세트,인형,0.564244270324707,4
소비,경제,0.6587632894515991,1
소서러,전투,0.5650292038917542,10
소설,만화,0.8215566873550415,1
소질,자아,0.6226111650466919,6
소품,인형,0.6749653220176697,2
속물,부도덕,0.7009344100952148,2
속성,환경,0.6046976447105408,3
손익,경제,0.5327790975570679,3
수다,대화,0.5187240242958069,1
수작,개그,0.621087908744812,3
수행,성장,0.5646498799324036,2
술집,유령,0.5887368321418762,1
스릴,액션,0.6477225422859192,2
스틸,액션,0.5995299220085144,14
습득,교육,0.5553059577941895,1
시리즈,만화,0.5106303691864014,22
시사,정치,0.7213011980056763,1
시작,발견,0.534450113773346,20
시체,살인,0.6126627326011658,2
신경,질병,0.5199351906776428,2
신념,욕망,0.6720592975616455,1
신비,기쁨,0.6222472786903381,5
신작,만화,0.6367781758308411,1
실감,기대,0.5343434810638428,1
실력,춤,0.5194166302680969,3
실물,인형,0.5859706997871399,1
실사,만화,0.575007438659668,2
실수,후회,0.5709443092346191,2
실용,과학,0.6698190569877625,1
실패,후회,0.6084508299827576,15
실현,미래,0.6133867502212524,2
심사,교육,0.5537958741188049,4
싸움,전투,0.6696678996086121,4
쌍따,액션,1,1
아군,전투,0.5574831962585449,1
아내,가족,0.582758903503418,7
아동,가족,0.6625723242759705,1
아들,가족,0.5667959451675415,1
아재,개그,0.652924656867981,1
아케이드,판타지,0.5240849256515503,1
아트,미술,0.6990192532539368,5
악당,좀비,0.6801067590713501,1
악마,괴물,0.7208051085472107,1
악의,배신,0.6187100410461426,1
앙상블,뮤지컬,0.5022584199905396,1
애니메이션,만화,0.68199223279953,1
액션,액션,1,57
앤드,액션,0.5491106510162354,1
양산,생존,0.5309751033782959,2
양손,액션,0.5437252521514893,1
어둠,절망,0.694835364818573,1
어드벤처,서바이벌,0.5903871655464172,7
어필,열정,0.5022490620613098,2
엄마,사랑,0.5908297300338745,1
업무,교통,0.6426385641098022,1
에피소드,드라마,0.5304465889930725,1
엔터,만화,0.5067907571792603,2
여부,의심,0.5392217040061951,1
여정,이별,0.6358245611190796,7
여지,의심,0.5871012210845947,1
역경,절망,0.6212114691734314,1
역사,철학,0.6869469285011292,1
연출,액션,0.5377380847930908,7
연출력,액션,0.515964686870575,1
염탐,범죄,0.6292091012001038,1
영화,만화,0.7536719441413879,248
영화관,드라마,0.5831791758537292,2
예고편,드라마,0.5787103772163391,10
예상,기대,0.655988872051239,4
오락,도박,0.677858829498291,11
오합지졸,군대,0.5040072202682495,4
온라인,교육,0.5160459876060486,1
올빼미,동물,0.5042029023170471,1
외국,만화,0.5371031761169434,1
외면,고통,0.6066063046455383,1
욕망,욕망,1,4
욕심,욕망,0.6326161026954651,2
우드,정글,0.5368337035179138,1
우려,혼란,0.6615874171257019,3
웃음,개그,0.6434062123298645,2
워락,액션,0.634400486946106,1
원작,만화,0.7227425575256348,40
웹툰,만화,0.7226575613021851,1
위기,혼란,0.6975850462913513,3
위협,폭력,0.639009416103363,2
유머,개그,0.6961884498596191,3
유발,의심,0.6065707206726074,1
유쾌,유쾌,1,1
음모,음모,1,1
음유,춤,0.6539996862411499,1
의심,의심,1,1
의외,충격,0.5524848699569702,1
의존,불안,0.6040859818458557,1
이름,신화,0.5608668327331543,3
이목,동정,0.5794278979301453,1
이빨,상처,0.5658416748046875,1
이웃,가족,0.6304181218147278,1
이질감,갈등,0.5083499550819397,1
이해,철학,0.5395932197570801,8
인기,여행,0.6119158267974854,1
인물,정치,0.5848035216331482,12
인상,기대,0.6044384241104126,8
일상,유쾌,0.5978867411613464,2
입담,개그,0.6110753417015076,1
입증,발견,0.5962595343589783,1
