Word,Category,Similarity,Frequency
19금,판타지,0.5272679924964905,5
가능,여행,0.6136982440948486,4
가부장,권력,0.5734140872955322,1
가입,희망,0.5199176073074341,1
가족,가족,1,3
가치,윤리,0.6346501111984253,3
갈등,갈등,1,2
감동,기쁨,0.6450744271278381,1
감상,음악,0.6411212086677551,6
감시,범죄,0.5818687081336975,2
감정,심리,0.7588332891464233,7
개별,음악,0.5007151961326599,1
개성,자아,0.5115846395492554,1
개성파,언더독,0.5204849243164062,1
거래,도박,0.6013003587722778,1
거액,도박,0.5036361217498779,1
건물,학교,0.6180571913719177,1
검색,여행,0.6249870657920837,1
격차,평등,0.6109746694564819,2
결제,여행,0.5954683423042297,1
결혼,연애,0.6863196492195129,1
경고,의심,0.5979491472244263,2
경쟁,갈등,0.6576756238937378,2
경향,정치,0.5916027426719666,1
경험,열정,0.6344258189201355,1
계급,평등,0.6543788909912109,2
계층,환경,0.5694180130958557,1
계획,여행,0.6060113906860352,1
고생,고통,0.5584161281585693,1
공급,교육,0.5476977229118347,1
공동체,시민운동,0.5667669773101807,2
공익,의료,0.5894264578819275,1
과정,교육,0.6268183588981628,10
과학,과학,1,1
과학자,과학,0.5320860147476196,1
관람,여행,0.5587009191513062,7
관심,기대,0.6249675154685974,4
광고,방송,0.6559303998947144,2
광역,교통,0.554053783416748,1
교훈,희망,0.596325695514679,1
구매,여행,0.5682201981544495,2
국가,경제,0.7089344263076782,2
군상,고독,0.5473668575286865,1
권력,권력,1,2
권력자,권력,0.6178524494171143,1
권총,도둑,0.5374994874000549,4
귀결,혼란,0.515130341053009,1
금고,여행,0.586035966873169,2
금속,전기,0.674366295337677,1
기계,전기,0.6900599598884583,1
기분,유쾌,0.6678951382637024,1
기술,농업,0.6986809968948364,2
기억,사랑,0.6537694931030273,2
기타,음악,0.5873071551322937,2
꼬리,동물,0.517152726650238,2
난무,괴담,0.5966172814369202,1
남자,사랑,0.5456969141960144,7
남편,가족,0.6233720779418945,7
납치,살인,0.6689104437828064,4
내면,내면,1,1
내조,권력,0.5868105292320251,1
노력,헌신,0.6555296182632446,6
노예,평등,0.6012166738510132,1
노출,충격,0.60725998878479,1
노화,질병,0.6835041046142578,2
농지,농업,0.6526464819908142,1
누명,살인,0.5723448395729065,1
눈길,동정,0.5653472542762756,2
눈망울,꿈,0.5015859007835388,1
눈물,슬픔,0.6957001090049744,1
뉴스,방송,0.70646071434021,2
느낌,슬픔,0.6343626976013184,5
능청,유쾌,0.6301367878913879,1
다툼,갈등,0.7528305649757385,1
답례,음식,0.6149106621742249,1
답변,의심,0.5017156600952148,1
답장,이별,0.5622968077659607,2
대결,갈등,0.5924415588378906,3
대답,후회,0.5436964631080627,1
대립,갈등,0.8246769905090332,1
댓글,후회,0.505795419216156,1
데프,정글,0.5513074398040771,1
도박장,도박,0.602651834487915,2
도움,기대,0.5482439994812012,1
도착,여행,0.6466491222381592,1
드라마,드라마,1,12
디지털,컴퓨터,0.6325473189353943,1
디퍼,액션,0.5877805948257446,2
로맨스,로맨스,1,4
리셋,절망,0.5459359884262085,1
마비,혼란,0.6122421026229858,1
마상,전투,0.6922339200973511,1
마음,기쁨,0.6783162951469421,3
막장,개그,0.6745045781135559,4
만고,의리,0.571387529373169,1
맛깔,유쾌,0.537874162197113,1
맛집,음식,0.6337778568267822,2
매력,열정,0.6489761471748352,4
먹거리,음식,0.5923094749450684,1
먹방,음식,0.6508429050445557,1
메시지,대화,0.5048822164535522,6
메타포,철학,0.5080273747444153,1
멘트,개그,0.5644389390945435,1
모델,교육,0.5252665281295776,1
모순,갈등,0.6281998157501221,1
모습,꿈,0.5368646383285522,21
목격,발견,0.6813858151435852,2
목표,성장,0.6552416682243347,5
몰입,열정,0.6674494743347168,2
묘미,개그,0.5619542598724365,1
묵인,멸망,0.5149750113487244,1
문란,폭력,0.6275219917297363,1
문제,갈등,0.6495088934898376,3
뮤직비디오,드라마,0.5922357439994812,1
미래,미래,1,5
미스,좀비,0.5220737457275391,1
바디,액션,0.6481185555458069,1
바람기,연애,0.5164179801940918,1
반말,폭력,0.5853083729743958,1
반응,충격,0.5951288342475891,1
발견,발견,1,3
발달,성장,0.7021803855895996,1
발레,미술,0.6749600768089294,1
발생,혼란,0.6102904081344604,1
발신,방송,0.5034521818161011,1
