Word,Category,Similarity,Frequency
가구,가족,0.611595630645752,1
가능,여행,0.6136982440948486,4
가수,음악,0.6117961406707764,1
가슴,상처,0.6098507642745972,2
가정,가족,0.7013463377952576,2
가정식,음식,0.5683618783950806,1
가족,가족,1,29
가치관,자기성찰,0.5398943424224854,1
갈등,갈등,1,1
감동,기쁨,0.6450744271278381,7
감별,심리,0.6161953806877136,1
감상,음악,0.6411212086677551,2
감정,심리,0.7588332891464233,9
감탄,열정,0.5392419099807739,1
개요,여행,0.5623396039009094,1
개척,탐험,0.6222059726715088,1
거리,도시,0.60332190990448,2
거짓말,부도덕,0.5334540605545044,1
걱정,후회,0.651527464389801,1
건물,학교,0.6180571913719177,1
검색,여행,0.6249870657920837,1
견습,탐정,0.6520116925239563,3
경험,열정,0.6344258189201355,10
계획,여행,0.6060113906860352,1
고급,음식,0.5831040740013123,1
고비,희망,0.530087947845459,1
고의,범죄,0.5445482730865479,11
고통,고통,1,1
곤란,상실,0.6153967976570129,2
골목,괴담,0.5829960107803345,1
공연,음악,0.7031762599945068,1
공책,만화,0.5820149779319763,1
공포,공포,1,1
과오,후회,0.6094723343849182,1
과정,교육,0.6268183588981628,5
관람,여행,0.5587009191513062,3
관습,종교,0.6429370641708374,1
관심,기대,0.6249675154685974,4
관통,충격,0.5143977403640747,1
광고,방송,0.6559303998947144,1
괴리,갈등,0.6599999666213989,1
교훈,희망,0.596325695514679,1
구장,도시,0.5626206398010254,1
국자,음식,0.5273035764694214,1
굴뚝,바다,0.5305491089820862,1
그래픽,컴퓨터,0.6070578694343567,1
그릇,음식,0.6678139567375183,1
글귀,꿈,0.6168593764305115,1
긍정,희망,0.608379602432251,5
기계,전기,0.6900599598884583,2
기대,기대,1,1
기대감,기대,0.6246221661567688,1
기분,유쾌,0.6678951382637024,1
기쁨,기쁨,1,1
기술,농업,0.6986809968948364,1
기억,사랑,0.6537694931030273,9
기초,교육,0.6542633175849915,2
긴장,불안,0.6880083084106445,1
꼬마,도둑,0.5964561700820923,1
꼰대,절망,0.6119091510772705,1
난사,폭력,0.5636513829231262,1
냄새,음식,0.5817655324935913,3
냉동,음식,0.6450175046920776,1
냉동식품,음식,0.508928656578064,3
너머,바다,0.5151404738426208,1
노래,춤,0.7242721915245056,4
노력,헌신,0.6555296182632446,4
노을빛,바다,0.588731586933136,1
노출,충격,0.60725998878479,1
논리,철학,0.5892475247383118,2
뉴스,방송,0.70646071434021,1
느낌,슬픔,0.6343626976013184,6
능력,교육,0.6137364506721497,5
단발,액션,0.5860862731933594,1
단언,후회,0.5361717343330383,1
당황,충격,0.6099472045898438,2
데이트,로맨스,0.5355676412582397,1
도시,도시,1,4
도움,기대,0.5482439994812012,5
도전,열정,0.6956499814987183,2
도착,여행,0.6466491222381592,4
독백,고독,0.6572872996330261,2
독설,유쾌,0.5814645886421204,3
독학,철학,0.558799147605896,1
동물,동물,1,4
드라마,드라마,1,2
들쥐,도둑,0.6615058183670044,7
땔감,용기,0.5092161893844604,1
러브,액션,0.6233081817626953,1
레스토랑,음식,0.5138179063796997,52
로망,사랑,0.60160893201828,1
로맨스,로맨스,1,2
링귀,액션,1,3
마음,기쁨,0.6783162951469421,15
만족,기대,0.6570032238960266,1
만화,만화,1,1
말단,권력,0.5132297873497009,1
맛집,음식,0.6337778568267822,1
매력,열정,0.6489761471748352,4
먹방,음식,0.6508429050445557,1
메시지,대화,0.5048822164535522,3
명작,만화,0.6867616772651672,3
모습,꿈,0.5368646383285522,19
모험,모험,1,1
목격,발견,0.6813858151435852,1
목표,성장,0.6552416682243347,3
몸체,동물,0.5283498764038086,1
무모,살인,0.5360095500946045,1
물건,인형,0.6116355657577515,2
미각,음식,0.55658358335495,6
미련,고독,0.6796653270721436,1
미식,음식,0.6376992464065552,1
미식가,음식,0.576069712638855,3
미안,후회,0.5432184934616089,2
바이러스,질병,0.5053297281265259,1
바퀴,인형,0.504509449005127,1
반성,후회,0.62535560131073,1
반응,충격,0.5951288342475891,5
발각,살인,0.5089609622955322,1
발견,발견,1,12
발달,성장,0.7021803855895996,1
발생,혼란,0.6102904081344604,1
발전,성장,0.7311267852783203,2
발휘,기대,0.5250481367111206,2
방문,여행,0.5841829180717468,4
방심,후회,0.613030731678009,1
방어,전투,0.6440592408180237,1
배급,교육,0.5531435608863831,1
배신,배신,1,3
배제,상실,0.6328111886978149,2
백과,철학,0.6002013683319092,1
백과사전,과학,0.5209813117980957,1
버섯,동물,0.6183083057403564,2
번개,도둑,0.5835573077201843,1
벌레,동물,0.6886223554611206,1
변수,불안,0.5909573435783386,3
변화,성장,0.7235260605812073,2
별종,괴물,0.5575920939445496,2
보답,헌신,0.5308396816253662,1
보도,방송,0.6695681214332581,1
보조,의료,0.6010368466377258,1
복사,발견,0.5001623630523682,1
볼펜,인형,0.5501003265380859,1
부모,가족,0.6875284910202026,2
부산행,슈퍼히어로,0.5689302086830139,2
부엌,음식,0.6172921061515808,1
부정,폭력,0.6489901542663574,2
부합,환경,0.5545921921730042,1
분석,교육,0.5877142548561096,1
분야,과학,0.6800429821014404,1
불만,분노,0.6757481098175049,1
불청객,괴물,0.5286012291908264,1
불평,분노,0.607698917388916,1
뷰티,음식,0.5668029189109802,1
비디오,컴퓨터,0.6554548740386963,1
비명,괴담,0.5712770819664001,1
비평,윤리,0.6509755849838257,11
사건,살인,0.7159186005592346,1
사고,의심,0.5630502700805664,1
