Word,Category,Similarity,Frequency
가게,여행,0.5113754868507385,23
가계,경제,0.6456744074821472,6
가난,고통,0.7040712237358093,1
가능,여행,0.6136982440948486,7
가상,우주,0.619330644607544,1
가수,음악,0.6117961406707764,11
가슴,상처,0.6098507642745972,1
가입,희망,0.5199176073074341,1
가정,가족,0.7013463377952576,1
가족,가족,1,37
가치,윤리,0.6346501111984253,1
가치관,자기성찰,0.5398943424224854,1
갈등,갈등,1,6
감동,기쁨,0.6450744271278381,31
감상,음악,0.6411212086677551,18
감상문,뮤지컬,0.5310428738594055,1
감정,심리,0.7588332891464233,8
감흥,슬픔,0.63573157787323,1
개념,교육,0.6287856698036194,1
갱생,교육,0.5466806888580322,7
거대,괴물,0.5640032887458801,1
거리,도시,0.60332190990448,9
건강식,음식,0.62703937292099,1
검색,여행,0.6249870657920837,3
결단,용서,0.5725662112236023,1
경악,충격,0.724260687828064,1
경험,열정,0.6344258189201355,4
계층,환경,0.5694180130958557,1
계획,여행,0.6060113906860352,1
고전,미술,0.6437533497810364,1
곡명,음악,0.578779399394989,1
골목,괴담,0.5829960107803345,1
공부,교육,0.6627280712127686,2
공연,음악,0.7031762599945068,8
과잉보호,죄책감,0.642737865447998,1
과정,교육,0.6268183588981628,4
과학,과학,1,2
관람,여행,0.5587009191513062,10
광고,방송,0.6559303998947144,1
교통사고,재난,0.5448524355888367,1
교훈,희망,0.596325695514679,1
구매,여행,0.5682201981544495,1
구비,여행,0.5192386507987976,1
국가,경제,0.7089344263076782,4
극장판,드라마,0.5479550361633301,1
근처,학교,0.5683311223983765,1
긍정,희망,0.608379602432251,12
기대,기대,1,10
기대감,기대,0.6246221661567688,1
기분,유쾌,0.6678951382637024,6
기쁨,기쁨,1,1
기시감,음모론,0.5551002621650696,3
기억,사랑,0.6537694931030273,11
기증,동정,0.527470052242279,4
길가,시골,0.6048659682273865,1
나날,이별,0.6136053204536438,1
낙방,후회,0.6385146975517273,1
남녀,평등,0.5715689063072205,5
남자,사랑,0.5456969141960144,27
남편,가족,0.6233720779418945,1
내면,내면,1,1
노고,희생,0.6270607709884644,1
노래,춤,0.7242721915245056,19
노력,헌신,0.6555296182632446,1
뇌옹,액션,1,1
눈물,슬픔,0.6957001090049744,2
눈썹,인형,0.519745409488678,1
눈앞,기대,0.5104065537452698,1
뉴스,방송,0.70646071434021,1
느낌,슬픔,0.6343626976013184,10
당일,여행,0.5352691411972046,1
당혹,분노,0.5576525330543518,1
대책,재난,0.5927299857139587,1
댓글,후회,0.505795419216156,2
더블,액션,0.5621997117996216,1
데또,액션,1,1
데뷔,방송,0.5465471744537354,2
데이트,로맨스,0.5355676412582397,6
도둑,도둑,1,2
도심,도시,0.750744640827179,1
도움,기대,0.5482439994812012,2
도전,열정,0.6956499814987183,4
도착,여행,0.6466491222381592,1
독특,춤,0.5334261655807495,5
듀오,음악,0.5565798878669739,1
드라마,드라마,1,19
등록,여행,0.5735748410224915,2
디스토피아,공상과학,0.6713545918464661,1
따스함,슬픔,0.6309909224510193,1
라스트,카우보이,0.5365300178527832,1
러시,추격,0.554897665977478,4
로맨스,로맨스,1,35
로맨틱,로맨스,0.6721806526184082,24
마약,범죄,0.71501225233078,1
마음,기쁨,0.6783162951469421,42
마음가짐,자기성찰,0.5756369233131409,1
만족,기대,0.6570032238960266,1
만화,만화,1,1
매거진,드라마,0.5009645223617554,2
매력,열정,0.6489761471748352,20
매체,방송,0.6981302499771118,1
메모리,컴퓨터,0.606806755065918,2
메시지,대화,0.5048822164535522,12
메일,만화,0.5050849914550781,3
모바일,컴퓨터,0.590937614440918,1
모습,꿈,0.5368646383285522,12
모험,모험,1,2
무전,이별,0.5068477392196655,1
문제,갈등,0.6495088934898376,8
뮤지컬,뮤지컬,1,1
미러,액션,0.5596200227737427,1
미스터리,미스터리,1,2
미안,후회,0.5432184934616089,1
민폐,개그,0.5627604722976685,3
밉상,개그,0.5608657002449036,1
반칙,폭력,0.6150811910629272,1
발견,발견,1,6
발생,혼란,0.6102904081344604,2
발전,성장,0.7311267852783203,1
발휘,기대,0.5250481367111206,1
방구석,개그,0.5950741171836853,1
방문,여행,0.5841829180717468,1
방향,미래,0.5546501278877258,4
방황,이별,0.6669331789016724,6
배급,교육,0.5531435608863831,1
배려,헌신,0.6277512907981873,2
버스,교통,0.730898916721344,3
범죄,범죄,1,2
변모,성장,0.627336323261261,1
변장,인형,0.5359223484992981,1
변화,성장,0.7235260605812073,12
본작,만화,0.5512632727622986,1
본질,윤리,0.6154810786247253,1
부모,가족,0.6875284910202026,3
부인,가족,0.5428288578987122,1
부합,환경,0.5545921921730042,1
분석,교육,0.5877142548561096,1
불빛,꿈,0.5932316780090332,1
불안,불안,1,2
불행,절망,0.6734789609909058,1
비등,충격,0.6347048878669739,1
비중,성장,0.5152275562286377,1
빈곤,질병,0.6973947882652283,1
사건,살인,0.7159186005592346,3
사고,의심,0.5630502700805664,8
사고뭉치,외계인,0.5241761207580566,1
사람,꿈,0.5610076785087585,24
사랑,사랑,1,35
사례,교육,0.6318955421447754,1
사진,미술,0.5546669960021973,1
사회,경제,0.8096231818199158,3
삭제,의심,0.5076044797897339,1
산책,여행,0.5863888263702393,5
산타클로스,카우보이,0.5265820622444153,1
살인,살인,1,1
살해,살인,0.6861730217933655,2
상상,욕망,0.6180667877197266,2
상영,방송,0.6350025534629822,2
상처,상처,1,3
상황,혼란,0.6442916989326477,6
생각,후회,0.6602693200111389,29
생사,질병,0.5247383117675781,2
생활,환경,0.7009555697441101,5
선물,사랑,0.605575680732727,7
선택,희망,0.5827092528343201,1
성공,성장,0.6859850287437439,2
성장,성장,1,15
성향,심리,0.5809999704360962,1
세계,경제,0.6071235537528992,1
세상,기쁨,0.6082786321640015,1
세포,동물,0.5726385116577148,2
센터,의료,0.6881778836250305,6
소비,경제,0.6587632894515991,1
소외,고통,0.6188626289367676,2
소절,춤,0.5557035803794861,1
소품,인형,0.6749653220176697,2
수술,상처,0.585891604423523,13
숙식,교통,0.5846547484397888,1
술집,유령,0.5887368321418762,1
쉼터,유령,0.5914787650108337,13
스릴러,스릴러,1,3
스마트,가상현실,0.5641322731971741,1
스마트폰,컴퓨터,0.6610336303710938,1
스밍,액션,1,1
스케이트,스포츠,0.584331750869751,3
스타덤,언더독,0.525584876537323,1
스트리밍,음악,0.5658097267150879,2
스파이,드라마,0.5523907542228699,2
스포츠,스포츠,1,1
슬픔,슬픔,1,1
습관,철학,0.6081326007843018,1
