Word,Category,Similarity,Frequency
가게,여행,0.5113754868507385,1
가능,여행,0.6136982440948486,2
가족,가족,1,2
가짜,괴담,0.5858274698257446,1
감동,기쁨,0.6450744271278381,2
감상,음악,0.6411212086677551,4
감옥,감옥,1,1
감정,심리,0.7588332891464233,6
감행,추격,0.5397303700447083,3
개발자,컴퓨터,0.5119759440422058,1
거대,괴물,0.5640032887458801,23
건물,학교,0.6180571913719177,5
검색,여행,0.6249870657920837,1
게임,만화,0.7299426198005676,19
격리,수색,0.6269633769989014,2
계획,여행,0.6060113906860352,3
고릴라,외계인,0.5214260220527649,17
고전,미술,0.6437533497810364,2
고착,혼란,0.6004301905632019,1
공격,전투,0.6404148936271667,5
공학,과학,0.7757261991500854,1
과잉,의료,0.5229926109313965,1
과정,교육,0.6268183588981628,1
과학,과학,1,1
관람,여행,0.5587009191513062,6
광고,방송,0.6559303998947144,1
광란,공포,0.668723464012146,4
괴물,괴물,1,18
괴수,괴물,0.711188793182373,38
교감,대화,0.5680186152458191,2
구강,음식,0.5946047306060791,2
구역,도시,0.6346057057380676,1
구조,환경,0.6101574897766113,7
국가,경제,0.7089344263076782,1
권장,모험,0.5027817487716675,2
기계,전기,0.6900599598884583,1
기대,기대,1,3
기술,농업,0.6986809968948364,9
기억,사랑,0.6537694931030273,2
긴박감,유쾌,0.531667947769165,1
꽃밭,꿈,0.6128173470497131,1
난동,폭력,0.638001561164856,2
난사,폭력,0.5636513829231262,2
난폭,폭력,0.6763105392456055,4
남매,가족,0.677724301815033,1
내과,철학,0.5274336338043213,2
내면,내면,1,1
노력,헌신,0.6555296182632446,2
노출,충격,0.60725998878479,2
눈물,슬픔,0.6957001090049744,1
뉴스,방송,0.70646071434021,1
느낌,슬픔,0.6343626976013184,1
늑대,동물,0.6492973566055298,17
능력,교육,0.6137364506721497,1
당황,충격,0.6099472045898438,1
도로,교통,0.7222923040390015,1
도마뱀,괴물,0.549439549446106,1
도시,도시,1,11
도심,도시,0.750744640827179,8
도움,기대,0.5482439994812012,3
돌연변이,외계인,0.5175120830535889,1
돌입,추격,0.5638843774795532,1
동물,동물,1,19
동영상,가상현실,0.5586168169975281,2
랭킹,여행,0.5360299348831177,1
레스토랑,음식,0.5138179063796997,1
레슬러,언더독,0.6079725027084351,1
마음,기쁨,0.6783162951469421,8
만족,기대,0.6570032238960266,1
매력,열정,0.6489761471748352,3
먹거리,음식,0.5923094749450684,1
메시지,대화,0.5048822164535522,3
명작,만화,0.6867616772651672,1
모습,꿈,0.5368646383285522,8
모종,동물,0.5004690289497375,1
모험,모험,1,6
몰살,배신,0.5945814251899719,2
무단,폭력,0.5057473182678223,2
문제,갈등,0.6495088934898376,5
물질,우주,0.6482014656066895,1
미련,고독,0.6796653270721436,1
미사일,군사,0.5167073607444763,2
미안,후회,0.5432184934616089,2
박살,도둑,0.5136302709579468,2
반격,추격,0.641403079032898,1
반론,분노,0.5562311410903931,1
반응,충격,0.5951288342475891,2
발길,추격,0.5241652727127075,1
발생,혼란,0.6102904081344604,1
발휘,기대,0.5250481367111206,1
방어,전투,0.6440592408180237,2
방향,미래,0.5546501278877258,2
백색,동물,0.5034070611000061,1
범죄,범죄,1,1
변모,성장,0.627336323261261,1
변종,좀비,0.6061926484107971,1
변형,충격,0.5152089595794678,3
변화,성장,0.7235260605812073,3
병력,군대,0.6510816216468811,3
병원체,질병,0.5435206294059753,3
보호,환경,0.6321627497673035,2
본론,윤리,0.5625672340393066,1
본사,학교,0.5560317039489746,3
부대,군대,0.6763806939125061,1
부모,가족,0.6875284910202026,9
분노,분노,1,1
불만,분노,0.6757481098175049,1
불명,의심,0.5136669278144836,1
불법,범죄,0.6486050486564636,1
사건,살인,0.7159186005592346,6
사고,의심,0.5630502700805664,2
사람,꿈,0.5610076785087585,8
사랑,사랑,1,2
사이코패스,정신병,0.6299716830253601,1
사전,교육,0.5635393261909485,1
사진,미술,0.5546669960021973,1
사투,추격,0.57225102186203,3
