Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,6
가슴,상처,0.6098507642745972,1
가입,희망,0.5199176073074341,2
가정,가족,0.7013463377952576,1
가족,가족,1,16
가치,윤리,0.6346501111984253,1
가치관,자기성찰,0.5398943424224854,1
갈망,욕망,0.7525596022605896,1
감동,기쁨,0.6450744271278381,22
감상,음악,0.6411212086677551,15
감성,심리,0.6301533579826355,2
감정,심리,0.7588332891464233,11
강박,자아,0.6491145491600037,1
거대,괴물,0.5640032887458801,1
검색,여행,0.6249870657920837,5
결혼,연애,0.6863196492195129,2
경험,열정,0.6344258189201355,5
과정,교육,0.6268183588981628,2
관람,여행,0.5587009191513062,1
교감,대화,0.5680186152458191,3
극복,고통,0.6304678916931152,4
금발,마법,0.610371470451355,1
기대,기대,1,1
기분,유쾌,0.6678951382637024,2
기억,사랑,0.6537694931030273,1
날씨,환경,0.6094790697097778,1
남녀,평등,0.5715689063072205,1
남자,사랑,0.5456969141960144,16
남편,가족,0.6233720779418945,10
네이,좀비,0.5350393652915955,1
느낌,슬픔,0.6343626976013184,3
단언,후회,0.5361717343330383,1
당황,충격,0.6099472045898438,2
도시,도시,1,2
도움,기대,0.5482439994812012,1
도전,열정,0.6956499814987183,1
독특,춤,0.5334261655807495,1
동거,연애,0.6906545758247375,1
두려움,두려움,1,1
드라마,드라마,1,14
등록,여행,0.5735748410224915,9
랜드,정글,0.6163651943206787,1
러브,액션,0.6233081817626953,3
레드,정글,0.5992697477340698,2
로맨스,로맨스,1,7
로맨틱,로맨스,0.6721806526184082,13
론칭,방송,0.6058244109153748,1
롤라,좀비,0.5691870450973511,1
루저,개그,0.5776412487030029,2
마음,기쁨,0.6783162951469421,14
만족,기대,0.6570032238960266,1
만족감,기대,0.5598728656768799,1
매력,열정,0.6489761471748352,7
메시지,대화,0.5048822164535522,6
면모,자아,0.5388920903205872,1
모바일,컴퓨터,0.590937614440918,2
모습,꿈,0.5368646383285522,8
모양,인형,0.6405982375144958,1
몰입,열정,0.6674494743347168,1
무례,폭력,0.5807116627693176,2
무모,살인,0.5360095500946045,1
문제,갈등,0.6495088934898376,2
미술가,미술,0.5302937626838684,1
미스터리,미스터리,1,1
미팅,가족,0.604566216468811,2
발견,발견,1,3
발전,성장,0.7311267852783203,1
방문,여행,0.5841829180717468,3
범죄,범죄,1,2
베이비,뮤지컬,0.5025792717933655,1
변화,성장,0.7235260605812073,4
별거,연애,0.5366382002830505,4
불만,분노,0.6757481098175049,1
사건,살인,0.7159186005592346,1
사기,도박,0.624628484249115,1
사람,꿈,0.5610076785087585,22
사랑,사랑,1,53
삼촌,도둑,0.5172341465950012,1
상대,추격,0.558393657207489,1
상처,상처,1,4
상황,혼란,0.6442916989326477,6
생각,후회,0.6602693200111389,15
생활,환경,0.7009555697441101,3
선택,희망,0.5827092528343201,1
설레임,기쁨,0.5999643802642822,1
성공,성장,0.6859850287437439,2
성인,교육,0.5841577649116516,1
성장,성장,1,11
세계,경제,0.6071235537528992,1
세상,기쁨,0.6082786321640015,2
소개팅,연애,0.5593420267105103,2
소동,도둑,0.6143503189086914,1
숙박,여행,0.7311912178993225,1
술집,유령,0.5887368321418762,1
스릴러,스릴러,1,1
스마트,가상현실,0.5641322731971741,2
스마트폰,컴퓨터,0.6610336303710938,2
스트레스,무력감,0.6226179003715515,1
스트리밍,음악,0.5658097267150879,2
시리즈,만화,0.5106303691864014,4
시작,발견,0.534450113773346,16
시청,방송,0.6024045944213867,2
시청자,방송,0.5191292762756348,7
식당,음식,0.6759225726127625,3
식사,음식,0.727923572063446,5
신문,방송,0.6771079897880554,1
신작,만화,0.6367781758308411,2
실력,춤,0.5194166302680969,1
실수,후회,0.5709443092346191,4
싱글,연애,0.5561257600784302,3
싸가지,부도덕,0.5230343341827393,1
아픔,상처,0.7904168963432312,1
애니메이션,만화,0.68199223279953,4
액션,액션,1,1
어게인,코미디,0.5207456350326538,3
엄마,사랑,0.5908297300338745,5
여자,사랑,0.5380519032478333,1
여정,이별,0.6358245611190796,1
역경,절망,0.6212114691734314,1
연극,미술,0.7502412796020508,5
연기자,드라마,0.6007305979728699,1
연인,사랑,0.6981024742126465,3
연출,액션,0.5377380847930908,10
영향,기대,0.5794242024421692,3
영화,만화,0.7536719441413879,138
예상,기대,0.655988872051239,1
오해,상처,0.5473958253860474,1
외면,고통,0.6066063046455383,1
용기,용기,1,3
웃음,개그,0.6434062123298645,1
원작,만화,0.7227425575256348,1
위로,바다,0.5024420619010925,3
유발,의심,0.6065707206726074,1
음악,음악,1,3
음악가,음악,0.5680587291717529,1
의류,미술,0.6170772910118103,1
이별,이별,1,1
이사,고문,0.5024828314781189,6
이해,철학,0.5395932197570801,2
이혼,이별,0.6634467244148254,7
인물,정치,0.5848035216331482,6
인상,기대,0.6044384241104126,1
일상,유쾌,0.5978867411613464,8
자격,상실,0.5623282790184021,1
자녀,가족,0.7003896832466125,2
자료,교육,0.5909054279327393,7
자부심,열정,0.6125436425209045,1
자아,자아,1,1
자연,환경,0.6941760182380676,4
자존심,자존심,1,1
작업,수색,0.6102691888809204,1
장르,음악,0.7329081892967224,12
장면,액션,0.5999083518981934,5
재미,모험,0.6051297187805176,1
저녁,음식,0.5039622187614441,3
저택,감옥,0.6136187314987183,1
저하,상실,0.6493842601776123,1
전반,정치,0.5626547336578369,1
젊음,열정,0.7604537010192871,1
접속,방송,0.5524121522903442,3
정보,교통,0.6121577620506287,8
제공,여행,0.6024255156517029,6
제작,방송,0.6307950615882874,1
제한,상실,0.636760413646698,2
조각,인형,0.646467387676239,1
조화,질서,0.6025887727737427,2
주요,도시,0.5643994808197021,1
죽음,고독,0.6896678805351257,1
줄거리,드라마,0.531794548034668,7
지붕,바다,0.5468674898147583,1
진정,기쁨,0.5493860840797424,2
집안,가족,0.6251765489578247,1
초래,상실,0.6091538071632385,1
