Word,Category,Similarity,Frequency
감미,음식,0.5325547456741333,1
개그,개그,1,2
거리,도시,0.60332190990448,2
고문,고문,1,1
관람,여행,0.5587009191513062,1
관심,기대,0.6249675154685974,1
극장판,드라마,0.5479550361633301,3
기분,유쾌,0.6678951382637024,1
기억,사랑,0.6537694931030273,1
날씨,환경,0.6094790697097778,1
남편,가족,0.6233720779418945,3
노래,춤,0.7242721915245056,8
당황,충격,0.6099472045898438,1
댄스,음악,0.7449625134468079,1
데뷔,방송,0.5465471744537354,1
둠칫,액션,1,1
리더,성장,0.5860862135887146,1
리얼,액션,0.6809289455413818,1
마음,기쁨,0.6783162951469421,1
모습,꿈,0.5368646383285522,1
뮤지컬,뮤지컬,1,3
별일,후회,0.5252277255058289,1
사랑,사랑,1,1
사자,도둑,0.6428564786911011,1
사치,욕망,0.5516767501831055,1
상상,욕망,0.6180667877197266,1
상영,방송,0.6350025534629822,1
생각,후회,0.6602693200111389,2
서브,액션,0.61309415102005,1
세상,기쁨,0.6082786321640015,1
속력,전기,0.5325479507446289,1
수다,대화,0.5187240242958069,1
스포츠,스포츠,1,1
시리즈,만화,0.5106303691864014,2
시작,발견,0.534450113773346,1
실력,춤,0.5194166302680969,1
아메,사랑,0.5206943154335022,1
아이스,서바이벌,0.5042495131492615,1
아이스크림,음식,0.504037618637085,1
안무,춤,0.7005117535591125,1
애니메이션,만화,0.68199223279953,9
엄마,사랑,0.5908297300338745,1
여행,여행,1,1
영화,만화,0.7536719441413879,8
왕자,도둑,0.5981267690658569,1
원작,만화,0.7227425575256348,3
위장,질병,0.5374902486801147,1
율동,춤,0.6960801482200623,1
인물,정치,0.5848035216331482,1
작가,만화,0.6290877461433411,1
장르,음악,0.7329081892967224,1
전화,대화,0.5852361917495728,1
정보,교통,0.6121577620506287,1
제작,방송,0.6307950615882874,3
주목,기대,0.562468945980072,1
중학교,학교,0.5561110973358154,3
청춘,사랑,0.612774670124054,1
체력,전투,0.5275833606719971,2
추억,사랑,0.6609922647476196,1
캐릭터,인형,0.5306801795959473,2
킹그,액션,1,2
테니스,스포츠,0.675190806388855,5
테츠,좀비,0.5181907415390015,1
텔레비젼,컴퓨터,0.5121927857398987,1
특기,개그,0.5829810500144958,2
특이,의심,0.5189300179481506,1
특전,여행,0.5606608986854553,1
파동,충격,0.5834812521934509,1
파워,액션,0.5782656669616699,1
파일,권력,0.5008075833320618,1
팝콘,음식,0.529098629951477,1
포토,동정,0.5201435089111328,2
플레이,서바이벌,0.5245938897132874,1
학교,학교,1,3
학년,학교,0.6330993175506592,4
확인,발견,0.6419516205787659,1
흐름,질서,0.5799944400787354,4

Category,Count,average
사랑,6,0.6731767455736796
액션,5,0.7744577527046204
만화,5,0.659624969959259
춤,4,0.6600701808929443
학교,3,0.7297368049621582
여행,3,0.7064539392789205
방송,3,0.6041149298350016
음식,3,0.5218969980875651
스포츠,2,0.8375954031944275
개그,2,0.7914905250072479
음악,2,0.7389353513717651
기쁨,2,0.6432974636554718
도둑,2,0.620491623878479
충격,2,0.5967142283916473
기대,2,0.5937182307243347
후회,2,0.5927485227584839
발견,2,0.5882008671760559
욕망,2,0.584871768951416
대화,2,0.5519801080226898
서바이벌,2,0.5144217014312744
고문,1,1.0
뮤지컬,1,1.0
유쾌,1,0.6678951382637024
가족,1,0.6233720779418945
교통,1,0.6121577620506287
환경,1,0.6094790697097778
도시,1,0.60332190990448
성장,1,0.5860862135887146
정치,1,0.5848035216331482
질서,1,0.5799944400787354
드라마,1,0.5479550361633301
질병,1,0.5374902486801147
꿈,1,0.5368646383285522
전기,1,0.5325479507446289
인형,1,0.5306801795959473
전투,1,0.5275833606719971
동정,1,0.5201435089111328
의심,1,0.5189300179481506
좀비,1,0.5181907415390015
컴퓨터,1,0.5121927857398987
권력,1,0.5008075833320618
