Word,Category,Similarity,Frequency
가난,고통,0.7040712237358093,9
가능,여행,0.6136982440948486,3
가중,혼란,0.5712937712669373,1
가치,윤리,0.6346501111984253,1
가톨릭,종교,0.5992807149887085,4
가학,폭력,0.6196996569633484,1
감방,감옥,0.7492210865020752,1
감상,음악,0.6411212086677551,1
감옥,감옥,1,5
감지,발견,0.5597200989723206,1
감탄,열정,0.5392419099807739,1
감행,추격,0.5397303700447083,1
감화,기쁨,0.6117310523986816,1
개입,음모,0.5886576175689697,1
개혁,정치,0.6942312717437744,4
거대,괴물,0.5640032887458801,1
거래,도박,0.6013003587722778,1
거실,가족,0.6177316308021545,2
거주,도시,0.6213511228561401,1
경감,재난,0.5005417466163635,3
경제,경제,1,1
계단,괴담,0.5106033086776733,1
계획,여행,0.6060113906860352,2
고문,고문,1,1
고위급,군사,0.5409925580024719,1
공격,전투,0.6404148936271667,1
공부,교육,0.6627280712127686,1
공연,음악,0.7031762599945068,1
공짜,좀비,0.531777560710907,1
공포감,무력감,0.6693056225776672,2
과정,교육,0.6268183588981628,3
관람,여행,0.5587009191513062,1
관심,기대,0.6249675154685974,1
관절,질병,0.5729323029518127,1
교도소,감옥,0.6448109149932861,1
구매,여행,0.5682201981544495,2
극악,좀비,0.5708756446838379,1
극장판,드라마,0.5479550361633301,2
금색,인형,0.5298019051551819,1
기계,전기,0.6900599598884583,1
기대,기대,1,3
기분,유쾌,0.6678951382637024,2
낙인,충격,0.5184834003448486,1
난항,갈등,0.6503344178199768,1
남자,사랑,0.5456969141960144,2
납치,살인,0.6689104437828064,4
내면,내면,1,2
내재,욕망,0.6369141936302185,1
너머,바다,0.5151404738426208,1
네일,미술,0.5655103325843811,3
노력,헌신,0.6555296182632446,3
노인,가족,0.6170642375946045,1
노출,충격,0.60725998878479,2
노트북,컴퓨터,0.692142903804779,1
놈팡,액션,1,1
누님,만화,0.5331792831420898,1
느낌,슬픔,0.6343626976013184,3
능력,교육,0.6137364506721497,1
다짐,열정,0.6131012439727783,1
다큐멘터리,다큐멘터리,1,1
당국,군사,0.5687816739082336,1
대답,후회,0.5436964631080627,1
대출,유령,0.5509581565856934,1
도덕,윤리,0.8225712776184082,1
도전,열정,0.6956499814987183,2
도착,여행,0.6466491222381592,1
드라마,드라마,1,12
디지털,컴퓨터,0.6325473189353943,1
라디오,드라마,0.6265520453453064,1
레드,정글,0.5992697477340698,1
리메이크,드라마,0.5311616063117981,2
마음,기쁨,0.6783162951469421,4
맛집,음식,0.6337778568267822,1
매력,열정,0.6489761471748352,11
매춘,범죄,0.68752121925354,1
매춘부,코미디,0.5047982335090637,1
맹신,윤리,0.5539131760597229,1
메시지,대화,0.5048822164535522,1
모션,액션,0.6868695020675659,1
모습,꿈,0.5368646383285522,4
모험,모험,1,1
목격,발견,0.6813858151435852,1
몰락,멸망,0.6989313364028931,10
몰입,열정,0.6674494743347168,2
몰카,괴담,0.616298496723175,1
몸동작,춤,0.655004620552063,1
무법자,괴물,0.5619667768478394,1
문제,갈등,0.6495088934898376,1
물리,과학,0.7363146543502808,1
물품,인형,0.5920984745025635,1
미상,여행,0.5145817399024963,1
미스터리,미스터리,1,1
박탈,상실,0.673868715763092,1
반감,분노,0.6136011481285095,1
발견,발견,1,1
발달,성장,0.7021803855895996,1
발생,혼란,0.6102904081344604,2
발전,성장,0.7311267852783203,1
발휘,기대,0.5250481367111206,1
방문,여행,0.5841829180717468,1
방어,전투,0.6440592408180237,2
방영,방송,0.7201281189918518,1
방해,혼란,0.5498800277709961,1
범죄,범죄,1,14
범죄자,범죄,0.5728323459625244,10
변사체,발견,0.5885545015335083,1
변태,인형,0.6163353323936462,1
변화,성장,0.7235260605812073,1
보이스,드라마,0.5123955011367798,1
보이스피싱,범죄,0.5037814378738403,1
부류,자아,0.5049813389778137,1
부모,가족,0.6875284910202026,3
부인,가족,0.5428288578987122,2
부패,범죄,0.6599663496017456,1
북방,군사,0.58018958568573,1
불면증,무력감,0.6034464836120605,1
불안감,두려움,0.7379971742630005,1
불쾌,불안,0.6396418213844299,1
불평,분노,0.607698917388916,1
불행,절망,0.6734789609909058,3
붕괴,혼란,0.6892794370651245,1
비리,범죄,0.6398225426673889,1
비명,괴담,0.5712770819664001,1
빈약,기대,0.5086852312088013,1
빌미,괴담,0.5338877439498901,2
빗줄기,슬픔,0.5190858840942383,1
사건,살인,0.7159186005592346,10
사람,꿈,0.5610076785087585,18
사이코패스,정신병,0.6299716830253601,4
사전,교육,0.5635393261909485,1
사태,혼란,0.6536093354225159,1
사회,경제,0.8096231818199158,4
살인,살인,1,3
살인마,살인,0.5618112683296204,1
상대,추격,0.558393657207489,1
상황,혼란,0.6442916989326477,3
색감,미술,0.5213123559951782,2
생각,후회,0.6602693200111389,19
생존,생존,1,1
생활,환경,0.7009555697441101,2
서사,신화,0.6202012896537781,2
서스펙트,스릴러,0.566540002822876,1
선택,희망,0.5827092528343201,3
설치,교육,0.5344357490539551,1
성공,성장,0.6859850287437439,1
성범죄,범죄,0.658366322517395,1
세상,기쁨,0.6082786321640015,7
소셜,좀비,0.6150070428848267,1
소외,고통,0.6188626289367676,1
소품,인형,0.6749653220176697,2
속죄,희생,0.6883150339126587,1
수감,감옥,0.6253129839897156,3
수사,범죄,0.673683226108551,6
수사관,탐정,0.5375542640686035,1
스릴러,스릴러,1,11
스톱,액션,0.6019512414932251,1
시리즈,만화,0.5106303691864014,8
시리즈물,드라마,0.6773087382316589,5
시설,여행,0.6567099690437317,1
시신,수색,0.6265639066696167,2
시작,발견,0.534450113773346,5
시즌,방송,0.5284544229507446,4
시청자,방송,0.5191292762756348,1
시체,살인,0.6126627326011658,2
식상,의리,0.5438627004623413,1
신경,질병,0.5199351906776428,2
신념,욕망,0.6720592975616455,1
신분,평등,0.5665543079376221,2
신작,만화,0.6367781758308411,1
실랄,액션,1,1
실력,춤,0.5194166302680969,1
실종,살인,0.5558342933654785,2
