Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,2
가슴,상처,0.6098507642745972,1
가족,가족,1,1
간호,교육,0.6981058716773987,1
갈등,갈등,1,1
감성,심리,0.6301533579826355,1
개봉작,드라마,0.5794780254364014,1
거리,도시,0.60332190990448,1
결혼,연애,0.6863196492195129,1
경험,열정,0.6344258189201355,2
고급,음식,0.5831040740013123,1
고생,고통,0.5584161281585693,1
골드,정글,0.5455614924430847,1
과정,교육,0.6268183588981628,1
관람,여행,0.5587009191513062,2
관심,기대,0.6249675154685974,1
광맥,신화,0.5371603965759277,1
국가,경제,0.7089344263076782,1
극복,고통,0.6304678916931152,1
근간,철학,0.5598404407501221,1
기독교,종교,0.6900428533554077,2
기독교인,종교,0.5745577812194824,1
기억,사랑,0.6537694931030273,1
기타,음악,0.5873071551322937,1
길목,설원,0.5156900882720947,1
나날,이별,0.6136053204536438,1
낙태,종교,0.6390891671180725,1
남녀,평등,0.5715689063072205,1
남자,사랑,0.5456969141960144,37
냄새,음식,0.5817655324935913,1
노래,춤,0.7242721915245056,1
노예,평등,0.6012166738510132,2
농부,시골,0.6694933176040649,1
농사,농업,0.6897985339164734,3
농장,농업,0.6616603136062622,3
느낌,슬픔,0.6343626976013184,3
능력,교육,0.6137364506721497,1
다큐멘터리,다큐멘터리,1,1
대립,갈등,0.8246769905090332,1
데이트,로맨스,0.5355676412582397,1
도시,도시,1,3
드라마,드라마,1,3
러브,액션,0.6233081817626953,4
로맨스,로맨스,1,8
마술,마법,0.7452477812767029,1
맛집,음식,0.6337778568267822,1
매춘,범죄,0.68752121925354,7
매춘부,코미디,0.5047982335090637,1
모습,꿈,0.5368646383285522,3
몰입,열정,0.6674494743347168,2
미래,미래,1,5
미련,고독,0.6796653270721436,1
배급,교육,0.5531435608863831,2
벌충,액션,1,1
범죄,범죄,1,2
보디가드,드라마,0.5466750860214233,1
부인,가족,0.5428288578987122,3
사금,농업,0.5479612946510315,1
사람,꿈,0.5610076785087585,15
사랑,사랑,1,40
사진,미술,0.5546669960021973,1
산책,여행,0.5863888263702393,2
상영,방송,0.6350025534629822,1
상황,혼란,0.6442916989326477,2
생각,후회,0.6602693200111389,4
생활,환경,0.7009555697441101,1
선물,사랑,0.605575680732727,1
성실,헌신,0.6314191222190857,1
성애,폭력,0.6622209548950195,1
성향,심리,0.5809999704360962,1
세계,경제,0.6071235537528992,1
세상,기쁨,0.6082786321640015,1
셀러,용기,0.5134735107421875,1
소설,만화,0.8215566873550415,8
손발,상처,0.5660101771354675,2
손톱,상처,0.6537156105041504,1
수사,범죄,0.673683226108551,1
순애보,드라마,0.6065585613250732,1
습작,후회,0.5139960646629333,1
시설,여행,0.6567099690437317,1
시작,발견,0.534450113773346,1
시티,여행,0.6037575602531433,1
식당,음식,0.6759225726127625,1
싸움,전투,0.6696678996086121,1
아내,가족,0.582758903503418,3
아들,가족,0.5667959451675415,3
아이돌,드라마,0.5358486175537109,2
악마,괴물,0.7208051085472107,1
애니메이션,만화,0.68199223279953,1
액션,액션,1,1
언론,정치,0.741054117679596,1
언어,교육,0.6619911193847656,1
엄두,후회,0.5174670219421387,1
엄마,사랑,0.5908297300338745,4
업소,여행,0.5430063605308533,1
여자,사랑,0.5380519032478333,9
여행,여행,1,2
연작,유령,0.5906467437744141,1
열풍,복고,0.5646018981933594,1
영화,만화,0.7536719441413879,47
영화관,드라마,0.5831791758537292,1
예고편,드라마,0.5787103772163391,2
옛날,시골,0.5727385878562927,1
완력,의리,0.501583456993103,1
요리,음식,0.7475793361663818,1
요리사,탐정,0.5669357776641846,1
욕심,욕망,0.6326161026954651,1
원작,만화,0.7227425575256348,9
위기,혼란,0.6975850462913513,1
위로,바다,0.5024420619010925,1
음란,폭력,0.6032528281211853,3
이름,신화,0.5608668327331543,3
이웃,가족,0.6304181218147278,1
인기,여행,0.6119158267974854,2
인물,정치,0.5848035216331482,2
인상,기대,0.6044384241104126,2
일상,유쾌,0.5978867411613464,1
