Word,Category,Similarity,Frequency
가치,윤리,0.6346501111984253,1
감정,심리,0.7588332891464233,9
거리,도시,0.60332190990448,2
과정,교육,0.6268183588981628,1
기억,사랑,0.6537694931030273,2
남자,사랑,0.5456969141960144,7
로맨스,로맨스,1,1
마법,마법,1,1
몸짓,춤,0.688373863697052,1
반감,분노,0.6136011481285095,2
보드,액션,0.6568782329559326,1
부끄러움,무력감,0.6048305630683899,1
부모,가족,0.6875284910202026,2
비참,고독,0.6815916895866394,1
사람,꿈,0.5610076785087585,1
사랑,사랑,1,13
사명감,열정,0.6485658884048462,1
새드,액션,0.6351451277732849,1
생각,후회,0.6602693200111389,8
성장,성장,1,1
세상,기쁨,0.6082786321640015,2
수업,교육,0.711469292640686,1
스틸,액션,0.5995299220085144,1
시작,발견,0.534450113773346,1
심리,심리,1,1
심장,기쁨,0.5264105200767517,1
심정,슬픔,0.5811508297920227,1
아역,액션,0.5058702826499939,1
엄마,사랑,0.5908297300338745,1
여자,사랑,0.5380519032478333,8
영화,만화,0.7536719441413879,14
이혼,이별,0.6634467244148254,3
장면,액션,0.5999083518981934,1
재미,모험,0.6051297187805176,1
절차,법정,0.6070003509521484,1
접촉,대화,0.5968011617660522,1
조각,인형,0.646467387676239,1
조폭,범죄,0.6374698281288147,1
찌질,개그,0.6416961550712585,1
첫사랑,로맨스,0.5646798014640808,3
초딩,만화,0.5247188806533813,1
추억,사랑,0.6609922647476196,3
추천,여행,0.5768113136291504,3
출연,방송,0.659591019153595,1
컴퓨터,컴퓨터,1,2
큭큭,유쾌,0.5883029699325562,1
파크,여행,0.5339505076408386,1
파타노,죄책감,0.5082577466964722,1
표정,유쾌,0.5511194467544556,1
플레이,서바이벌,0.5245938897132874,1
플립,액션,0.5289046168327332,1
해피엔딩,로맨스,0.6157752275466919,1
행복,기쁨,0.7726561427116394,1

Category,Count,average
사랑,6,0.6648900508880615
액션,6,0.5877060890197754
로맨스,3,0.7268183430035909
기쁨,3,0.6357817649841309
심리,2,0.8794166445732117
교육,2,0.6691438257694244
만화,2,0.6391954123973846
유쾌,2,0.5697112083435059
여행,2,0.5553809106349945
마법,1,1.0
성장,1,1.0
컴퓨터,1,1.0
춤,1,0.688373863697052
가족,1,0.6875284910202026
고독,1,0.6815916895866394
이별,1,0.6634467244148254
후회,1,0.6602693200111389
방송,1,0.659591019153595
열정,1,0.6485658884048462
인형,1,0.646467387676239
개그,1,0.6416961550712585
범죄,1,0.6374698281288147
윤리,1,0.6346501111984253
분노,1,0.6136011481285095
법정,1,0.6070003509521484
모험,1,0.6051297187805176
무력감,1,0.6048305630683899
도시,1,0.60332190990448
대화,1,0.5968011617660522
슬픔,1,0.5811508297920227
꿈,1,0.5610076785087585
발견,1,0.534450113773346
서바이벌,1,0.5245938897132874
죄책감,1,0.5082577466964722
