Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,4
가슴,상처,0.6098507642745972,2
가전제품,컴퓨터,0.5764513611793518,1
가정,가족,0.7013463377952576,1
가족,가족,1,4
가출,살인,0.6332151889801025,5
가혹,폭력,0.7184136509895325,1
간식,음식,0.7144152522087097,1
간장,음식,0.6004773378372192,3
간접,교육,0.5171768665313721,2
간호,교육,0.6981058716773987,1
갈망,욕망,0.7525596022605896,1
감기,질병,0.6120592355728149,1
감동,기쁨,0.6450744271278381,3
감상,음악,0.6411212086677551,8
감성,심리,0.6301533579826355,4
감자,음식,0.531127393245697,1
감정,심리,0.7588332891464233,7
감탄,열정,0.5392419099807739,3
강력,충격,0.5549739599227905,1
개방,교육,0.5870132446289062,1
개봉작,드라마,0.5794780254364014,1
개요,여행,0.5623396039009094,1
개울,바다,0.5892080664634705,1
개울가,설원,0.603363573551178,2
거대,괴물,0.5640032887458801,1
거리,도시,0.60332190990448,2
거리감,불안,0.5247846245765686,6
거주,도시,0.6213511228561401,1
건물,학교,0.6180571913719177,1
게임,만화,0.7299426198005676,1
경쟁,갈등,0.6576756238937378,1
경제,경제,1,2
경험,열정,0.6344258189201355,2
계곡,설원,0.5840649604797363,1
계절,이별,0.5606238842010498,33
고급,음식,0.5831040740013123,1
고등,과학,0.6939653754234314,1
고생,고통,0.5584161281585693,1
고향,시골,0.6128569841384888,63
골퍼,가족,0.512313723564148,2
골프,여행,0.580535888671875,1
공동,대화,0.5171006321907043,2
공동체,시민운동,0.5667669773101807,2
공복,유쾌,0.5034520030021667,1
공부,교육,0.6627280712127686,1
공통,환경,0.583020031452179,1
공학,과학,0.7757261991500854,1
곶감,음식,0.5261971950531006,4
과목,교육,0.6874532103538513,1
과실,살인,0.5696340799331665,1
과정,교육,0.6268183588981628,8
관능,욕망,0.5800237059593201,1
관람,여행,0.5587009191513062,8
관심,기대,0.6249675154685974,3
괴물,괴물,1,1
교감,대화,0.5680186152458191,1
교육,교육,1,1
교정,교육,0.6010701060295105,3
국가,경제,0.7089344263076782,1
국물,음식,0.584571897983551,1
굴뚝,바다,0.5305491089820862,1
귀농,농업,0.5923850536346436,7
귀촌,농업,0.6351175308227539,1
그리움,고독,0.5979834794998169,1
극복,고통,0.6304678916931152,1
근간,철학,0.5598404407501221,1
금전,도박,0.6236042380332947,1
금지,도박,0.519909143447876,1
긍정,희망,0.608379602432251,1
기계,전기,0.6900599598884583,4
기분,유쾌,0.6678951382637024,4
기쁨,기쁨,1,1
기술,농업,0.6986809968948364,3
기억,사랑,0.6537694931030273,12
기획,교육,0.625312864780426,1
까미,인형,0.5095414519309998,1
껍질,괴담,0.5639057159423828,2
꼭지,만화,0.5203454494476318,1
꽂감,액션,1,2
꽃밭,꿈,0.6128173470497131,1
나레이션,드라마,0.5498647689819336,1
나물,음식,0.6678498983383179,2
낙방,후회,0.6385146975517273,1
난관,갈등,0.5635523796081543,1
난로,전기,0.6435230374336243,1
날씨,환경,0.6094790697097778,3
남녀,평등,0.5715689063072205,3
남자,사랑,0.5456969141960144,7
남편,가족,0.6233720779418945,2
납득,용서,0.5769292116165161,1
낭비,혼란,0.5356693863868713,1
내레이션,다큐멘터리,0.5530755519866943,1
내밀,내면,0.5048536658287048,1
냄새,음식,0.5817655324935913,1
너머,바다,0.5151404738426208,1
노동,경제,0.6806643605232239,1
노력,헌신,0.6555296182632446,6
노인,가족,0.6170642375946045,2
노지,농업,0.5559942126274109,2
농사,농업,0.6897985339164734,18
농업,농업,1,4
농작물,농업,0.5411284565925598,8
농촌,시골,0.8160780668258667,10
농활,학교,0.5769144892692566,1
누나,가족,0.5465071797370911,1
누룩,음식,0.5820697546005249,1
눈물,슬픔,0.6957001090049744,1
느낌,슬픔,0.6343626976013184,11
다짐,열정,0.6131012439727783,1
다큐멘터리,다큐멘터리,1,1
다크,액션,0.6620553135871887,1
다툼,갈등,0.7528305649757385,3
단절,상실,0.6133437752723694,2
단짝,사랑,0.5452064275741577,1
단편,만화,0.737099826335907,2
답장,이별,0.5622968077659607,1
대답,후회,0.5436964631080627,2
대여,여행,0.6416856050491333,1
대적,추격,0.5902887582778931,1
대학원,학교,0.5080148577690125,1
더위,질병,0.5179445147514343,2
데뷔,방송,0.5465471744537354,3
도랑,바다,0.5466006398200989,1
도로,교통,0.7222923040390015,1
도망,도둑,0.5489647388458252,1
도시,도시,1,60
도시인,도시,0.5859336853027344,1
도움,기대,0.5482439994812012,2
도착,여행,0.6466491222381592,3
독서,철학,0.7120826244354248,3
독해,철학,0.6137232184410095,1
돌봄,교육,0.6323469281196594,1
동면,동물,0.5339595079421997,1
동물,동물,1,1
동영상,가상현실,0.5586168169975281,1
동전,인형,0.5470857620239258,1
된장,음식,0.6114404201507568,3
두려움,두려움,1,1
두릅,설원,0.524909257888794,3
두부,음식,0.5902562141418457,3
드라마,드라마,1,11
등록,여행,0.5735748410224915,1
등산,여행,0.5096749663352966,1
땅속,바다,0.5600162744522095,1
땔감,용기,0.5092161893844604,1
또라이,부도덕,0.5551023483276367,2
레슨,음악,0.6048510074615479,1
로망,사랑,0.60160893201828,1
루틴,기쁨,0.5188190937042236,1
리메이크,드라마,0.5311616063117981,3
리얼,액션,0.6809289455413818,1
리틀,정글,0.6318785548210144,55
마늘,음식,0.6259271502494812,1
마법,마법,1,1
마법사,판타지,0.5302509665489197,1
마음,기쁨,0.6783162951469421,48
만물,우주,0.669972836971283,1
만족,기대,0.6570032238960266,2
만족감,기대,0.5598728656768799,1
만화,만화,1,5
맛깔,유쾌,0.537874162197113,1
망각,고독,0.7046898603439331,1
매니지먼트,스포츠,0.527600109577179,1
매력,열정,0.6489761471748352,4
매체,방송,0.6981302499771118,1
머릿,절망,0.5021390318870544,1
머위,음식,0.5041782259941101,1
먹거리,음식,0.5923094749450684,6
먹방,음식,0.6508429050445557,9
메뉴,음식,0.674547016620636,1
메주,음식,0.5039348602294922,1
명작,만화,0.6867616772651672,1
모녀,가족,0.6818090677261353,1
모성애,자기성찰,0.5165060758590698,1
모습,꿈,0.5368646383285522,39
모임,가족,0.6203815937042236,1
목욕,음식,0.6832258701324463,1
목표,성장,0.6552416682243347,2
몰락,멸망,0.6989313364028931,1
몰상식,부도덕,0.605907142162323,1
몰이,좀비,0.5280947089195251,1
몰입,열정,0.6674494743347168,1
무전,이별,0.5068477392196655,1
무침,음식,0.5995705127716064,1
문소리,드라마,0.5094874501228333,2
문제,갈등,0.6495088934898376,6
물놀이,서바이벌,0.5113987922668457,2
물음,절망,0.5957352519035339,1
미덕,욕망,0.6492798924446106,1
미드,정글,0.6025518774986267,1
미래,미래,1,2
민감,불안,0.5712313652038574,1
반감,분노,0.6136011481285095,2
반성,후회,0.62535560131073,1
반죽,음식,0.5425495505332947,2
반찬,음식,0.6869131326675415,2
밥상,음식,0.5861541628837585,1
방문,여행,0.5841829180717468,1
방풍,환경,0.5069615840911865,1
방향,미래,0.5546501278877258,1
방황,이별,0.6669331789016724,1
배고픔,죄책감,0.6231401562690735,2
배달,음식,0.6220709681510925,2
배추,음식,0.5148932933807373,10
배추전,음식,0.5170667767524719,1
배춧,액션,1,1
버터,좀비,0.5526251792907715,1
번복,이별,0.5030183792114258,1
범죄,범죄,1,1
법칙,철학,0.6116989850997925,1
벼농사,농업,0.6115342974662781,2
변형,충격,0.5152089595794678,1
변화,성장,0.7235260605812073,8
별미,음식,0.6697922348976135,1
보이스,드라마,0.5123955011367798,1
복부,군대,0.5064043402671814,3
볶음,음식,0.6523621678352356,2
본질,윤리,0.6154810786247253,1
봄날,이별,0.6270255446434021,2
부모,가족,0.6875284910202026,1
부인,가족,0.5428288578987122,1
부지런,후회,0.5151713490486145,2
분교,학교,0.6893937587738037,2
분란,폭력,0.6131488680839539,1
분석,교육,0.5877142548561096,2
불륜,연애,0.7070099711418152,1
불만,분노,0.6757481098175049,2
불복,배신,0.5243827700614929,1
불안,불안,1,2
불평,분노,0.607698917388916,1
브륄,미술,0.5011338591575623,1
비닐,용기,0.5203546285629272,1
비료,농업,0.6395338177680969,1
비방,폭력,0.6203886270523071,1
빌라,정글,0.5136463642120361,1
사건,살인,0.7159186005592346,2
사기,도박,0.624628484249115,1
사람,꿈,0.5610076785087585,51
사랑,사랑,1,1
사방,정글,0.5186978578567505,1
사전,교육,0.5635393261909485,2
사진,미술,0.5546669960021973,16
사찰,종교,0.5809440016746521,1
사탕,인형,0.6739246249198914,1
사회,경제,0.8096231818199158,4
산책,여행,0.5863888263702393,1
살벌,유쾌,0.6861864924430847,1
상담,심리,0.672296941280365,1
상상,욕망,0.6180667877197266,1
상자,용기,0.6402463316917419,1
상처,상처,1,7
상체,액션,0.5026087164878845,4
상황,혼란,0.6442916989326477,2
새우,음식,0.612043023109436,2
색감,미술,0.5213123559951782,1
색상,환경,0.5759869813919067,2
색채,미술,0.6537377238273621,1
생각,후회,0.6602693200111389,38
생태,환경,0.7058806419372559,1
생활,환경,0.7009555697441101,28
서사,신화,0.6202012896537781,1
석사,교육,0.5729935765266418,1
선물,사랑,0.605575680732727,3
선택,희망,0.5827092528343201,6
설탕,음식,0.6563788056373596,3
성공,성장,0.6859850287437439,2
성인,교육,0.5841577649116516,1
세계,경제,0.6071235537528992,1
섹션,만화,0.5100024938583374,1
셀프,액션,0.6212833523750305,1
소득,경제,0.648128092288971,1
소멸,상실,0.6378204226493835,1
소스,음식,0.5714806914329529,4
소통,대화,0.694833517074585,2
소품,인형,0.6749653220176697,1
속임수,도박,0.556982696056366,1
손질,음식,0.5415489673614502,1
수능,교육,0.5923219323158264,2
수면,환경,0.5423021912574768,1
수분,음식,0.5186819434165955,1
수술,상처,0.585891604423523,1
수습,혼란,0.5311461687088013,1
수업,교육,0.711469292640686,3
수제비,음식,0.5087118744850159,3
