Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,1
가수,음악,0.6117961406707764,1
가정,가족,0.7013463377952576,1
가족,가족,1,2
감금,폭력,0.6267549395561218,3
감지,발견,0.5597200989723206,1
감탄,열정,0.5392419099807739,1
거리,도시,0.60332190990448,1
거울,용기,0.5582752227783203,1
검사,심리,0.583127498626709,1
경고,의심,0.5979491472244263,3
경악,충격,0.724260687828064,1
경험,열정,0.6344258189201355,1
계획,여행,0.6060113906860352,1
고통,고통,1,1
공격,전투,0.6404148936271667,1
공포,공포,1,6
과정,교육,0.6268183588981628,3
관람,여행,0.5587009191513062,1
괴사,질병,0.5930939316749573,2
교훈,희망,0.596325695514679,1
구조,환경,0.6101574897766113,1
국가,경제,0.7089344263076782,1
권총,도둑,0.5374994874000549,1
근처,학교,0.5683311223983765,1
기대,기대,1,1
기억,사랑,0.6537694931030273,5
남자,사랑,0.5456969141960144,5
납치,살인,0.6689104437828064,2
노인,가족,0.6170642375946045,1
노화,질병,0.6835041046142578,1
녹화,방송,0.6983539462089539,1
대책,재난,0.5927299857139587,1
대항,폭력,0.5444368720054626,1
댓가,배신,0.5249300599098206,2
데이트,로맨스,0.5355676412582397,1
도움,기대,0.5482439994812012,1
등반,탐험,0.5952327847480774,1
레이스,스포츠,0.55909663438797,10
마음,기쁨,0.6783162951469421,1
만족,기대,0.6570032238960266,1
매스,좀비,0.5394856333732605,2
모습,꿈,0.5368646383285522,1
목격,발견,0.6813858151435852,1
목욕,음식,0.6832258701324463,1
미행,수색,0.6467276811599731,1
발견,발견,1,1
방중,정치,0.532969057559967,1
방황,이별,0.6669331789016724,1
배후,음모,0.5052520632743835,1
밴드,음악,0.5989826321601868,1
보육,교육,0.776286244392395,1
복도,유령,0.5545416474342346,1
분노,분노,1,1
비디오,컴퓨터,0.6554548740386963,1
사고,의심,0.5630502700805664,1
사람,꿈,0.5610076785087585,10
사랑,사랑,1,2
살인,살인,1,2
살인마,살인,0.5618112683296204,1
살점,상처,0.6040549278259277,1
살해,살인,0.6861730217933655,1
상실,상실,1,1
상실증,정신병,0.6532266139984131,2
상황,혼란,0.6442916989326477,5
생각,후회,0.6602693200111389,8
생활,환경,0.7009555697441101,1
선거,정치,0.6827003955841064,2
선택,희망,0.5827092528343201,2
성공,성장,0.6859850287437439,1
성공작,언더독,0.510842502117157,1
성장,성장,1,1
소설,만화,0.8215566873550415,1
수락,대화,0.551040768623352,1
술집,유령,0.5887368321418762,3
스릴러,스릴러,1,3
시작,발견,0.534450113773346,5
실력,춤,0.5194166302680969,1
실수,후회,0.5709443092346191,1
실종,살인,0.5558342933654785,1
실패,후회,0.6084508299827576,2
실험,과학,0.6881481409072876,9
실험실,과학,0.539912223815918,1
아들,가족,0.5667959451675415,1
아픔,상처,0.7904168963432312,1
악성,좀비,0.5433555245399475,1
약국,탐정,0.5665029287338257,1
약사,꿈,0.545041561126709,1
어린아이,외계인,0.5061091780662537,1
어쪄,액션,1,1
엄마,사랑,0.5908297300338745,1
여멍,액션,1,1
여자,사랑,0.5380519032478333,10
연출,액션,0.5377380847930908,1
열쇠,희망,0.5891710519790649,1
영화,만화,0.7536719441413879,26
예고편,드라마,0.5787103772163391,1
예방,질병,0.6877777576446533,1
예약,여행,0.7399519085884094,1
오해,상처,0.5473958253860474,1
온몸,상처,0.5155565738677979,1
욕망,욕망,1,1
원망,절망,0.6686849594116211,1
원작,만화,0.7227425575256348,1
