Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,2
가입,희망,0.5199176073074341,2
가족,가족,1,4
갈등,갈등,1,3
감동,기쁨,0.6450744271278381,5
감상,음악,0.6411212086677551,5
거대,괴물,0.5640032887458801,1
거짓말,부도덕,0.5334540605545044,1
걱정,후회,0.651527464389801,1
검색,여행,0.6249870657920837,1
결혼,연애,0.6863196492195129,5
경험,열정,0.6344258189201355,1
계략,군사,0.6058172583580017,1
고공,추격,0.5595670342445374,1
공격,전투,0.6404148936271667,2
공주,유령,0.5845017433166504,1
교육,교육,1,2
국악,음악,0.7068697214126587,1
기대,기대,1,3
기술,농업,0.6986809968948364,1
난타,춤,0.5769649147987366,2
납치,살인,0.6689104437828064,1
내면,내면,1,1
노예,평등,0.6012166738510132,1
대립,갈등,0.8246769905090332,1
도움,기대,0.5482439994812012,1
도전,열정,0.6956499814987183,1
독특,춤,0.5334261655807495,1
드라마,드라마,1,3
등록,여행,0.5735748410224915,2
리더,성장,0.5860862135887146,1
마녀,유령,0.7514040470123291,2
마법,마법,1,2
만족,기대,0.6570032238960266,1
모바일,컴퓨터,0.590937614440918,1
모습,꿈,0.5368646383285522,3
모함,충격,0.525575578212738,1
무덤,신화,0.5744480490684509,1
발견,발견,1,1
방문,여행,0.5841829180717468,1
불법,범죄,0.6486050486564636,1
사건,살인,0.7159186005592346,1
사람,꿈,0.5610076785087585,4
사랑,사랑,1,7
사자,도둑,0.6428564786911011,1
상견례,로맨스,0.5069932341575623,2
상쇄,저항,0.5002554059028625,1
상황,혼란,0.6442916989326477,1
생각,후회,0.6602693200111389,4
성장,성장,1,2
세계,경제,0.6071235537528992,5
스마트,가상현실,0.5641322731971741,1
스마트폰,컴퓨터,0.6610336303710938,1
스트리밍,음악,0.5658097267150879,1
시리즈,만화,0.5106303691864014,2
시리즈물,드라마,0.6773087382316589,1
시비,갈등,0.5315856337547302,1
시작,발견,0.534450113773346,1
시청자,방송,0.5191292762756348,2
식상,의리,0.5438627004623413,1
신경,질병,0.5199351906776428,1
아비규환,혼란,0.5102518200874329,1
악당,좀비,0.6801067590713501,1
애니메이션,만화,0.68199223279953,1
액션,액션,1,1
앤드,액션,0.5491106510162354,1
어둠,절망,0.694835364818573,2
여왕,유령,0.5411664247512817,1
여정,이별,0.6358245611190796,1
여행,여행,1,1
연주자,뮤지컬,0.5156006813049316,1
영상미,액션,0.5695945620536804,1
영화,만화,0.7536719441413879,23
예고편,드라마,0.5787103772163391,1
예상,기대,0.655988872051239,1
오해,상처,0.5473958253860474,2
옷장,인형,0.5678025484085083,1
왕자,도둑,0.5981267690658569,10
위기,혼란,0.6975850462913513,2
유행,복고,0.6242704391479492,1
음모,음모,1,1
음악,음악,1,2
의견,갈등,0.5687873959541321,1
이상향,욕망,0.5244426727294922,1
인기,여행,0.6119158267974854,1
인물,정치,0.5848035216331482,1
인상,기대,0.6044384241104126,2
자료,교육,0.5909054279327393,2
장면,액션,0.5999083518981934,1
재미,모험,0.6051297187805176,1
저주,살인,0.6187702417373657,2
전반,정치,0.5626547336578369,1
전쟁,전쟁,1,6
정보,교통,0.6121577620506287,1
정복,탐험,0.6582491397857666,1
제공,여행,0.6024255156517029,2
제한,상실,0.636760413646698,1
젤리,좀비,0.578476071357727,1
종족,가족,0.553826093673706,5
주요,도시,0.5643994808197021,1
줄거리,드라마,0.531794548034668,2
지배,권력,0.6291192173957825,1
직면,고통,0.5117434859275818,1
청혼,이별,0.6528633236885071,1
추천,여행,0.5768113136291504,4
캐릭터,인형,0.5306801795959473,3
컨텐츠,가상현실,0.517380952835083,2
콘텐츠,가상현실,0.5792493224143982,1
특별,의료,0.5320938229560852,1
판타지,판타지,1,3
평화,평등,0.671115517616272,6
폭발,충격,0.6844252347946167,1
한번,후회,0.5221735835075378,1
해석,심리,0.5405862331390381,2
해피엔딩,로맨스,0.6157752275466919,1
호두까기,뮤지컬,0.564653217792511,1
혼란,혼란,1,1
확인,발견,0.6419516205787659,3
효과,기대,0.5692968964576721,3
후속작,판타지,0.5277939438819885,1
후손,가족,0.5599483847618103,1

Category,Count,average
여행,8,0.6484494656324387
기대,6,0.6724952359994253
갈등,4,0.7312625050544739
음악,4,0.7284501641988754
혼란,4,0.713032141327858
드라마,4,0.6969534158706665
액션,4,0.6796533912420273
발견,3,0.7254672447840372
가족,3,0.7045914928118387
살인,3,0.6678664286931356
만화,3,0.6487648487091064
유령,3,0.625690738360087
후회,3,0.6113234559694926
가상현실,3,0.5535875161488851
교육,2,0.7954527139663696
성장,2,0.7930431067943573
판타지,2,0.7638969719409943
열정,2,0.6650379002094269
이별,2,0.6443439424037933
평등,2,0.6361660957336426
좀비,2,0.6292914152145386
컴퓨터,2,0.6259856224060059
도둑,2,0.620491623878479
충격,2,0.6050004065036774
정치,2,0.5737291276454926
로맨스,2,0.5613842308521271
춤,2,0.555195540189743
인형,2,0.5492413640022278
꿈,2,0.5489361584186554
뮤지컬,2,0.5401269495487213
내면,1,1.0
마법,1,1.0
사랑,1,1.0
음모,1,1.0
전쟁,1,1.0
농업,1,0.6986809968948364
절망,1,0.694835364818573
연애,1,0.6863196492195129
탐험,1,0.6582491397857666
범죄,1,0.6486050486564636
기쁨,1,0.6450744271278381
전투,1,0.6404148936271667
상실,1,0.636760413646698
권력,1,0.6291192173957825
복고,1,0.6242704391479492
교통,1,0.6121577620506287
경제,1,0.6071235537528992
군사,1,0.6058172583580017
모험,1,0.6051297187805176
신화,1,0.5744480490684509
도시,1,0.5643994808197021
괴물,1,0.5640032887458801
