Word,Category,Similarity,Frequency
가구,가족,0.611595630645752,3
가능,여행,0.6136982440948486,4
가발,인형,0.6572422385215759,1
가부장,권력,0.5734140872955322,2
가슴,상처,0.6098507642745972,1
가시,상처,0.5885528922080994,1
가족,가족,1,2
가책,죄책감,0.6077348589897156,3
가출,살인,0.6332151889801025,1
가치,윤리,0.6346501111984253,1
간병인,의료,0.5487469434738159,1
간살,액션,1,1
갈등,갈등,1,1
갈래,신화,0.5194810628890991,1
갈망,욕망,0.7525596022605896,1
감동,기쁨,0.6450744271278381,2
감상,음악,0.6411212086677551,5
감성,심리,0.6301533579826355,2
감시,범죄,0.5818687081336975,2
감응,자아,0.5771770477294922,2
감정,심리,0.7588332891464233,15
감탄,열정,0.5392419099807739,2
감행,추격,0.5397303700447083,1
강간,범죄,0.732934832572937,1
강요,용서,0.5793744921684265,2
개그,개그,1,1
개념,교육,0.6287856698036194,16
개요,여행,0.5623396039009094,1
개척,탐험,0.6222059726715088,1
거대,괴물,0.5640032887458801,1
거리,도시,0.60332190990448,1
거리감,불안,0.5247846245765686,1
거미,좀비,0.6427518129348755,2
거실,가족,0.6177316308021545,1
걱정,후회,0.651527464389801,3
건물,학교,0.6180571913719177,1
검색,여행,0.6249870657920837,2
겁탈,살인,0.6617544293403625,3
격노,분노,0.6423977017402649,1
결부,갈등,0.5845047831535339,1
결함,의심,0.6190357208251953,1
결혼,연애,0.6863196492195129,10
경쟁,갈등,0.6576756238937378,1
경제,경제,1,1
경험,열정,0.6344258189201355,2
계급,평등,0.6543788909912109,2
계단,괴담,0.5106033086776733,1
계획,여행,0.6060113906860352,2
고뇌,고독,0.6679061055183411,1
고딕,복고,0.60976642370224,1
고립,불안,0.661411464214325,1
고문,고문,1,1
고발,범죄,0.5842509865760803,2
고양,신화,0.5436662435531616,1
고자,동정,0.5057293772697449,1
고전,미술,0.6437533497810364,11
공고,여행,0.5139516592025757,1
공모,미술,0.5397971272468567,1
공연,음악,0.7031762599945068,3
공포,공포,1,1
공포감,무력감,0.6693056225776672,1
공허,절망,0.6228043437004089,1
과도,권력,0.5410835146903992,1
과시,열정,0.509526789188385,1
과욕,배신,0.6244707703590393,3
과정,교육,0.6268183588981628,13
과학,과학,1,3
관람,여행,0.5587009191513062,5
관례,환경,0.523539662361145,1
관심,기대,0.6249675154685974,2
관통,충격,0.5143977403640747,1
광고,방송,0.6559303998947144,1
괴로움,고통,0.6400415301322937,1
괴물,괴물,1,1
교감,대화,0.5680186152458191,1
교수,윤리,0.563416063785553,2
교양,교육,0.7196236252784729,1
교훈,희망,0.596325695514679,3
구박,고통,0.587178647518158,2
구석,철학,0.5159526467323303,4
구속,충격,0.5845648646354675,1
구조,환경,0.6101574897766113,3
국가,경제,0.7089344263076782,6
국립,학교,0.6386775374412537,1
군림,권력,0.5240477323532104,3
굴욕,배신,0.5477168560028076,1
권력,권력,1,17
궤도,우주,0.5667131543159485,1
귀결,혼란,0.515130341053009,1
귀족,권력,0.5714877843856812,2
규범,윤리,0.7303454875946045,1
균형,질서,0.6706463098526001,1
그릇,음식,0.6678139567375183,2
그림자,유령,0.5297560691833496,6
극단,미술,0.5709163546562195,4
극도,괴담,0.5402888059616089,1
극한,생존,0.5677410364151001,1
극혐,괴담,0.5952990651130676,1
긍정,희망,0.608379602432251,3
기계,전기,0.6900599598884583,25
기대,기대,1,3
기력,전투,0.5499060750007629,1
기분,유쾌,0.6678951382637024,3
기쁨,기쁨,1,1
기억,사랑,0.6537694931030273,10
기초,교육,0.6542633175849915,5
기타,음악,0.5873071551322937,1
기회주의,배신,0.513096272945404,1
긴장,불안,0.6880083084106445,1
깡통,도둑,0.573471188545227,1
꼬띠아르,스릴러,0.5392865538597107,1
나날,이별,0.6136053204536438,1
나체,춤,0.5363216400146484,1
낙서,폭력,0.5975281000137329,1
낙하,충격,0.6555513739585876,1
난무,괴담,0.5966172814369202,1
날씨,환경,0.6094790697097778,1
남자,사랑,0.5456969141960144,6
남편,가족,0.6233720779418945,75
납득,용서,0.5769292116165161,1
내면,내면,1,3
내연,전기,0.6273136138916016,1
내재,욕망,0.6369141936302185,1
내향,자아,0.6166886687278748,1
너머,바다,0.5151404738426208,1
노동자,시민운동,0.5217600464820862,1
노래,춤,0.7242721915245056,2
노력,헌신,0.6555296182632446,3
노예,평등,0.6012166738510132,1
노출,충격,0.60725998878479,1
논쟁,갈등,0.6280096769332886,1
농노,군대,0.645926296710968,2
뇌절,마법,0.5121912956237793,1
눈물,슬픔,0.6957001090049744,2
눈앞,기대,0.5104065537452698,1
느낌,슬픔,0.6343626976013184,15
능력,교육,0.6137364506721497,1
다짐,열정,0.6131012439727783,1
단계,성장,0.6726707220077515,1
단발,액션,0.5860862731933594,1
담론,정치,0.6720190644264221,1
당위,질서,0.6208310127258301,3
당황,충격,0.6099472045898438,2
대립,갈등,0.8246769905090332,6
대목,꿈,0.5127710700035095,1
대외,경제,0.6580508947372437,2
대처,재난,0.5325601696968079,1
대학원,학교,0.5080148577690125,2
대항,폭력,0.5444368720054626,1
더러움,부도덕,0.5024145245552063,2
덕질,개그,0.610794723033905,1
데뷔작,드라마,0.5683770775794983,1
도덕,윤리,0.8225712776184082,8
도약,성장,0.6517202854156494,1
도움,기대,0.5482439994812012,1
도주,추격,0.6170496940612793,22
도착,여행,0.6466491222381592,1
독백,고독,0.6572872996330261,2
독버섯,괴담,0.5305125713348389,5
독살,살인,0.7006432414054871,5
독작,액션,1,1
독점,권력,0.5065333843231201,1
돌진,추격,0.6224733591079712,1
돗보,액션,1,1
동등,평등,0.585870623588562,2
동물,동물,1,3
동참,기대,0.5190383791923523,1
돼지,동물,0.6352735757827759,1
두뇌,과학,0.5985945463180542,1
두려움,두려움,1,3
드라마,드라마,1,7
드레스,로맨스,0.5291532278060913,3
드므,액션,1,1
들판,바다,0.5628754496574402,4
디딛,액션,1,1
또라이,부도덕,0.5551023483276367,3
또래,가족,0.6356732845306396,1
레이디,뮤지컬,0.505328357219696,16
렌트,여행,0.567833662033081,1
리얼,액션,0.6809289455413818,2
마녀,유령,0.7514040470123291,16
마님,도둑,0.5831257700920105,1
마음,기쁨,0.6783162951469421,14
만끽,평온,0.5107535123825073,2
만능주의,윤리,0.5235264301300049,1
말장난,개그,0.590356707572937,1
망령,괴물,0.5859718918800354,2
망충,액션,1,1
매력,열정,0.6489761471748352,9
매체,방송,0.6981302499771118,1
맥락,질서,0.601793110370636,1
메시지,대화,0.5048822164535522,1
며느리,드라마,0.515521764755249,1
명령,군사,0.5395892262458801,3
명암,갈등,0.5055415034294128,1
모멸감,무력감,0.6109105348587036,1
모순,갈등,0.6281998157501221,2
모습,꿈,0.5368646383285522,24
모욕,폭력,0.6555696129798889,1
모임,가족,0.6203815937042236,1
모집,교육,0.5132797956466675,1
모함,충격,0.525575578212738,1
목격,발견,0.6813858151435852,2
목표,성장,0.6552416682243347,4
몰두,열정,0.5224281549453735,1
몰입,열정,0.6674494743347168,6
몸매,의리,0.5643829703330994,1
몸짓,춤,0.688373863697052,1
무모,살인,0.5360095500946045,1
문제,갈등,0.6495088934898376,5
물질,우주,0.6482014656066895,1
뮤지컬,뮤지컬,1,2
미궁,모험,0.6382749080657959,1
미래,미래,1,6
민심,정치,0.6358858346939087,1
바다,바다,1,2
바리,도시,0.5150355100631714,1
반란군,반란,0.519380509853363,1
반론,분노,0.5562311410903931,1
반문,신화,0.5213050246238708,1
반성,후회,0.62535560131073,1
반역,음모,0.6959145665168762,1
반역자,배신,0.5672177672386169,1
반응,충격,0.5951288342475891,3
반항심,죄책감,0.5784380435943604,1
발견,발견,1,3
발동,전투,0.5676375031471252,1
발레,미술,0.6749600768089294,1
발명,꿈,0.5593801736831665,7
발목,상처,0.5137267112731934,1
발생,혼란,0.6102904081344604,1
발언,대화,0.537577211856842,1
발전,성장,0.7311267852783203,1
발호,멸망,0.5454187393188477,1
발휘,기대,0.5250481367111206,2
방해,혼란,0.5498800277709961,4
방향,미래,0.5546501278877258,1
배급,교육,0.5531435608863831,2
배반,배신,0.7225366234779358,13
배신,배신,1,8
배치,수색,0.5295758843421936,4
백색,동물,0.5034070611000061,1
버섯,동물,0.6183083057403564,1
범벅,괴담,0.5813131332397461,1
범죄,범죄,1,2
범행,범죄,0.5743876695632935,3
법칙,철학,0.6116989850997925,1
변덕,고독,0.7021976113319397,1
변명,욕망,0.5581992864608765,1
변형,충격,0.5152089595794678,2
변화,성장,0.7235260605812073,11
병사,군대,0.6129758954048157,1
보조,의료,0.6010368466377258,1
보호,환경,0.6321627497673035,1
복귀,생존,0.5351816415786743,1
복종,저항,0.6003823280334473,5
본능,욕망,0.7253124713897705,6
본질,윤리,0.6154810786247253,1
부동산,경제,0.5007047057151794,1
부두,수색,0.5498741269111633,1
부류,자아,0.5049813389778137,1
부모,가족,0.6875284910202026,1
부음,동정,0.6297545433044434,1
부인,가족,0.5428288578987122,14
부정,폭력,0.6489901542663574,1
부채,경제,0.5646494030952454,1
분노,분노,1,5
분석,교육,0.5877142548561096,3
불륜,연애,0.7070099711418152,1
불변,평등,0.5418583750724792,1
불빛,꿈,0.5932316780090332,1
불안,불안,1,10
불행,절망,0.6734789609909058,1
붕괴,혼란,0.6892794370651245,1
뷰티,음식,0.5668029189109802,1
비극,살인,0.6638696789741516,25
비난,분노,0.6010863780975342,3
비중,성장,0.5152275562286377,1
비평,윤리,0.6509755849838257,1
빈자,시골,0.5350687503814697,1
사건,살인,0.7159186005592346,2
사람,꿈,0.5610076785087585,41
사랑,사랑,1,36
사례,교육,0.6318955421447754,1
사명감,열정,0.6485658884048462,1
사슬,도둑,0.504044234752655,1
사슴,동물,0.7194421291351318,1
사이코패스,정신병,0.6299716830253601,1
사진,미술,0.5546669960021973,4
사촌,가족,0.594305157661438,1
사태,혼란,0.6536093354225159,2
사회,경제,0.8096231818199158,4
산책,여행,0.5863888263702393,1
살인,살인,1,22
살인범,정신병,0.575529932975769,1
살해,살인,0.6861730217933655,5
삼촌,도둑,0.5172341465950012,3
상상,욕망,0.6180667877197266,1
상영,방송,0.6350025534629822,2
상처,상처,1,1
상황,혼란,0.6442916989326477,8
생각,후회,0.6602693200111389,38
생성,발견,0.5995927453041077,1
생애,철학,0.5437271595001221,1
생존,생존,1,1
서사,신화,0.6202012896537781,4
서슬,독재,0.5161508321762085,1
선택,희망,0.5827092528343201,5
성공,성장,0.6859850287437439,4
성분,음식,0.5479894876480103,2
성장,성장,1,1
세계,경제,0.6071235537528992,4
세상,기쁨,0.6082786321640015,8
세트,인형,0.564244270324707,2
세트장,드라마,0.5838039517402649,1
섹슈얼,판타지,0.5438349843025208,1
섹시,액션,0.6481122970581055,1
소멸,상실,0.6378204226493835,2
소비,경제,0.6587632894515991,1
소설,만화,0.8215566873550415,7
소유물,욕망,0.581021785736084,4
소음,환경,0.5501613020896912,1
소작농,시골,0.535933256149292,1
소파,가족,0.5909740924835205,2
소품,인형,0.6749653220176697,1
속박,충격,0.6008642315864563,1
속설,음식,0.5528843402862549,1
속성,환경,0.6046976447105408,1
쇼크,충격,0.608343780040741,1
쇼핑,음식,0.6577849984169006,3
수다,대화,0.5187240242958069,1
수업,교육,0.711469292640686,1
수직,해양,0.511836588382721,2
수행,성장,0.5646498799324036,2
숙면,기쁨,0.5578094124794006,1
숙소,여행,0.6805042028427124,2
