Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,2
가슴,상처,0.6098507642745972,1
가치,윤리,0.6346501111984253,1
갈등,갈등,1,1
갈증,기쁨,0.6175435781478882,1
감동,기쁨,0.6450744271278381,1
감정,심리,0.7588332891464233,5
걱정,후회,0.651527464389801,1
검색,여행,0.6249870657920837,1
격주,방송,0.5669147968292236,2
경험,열정,0.6344258189201355,2
고향,시골,0.6128569841384888,4
공격,전투,0.6404148936271667,1
공동,대화,0.5171006321907043,1
공백,불안,0.5762792825698853,1
공포,공포,1,2
공항,교통,0.7404273152351379,1
과정,교육,0.6268183588981628,1
관람,여행,0.5587009191513062,2
관심,기대,0.6249675154685974,1
교감,대화,0.5680186152458191,1
국룰,액션,1,1
극도,괴담,0.5402888059616089,1
기대,기대,1,1
기억,사랑,0.6537694931030273,2
꼬마,도둑,0.5964561700820923,7
날것,유쾌,0.528749942779541,1
남자,사랑,0.5456969141960144,5
내면세계,자기성찰,0.6325609683990479,1
너머,바다,0.5151404738426208,1
노동,경제,0.6806643605232239,1
놀이,춤,0.6705771684646606,2
느낌,슬픔,0.6343626976013184,1
능동,자아,0.532185435295105,1
다이빙,스포츠,0.5205369591712952,1
다큐,다큐멘터리,0.6907773613929749,1
단짝,사랑,0.5452064275741577,1
단편,만화,0.737099826335907,4
답변,의심,0.5017156600952148,1
대답,후회,0.5436964631080627,1
대학교,학교,0.5889599323272705,1
도전,열정,0.6956499814987183,1
도착,여행,0.6466491222381592,1
드라마,드라마,1,1
또래,가족,0.6356732845306396,1
로맨스,로맨스,1,1
마음,기쁨,0.6783162951469421,5
만족,기대,0.6570032238960266,1
매치,액션,0.5586719512939453,1
메일,만화,0.5050849914550781,1
멘트,개그,0.5644389390945435,2
멜체,액션,1,1
모교,학교,0.5476897954940796,1
모습,꿈,0.5368646383285522,2
목욕,음식,0.6832258701324463,1
목표,성장,0.6552416682243347,1
몰입,열정,0.6674494743347168,1
몽환,공포,0.573314368724823,1
방어,전투,0.6440592408180237,1
방학,학교,0.627612829208374,3
베개,가족,0.6249520778656006,1
변화,성장,0.7235260605812073,1
보모,가족,0.567907989025116,3
사고,의심,0.5630502700805664,1
사람,꿈,0.5610076785087585,3
사랑,사랑,1,3
사물함,학교,0.5559275150299072,3
사회,경제,0.8096231818199158,1
삽화,만화,0.5987709760665894,1
상영,방송,0.6350025534629822,2
생각,후회,0.6602693200111389,10
설득,대화,0.5834951996803284,1
성공,성장,0.6859850287437439,1
성인,교육,0.5841577649116516,1
성장,성장,1,5
세계,경제,0.6071235537528992,7
세상,기쁨,0.6082786321640015,3
소동,도둑,0.6143503189086914,1
소원,사랑,0.6399070620536804,3
소통,대화,0.694833517074585,1
술래잡기,시간여행,0.5382044315338135,1
스릴러,스릴러,1,1
스타트업,가상현실,0.6112937927246094,1
시작,발견,0.534450113773346,3
신발,인형,0.6705133318901062,2
실천,철학,0.6342154145240784,1
심리,심리,1,1
아트,미술,0.6990192532539368,1
안경,인형,0.6577499508857727,1
안부,대화,0.6139237284660339,1
애정,사랑,0.719462513923645,2
애착,자아,0.7021216750144958,1
언어,교육,0.6619911193847656,1
엄마,사랑,0.5908297300338745,1
에니메이션,만화,0.5242398381233215,1
여자,사랑,0.5380519032478333,6
연출,액션,0.5377380847930908,3
영향,기대,0.5794242024421692,1
영화,만화,0.7536719441413879,44
영화과,학교,0.532414436340332,1
예고편,드라마,0.5787103772163391,1
온라인,교육,0.5160459876060486,1
욕심,욕망,0.6326161026954651,1
원망,절망,0.6686849594116211,1
유령,유령,1,1
유모,가족,0.5044174194335938,2
이마,상처,0.5584245920181274,1
이별,이별,1,2
인물,정치,0.5848035216331482,3
인칭,윤리,0.550191342830658,1
일상,유쾌,0.5978867411613464,2
자연,환경,0.6941760182380676,2
자연환경,환경,0.5906069278717041,1
작별,이별,0.7365326285362244,1
장르,음악,0.7329081892967224,3
장면,액션,0.5999083518981934,6
장소,여행,0.6031988263130188,2
