Word,Category,Similarity,Frequency
比교,액션,1,1
가정,가족,0.7013463377952576,1
가짜,괴담,0.5858274698257446,2
감동,기쁨,0.6450744271278381,1
감상,음악,0.6411212086677551,3
감회,유쾌,0.5907583236694336,1
개비,인형,0.5451489090919495,1
거래,도박,0.6013003587722778,1
검색,여행,0.6249870657920837,1
경험,열정,0.6344258189201355,4
고생,고통,0.5584161281585693,1
공연,음악,0.7031762599945068,1
공포,공포,1,23
공포감,무력감,0.6693056225776672,2
과정,교육,0.6268183588981628,1
과학,과학,1,1
관심,기대,0.6249675154685974,1
국가,경제,0.7089344263076782,1
기대,기대,1,1
기억,사랑,0.6537694931030273,1
기타,음악,0.5873071551322937,1
나레이션,드라마,0.5498647689819336,3
남자,사랑,0.5456969141960144,8
내레이션,다큐멘터리,0.5530755519866943,2
내면,내면,1,1
노력,헌신,0.6555296182632446,1
놀람,슬픔,0.6141851544380188,1
느낌,슬픔,0.6343626976013184,4
다큐,다큐멘터리,0.6907773613929749,21
다큐멘터리,다큐멘터리,1,4
단편,만화,0.737099826335907,2
당첨,기대,0.522482693195343,1
당황,충격,0.6099472045898438,1
댓글,후회,0.505795419216156,2
도전,열정,0.6956499814987183,1
독점,권력,0.5065333843231201,1
독특,춤,0.5334261655807495,5
동영상,가상현실,0.5586168169975281,4
드라마,드라마,1,5
등록,여행,0.5735748410224915,3
때깔,유쾌,0.5734173059463501,2
랑종,액션,1,1
리메이크,드라마,0.5311616063117981,3
리얼리티,코미디,0.6628924608230591,1
마케팅,가상현실,0.5079087615013123,2
매니아,판타지,0.5267682075500488,1
매력,열정,0.6489761471748352,2
메일,만화,0.5050849914550781,1
모습,꿈,0.5368646383285522,1
몰입,열정,0.6674494743347168,4
몰카,괴담,0.616298496723175,8
무서움,불안,0.5561872124671936,1
문제,갈등,0.6495088934898376,4
물건,인형,0.6116355657577515,3
미련,고독,0.6796653270721436,1
미스터리,미스터리,1,2
바코드,컴퓨터,0.5121059417724609,1
반응,충격,0.5951288342475891,2
발견,발견,1,2
방문,여행,0.5841829180717468,1
복덕방,도둑,0.531308114528656,1
부동산,경제,0.5007047057151794,1
분석,교육,0.5877142548561096,4
비디오,컴퓨터,0.6554548740386963,6
사건,살인,0.7159186005592346,10
사람,꿈,0.5610076785087585,5
사운드,음악,0.5262696146965027,1
사진,미술,0.5546669960021973,1
사회,경제,0.8096231818199158,1
삭제,의심,0.5076044797897339,1
살인,살인,1,3
상상,욕망,0.6180667877197266,3
생각,후회,0.6602693200111389,10
성장,성장,1,1
세계,경제,0.6071235537528992,3
소통,대화,0.694833517074585,1
수색,수색,1,3
스트리밍,음악,0.5658097267150879,2
시리즈,만화,0.5106303691864014,4
시사,정치,0.7213011980056763,6
시작,발견,0.534450113773346,11
실수,후회,0.5709443092346191,1
실종자,수색,0.5530996322631836,1
실체,배신,0.5563049912452698,1
실화,공포,0.6056075096130371,3
심령,종교,0.563132107257843,1
심리학자,정신병,0.508876621723175,1
심장,기쁨,0.5264105200767517,1
아동,가족,0.6625723242759705,1
애니메이션,만화,0.68199223279953,2
여관,유령,0.5889236330986023,6
여관방,시골,0.5109696984291077,1
여자,사랑,0.5380519032478333,1
연출,액션,0.5377380847930908,4
영화,만화,0.7536719441413879,77
예고편,드라마,0.5787103772163391,1
옛날,시골,0.5727385878562927,1
외계,우주,0.6573302745819092,1
욕망,욕망,1,1
원본,만화,0.5679762363433838,1
원작,만화,0.7227425575256348,4
위기,혼란,0.6975850462913513,1
위장,질병,0.5374902486801147,1
유발,의심,0.6065707206726074,1
의견,갈등,0.5687873959541321,1
이름,신화,0.5608668327331543,5
이웃,가족,0.6304181218147278,1
인상,기대,0.6044384241104126,2
인터넷,컴퓨터,0.609046220779419,5
인터뷰,다큐멘터리,0.5540832281112671,1
일상,유쾌,0.5978867411613464,3
자료,교육,0.5909054279327393,1
자막,방송,0.6141181588172913,1
장르,음악,0.7329081892967224,3
장면,액션,0.5999083518981934,3
장소,여행,0.6031988263130188,6
장편,만화,0.7140740752220154,4
재미,모험,0.6051297187805176,1
재질,미술,0.5245922207832336,1
재현,발견,0.5103026628494263,1
전문,의료,0.6444779634475708,1
접속,방송,0.5524121522903442,1
정보,교통,0.6121577620506287,4
정체불명,외계인,0.5420896410942078,1
제공,여행,0.6024255156517029,1
제작,방송,0.6307950615882874,1
제작국,방송,0.6784050464630127,1
제작진,드라마,0.5286853313446045,3
졸음,공포,0.5716024041175842,1
준말,개그,0.5249698162078857,1
줄거리,드라마,0.531794548034668,4
참여,기대,0.5516729950904846,1
창작,만화,0.6693662405014038,1
촬영,방송,0.6484997272491455,1
최초,발견,0.5291507840156555,3
추억,사랑,0.6609922647476196,1
추적,수색,0.6436203122138977,4
추천,여행,0.5768113136291504,6
출발,여행,0.6575770378112793,1
출연,방송,0.659591019153595,3
취재,방송,0.565690815448761,7
칭찬,열정,0.5763967633247375,1
캐릭터,인형,0.5306801795959473,4
컨셉,개그,0.5215927958488464,1
탄생,신화,0.5951989889144897,1
탐구,철학,0.6451975703239441,1
탐사,해양,0.7014874815940857,1
투숙,여행,0.6090635657310486,1
특별,의료,0.5320938229560852,1
특징,환경,0.5862691402435303,1
티켓,여행,0.6218228340148926,2
폐가,상처,0.5042445659637451,1
포착,발견,0.6197287440299988,1
폭발,충격,0.6844252347946167,1
표현,대화,0.5644240975379944,2
프로그램,교육,0.6089324355125427,6
프로덕션,드라마,0.5138188004493713,2
플롯,개그,0.5973898768424988,1
현장,교육,0.5853086113929749,2
혼령,분노,0.6107680201530457,1
화제,방송,0.5529026389122009,5
확인,발견,0.6419516205787659,3
확장,교육,0.5293398499488831,1
활동,교육,0.6086112856864929,1
활용,교육,0.557722270488739,1
흐름,질서,0.5799944400787354,1

Category,Count,average
만화,9,0.6514042748345269
여행,9,0.6059604353374906
방송,8,0.6128018274903297
교육,8,0.5869190618395805
드라마,7,0.6048622046198163
발견,6,0.6392639875411987
음악,6,0.6260986924171448
기대,5,0.6607123255729676
열정,5,0.6445796370506287
액션,4,0.784411609172821
다큐멘터리,4,0.6994840353727341
경제,4,0.6565964668989182
사랑,4,0.5996276438236237
수색,3,0.7322399814923605
공포,3,0.7257366379102071
가족,3,0.6647789279619852
충격,3,0.6298337578773499
컴퓨터,3,0.592202345530192
유쾌,3,0.5873541235923767
후회,3,0.5790030161539713
인형,3,0.5624882181485494
개그,3,0.5479841629664103
살인,2,0.8579593002796173
욕망,2,0.8090333938598633
대화,2,0.6296288073062897
슬픔,2,0.6242739260196686
갈등,2,0.6091481447219849
괴담,2,0.6010629832744598
의료,2,0.588285893201828
기쁨,2,0.5857424736022949
신화,2,0.578032910823822
의심,2,0.5570876002311707
꿈,2,0.5489361584186554
시골,2,0.5418541431427002
미술,2,0.5396296083927155
가상현실,2,0.5332627892494202
과학,1,1.0
내면,1,1.0
미스터리,1,1.0
성장,1,1.0
정치,1,0.7213011980056763
해양,1,0.7014874815940857
혼란,1,0.6975850462913513
고독,1,0.6796653270721436
무력감,1,0.6693056225776672
코미디,1,0.6628924608230591
우주,1,0.6573302745819092
헌신,1,0.6555296182632446
철학,1,0.6451975703239441
교통,1,0.6121577620506287
분노,1,0.6107680201530457
모험,1,0.6051297187805176
도박,1,0.6013003587722778
유령,1,0.5889236330986023
환경,1,0.5862691402435303
질서,1,0.5799944400787354
종교,1,0.563132107257843
고통,1,0.5584161281585693
배신,1,0.5563049912452698
불안,1,0.5561872124671936
외계인,1,0.5420896410942078
질병,1,0.5374902486801147
춤,1,0.5334261655807495
도둑,1,0.531308114528656
판타지,1,0.5267682075500488
정신병,1,0.508876621723175
권력,1,0.5065333843231201
상처,1,0.5042445659637451
