Word,Category,Similarity,Frequency
가난,고통,0.7040712237358093,1
가능,여행,0.6136982440948486,8
가슴,상처,0.6098507642745972,1
가입,희망,0.5199176073074341,1
가정,가족,0.7013463377952576,1
가족,가족,1,3
가치,윤리,0.6346501111984253,5
가치관,자기성찰,0.5398943424224854,2
가혹,폭력,0.7184136509895325,1
간질,질병,0.6509125828742981,1
갈등,갈등,1,2
감동,기쁨,0.6450744271278381,8
감상,음악,0.6411212086677551,9
감성,심리,0.6301533579826355,1
감시,범죄,0.5818687081336975,2
감정,심리,0.7588332891464233,5
감지,발견,0.5597200989723206,3
감탄,열정,0.5392419099807739,1
갓기,액션,1,1
개성,자아,0.5115846395492554,1
거리,도시,0.60332190990448,1
거조,해적,0.6506401300430298,1
거짓말,부도덕,0.5334540605545044,3
검색,여행,0.6249870657920837,3
격려,동정,0.5737254619598389,1
결여,상실,0.6932352781295776,1
결혼,연애,0.6863196492195129,1
경향,정치,0.5916027426719666,1
경험,열정,0.6344258189201355,7
계략,군사,0.6058172583580017,1
계획,여행,0.6060113906860352,4
고교,학교,0.6200820207595825,1
고독,고독,1,2
고등,과학,0.6939653754234314,1
고등학교,학교,0.6346824765205383,13
고생,고통,0.5584161281585693,1
고전,미술,0.6437533497810364,1
고향,시골,0.6128569841384888,1
공부,교육,0.6627280712127686,1
공연,음악,0.7031762599945068,6
공정,평등,0.5861278176307678,1
공주,유령,0.5845017433166504,3
과대망상,무력감,0.6893755197525024,1
과목,교육,0.6874532103538513,1
과정,교육,0.6268183588981628,4
관능,욕망,0.5800237059593201,1
관람,여행,0.5587009191513062,4
관심,기대,0.6249675154685974,8
교과,교육,0.6884255409240723,1
교내,학교,0.7538260221481323,1
교무,학교,0.5480812788009644,2
구매,여행,0.5682201981544495,1
구멍,상처,0.5373755693435669,1
굿바이,드라마,0.5183427333831787,1
궤변,음모론,0.6309665441513062,1
귓가,유쾌,0.6767988801002502,1
금지,도박,0.519909143447876,2
긍정,희망,0.608379602432251,1
기대,기대,1,6
기분,유쾌,0.6678951382637024,2
기억,사랑,0.6537694931030273,1
꼬리,동물,0.517152726650238,1
꽁트,개그,0.5666484236717224,1
나래이션,드라마,0.6447246074676514,1
남극,해양,0.7013386487960815,1
남녀,평등,0.5715689063072205,1
남자,사랑,0.5456969141960144,14
내면,내면,1,5
내역,여행,0.5270281434059143,1
노력,헌신,0.6555296182632446,4
논리,철학,0.5892475247383118,1
농담,개그,0.6088651418685913,2
눈물,슬픔,0.6957001090049744,2
느낌,슬픔,0.6343626976013184,4
단체,종교,0.635517418384552,5
단편,만화,0.737099826335907,2
담임,학교,0.570489764213562,3
당혹,분노,0.5576525330543518,1
당황,충격,0.6099472045898438,2
대꾸,후회,0.5918521285057068,3
대답,후회,0.5436964631080627,2
데뷔작,드라마,0.5683770775794983,1
독특,춤,0.5334261655807495,5
돌발,재난,0.5403636693954468,3
돌입,추격,0.5638843774795532,1
동계,해양,0.602031946182251,1
동맹,군대,0.5977287888526917,2
