Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,2
가정,가족,0.7013463377952576,1
가정생활,가족,0.509525716304779,1
갈등,갈등,1,1
검색,여행,0.6249870657920837,1
결혼,연애,0.6863196492195129,6
계획,여행,0.6060113906860352,1
고통,고통,1,1
관람,여행,0.5587009191513062,5
교수,윤리,0.563416063785553,5
교육원,학교,0.5201858878135681,1
국가,경제,0.7089344263076782,1
권력,권력,1,1
기대,기대,1,1
기타,음악,0.5873071551322937,1
까메오,드라마,0.5299371480941772,1
남자,사랑,0.5456969141960144,1
넘버,액션,0.5979622006416321,1
노력,헌신,0.6555296182632446,1
노출,충격,0.60725998878479,5
농담,개그,0.6088651418685913,1
눈물,슬픔,0.6957001090049744,1
대답,후회,0.5436964631080627,3
댓글,후회,0.505795419216156,1
도시,도시,1,2
드라마,드라마,1,11
로맨스,로맨스,1,4
만화,만화,1,1
메시지,대화,0.5048822164535522,1
모델,교육,0.5252665281295776,1
모바일,컴퓨터,0.590937614440918,1
모습,꿈,0.5368646383285522,1
뮤즈,신화,0.5225442051887512,2
미숙,혼란,0.5835222601890564,5
발견,발견,1,1
발광,저항,0.5089752674102783,2
방문,여행,0.5841829180717468,1
범죄,범죄,1,1
베드,액션,0.6053483486175537,1
변화,성장,0.7235260605812073,1
비관,불안,0.7107456922531128,1
사람,꿈,0.5610076785087585,4
사랑,사랑,1,2
사육,동물,0.685955822467804,1
사회,경제,0.8096231818199158,1
상처,상처,1,1
생각,후회,0.6602693200111389,3
성공,성장,0.6859850287437439,1
세계,경제,0.6071235537528992,1
세상,기쁨,0.6082786321640015,2
섹스,만화,0.6615440249443054,5
스릴러,스릴러,1,3
스캔들,로맨스,0.5457527041435242,1
시리즈,만화,0.5106303691864014,1
시작,발견,0.534450113773346,3
실사,만화,0.575007438659668,2
실종,살인,0.5558342933654785,2
아내,가족,0.582758903503418,1
애니화,만화,0.53331059217453,1
어플,음악,0.5505043864250183,1
에로,액션,0.6841403841972351,2
여자,사랑,0.5380519032478333,2
역사,철학,0.6869469285011292,2
연애,연애,1,2
연인,사랑,0.6981024742126465,1
열혈,만화,0.5459798574447632,1
영화,만화,0.7536719441413879,60
예악,음악,0.5658833980560303,1
욕망,욕망,1,7
욕심,욕망,0.6326161026954651,1
원작,만화,0.7227425575256348,3
웹툰,만화,0.7226575613021851,2
음악,음악,1,2
이름,신화,0.5608668327331543,1
이혼,이별,0.6634467244148254,2
인물,정치,0.5848035216331482,2
임신,질병,0.5124660134315491,1
입증,발견,0.5962595343589783,1
작가,만화,0.6290877461433411,1
장르,음악,0.7329081892967224,11
장면,액션,0.5999083518981934,5
정보,교통,0.6121577620506287,8
제작,방송,0.6307950615882874,2
제작국,방송,0.6784050464630127,1
조작,범죄,0.5801150798797607,3
줄거리,드라마,0.531794548034668,5
중론,괴담,0.5308515429496765,1
증거,발견,0.5749884247779846,1
짜증,불안,0.627656877040863,1
청소년,교육,0.5544909238815308,1
청춘,사랑,0.612774670124054,1
추천,여행,0.5768113136291504,2
출연,방송,0.659591019153595,2
캐릭터,인형,0.5306801795959473,3
타락,혼란,0.6639453172683716,2
탐구,철학,0.6451975703239441,1
통합,교육,0.6034629344940186,1
투디,액션,0.5760082602500916,1
파격,충격,0.5102958679199219,1
파워,액션,0.5782656669616699,1
폭행,폭력,0.7447036504745483,1
표현,대화,0.5644240975379944,1
합리,질서,0.6118694543838501,1
해석,심리,0.5405862331390381,1
현대,미술,0.6356669068336487,5
현대사,다큐멘터리,0.522395670413971,4
형사,탐정,0.7352063655853271,1
혼돈,혼란,0.7121860980987549,1
혼란,혼란,1,1
화제,방송,0.5529026389122009,1
확인,발견,0.6419516205787659,1

Category,Count,average
만화,10,0.6654632091522217
액션,6,0.6069388687610626
여행,6,0.5940653085708618
음악,5,0.6873206257820129
사랑,5,0.6789251923561096
발견,5,0.669529938697815
혼란,4,0.7399134188890457
방송,4,0.630423441529274
경제,3,0.7085603872934977
드라마,3,0.6872438987096151
가족,3,0.5978769858678182
후회,3,0.5699204007784525
교육,3,0.5610734621683756
연애,2,0.8431598246097565
욕망,2,0.8163080513477325
범죄,2,0.7900575399398804
로맨스,2,0.7728763520717621
성장,2,0.7047555446624756
불안,2,0.6692012846469879
철학,2,0.6660722494125366
충격,2,0.558777928352356
꿈,2,0.5489361584186554
신화,2,0.5417055189609528
대화,2,0.5346531569957733
갈등,1,1.0
고통,1,1.0
권력,1,1.0
기대,1,1.0
도시,1,1.0
상처,1,1.0
스릴러,1,1.0
폭력,1,0.7447036504745483
탐정,1,0.7352063655853271
슬픔,1,0.6957001090049744
동물,1,0.685955822467804
이별,1,0.6634467244148254
헌신,1,0.6555296182632446
미술,1,0.6356669068336487
교통,1,0.6121577620506287
질서,1,0.6118694543838501
개그,1,0.6088651418685913
기쁨,1,0.6082786321640015
컴퓨터,1,0.590937614440918
정치,1,0.5848035216331482
윤리,1,0.563416063785553
살인,1,0.5558342933654785
심리,1,0.5405862331390381
괴담,1,0.5308515429496765
인형,1,0.5306801795959473
다큐멘터리,1,0.522395670413971
학교,1,0.5201858878135681
질병,1,0.5124660134315491
저항,1,0.5089752674102783
