Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,4
가상,우주,0.619330644607544,1
가슴,상처,0.6098507642745972,2
가정사,정신병,0.5068067312240601,1
감상,음악,0.6411212086677551,1
감성,심리,0.6301533579826355,5
감식,수색,0.5954192876815796,1
감정,심리,0.7588332891464233,3
개봉작,드라마,0.5794780254364014,1
개울가,설원,0.603363573551178,2
거래,도박,0.6013003587722778,2
걱정,후회,0.651527464389801,1
게임,만화,0.7299426198005676,2
경계심,두려움,0.6281437873840332,2
경험,열정,0.6344258189201355,1
계곡,설원,0.5840649604797363,1
계획,여행,0.6060113906860352,1
곤란,상실,0.6153967976570129,1
골목,괴담,0.5829960107803345,1
공동,대화,0.5171006321907043,2
공연,음악,0.7031762599945068,1
공조,액션,0.5622533559799194,7
공포,공포,1,2
공항,교통,0.7404273152351379,2
과정,교육,0.6268183588981628,4
관광,교통,0.7508423924446106,1
관람,여행,0.5587009191513062,20
관심,기대,0.6249675154685974,2
광고,방송,0.6559303998947144,1
구멍,상처,0.5373755693435669,1
구석,철학,0.5159526467323303,1
국가,경제,0.7089344263076782,1
군것질,음식,0.6050364971160889,1
군인,군대,0.6802380084991455,3
궤도,우주,0.5667131543159485,1
극복,고통,0.6304678916931152,1
글로벌,가상현실,0.526810348033905,11
기계,전기,0.6900599598884583,1
기대,기대,1,9
기대감,기대,0.6246221661567688,2
기생충,흡혈귀,0.5087416172027588,1
기술,농업,0.6986809968948364,6
기억,사랑,0.6537694931030273,3
긴장,불안,0.6880083084106445,3
날씨,환경,0.6094790697097778,1
남녀,평등,0.5715689063072205,1
남자,사랑,0.5456969141960144,3
남편,가족,0.6233720779418945,3
납치,살인,0.6689104437828064,7
내면,내면,1,1
노력,헌신,0.6555296182632446,3
눈길,동정,0.5653472542762756,2
뉴스,방송,0.70646071434021,1
느낌,슬픔,0.6343626976013184,9
능력,교육,0.6137364506721497,2
답례,음식,0.6149106621742249,1
답변,의심,0.5017156600952148,1
당일,여행,0.5352691411972046,1
대립,갈등,0.8246769905090332,1
도움,기대,0.5482439994812012,4
동영상,가상현실,0.5586168169975281,1
드라마,드라마,1,5
러브,액션,0.6233081817626953,7
로네,해적,0.5047633647918701,1
로맨스,로맨스,1,8
로케,여행,0.61177659034729,1
마더,탐정,0.5776160955429077,2
마술,마법,0.7452477812767029,13
마술사,마법,0.5550655722618103,4
마음,기쁨,0.6783162951469421,3
마취,의료,0.5537869930267334,1
만끽,평온,0.5107535123825073,1
만족,기대,0.6570032238960266,2
만족감,기대,0.5598728656768799,1
매력,열정,0.6489761471748352,6
매매,도박,0.5757066011428833,2
맥락,질서,0.601793110370636,3
명색,평등,0.5764186382293701,1
명소,여행,0.6522921919822693,1
모습,꿈,0.5368646383285522,7
모양,인형,0.6405982375144958,1
몰입,열정,0.6674494743347168,9
무취,평온,0.5424302816390991,1
문제,갈등,0.6495088934898376,1
물건,인형,0.6116355657577515,1
미상,여행,0.5145817399024963,4
미숙,혼란,0.5835222601890564,6
미스터리,미스터리,1,3
미스테리,미스터리,0.7573594450950623,1
미제,독재,0.5607099533081055,4
밀매,범죄,0.6278576850891113,15
바늘,동물,0.5620018839836121,1
발각,살인,0.5089609622955322,1
발견,발견,1,13
밝기,환경,0.5148217678070068,1
방문,여행,0.5841829180717468,2
방해,혼란,0.5498800277709961,2
방황,이별,0.6669331789016724,1
배급,교육,0.5531435608863831,5
배제,상실,0.6328111886978149,1
버스,교통,0.730898916721344,1
범죄,범죄,1,41
법의학,미스터리,0.5121461749076843,2
법칙,철학,0.6116989850997925,1
베테랑,탐정,0.5211659669876099,1
변사체,발견,0.5885545015335083,9
변화,성장,0.7235260605812073,3
본드,액션,0.5496835112571716,2
볼륨,액션,0.6039969325065613,1
봉합,상처,0.6296547055244446,1
부검,수색,0.5981079936027527,1
부응,기대,0.587814211845398,1
부패,범죄,0.6599663496017456,2
불법,범죄,0.6486050486564636,2
불안,불안,1,1
블랙박스,컴퓨터,0.5284155607223511,1
비중,성장,0.5152275562286377,1
사건,살인,0.7159186005592346,52
사람,꿈,0.5610076785087585,9
사랑,사랑,1,2
사물,동물,0.6133488416671753,1
사운드,음악,0.5262696146965027,5
사진,미술,0.5546669960021973,4
사체,동물,0.6201708316802979,6
산속,시골,0.6497528553009033,1
산타클로스,카우보이,0.5265820622444153,3
살인,살인,1,7
살인마,살인,0.5618112683296204,1
삼촌,도둑,0.5172341465950012,1
상대,추격,0.558393657207489,1
상쇄,저항,0.5002554059028625,1
상영,방송,0.6350025534629822,5
상황,혼란,0.6442916989326477,6
생각,후회,0.6602693200111389,26
생활,환경,0.7009555697441101,1
서사,신화,0.6202012896537781,1
서스펜스,미스터리,0.697295069694519,8
성공,성장,0.6859850287437439,3
성실,헌신,0.6314191222190857,1
세계,경제,0.6071235537528992,1
소설,만화,0.8215566873550415,5
소통,대화,0.694833517074585,1
수사,범죄,0.673683226108551,11
수술,상처,0.585891604423523,1
수혈,의료,0.5782104134559631,1
스릴,액션,0.6477225422859192,2
스릴러,스릴러,1,37
스트리밍,음악,0.5658097267150879,1
스틸,액션,0.5995299220085144,3
승낙,여행,0.5163658857345581,1
시골,시골,1,1
시신,수색,0.6265639066696167,2
시작,발견,0.534450113773346,5
시장,경제,0.6355687975883484,2
시체,살인,0.6126627326011658,5
실력,춤,0.5194166302680969,2
실상,미래,0.5008105039596558,1
실체,배신,0.5563049912452698,6
실패,후회,0.6084508299827576,1
실현,미래,0.6133867502212524,1
심리,심리,1,1
심장,기쁨,0.5264105200767517,4
아내,가족,0.582758903503418,1
아들,가족,0.5667959451675415,3
악화,혼란,0.6455839276313782,1
안티,폭력,0.6028836369514465,1
액션,액션,1,3
야구,개그,0.6280479431152344,1
야기,상실,0.5304044485092163,1
양아치,부도덕,0.5815564393997192,1
어린아이,외계인,0.5061091780662537,3
어부,해적,0.6063424944877625,1
언어,교육,0.6619911193847656,2
업무,교통,0.6426385641098022,1
여배우,드라마,0.5256187319755554,4
여야,정치,0.5120202302932739,1
여자,사랑,0.5380519032478333,1
여주인공,로맨스,0.5319628715515137,2
여타,해양,0.5220579504966736,1
역량,교육,0.6734476685523987,2
연출,액션,0.5377380847930908,9
영화,만화,0.7536719441413879,128
예고편,드라마,0.5787103772163391,2
예상,기대,0.655988872051239,1
옛날,시골,0.5727385878562927,1
오케스트라,뮤지컬,0.5524607300758362,1
외과,의료,0.5879392623901367,1
외국,만화,0.5371031761169434,1
용액,저항,0.5367838740348816,1
운반,수색,0.5822270512580872,7
원작,만화,0.7227425575256348,7
유머,개그,0.6961884498596191,1
유무,상실,0.5051581263542175,1
유발,의심,0.6065707206726074,3
음모,음모,1,1
음악,음악,1,12
의견,갈등,0.5687873959541321,1
의심,의심,1,1
이름,신화,0.5608668327331543,1
이면,내면,0.5193107724189758,1
이웃,가족,0.6304181218147278,4
이질감,갈등,0.5083499550819397,1
이탈,혼란,0.6253495812416077,1
이해,철학,0.5395932197570801,9
인간관계,사회문제,0.5430835485458374,1
인기,여행,0.6119158267974854,1
인물,정치,0.5848035216331482,7
인상,기대,0.6044384241104126,4
일상,유쾌,0.5978867411613464,1
입체,미술,0.5655646920204163,1
자료,교육,0.5909054279327393,1
자막,방송,0.6141181588172913,1
자연,환경,0.6941760182380676,3
작가,만화,0.6290877461433411,4
작업,수색,0.6102691888809204,2
작위,권력,0.5234174132347107,1
작전,전투,0.6892815232276917,1
잔혹,폭력,0.6832144260406494,3
장르,음악,0.7329081892967224,14
장면,액션,0.5999083518981934,13
장벽,불안,0.5758340358734131,1
장소,여행,0.6031988263130188,1
장악,권력,0.5244024395942688,1
재미,모험,0.6051297187805176,4
저격,전투,0.5748177170753479,2
저명,종교,0.5317872762680054,1
저해,상실,0.5456470847129822,1
적출,권력,0.5308374166488647,4
전대,우주,0.5374031662940979,1
전대미문,전쟁,0.5123085975646973,1
전락,상실,0.5549110174179077,1
전말,살인,0.5941734910011292,3
전반,정치,0.5626547336578369,1
전시,미술,0.6214971542358398,1
전적,심리,0.5597242712974548,2
전화,대화,0.5852361917495728,1
정보,교통,0.6121577620506287,3
정차,교통,0.5381238460540771,1
제공,여행,0.6024255156517029,3
제작국,방송,0.6784050464630127,1
조절,저항,0.5050233602523804,3
조직,군대,0.5703792572021484,20
조카,가족,0.5838918089866638,6
조폭,범죄,0.6374698281288147,1
조화,질서,0.6025887727737427,2
죄책감,죄책감,1,2
주목,기대,0.562468945980072,1
줄거리,드라마,0.531794548034668,3
진입,추격,0.5556859374046326,1
짐작,기대,0.5603034496307373,1
