Word,Category,Similarity,Frequency
가공,농업,0.5658583641052246,1
가능,여행,0.6136982440948486,8
가드,도둑,0.5269968509674072,1
가슴,상처,0.6098507642745972,3
가족,가족,1,12
갈대,바다,0.5997398495674133,3
갈래,신화,0.5194810628890991,1
갈망,욕망,0.7525596022605896,1
감동,기쁨,0.6450744271278381,3
감상,음악,0.6411212086677551,3
감성,심리,0.6301533579826355,4
감옥,감옥,1,1
감정,심리,0.7588332891464233,8
강탈,배신,0.5558199882507324,1
걸즈,만화,0.5902018547058105,1
검색,여행,0.6249870657920837,1
게으름,무력감,0.558092474937439,1
결승,방송,0.5236272811889648,1
결혼,연애,0.6863196492195129,2
경쟁,갈등,0.6576756238937378,2
경제,경제,1,2
경험,열정,0.6344258189201355,3
계절,이별,0.5606238842010498,4
계획,여행,0.6060113906860352,5
고교,학교,0.6200820207595825,10
고독,고독,1,1
고등,과학,0.6939653754234314,2
고등학교,학교,0.6346824765205383,1
고비,희망,0.530087947845459,1
골목,괴담,0.5829960107803345,1
곰탱,액션,1,1
공연,음악,0.7031762599945068,1
공익,의료,0.5894264578819275,1
공항,교통,0.7404273152351379,5
과정,교육,0.6268183588981628,5
관람,여행,0.5587009191513062,4
관심,기대,0.6249675154685974,3
관찰,발견,0.5781939625740051,1
관통,충격,0.5143977403640747,1
광고,방송,0.6559303998947144,1
괴력,마법,0.5919566750526428,1
괴악,액션,1,1
교대,수색,0.5133755207061768,1
구석,철학,0.5159526467323303,1
국물,음식,0.584571897983551,1
군상,고독,0.5473668575286865,1
귀향,이별,0.55401611328125,1
규칙,윤리,0.5834123492240906,2
그림책,만화,0.5276436805725098,2
극복,고통,0.6304678916931152,4
극장가,드라마,0.5290873050689697,2
근처,학교,0.5683311223983765,1
글귀,꿈,0.6168593764305115,1
기대,기대,1,7
기대감,기대,0.6246221661567688,1
기분,유쾌,0.6678951382637024,1
기상천외,미스터리,0.5333998799324036,2
기억,사랑,0.6537694931030273,4
긴장,불안,0.6880083084106445,1
김치,음식,0.7045021653175354,10
낙서,폭력,0.5975281000137329,1
남녀,평등,0.5715689063072205,1
남자,사랑,0.5456969141960144,10
내면,내면,1,1
내색,후회,0.5738341212272644,1
내심,기대,0.507256031036377,1
냄새,음식,0.5817655324935913,2
녹음,음악,0.6460626721382141,1
농구,개그,0.6286988854408264,28
농구부,학교,0.5293070077896118,6
눈길,동정,0.5653472542762756,1
눈물,슬픔,0.6957001090049744,5
느낌,슬픔,0.6343626976013184,6
다툼,갈등,0.7528305649757385,1
단계,성장,0.6726707220077515,3
단짝,사랑,0.5452064275741577,1
단행본,만화,0.562895655632019,1
대답,후회,0.5436964631080627,4
대입,교육,0.5688934922218323,1
대추,꿈,0.5671963691711426,1
댓글,후회,0.505795419216156,2
도박판,유령,0.5329421758651733,2
도서관,학교,0.5833439230918884,5
도시,도시,1,4
도전자,서바이벌,0.5689401030540466,1
도착,여행,0.6466491222381592,3
독서,철학,0.7120826244354248,1
독특,춤,0.5334261655807495,3
동영상,가상현실,0.5586168169975281,2
동침,연애,0.6457267999649048,1
드라마,드라마,1,6
들판,바다,0.5628754496574402,1
땅콩,음식,0.5883418917655945,1
또래,가족,0.6356732845306396,1
뚜껑,용기,0.6211519241333008,1
라디오,드라마,0.6265520453453064,1
라면,음식,0.5484059453010559,30
로맨스,로맨스,1,3
롱디,연애,0.5146915912628174,1
리그,경제,0.5679942965507507,1
리더,성장,0.5860862135887146,1
리메이크,드라마,0.5311616063117981,1
마음,기쁨,0.6783162951469421,38
마음가짐,자기성찰,0.5756369233131409,1
마켓,좀비,0.5886021852493286,2
만렙,액션,0.6052595973014832,1
만연,범죄,0.6431142687797546,1
만화,만화,1,2
말썽,혼란,0.526727557182312,1
매력,열정,0.6489761471748352,1
맥락,질서,0.601793110370636,1
맥주,음식,0.6920314431190491,1
머릿,절망,0.5021390318870544,1
메시지,대화,0.5048822164535522,3
면모,자아,0.5388920903205872,1
명작,만화,0.6867616772651672,1
모델,교육,0.5252665281295776,4
모성애,자기성찰,0.5165060758590698,2
모습,꿈,0.5368646383285522,24
모임,가족,0.6203815937042236,1
목마름,무력감,0.6146665215492249,1
목표,성장,0.6552416682243347,1
몰수,도박,0.5112819671630859,3
몰입,열정,0.6674494743347168,4
문제,갈등,0.6495088934898376,2
미래,미래,1,2
미련,고독,0.6796653270721436,3
미술가,미술,0.5302937626838684,1
미용,의료,0.690046489238739,1
민폐,개그,0.5627604722976685,1
바다,바다,1,1
바람기,연애,0.5164179801940918,1
바람둥이,로맨스,0.5863642692565918,1
반응,충격,0.5951288342475891,1
반의,학교,0.5065128803253174,1
발견,발견,1,2
발전,성장,0.7311267852783203,1
방문,여행,0.5841829180717468,3
방송국,방송,0.6448954939842224,1
방영,방송,0.7201281189918518,1
배급,교육,0.5531435608863831,1
배신감,죄책감,0.7084836959838867,1
배웅,이별,0.6292405724525452,1
백마,인형,0.506280779838562,1
백업,환경,0.5367010235786438,1
백치,고독,0.6572391390800476,1
버너,전기,0.5450856685638428,2
버릇,괴담,0.5234306454658508,1
범벅,괴담,0.5813131332397461,1
벚꽃,괴담,0.5476364493370056,14
벼랑,절망,0.5671937465667725,1
변화,성장,0.7235260605812073,1
복귀,생존,0.5351816415786743,1
봄날,이별,0.6270255446434021,47
부담감,불안,0.569257915019989,1
부모,가족,0.6875284910202026,1
부인,가족,0.5428288578987122,2
불안,불안,1,1
빌드,전투,0.5823649764060974,2
빌미,괴담,0.5338877439498901,1
사건,살인,0.7159186005592346,3
사고,의심,0.5630502700805664,1
사람,꿈,0.5610076785087585,34
사랑,사랑,1,69
사이클,스포츠,0.5481253266334534,1
사진,미술,0.5546669960021973,2
상대,추격,0.558393657207489,2
상상,욕망,0.6180667877197266,1
상처,상처,1,5
상황,혼란,0.6442916989326477,10
색감,미술,0.5213123559951782,1
색깔,동물,0.5537340044975281,1
생각,후회,0.6602693200111389,27
생활,환경,0.7009555697441101,1
샴푸,환경,0.5103526711463928,1
서사,신화,0.6202012896537781,3
선곡,음악,0.5897935032844543,1
선망,사랑,0.549552857875824,2
선물,사랑,0.605575680732727,1
선택,희망,0.5827092528343201,7
성공,성장,0.6859850287437439,3
성장,성장,1,5
성향,심리,0.5809999704360962,1
세계,경제,0.6071235537528992,2
세상,기쁨,0.6082786321640015,2
세입자,가족,0.50287264585495,1
센터,의료,0.6881778836250305,1
소동,도둑,0.6143503189086914,3
소설,만화,0.8215566873550415,2
쇄신,복고,0.5749173164367676,1
쇠약,질병,0.6598654985427856,5
쇼킹,괴담,0.5729173421859741,1
수습,혼란,0.5311461687088013,1
스위,액션,0.5827389359474182,1
스틸러,언더독,0.5065555572509766,1
스포츠,스포츠,1,1
시골,시골,1,1
시리즈,만화,0.5106303691864014,2
시사,정치,0.7213011980056763,1
시작,발견,0.534450113773346,13
시장,경제,0.6355687975883484,1
시즌,방송,0.5284544229507446,1
시청,방송,0.6024045944213867,1
식스,액션,0.5668638944625854,3
신경,질병,0.5199351906776428,6
신랑,군대,0.5401365756988525,2
신임,동정,0.559855043888092,2
실감,기대,0.5343434810638428,1
실수,후회,0.5709443092346191,1
실연,이별,0.5810220837593079,1
실패,후회,0.6084508299827576,2
실화,공포,0.6056075096130371,2
심심풀이,개그,0.5025896430015564,1
심정,슬픔,0.5811508297920227,1
심플,복고,0.5281141996383667,1
쑥맥,연애,0.6140980124473572,2
아들,가족,0.5667959451675415,9
아이돌,드라마,0.5358486175537109,1
아이스크림,음식,0.504037618637085,1
아재,개그,0.652924656867981,1
아픔,상처,0.7904168963432312,1
안착,성장,0.5139150619506836,1
압류,도박,0.5081636309623718,1
앙상블,뮤지컬,0.5022584199905396,1
애니,만화,0.7641763091087341,8
애니메이션,만화,0.68199223279953,1
애증,연애,0.6169014573097229,1
야경,도시,0.5267278552055359,2
야구,개그,0.6280479431152344,1
야식,음식,0.7094607949256897,1
어둠,절망,0.694835364818573,1
엄마,사랑,0.5908297300338745,12
여자,사랑,0.5380519032478333,10
여행,여행,1,2
역사,철학,0.6869469285011292,1
연쇄,살인,0.6428334712982178,1
연애,연애,1,11
연인,사랑,0.6981024742126465,2
연작,유령,0.5906467437744141,1
연출,액션,0.5377380847930908,3
열애,이별,0.6212723851203918,1
열풍,복고,0.5646018981933594,1
영상미,액션,0.5695945620536804,1
영혼,슬픔,0.7210677266120911,2
영화,만화,0.7536719441413879,136
영화관,드라마,0.5831791758537292,1
예고편,드라마,0.5787103772163391,1
예상,기대,0.655988872051239,2
옛날,시골,0.5727385878562927,2
오브,정글,0.5825490951538086,2
오지랖,개그,0.5085742473602295,2
오해,상처,0.5473958253860474,2
올드,정글,0.530838131904602,1
와챠,액션,1,1
왈가닥,인형,0.5046254396438599,1
왕자,도둑,0.5981267690658569,1
외침,분노,0.6074551939964294,1
요리,음식,0.7475793361663818,1
운전,교통,0.6394338011741638,2
웃음,개그,0.6434062123298645,5
웃픈,유쾌,0.5902605056762695,2
원작,만화,0.7227425575256348,2
위기,혼란,0.6975850462913513,2
유머,개그,0.6961884498596191,1
유모,가족,0.5044174194335938,1
유부남,연애,0.5484553575515747,1
유쾌,유쾌,1,1
유행,복고,0.6242704391479492,1
음악,음악,1,2
음향,음악,0.6697120070457458,1
이름,신화,0.5608668327331543,2
이별,이별,1,9
이사,고문,0.5024828314781189,1
이슈,정치,0.619047224521637,1
이웃,가족,0.6304181218147278,1
이해,철학,0.5395932197570801,5
이혼,이별,0.6634467244148254,3
이혼녀,도둑,0.5188828110694885,1
인기,여행,0.6119158267974854,2
인물,정치,0.5848035216331482,4
인상,기대,0.6044384241104126,3
인생사,자기성찰,0.5178114771842957,1
인싸,액션,1,1
인터넷,컴퓨터,0.609046220779419,1
일상,유쾌,0.5978867411613464,6
자금,경제,0.6157529950141907,1
자식,가족,0.5835269689559937,4
자연,환경,0.6941760182380676,3
자존심,자존심,1,1
작가,만화,0.6290877461433411,4
장례,종교,0.5357980728149414,2
장르,음악,0.7329081892967224,5
장면,액션,0.5999083518981934,18
장손,권력,0.5216225981712341,1
재미,모험,0.6051297187805176,5
재치,유쾌,0.5271227359771729,1
저녁,음식,0.5039622187614441,3
전반,정치,0.5626547336578369,1
전시,미술,0.6214971542358398,1
전시회,미술,0.5285125374794006,1
전지,전기,0.688938558101654,1
전학,학교,0.5563510656356812,2
전화,대화,0.5852361917495728,2
전화기,컴퓨터,0.5770202279090881,1
절교,연애,0.5748167634010315,1
절정,춤,0.5627835988998413,2
절차,법정,0.6070003509521484,2
점프,액션,0.7024405002593994,1
정보,교통,0.6121577620506287,4
제공,여행,0.6024255156517029,1
제작,방송,0.6307950615882874,2
조심,도박,0.5663047432899475,2
조직,군대,0.5703792572021484,4
조짐,혼란,0.658440887928009,1
조폭,범죄,0.6374698281288147,2
조화,질서,0.6025887727737427,1
존폐,갈등,0.5891202688217163,1
주먹,도둑,0.5742208957672119,1
주목,기대,0.562468945980072,4
주소,여행,0.5693726539611816,1
줄거리,드라마,0.531794548034668,2
중등,교육,0.6516118049621582,1
지네,도둑,0.5707905888557434,2
지방,도시,0.6361674070358276,1
지하철,교통,0.5799862146377563,2
직관,심리,0.5504079461097717,2
직업,교육,0.6447048187255859,1
집안,가족,0.6251765489578247,1
집착,욕망,0.6720618605613708,2
징조,멸망,0.5871248245239258,1
짜증,불안,0.627656877040863,1
짝사랑,연애,0.6175044178962708,1
찌질,개그,0.6416961550712585,2
채집,수색,0.6227158308029175,3
책임,윤리,0.6478115320205688,1
처지,갈등,0.5487500429153442,2
첫날,추격,0.5005456805229187,1
첫사랑,로맨스,0.5646798014640808,1
청춘,사랑,0.612774670124054,4
체력,전투,0.5275833606719971,1
초등학교,학교,0.6185124516487122,1
초조,불안,0.7009366154670715,1
촬영지,드라마,0.6078488826751709,1
최강,괴물,0.5176655650138855,1
최신,과학,0.5843662023544312,2
추격전,추격,0.6167752146720886,1
추구,헌신,0.5950697660446167,3
추억,사랑,0.6609922647476196,7
추천,여행,0.5768113136291504,8
출소,이별,0.5374647378921509,2
출연,방송,0.659591019153595,2
충격,충격,1,2
충고,희망,0.5609210729598999,3
췌장,질병,0.5845298767089844,4
치욕,상처,0.585124671459198,1
침대,가족,0.6759042739868164,1
캐릭터,인형,0.5306801795959473,7
캐주얼,스포츠,0.5914664268493652,1
커플,가족,0.6512839198112488,1
케익,인형,0.5659294724464417,1
코미디,코미디,1,4
코믹,만화,0.7493361830711365,1
코치,철학,0.5353133082389832,7
코트,액션,0.5462599992752075,7
택시,교통,0.6628926396369934,5
터치,액션,0.6139345169067383,1
테러리스트,범죄,0.5667629241943359,1
토크,액션,0.5357427597045898,1
투입,추격,0.5248116850852966,1
특별,의료,0.5320938229560852,1
특유,춤,0.5365961194038391,4
파견,군대,0.592928946018219,1
파워,액션,0.5782656669616699,1
판타지,판타지,1,2
패거리,부도덕,0.5944351553916931,1
패션,미술,0.6880987882614136,1
페달,전기,0.5104746222496033,1
