Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,6
가슴,상처,0.6098507642745972,2
가정사,정신병,0.5068067312240601,1
가족,가족,1,5
가축,동물,0.6834333539009094,1
간장,음식,0.6004773378372192,1
갈매기,바다,0.5430135726928711,1
감동,기쁨,0.6450744271278381,1
감상,음악,0.6411212086677551,8
감상문,뮤지컬,0.5310428738594055,2
감성,심리,0.6301533579826355,1
감시,범죄,0.5818687081336975,1
감옥,감옥,1,1
감자,음식,0.531127393245697,2
감정,심리,0.7588332891464233,4
감지,발견,0.5597200989723206,2
강력,충격,0.5549739599227905,1
강변,도시,0.5420844554901123,1
거대,괴물,0.5640032887458801,1
거리,도시,0.60332190990448,1
거짓,범죄,0.5651490092277527,1
걱정,후회,0.651527464389801,3
건조증,질병,0.5612002611160278,1
검색,여행,0.6249870657920837,1
결혼,연애,0.6863196492195129,9
경험,열정,0.6344258189201355,4
계획,여행,0.6060113906860352,5
고등학교,학교,0.6346824765205383,1
고립감,무력감,0.738244891166687,1
고서,만화,0.5667839646339417,1
고스트,미스터리,0.501964271068573,1
고자,동정,0.5057293772697449,1
고전,미술,0.6437533497810364,1
고향,시골,0.6128569841384888,1
곤욕,고통,0.6120068430900574,1
공격,전투,0.6404148936271667,1
공동,대화,0.5171006321907043,1
공범,살인,0.6247848868370056,4
공부,교육,0.6627280712127686,6
공주,유령,0.5845017433166504,2
공포,공포,1,16
공포감,무력감,0.6693056225776672,1
공포물,개그,0.6559643149375916,1
공포증,두려움,0.6252716183662415,1
과정,교육,0.6268183588981628,9
관람,여행,0.5587009191513062,6
관심,기대,0.6249675154685974,2
관음,만화,0.5297953486442566,1
관찰,발견,0.5781939625740051,3
관통,충격,0.5143977403640747,1
광고,방송,0.6559303998947144,2
교감,대화,0.5680186152458191,1
교류,대화,0.6140486598014832,1
교수,윤리,0.563416063785553,17
교육,교육,1,1
교정,교육,0.6010701060295105,1
교제,연애,0.6230595707893372,1
구멍,상처,0.5373755693435669,1
구이,음식,0.5948521494865417,1
구입,여행,0.5183897018432617,3
국가,경제,0.7089344263076782,3
권총,도둑,0.5374994874000549,1
귀결,혼란,0.515130341053009,1
극복,고통,0.6304678916931152,2
근처,학교,0.5683311223983765,2
금지,도박,0.519909143447876,1
기대,기대,1,3
기대치,기대,0.6108274459838867,1
기름,전기,0.5815778970718384,1
기분,유쾌,0.6678951382637024,3
기쁨,기쁨,1,1
기숙사,학교,0.5904747843742371,1
기술,농업,0.6986809968948364,1
기억,사랑,0.6537694931030273,4
기획,교육,0.625312864780426,2
껍질,괴담,0.5639057159423828,1
꼬리,동물,0.517152726650238,1
끈기,열정,0.6553615927696228,2
남녀,평등,0.5715689063072205,6
남매,가족,0.677724301815033,2
남자,사랑,0.5456969141960144,30
남편,가족,0.6233720779418945,26
낭독,대화,0.5829904079437256,3
노년,가족,0.5874111652374268,14
노력,헌신,0.6555296182632446,4
노인,가족,0.6170642375946045,1
