Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,1
가발,인형,0.6572422385215759,1
가슴,상처,0.6098507642745972,1
가정,가족,0.7013463377952576,1
가족,가족,1,4
감상,음악,0.6411212086677551,6
강도,저항,0.6040131449699402,1
개그,개그,1,1
개봉작,드라마,0.5794780254364014,1
개인기,개그,0.5068779587745667,1
거리,도시,0.60332190990448,2
거짓말,부도덕,0.5334540605545044,6
검색,여행,0.6249870657920837,1
결혼,연애,0.6863196492195129,1
경제,경제,1,1
고생,고통,0.5584161281585693,1
고충,불안,0.5883891582489014,1
고통,고통,1,1
곤란,상실,0.6153967976570129,1
과도,권력,0.5410835146903992,1
과정,교육,0.6268183588981628,1
관람,여행,0.5587009191513062,2
교회,종교,0.6748078465461731,2
국가,경제,0.7089344263076782,1
궁극,생존,0.5224151611328125,1
그늘,바다,0.6106565594673157,1
극장가,드라마,0.5290873050689697,1
근처,학교,0.5683311223983765,1
기쁨,기쁨,1,1
기술,농업,0.6986809968948364,1
기억,사랑,0.6537694931030273,2
나락,절망,0.5650247931480408,2
난관,갈등,0.5635523796081543,1
날티,액션,1,1
남녀,평등,0.5715689063072205,2
남매,가족,0.677724301815033,1
남자,사랑,0.5456969141960144,6
노인,가족,0.6170642375946045,2
논란,갈등,0.5854588747024536,2
누나,가족,0.5465071797370911,2
느낌,슬픔,0.6343626976013184,1
능청,유쾌,0.6301367878913879,1
다짐,열정,0.6131012439727783,1
단명,독재,0.582360029220581,1
당일,여행,0.5352691411972046,1
당황,충격,0.6099472045898438,2
대학교,학교,0.5889599323272705,1
데이트,로맨스,0.5355676412582397,6
도전,열정,0.6956499814987183,1
독점,권력,0.5065333843231201,1
동아리,학교,0.5982939600944519,1
뒷이야기,다큐멘터리,0.5202109813690186,1
드라마,드라마,1,1
로맨스,로맨스,1,7
리메이크,드라마,0.5311616063117981,1
리모컨,컴퓨터,0.5121960639953613,1
마음,기쁨,0.6783162951469421,4
매직,액션,0.5553796291351318,1
매치,액션,0.5586719512939453,1
메시지,대화,0.5048822164535522,3
모드,액션,0.6706643104553223,1
모순,갈등,0.6281998157501221,1
모습,꿈,0.5368646383285522,3
몰입,열정,0.6674494743347168,1
몸매,의리,0.5643829703330994,2
문제,갈등,0.6495088934898376,2
미안,후회,0.5432184934616089,1
미이라,좀비,0.5180528163909912,1
발견,발견,1,2
발언,대화,0.537577211856842,1
방문,여행,0.5841829180717468,2
방영,방송,0.7201281189918518,1
방학,학교,0.627612829208374,2
배급,교육,0.5531435608863831,1
범죄,범죄,1,1
벼랑,절망,0.5671937465667725,1
변고,멸망,0.5967342257499695,1
변장,인형,0.5359223484992981,1
복귀,생존,0.5351816415786743,1
분장,개그,0.5647703409194946,20
브이,액션,0.5347021818161011,1
블랙리스트,부조리,0.5091366171836853,2
비만,질병,0.6134658455848694,4
사극,드라마,0.6280291676521301,2
사람,꿈,0.5610076785087585,11
사랑,사랑,1,5
사진,미술,0.5546669960021973,2
사회,경제,0.8096231818199158,1
상대,추격,0.558393657207489,1
상영,방송,0.6350025534629822,1
상처,상처,1,3
상황,혼란,0.6442916989326477,4
생각,후회,0.6602693200111389,14
생활,환경,0.7009555697441101,1
서사,신화,0.6202012896537781,1
선택,희망,0.5827092528343201,1
섭남,액션,1,2
