Word,Category,Similarity,Frequency
-결,액션,1,1
가능,여행,0.6136982440948486,7
가상,우주,0.619330644607544,1
가세,추격,0.5212082862854004,1
가슴,상처,0.6098507642745972,2
가정,가족,0.7013463377952576,2
가족,가족,1,14
가치,윤리,0.6346501111984253,1
가치관,자기성찰,0.5398943424224854,2
각지,도시,0.5373378992080688,1
갈등,갈등,1,3
갈망,욕망,0.7525596022605896,1
감기,질병,0.6120592355728149,1
감동,기쁨,0.6450744271278381,2
감상,음악,0.6411212086677551,9
감상자,심리,0.5284456610679626,1
감성,심리,0.6301533579826355,3
감옥,감옥,1,1
감정,심리,0.7588332891464233,5
감지,발견,0.5597200989723206,2
감탄,열정,0.5392419099807739,2
감흥,슬픔,0.63573157787323,1
강력,충격,0.5549739599227905,5
강요,용서,0.5793744921684265,1
강점,성장,0.5418332815170288,1
개그,개그,1,1
개념,교육,0.6287856698036194,1
개별,음악,0.5007151961326599,1
개성,자아,0.5115846395492554,1
거대,괴물,0.5640032887458801,15
거래,도박,0.6013003587722778,1
거리,도시,0.60332190990448,4
거짓말,부도덕,0.5334540605545044,1
걱정,후회,0.651527464389801,4
건물,학교,0.6180571913719177,2
검거,수색,0.5919314026832581,2
게임,만화,0.7299426198005676,2
결전,전투,0.6634336709976196,1
결제,여행,0.5954683423042297,4
경솔,평온,0.5757747292518616,1
경제,경제,1,1
경험,열정,0.6344258189201355,3
계획,여행,0.6060113906860352,1
고고학,과학,0.5616233944892883,1
고릴라,외계인,0.5214260220527649,4
고생,고통,0.5584161281585693,1
고전,미술,0.6437533497810364,3
고통,고통,1,3
고향,시골,0.6128569841384888,8
공격,전투,0.6404148936271667,4
공동,대화,0.5171006321907043,1
공룡,동물,0.6991666555404663,2
공부,교육,0.6627280712127686,1
공연,음악,0.7031762599945068,1
공조,액션,0.5622533559799194,1
공짜,좀비,0.531777560710907,1
공통,환경,0.583020031452179,1
공포,공포,1,1
과정,교육,0.6268183588981628,12
과학,과학,1,1
관람,여행,0.5587009191513062,17
관심,기대,0.6249675154685974,2
광고,방송,0.6559303998947144,3
괴물,괴물,1,31
괴수,괴물,0.711188793182373,1
교감,대화,0.5680186152458191,2
교도소,감옥,0.6448109149932861,2
교란,환경,0.5781758427619934,2
교장,좀비,0.5557513236999512,3
교훈,희망,0.596325695514679,1
구석,철학,0.5159526467323303,1
구조,환경,0.6101574897766113,3
국가,경제,0.7089344263076782,4
군단,해적,0.6255456805229187,34
군인,군대,0.6802380084991455,1
귀염둥이,외계인,0.500741183757782,1
극복,고통,0.6304678916931152,1
근심,슬픔,0.7307228446006775,1
금속,전기,0.674366295337677,1
기계,전기,0.6900599598884583,3
