Word,Category,Similarity,Frequency
가게,여행,0.5113754868507385,1
가능,여행,0.6136982440948486,8
가슴,상처,0.6098507642745972,1
가입,희망,0.5199176073074341,3
가정,가족,0.7013463377952576,1
가족,가족,1,7
가치,윤리,0.6346501111984253,2
가치관,자기성찰,0.5398943424224854,3
갈등,갈등,1,3
감동,기쁨,0.6450744271278381,19
감상,음악,0.6411212086677551,19
감정,심리,0.7588332891464233,3
강력,충격,0.5549739599227905,1
강요,용서,0.5793744921684265,1
개성,자아,0.5115846395492554,1
검색,여행,0.6249870657920837,3
결혼,연애,0.6863196492195129,4
경험,열정,0.6344258189201355,5
공동,대화,0.5171006321907043,1
과정,교육,0.6268183588981628,3
관심,기대,0.6249675154685974,2
교도소,감옥,0.6448109149932861,3
권장,모험,0.5027817487716675,1
규칙,윤리,0.5834123492240906,1
극복,고통,0.6304678916931152,1
기대,기대,1,1
기대감,기대,0.6246221661567688,2
난관,갈등,0.5635523796081543,1
남녀,평등,0.5715689063072205,3
남자,사랑,0.5456969141960144,4
노력,헌신,0.6555296182632446,1
느낌,슬픔,0.6343626976013184,1
능력,교육,0.6137364506721497,1
데이트,로맨스,0.5355676412582397,1
도전,열정,0.6956499814987183,1
뒷북,괴담,0.5184373259544373,1
드라마,드라마,1,11
등록,여행,0.5735748410224915,6
로맨틱,로맨스,0.6721806526184082,10
마음,기쁨,0.6783162951469421,5
만끽,평온,0.5107535123825073,1
매력,열정,0.6489761471748352,4
메시지,대화,0.5048822164535522,7
명작,만화,0.6867616772651672,1
모바일,컴퓨터,0.590937614440918,3
모습,꿈,0.5368646383285522,7
모험,모험,1,1
무슬림,종교,0.547084629535675,2
문제,갈등,0.6495088934898376,2
발생,혼란,0.6102904081344604,1
발휘,기대,0.5250481367111206,1
방문,여행,0.5841829180717468,3
배척,폭력,0.5783251523971558,1
밸리,액션,0.5495951771736145,1
범죄자,범죄,0.5728323459625244,1
변화,성장,0.7235260605812073,2
부가,교통,0.571665346622467,2
부모,가족,0.6875284910202026,4
뷰어,만화,0.5880469083786011,1
비극,살인,0.6638696789741516,1
사건,살인,0.7159186005592346,3
사단,군대,0.5667595267295837,2
사람,꿈,0.5610076785087585,5
사랑,사랑,1,30
사회,경제,0.8096231818199158,2
상황,혼란,0.6442916989326477,3
색감,미술,0.5213123559951782,1
생각,후회,0.6602693200111389,10
생존,생존,1,1
선택,희망,0.5827092528343201,5
성장,성장,1,7
세계,경제,0.6071235537528992,5
소통,대화,0.694833517074585,1
수감,감옥,0.6253129839897156,1
수감자,살인,0.5253587365150452,4
수행,성장,0.5646498799324036,1
스릴,액션,0.6477225422859192,3
스릴러,스릴러,1,2
스마트,가상현실,0.5641322731971741,3
스마트폰,컴퓨터,0.6610336303710938,3
스트리밍,음악,0.5658097267150879,4
스파이,드라마,0.5523907542228699,2
시리즈,만화,0.5106303691864014,7
시작,발견,0.534450113773346,7
시청,방송,0.6024045944213867,2
시청자,방송,0.5191292762756348,6
신작,만화,0.6367781758308411,1
실존,생존,0.5969371199607849,1
실패,후회,0.6084508299827576,4
실화,공포,0.6056075096130371,3
아워,액션,0.5549901723861694,3
아픔,상처,0.7904168963432312,1
애니메이션,만화,0.68199223279953,4
애정,사랑,0.719462513923645,2
액션,액션,1,1
엄마,사랑,0.5908297300338745,1
에피소드,드라마,0.5304465889930725,2
여배우,드라마,0.5256187319755554,1
여자,사랑,0.5380519032478333,5
여주인공,로맨스,0.5319628715515137,2
여행,여행,1,1
역사,철학,0.6869469285011292,1
연출,액션,0.5377380847930908,3
영상미,액션,0.5695945620536804,2
영향,기대,0.5794242024421692,2
영화,만화,0.7536719441413879,85
예고편,드라마,0.5787103772163391,1
예상,기대,0.655988872051239,3
