Word,Category,Similarity,Frequency
가구,가족,0.611595630645752,2
가능,여행,0.6136982440948486,14
가슴,상처,0.6098507642745972,3
가입,희망,0.5199176073074341,3
가정,가족,0.7013463377952576,2
가족,가족,1,31
가치,윤리,0.6346501111984253,6
각계,정치,0.5552937388420105,1
간극,갈등,0.6181369423866272,1
갈등,갈등,1,3
갈망,욕망,0.7525596022605896,1
감동,기쁨,0.6450744271278381,34
감상,음악,0.6411212086677551,18
감성,심리,0.6301533579826355,5
감정,심리,0.7588332891464233,25
개념,교육,0.6287856698036194,1
개성,자아,0.5115846395492554,1
개요,여행,0.5623396039009094,1
거리,도시,0.60332190990448,2
거장,미술,0.5483318567276001,1
걱정,후회,0.651527464389801,5
건물,학교,0.6180571913719177,1
검색,여행,0.6249870657920837,6
격주,방송,0.5669147968292236,1
결단,용서,0.5725662112236023,1
결혼,연애,0.6863196492195129,2
경쟁,갈등,0.6576756238937378,2
경험,열정,0.6344258189201355,18
계절,이별,0.5606238842010498,1
계획,여행,0.6060113906860352,1
고객,가족,0.5992609262466431,1
고난,고통,0.6465856432914734,2
고뇌,고독,0.6679061055183411,1
고독,고독,1,1
고통,고통,1,2
고향,시골,0.6128569841384888,2
공놀이,춤,0.6434897780418396,1
공책,만화,0.5820149779319763,1
공통,환경,0.583020031452179,1
과자,음식,0.7175213694572449,2
과정,교육,0.6268183588981628,7
관람,여행,0.5587009191513062,13
관심,기대,0.6249675154685974,3
관찰,발견,0.5781939625740051,1
관통,충격,0.5143977403640747,1
교감,대화,0.5680186152458191,1
교류,대화,0.6140486598014832,2
교훈,희망,0.596325695514679,1
구조,환경,0.6101574897766113,2
구토,폭력,0.600831151008606,1
국가,경제,0.7089344263076782,4
권력,권력,1,1
그림자,유령,0.5297560691833496,1
극복,고통,0.6304678916931152,3
근처,학교,0.5683311223983765,1
긍정,희망,0.608379602432251,1
기대,기대,1,6
기대감,기대,0.6246221661567688,1
기분,유쾌,0.6678951382637024,1
기억,사랑,0.6537694931030273,10
기획,교육,0.625312864780426,3
꼬마,도둑,0.5964561700820923,10
나날,이별,0.6136053204536438,1
날짜,여행,0.5524149537086487,1
남매,가족,0.677724301815033,1
남자,사랑,0.5456969141960144,3
남편,가족,0.6233720779418945,1
내면,내면,1,2
내심,기대,0.507256031036377,1
내역,여행,0.5270281434059143,1
넘버,액션,0.5979622006416321,1
노래,춤,0.7242721915245056,7
노력,헌신,0.6555296182632446,3
노인,가족,0.6170642375946045,1
노화,질병,0.6835041046142578,1
놀이,춤,0.6705771684646606,5
눈길,동정,0.5653472542762756,1
눈물,슬픔,0.6957001090049744,3
눈물샘,상처,0.5447229146957397,1
느낌,슬픔,0.6343626976013184,16
니트,만화,0.5717490911483765,1
달걀,음식,0.5797801613807678,1
당황,충격,0.6099472045898438,1
대답,후회,0.5436964631080627,1
대처,재난,0.5325601696968079,1
더블,액션,0.5621997117996216,1
도전,열정,0.6956499814987183,1
도착,여행,0.6466491222381592,1
독점,권력,0.5065333843231201,3
독특,춤,0.5334261655807495,6
동등,평등,0.585870623588562,2
동영상,가상현실,0.5586168169975281,1
두려움,두려움,1,1
드라마,드라마,1,18
등록,여행,0.5735748410224915,10
또래,가족,0.6356732845306396,3
렌트,여행,0.567833662033081,1
로그,액션,0.5863438844680786,1
로맨스,로맨스,1,1
로맨틱,로맨스,0.6721806526184082,1
마법,마법,1,25
마음,기쁨,0.6783162951469421,41
만끽,평온,0.5107535123825073,1
만족,기대,0.6570032238960266,2
매력,열정,0.6489761471748352,19
메시지,대화,0.5048822164535522,6
명작,만화,0.6867616772651672,1
명장면,코미디,0.5314233899116516,1
모바일,컴퓨터,0.590937614440918,3
모습,꿈,0.5368646383285522,14
모험,모험,1,8
목격,발견,0.6813858151435852,1
몰두,열정,0.5224281549453735,1
몰입,열정,0.6674494743347168,5
문제,갈등,0.6495088934898376,2
물건,인형,0.6116355657577515,1
뮤지컬,뮤지컬,1,6
미래,미래,1,15
미안,후회,0.5432184934616089,2
반려견,동물,0.55564284324646,1
반응,충격,0.5951288342475891,3
반죽,음식,0.5425495505332947,2
반항아,언더독,0.5069907903671265,2
발견,발견,1,6
발상,철학,0.5057413578033447,1
발생,혼란,0.6102904081344604,1
방문,여행,0.5841829180717468,3
배려,헌신,0.6277512907981873,2
배제,상실,0.6328111886978149,1
배치,수색,0.5295758843421936,1
베갯잇,인형,0.5091078877449036,1
벽장,감옥,0.5257902145385742,5
벽지,미술,0.628760576248169,4
변화,성장,0.7235260605812073,4
병실,가족,0.550695538520813,1
보트,정글,0.6473324298858643,7
복사,발견,0.5001623630523682,1
부모,가족,0.6875284910202026,13
부엌,음식,0.6172921061515808,3
불안,불안,1,1
비평,윤리,0.6509755849838257,1
빨대,용기,0.5634238123893738,1
사건,살인,0.7159186005592346,2
사람,꿈,0.5610076785087585,35
사랑,사랑,1,36
사려,헌신,0.5063562989234924,1
사별,가족,0.6193550229072571,1
사신,해적,0.5102373957633972,1
사전,교육,0.5635393261909485,1
산문집,고독,0.5367321968078613,1
상대,추격,0.558393657207489,1
상상,욕망,0.6180667877197266,5
상실,상실,1,5
상영,방송,0.6350025534629822,3
상자,용기,0.6402463316917419,2
상처,상처,1,3
상황,혼란,0.6442916989326477,7
색감,미술,0.5213123559951782,4
색깔,동물,0.5537340044975281,2
색채,미술,0.6537377238273621,3
생각,후회,0.6602693200111389,47
생활,환경,0.7009555697441101,1
서사,신화,0.6202012896537781,3
석사,교육,0.5729935765266418,1
선물,사랑,0.605575680732727,2
선택,희망,0.5827092528343201,4
설득,대화,0.5834951996803284,1
성공,성장,0.6859850287437439,2
성실,헌신,0.6314191222190857,2
성인,교육,0.5841577649116516,1
성장,성장,1,18
세계,경제,0.6071235537528992,11
세상,기쁨,0.6082786321640015,5
셀프,액션,0.6212833523750305,1
소스,음식,0.5714806914329529,1
소통,대화,0.694833517074585,1
속마음,연애,0.5359065532684326,1
수술,상처,0.585891604423523,12
수작,개그,0.621087908744812,1
숙녀,사랑,0.6187119483947754,1
스낵,음식,0.6853100657463074,1
스마트,가상현실,0.5641322731971741,3
스마트폰,컴퓨터,0.6610336303710938,3
스트리밍,음악,0.5658097267150879,4
스틸,액션,0.5995299220085144,1
스푼,개그,0.5391286015510559,1
슬립,액션,0.5979873538017273,1
슬픔,슬픔,1,7
시골,시골,1,3
시골집,시골,0.6020762324333191,14
시리즈,만화,0.5106303691864014,11
시스템,컴퓨터,0.5808395743370056,1
시작,발견,0.534450113773346,7
시차,불안,0.5471872687339783,1
시청,방송,0.6024045944213867,3
시청자,방송,0.5191292762756348,1
식당,음식,0.6759225726127625,1
식상,의리,0.5438627004623413,1
신비,기쁨,0.6222472786903381,3
신작,만화,0.6367781758308411,12
실현,미래,0.6133867502212524,1
심리,심리,1,1
심정,슬픔,0.5811508297920227,1
심화,교육,0.6040714383125305,1
아내,가족,0.582758903503418,2
아재,개그,0.652924656867981,1
아티스트,뮤지컬,0.511084258556366,1
아픔,상처,0.7904168963432312,10
안내,여행,0.6065822839736938,2
안도감,무력감,0.6765695810317993,1
애니메이션,만화,0.68199223279953,7
애도,고통,0.5764849185943604,1
애착,자아,0.7021216750144958,2
어린아이,외계인,0.5061091780662537,1
어바웃,드라마,0.5363048315048218,1
언어,교육,0.6619911193847656,1
엄마,사랑,0.5908297300338745,146
에피소드,드라마,0.5304465889930725,1
여자,사랑,0.5380519032478333,2
여정,이별,0.6358245611190796,4
여행,여행,1,5
역경,절망,0.6212114691734314,1
연극,미술,0.7502412796020508,1
연출,액션,0.5377380847930908,12
영상미,액션,0.5695945620536804,2
영향,기대,0.5794242024421692,1
영화,만화,0.7536719441413879,253
영화관,드라마,0.5831791758537292,3
영화인,다큐멘터리,0.5932591557502747,1
예고편,드라마,0.5787103772163391,2
예상,기대,0.655988872051239,3
옛날,시골,0.5727385878562927,1
오락,도박,0.677858829498291,1
온라인,교육,0.5160459876060486,1
옵션,액션,0.5986506342887878,2
외갓집,시골,0.6086145639419556,3
욕망,욕망,1,1
용기,용기,1,7
우울,불안,0.7772703766822815,10
운전,교통,0.6394338011741638,1
울음,슬픔,0.669041633605957,4
웃음,개그,0.6434062123298645,3
원고,고문,0.537358820438385,1
위계,질서,0.5978087186813354,2
위로,바다,0.5024420619010925,25
위험,불안,0.6922099590301514,1
유대,종교,0.6230841875076294,4
유대감,우정,0.5557567477226257,3
유사점,갈등,0.5150706171989441,1
유전병,질병,0.7327131628990173,3
유품,인형,0.5352237224578857,20
음악,음악,1,7
의견,갈등,0.5687873959541321,2
이견,갈등,0.623627781867981,1
이름,신화,0.5608668327331543,39
이별,이별,1,4
이슈,정치,0.619047224521637,1
이웃,가족,0.6304181218147278,1
이해,철학,0.5395932197570801,24
이해관계,갈등,0.5575324892997742,1
인물,정치,0.5848035216331482,9
인상,기대,0.6044384241104126,7
인터뷰,다큐멘터리,0.5540832281112671,1
일상,유쾌,0.5978867411613464,9
입가,상처,0.5103775858879089,1
입원,질병,0.5815828442573547,1
입체,미술,0.5655646920204163,1
자녀,가족,0.7003896832466125,2
자동차,전기,0.5792412161827087,1
자료,교육,0.5909054279327393,11
자막,방송,0.6141181588172913,1
자매,가족,0.6219213008880615,4
자연,환경,0.6941760182380676,2
자전,전기,0.5751103758811951,1
작별,이별,0.7365326285362244,14
작업,수색,0.6102691888809204,1
작위,권력,0.5234174132347107,1
작인,만화,0.5256996750831604,1
작중,액션,0.5323927402496338,1
잔혹,폭력,0.6832144260406494,1
잠재,성장,0.55486661195755,2
잠재력,성장,0.5360828042030334,1
장난감,인형,0.5990570783615112,1
장르,음악,0.7329081892967224,7
장면,액션,0.5999083518981934,33
장벽,불안,0.5758340358734131,1
장소,여행,0.6031988263130188,2
장애,질병,0.7015629410743713,1
재미,모험,0.6051297187805176,4
잼민,액션,1,1
저금통,인형,0.5797374248504639,1
전등,전기,0.5575313568115234,1
전문,의료,0.6444779634475708,1
전화,대화,0.5852361917495728,1
접속,방송,0.5524121522903442,3
정말,유쾌,0.5597934722900391,1
정보,교통,0.6121577620506287,8
제공,여행,0.6024255156517029,12
제작,방송,0.6307950615882874,2
제한,상실,0.636760413646698,3
조심,도박,0.5663047432899475,1
조화,질서,0.6025887727737427,2
존중,평등,0.623870849609375,1
죄의식,무력감,0.7464979887008667,1
주목,기대,0.562468945980072,1
주스,음식,0.6565659046173096,1
죽음,고독,0.6896678805351257,6
줄거리,드라마,0.531794548034668,11
증폭,충격,0.6132881045341492,1
지구,우주,0.7121323943138123,1
지브리,미술,0.5128082036972046,1
지팡이,마법,0.5145403742790222,2
직면,고통,0.5117434859275818,1
직후,전쟁,0.5426797866821289,1
집밥,음식,0.594627320766449,1
쪼꼬,액션,1,1
착각,후회,0.5621350407600403,2
처지,갈등,0.5487500429153442,1
체감,기대,0.6011069416999817,1
초등학교,학교,0.6185124516487122,1
촉구,발견,0.5451391339302063,1
촛불,복고,0.5645776987075806,2
촬영,방송,0.6484997272491455,1
최신,과학,0.5843662023544312,1
추억,사랑,0.6609922647476196,12
추천,여행,0.5768113136291504,22
축하,꿈,0.5423662662506104,3
출발,여행,0.6575770378112793,1
출연,방송,0.659591019153595,3
취소,여행,0.5734337568283081,2
친밀,우정,0.6176837086677551,5
침대,가족,0.6759042739868164,3
침실,가족,0.6376320719718933,4
침착,평온,0.5663201212882996,1
칭찬,열정,0.5763967633247375,1
캐릭터,인형,0.5306801795959473,8
컨텐츠,가상현실,0.517380952835083,4
코미디,코미디,1,1
콘텐츠,가상현실,0.5792493224143982,3
타령,춤,0.5684403777122498,1
탄생,신화,0.5951989889144897,1
탈피,성장,0.5335842967033386,1
탐험,탐험,1,2
트랩,액션,0.6522533297538757,1
특별,의료,0.5320938229560852,13
특유,춤,0.5365961194038391,2
특이,의심,0.5189300179481506,1
특징,환경,0.5862691402435303,1
파생,만화,0.5660743117332458,1
판타지,판타지,1,6
패들,액션,0.5451483130455017,1
페스티벌,뮤지컬,0.6277271509170532,1
페어런트,미스터리,0.5178402066230774,1
평등,평등,1,4
평론가,다큐멘터리,0.5252968668937683,2
포옹,이별,0.6516401767730713,1
포토,동정,0.5201435089111328,1
표정,유쾌,0.5511194467544556,1
표현,대화,0.5644240975379944,8
플랫폼,가상현실,0.5415536761283875,2
플레이,서바이벌,0.5245938897132874,3
플롯,개그,0.5973898768424988,2
하드,액션,0.6686204671859741,1
학년,학교,0.6330993175506592,1
한번,후회,0.5221735835075378,1
한숨,슬픔,0.6687619090080261,1
핬지,액션,1,1
해결,갈등,0.5887223482131958,1
해석,심리,0.5405862331390381,10
해제,상실,0.549881100654602,1
핸드폰,컴퓨터,0.5639285445213318,2
행위,폭력,0.6302486658096313,3
현장,교육,0.5853086113929749,1
협박,폭력,0.6928228735923767,1
호흡,춤,0.5944341421127319,2
화면,액션,0.6001543998718262,7
화제,방송,0.5529026389122009,1
확인,발견,0.6419516205787659,14
확장,교육,0.5293398499488831,3
환경,환경,1,1
환영,희망,0.5663730502128601,2
환타지,판타지,0.7059589624404907,1
황홀,기쁨,0.6889752745628357,1
효과,기대,0.5692968964576721,6
후자,전기,0.51507967710495,1
후회,후회,1,3
휴가,여행,0.6868858933448792,1
흉내,내면,0.5602818131446838,1
흐름,질서,0.5799944400787354,1
흔적,발견,0.5892268419265747,1
희망,희망,1,10
희생,희생,1,1
힌트,절망,0.5217949151992798,1
힐링,정글,0.5479092597961426,1

Category,Count,average
여행,19,0.6170702890345925
액션,18,0.659431517124176
가족,17,0.657214129672331
교육,12,0.5907724996407827
기대,11,0.6351430199363015
갈등,10,0.6327812135219574
방송,10,0.5981769979000091
음식,9,0.6267833047442966
만화,9,0.6128191616800096
사랑,8,0.651703491806984
발견,8,0.6338137313723564
후회,7,0.6404314807483128
춤,7,0.6101765632629395
미술,7,0.5972509554454258
대화,7,0.587848356791905
슬픔,6,0.7081695298353831
이별,6,0.6997044285138448
환경,6,0.6957630415757498
상처,6,0.6735432942708334
성장,6,0.6723408003648123
희망,6,0.6456175347169241
드라마,6,0.6267392536004385
열정,6,0.6242210566997528
인형,6,0.5609069764614105
불안,5,0.7185003280639648
시골,5,0.6792572736740112
고통,5,0.6730563879013062
기쁨,5,0.6485783815383911
개그,5,0.6107874512672424
가상현실,5,0.5521866083145142
음악,4,0.7349597811698914
심리,4,0.7323932200670242
고독,4,0.723576545715332
상실,4,0.7048631757497787
질병,4,0.6748407632112503
폭력,4,0.6517792791128159
학교,4,0.6095000207424164
헌신,4,0.6052640825510025
컴퓨터,4,0.5991848409175873
유쾌,4,0.5941736996173859
충격,4,0.5831904709339142
전기,4,0.5567406564950943
욕망,3,0.7902087966601054
평등,3,0.736580491065979
용기,3,0.7345567146937052
뮤지컬,3,0.7129371364911398
권력,3,0.6766502658526102
질서,3,0.5934639771779379
신화,3,0.592089037100474
정치,3,0.5863814949989319
다큐멘터리,3,0.5575464169184366
꿈,3,0.5467461943626404
판타지,2,0.8529794812202454
로맨스,2,0.8360903263092041
미래,2,0.8066933751106262
모험,2,0.8025648593902588
내면,2,0.7801409065723419
코미디,2,0.7657116949558258
마법,2,0.7572701871395111
무력감,2,0.711533784866333
경제,2,0.6580289900302887
윤리,2,0.6428128480911255
혼란,2,0.6272910535335541
교통,2,0.6257957816123962
도박,2,0.6220817863941193
연애,2,0.6111131012439728
자아,2,0.6068531572818756
정글,2,0.5976208448410034
의료,2,0.588285893201828
우정,2,0.5867202281951904
절망,2,0.5715031921863556
수색,2,0.569922536611557
동물,2,0.554688423871994
동정,2,0.5427453815937042
평온,2,0.5385368168354034
철학,2,0.5226672887802124
두려움,1,1.0
탐험,1,1.0
희생,1,1.0
살인,1,0.7159186005592346
우주,1,0.7121323943138123
종교,1,0.6230841875076294
도시,1,0.60332190990448
도둑,1,0.5964561700820923
과학,1,0.5843662023544312
용서,1,0.5725662112236023
복고,1,0.5645776987075806
추격,1,0.558393657207489
의리,1,0.5438627004623413
전쟁,1,0.5426797866821289
고문,1,0.537358820438385
재난,1,0.5325601696968079
유령,1,0.5297560691833496
감옥,1,0.5257902145385742
서바이벌,1,0.5245938897132874
의심,1,0.5189300179481506
미스터리,1,0.5178402066230774
해적,1,0.5102373957633972
언더독,1,0.5069907903671265
외계인,1,0.5061091780662537
바다,1,0.5024420619010925
