Word,Category,Similarity,Frequency
가족,가족,1,1
갈등,갈등,1,2
감동,기쁨,0.6450744271278381,1
감옥,감옥,1,1
거실,가족,0.6177316308021545,1
검색,여행,0.6249870657920837,1
결함,의심,0.6190357208251953,1
고소,고문,0.5505225658416748,2
고통,고통,1,1
공동,대화,0.5171006321907043,4
공포,공포,1,1
공포증,두려움,0.6252716183662415,2
과정,교육,0.6268183588981628,2
관람,여행,0.5587009191513062,4
관찰,발견,0.5781939625740051,4
광고,방송,0.6559303998947144,1
구멍,상처,0.5373755693435669,1
구석,철학,0.5159526467323303,2
구조,환경,0.6101574897766113,1
국가,경제,0.7089344263076782,1
군대,군대,1,1
극작가,뮤지컬,0.5212523937225342,1
기대,기대,1,2
긴박감,유쾌,0.531667947769165,1
낙담,고통,0.6708939671516418,1
난간,바다,0.561069130897522,1
남자,사랑,0.5456969141960144,19
납치,살인,0.6689104437828064,1
내레이션,다큐멘터리,0.5530755519866943,1
냄새,음식,0.5817655324935913,1
논리,철학,0.5892475247383118,2
뉴스,방송,0.70646071434021,1
느낌,슬픔,0.6343626976013184,3
단편,만화,0.737099826335907,1
당일,여행,0.5352691411972046,1
댓글,후회,0.505795419216156,1
도그,액션,0.5540503263473511,1
도전,열정,0.6956499814987183,1
도착,여행,0.6466491222381592,1
독서,철학,0.7120826244354248,1
동물,동물,1,1
뒷이야기,다큐멘터리,0.5202109813690186,1
마음,기쁨,0.6783162951469421,3
메모,대화,0.5669617652893066,1
모습,꿈,0.5368646383285522,3
몰입,열정,0.6674494743347168,1
무모,살인,0.5360095500946045,1
문제,갈등,0.6495088934898376,6
미스터리,미스터리,1,6
미행,수색,0.6467276811599731,4
미혹,자아,0.6050136685371399,2
발견,발견,1,2
배려,헌신,0.6277512907981873,2
범죄,범죄,1,3
범행,범죄,0.5743876695632935,3
변호,고문,0.5660040378570557,1
복합,의료,0.577019214630127,1
부모,가족,0.6875284910202026,1
부정,폭력,0.6489901542663574,1
분쟁,갈등,0.7055279612541199,1
불치병,질병,0.633149266242981,2
비만,질병,0.6134658455848694,1
비방,폭력,0.6203886270523071,1
빙점,괴담,0.5137854218482971,1
빨래,도둑,0.5057448148727417,1
사건,살인,0.7159186005592346,5
사고,의심,0.5630502700805664,1
사람,꿈,0.5610076785087585,8
사이비,음모론,0.5071605443954468,3
사진,미술,0.5546669960021973,5
사회,경제,0.8096231818199158,3
삭제,의심,0.5076044797897339,1
살인,살인,1,4
살인마,살인,0.5618112683296204,2
상상,욕망,0.6180667877197266,5
상영,방송,0.6350025534629822,1
