Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,5
가슴,상처,0.6098507642745972,2
가입,희망,0.5199176073074341,1
가정,가족,0.7013463377952576,2
가치,윤리,0.6346501111984253,9
가치관,자기성찰,0.5398943424224854,2
간섭,권력,0.5510541796684265,1
갈등,갈등,1,2
감동,기쁨,0.6450744271278381,23
감상,음악,0.6411212086677551,10
감성,심리,0.6301533579826355,2
감정,심리,0.7588332891464233,5
강점,성장,0.5418332815170288,1
검색,여행,0.6249870657920837,2
경험,열정,0.6344258189201355,4
고난,고통,0.6465856432914734,1
공해,환경,0.6459245085716248,3
관람,여행,0.5587009191513062,3
관심,기대,0.6249675154685974,1
관전,정치,0.5587530136108398,1
교육,교육,1,3
교훈,희망,0.596325695514679,3
구조,환경,0.6101574897766113,2
국가,경제,0.7089344263076782,1
기대,기대,1,2
나날,이별,0.6136053204536438,3
남자,사랑,0.5456969141960144,2
노력,헌신,0.6555296182632446,3
누이,가족,0.5941245555877686,3
느낌,슬픔,0.6343626976013184,2
도시,도시,1,1
도움,기대,0.5482439994812012,2
도착,여행,0.6466491222381592,2
독특,춤,0.5334261655807495,1
드라마,드라마,1,6
등록,여행,0.5735748410224915,7
레슬링,스포츠,0.6888082027435303,5
로맨스,로맨스,1,10
마력,마법,0.671467125415802,1
마음,기쁨,0.6783162951469421,16
만족,기대,0.6570032238960266,1
매력,열정,0.6489761471748352,2
메시지,대화,0.5048822164535522,1
모바일,컴퓨터,0.590937614440918,1
모습,꿈,0.5368646383285522,1
몰입,열정,0.6674494743347168,1
문제,갈등,0.6495088934898376,3
미래,미래,1,2
반성,후회,0.62535560131073,2
발견,발견,1,12
발상,철학,0.5057413578033447,1
발전,성장,0.7311267852783203,1
방학,학교,0.627612829208374,1
배려,헌신,0.6277512907981873,4
변화,성장,0.7235260605812073,5
분야,과학,0.6800429821014404,3
뷰어,만화,0.5880469083786011,1
사람,꿈,0.5610076785087585,26
사랑,사랑,1,28
삼촌,도둑,0.5172341465950012,1
상상,욕망,0.6180667877197266,4
상처,상처,1,1
상황,혼란,0.6442916989326477,1
생각,후회,0.6602693200111389,9
설탕,음식,0.6563788056373596,1
성장,성장,1,6
세계,경제,0.6071235537528992,1
세상,기쁨,0.6082786321640015,3
소설,만화,0.8215566873550415,1
소통,대화,0.694833517074585,4
스마트,가상현실,0.5641322731971741,1
스마트폰,컴퓨터,0.6610336303710938,1
스트리밍,음악,0.5658097267150879,2
슬픔,슬픔,1,1
시골,시골,1,3
시련,절망,0.6770740151405334,1
시리즈,만화,0.5106303691864014,6
시작,발견,0.534450113773346,1
시청,방송,0.6024045944213867,3
시청자,방송,0.5191292762756348,2
심정,슬픔,0.5811508297920227,2
아내,가족,0.582758903503418,1
아픔,상처,0.7904168963432312,1
압박,충격,0.5949738621711731,1
애니메이션,만화,0.68199223279953,2
애착,자아,0.7021216750144958,1
앤의,모험,0.5528013110160828,1
여자,사랑,0.5380519032478333,1
여주인공,로맨스,0.5319628715515137,1
영상미,액션,0.5695945620536804,5
영향,기대,0.5794242024421692,2
영화,만화,0.7536719441413879,113
예고편,드라마,0.5787103772163391,1
예상,기대,0.655988872051239,3
올드,정글,0.530838131904602,1
옵션,액션,0.5986506342887878,1
용기,용기,1,3
웃음,개그,0.6434062123298645,2
원작,만화,0.7227425575256348,1
음악,음악,1,4
의견,갈등,0.5687873959541321,3
이색,음식,0.5815243124961853,3
이해,철학,0.5395932197570801,3
인간관계,사회문제,0.5430835485458374,1
인기,여행,0.6119158267974854,1
인물,정치,0.5848035216331482,3
인상,기대,0.6044384241104126,1
일상,유쾌,0.5978867411613464,4
자료,교육,0.5909054279327393,7
자부심,열정,0.6125436425209045,1
자연,환경,0.6941760182380676,3
작가,만화,0.6290877461433411,1
잠재력,성장,0.5360828042030334,1
장르,음악,0.7329081892967224,1
장면,액션,0.5999083518981934,10
장소,여행,0.6031988263130188,1
재미,모험,0.6051297187805176,1
전통,음식,0.6568764448165894,1
접속,방송,0.5524121522903442,2
정보,교통,0.6121577620506287,7
제공,여행,0.6024255156517029,3
제작,방송,0.6307950615882874,2
제한,상실,0.636760413646698,3
조화,질서,0.6025887727737427,1
주요,도시,0.5643994808197021,1
줄거리,드라마,0.531794548034668,5
즐거움,기쁨,0.6185970902442932,1
직업,교육,0.6447048187255859,4
처지,갈등,0.5487500429153442,1
초등학교,학교,0.6185124516487122,1
