Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,1
가축,동물,0.6834333539009094,4
가치,윤리,0.6346501111984253,1
감상,음악,0.6411212086677551,1
감정,심리,0.7588332891464233,1
거리,도시,0.60332190990448,1
경험,열정,0.6344258189201355,1
고통,고통,1,2
공부,교육,0.6627280712127686,1
과정,교육,0.6268183588981628,1
관람,여행,0.5587009191513062,1
괴롭힘,죄책감,0.5694694519042969,1
기억,사랑,0.6537694931030273,2
기차,교통,0.6118013858795166,1
남자,사랑,0.5456969141960144,1
노래,춤,0.7242721915245056,1
누에,동물,0.5373925566673279,12
느낌,슬픔,0.6343626976013184,1
다짐,열정,0.6131012439727783,1
담장,학교,0.5684550404548645,1
데이트,로맨스,0.5355676412582397,1
로맨스,로맨스,1,3
마음,기쁨,0.6783162951469421,8
매력,열정,0.6489761471748352,1
모습,꿈,0.5368646383285522,6
몽환,공포,0.573314368724823,6
문제,갈등,0.6495088934898376,2
물음,절망,0.5957352519035339,1
미안,후회,0.5432184934616089,1
발견,발견,1,2
발휘,기대,0.5250481367111206,1
방과,학교,0.6060729026794434,3
배제,상실,0.6328111886978149,1
벌레,동물,0.6886223554611206,1
변화,성장,0.7235260605812073,1
불안,불안,1,8
사람,꿈,0.5610076785087585,6
사랑,사랑,1,2
상대,추격,0.558393657207489,2
상처,상처,1,7
색감,미술,0.5213123559951782,2
생각,후회,0.6602693200111389,9
선택,희망,0.5827092528343201,1
성장,성장,1,3
성장기,성장,0.5317721962928772,5
섹슈얼,판타지,0.5438349843025208,1
소다,음식,0.5558000206947327,4
소유욕,욕망,0.7105941772460938,1
슬픔,슬픔,1,4
시작,발견,0.534450113773346,2
실수,후회,0.5709443092346191,1
실크,미술,0.5479109287261963,2
애벌레,인형,0.5096991062164307,1
애정,사랑,0.719462513923645,1
액체,전기,0.6311862468719482,1
액화,전기,0.6447845697402954,1
엄마,사랑,0.5908297300338745,1
엉퀴,액션,1,1
열망,열정,0.7022903561592102,1
영화,만화,0.7536719441413879,35
왕따,폭력,0.717434287071228,2
외면,고통,0.6066063046455383,1
욕심,욕망,0.6326161026954651,1
원작,만화,0.7227425575256348,1
위로,바다,0.5024420619010925,1
의구심,불안,0.5729623436927795,1
의심,의심,1,1
이목,동정,0.5794278979301453,1
인물,정치,0.5848035216331482,2
인상,기대,0.6044384241104126,1
일자리,희망,0.5018449425697327,1
입술,상처,0.58286052942276,1
입시,교육,0.6970886588096619,1
자해,폭력,0.7015042901039124,2
장면,액션,0.5999083518981934,16
전학,학교,0.5563510656356812,2
접점,갈등,0.5179992914199829,1
정보,교통,0.6121577620506287,1
조직,군대,0.5703792572021484,1
죄책감,죄책감,1,2
주도,도시,0.5840498805046082,1
지역,도시,0.7241222858428955,2
질투,욕망,0.6958162188529968,2
집착,욕망,0.6720618605613708,1
첫사랑,로맨스,0.5646798014640808,3
초조,불안,0.7009366154670715,2
추천,여행,0.5768113136291504,2
커튼,유령,0.5664665699005127,1
통증,질병,0.6339668035507202,1
판타지,판타지,1,5
폭로,충격,0.6623914837837219,1
행위,폭력,0.6302486658096313,1
혼란,혼란,1,1
화면,액션,0.6001543998718262,2

Category,Count,average
사랑,5,0.7019517302513123
욕망,4,0.6777720898389816
열정,4,0.6496983915567398
불안,3,0.7579663197199503
성장,3,0.7517660856246948
액션,3,0.7333542505900065
로맨스,3,0.7000824809074402
폭력,3,0.6830624143282572
교육,3,0.6622116963068644
도시,3,0.6371646920839945
동물,3,0.6364827553431193
후회,3,0.5914773742357889
여행,3,0.5830701589584351
학교,3,0.5769596695899963
슬픔,2,0.8171813488006592
고통,2,0.8033031523227692
상처,2,0.79143026471138
죄책감,2,0.7847347259521484
판타지,2,0.7719174921512604
발견,2,0.767225056886673
만화,2,0.7382072508335114
전기,2,0.6379854083061218
교통,2,0.6119795739650726
갈등,2,0.5837540924549103
기대,2,0.5647432804107666
꿈,2,0.5489361584186554
희망,2,0.5422770977020264
미술,2,0.5346116423606873
의심,1,1.0
혼란,1,1.0
심리,1,0.7588332891464233
춤,1,0.7242721915245056
기쁨,1,0.6783162951469421
충격,1,0.6623914837837219
음악,1,0.6411212086677551
윤리,1,0.6346501111984253
질병,1,0.6339668035507202
상실,1,0.6328111886978149
절망,1,0.5957352519035339
정치,1,0.5848035216331482
동정,1,0.5794278979301453
공포,1,0.573314368724823
군대,1,0.5703792572021484
유령,1,0.5664665699005127
추격,1,0.558393657207489
음식,1,0.5558000206947327
인형,1,0.5096991062164307
바다,1,0.5024420619010925
