Word,Category,Similarity,Frequency
가게,여행,0.5113754868507385,3
가능,여행,0.6136982440948486,2
가입,희망,0.5199176073074341,1
가족,가족,1,2
간접,교육,0.5171768665313721,3
갈등,갈등,1,1
감동,기쁨,0.6450744271278381,1
감성,심리,0.6301533579826355,1
감정,심리,0.7588332891464233,2
감탄,열정,0.5392419099807739,1
갱생,교육,0.5466806888580322,2
거리,도시,0.60332190990448,2
거북,동물,0.6017308235168457,1
거짓말,부도덕,0.5334540605545044,1
걱정,후회,0.651527464389801,5
검색,여행,0.6249870657920837,1
겉바,액션,1,1
게으름,무력감,0.558092474937439,2
게임,만화,0.7299426198005676,3
결부,갈등,0.5845047831535339,1
경험,열정,0.6344258189201355,3
계획,여행,0.6060113906860352,2
고등학교,학교,0.6346824765205383,1
고증,미술,0.5211591720581055,1
고통,고통,1,2
골드,정글,0.5455614924430847,1
과목,교육,0.6874532103538513,1
과육,음식,0.5172827243804932,1
과일,음식,0.7224454879760742,1
과정,교육,0.6268183588981628,4
관심,기대,0.6249675154685974,1
광고,방송,0.6559303998947144,2
교란,환경,0.5781758427619934,1
교회,종교,0.6748078465461731,1
교훈,희망,0.596325695514679,3
구매,여행,0.5682201981544495,5
군대,군대,1,2
군상,고독,0.5473668575286865,1
궁극,생존,0.5224151611328125,1
그늘,바다,0.6106565594673157,2
그릴,여행,0.5286294221878052,2
극단,미술,0.5709163546562195,2
근처,학교,0.5683311223983765,4
기대,기대,1,3
기력,전투,0.5499060750007629,1
기말,철학,0.5575928688049316,1
기분,유쾌,0.6678951382637024,1
기억,사랑,0.6537694931030273,2
기타,음악,0.5873071551322937,3
껍질,괴담,0.5639057159423828,1
낙방,후회,0.6385146975517273,1
낙인,충격,0.5184834003448486,1
날씨,환경,0.6094790697097778,5
남매,가족,0.677724301815033,2
남발,괴담,0.5062358379364014,1
남자,사랑,0.5456969141960144,5
노래,춤,0.7242721915245056,3
노력,헌신,0.6555296182632446,6
녹화,방송,0.6983539462089539,1
논리,철학,0.5892475247383118,1
눈물,슬픔,0.6957001090049744,3
