Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,4
가부장,권력,0.5734140872955322,1
가슴,상처,0.6098507642745972,1
가정,가족,0.7013463377952576,3
가정부,드라마,0.5058436989784241,1
가족,가족,1,46
가치,윤리,0.6346501111984253,3
간접,교육,0.5171768665313721,1
갈등,갈등,1,3
감동,기쁨,0.6450744271278381,1
감상,음악,0.6411212086677551,1
감속,성장,0.5434247851371765,1
감시,범죄,0.5818687081336975,1
감정,심리,0.7588332891464233,1
강박증,무력감,0.5940862894058228,2
개요,여행,0.5623396039009094,2
거대,괴물,0.5640032887458801,2
거래,도박,0.6013003587722778,1
거짓말,부도덕,0.5334540605545044,3
걱정,후회,0.651527464389801,1
게임,만화,0.7299426198005676,14
결벽증,정신병,0.5809438824653625,6
결혼,연애,0.6863196492195129,7
경험,열정,0.6344258189201355,1
계급주의,정치,0.5527076721191406,1
계층,환경,0.5694180130958557,2
고급,음식,0.5831040740013123,1
고통,고통,1,1
공격,전투,0.6404148936271667,4
공통,환경,0.583020031452179,1
공포,공포,1,32
공포감,무력감,0.6693056225776672,1
과정,교육,0.6268183588981628,3
관람,여행,0.5587009191513062,9
관심,기대,0.6249675154685974,2
괴담,괴담,1,1
괴한,폭력,0.6403436660766602,3
교육,교육,1,1
구단,학교,0.5260895490646362,1
국가,경제,0.7089344263076782,2
규칙,윤리,0.5834123492240906,2
그램,액션,0.5368850827217102,1
그림자,유령,0.5297560691833496,1
극한,생존,0.5677410364151001,1
긍정,희망,0.608379602432251,1
기대,기대,1,2
기분,유쾌,0.6678951382637024,1
기억,사랑,0.6537694931030273,2
기타,음악,0.5873071551322937,2
기획,교육,0.625312864780426,1
긴장,불안,0.6880083084106445,3
꼬마,도둑,0.5964561700820923,2
꼼수,부도덕,0.531127393245697,1
남자,사랑,0.5456969141960144,2
남편,가족,0.6233720779418945,7
납치,살인,0.6689104437828064,1
내레이션,다큐멘터리,0.5530755519866943,1
내면,내면,1,1
놀이,춤,0.6705771684646606,1
느낌,슬픔,0.6343626976013184,5
담력,전투,0.5199985504150391,1
당일,여행,0.5352691411972046,1
대결,갈등,0.5924415588378906,1
데뷔,방송,0.5465471744537354,1
도움,기대,0.5482439994812012,3
독서,철학,0.7120826244354248,1
두려움,두려움,1,2
드레스,로맨스,0.5291532278060913,2
랜덤,좀비,0.5619427561759949,1
마음,기쁨,0.6783162951469421,1
맛집,음식,0.6337778568267822,1
매력,열정,0.6489761471748352,2
맥락,질서,0.601793110370636,1
먹거리,음식,0.5923094749450684,1
메시지,대화,0.5048822164535522,6
메일,만화,0.5050849914550781,1
명작,만화,0.6867616772651672,1
모습,꿈,0.5368646383285522,3
목표,성장,0.6552416682243347,2
몰입,열정,0.6674494743347168,1
문자,대화,0.5297391414642334,2
발견,발견,1,7
발생,혼란,0.6102904081344604,4
발언,대화,0.537577211856842,1
발작,불안,0.5706687569618225,1
방구석,개그,0.5950741171836853,1
배급사,드라마,0.5019193887710571,1
버릇,괴담,0.5234306454658508,1
범죄,범죄,1,8
범죄자,범죄,0.5728323459625244,2
벙커,감옥,0.5676894187927246,1
보조,의료,0.6010368466377258,1
보호,환경,0.6321627497673035,1
본질,윤리,0.6154810786247253,1
부끄러움,무력감,0.6048305630683899,1
부동산,경제,0.5007047057151794,2
부모,가족,0.6875284910202026,1
부산행,슈퍼히어로,0.5689302086830139,1
분석,교육,0.5877142548561096,1
불길,절망,0.5973319411277771,1
불안,불안,1,4
불행,절망,0.6734789609909058,1
빌딩,도시,0.5439313054084778,1
사건,살인,0.7159186005592346,14
사고,의심,0.5630502700805664,1
사람,꿈,0.5610076785087585,32
사랑,사랑,1,2
사진,미술,0.5546669960021973,1
사투,추격,0.57225102186203,2
사항,여행,0.572464108467102,1
사회,경제,0.8096231818199158,6
살인범,정신병,0.575529932975769,1
살해,살인,0.6861730217933655,2
상영,방송,0.6350025534629822,2
상황,혼란,0.6442916989326477,1
생각,후회,0.6602693200111389,35
석궁,개그,0.5553615093231201,1
성공,성장,0.6859850287437439,6
성인,교육,0.5841577649116516,2
성장,성장,1,1
성추행,폭력,0.5646491050720215,1
세계,경제,0.6071235537528992,1
세단,독재,0.5671706795692444,1
세상,기쁨,0.6082786321640015,1
세트장,드라마,0.5838039517402649,1
소극,공포,0.528337299823761,1
속죄,희생,0.6883150339126587,1
솜씨,춤,0.5051486492156982,1
수면,환경,0.5423021912574768,1
스릴,액션,0.6477225422859192,2
스릴러,스릴러,1,25
스틸,액션,0.5995299220085144,1
습격,반란,0.656060516834259,2
시신,수색,0.6265639066696167,1
시작,발견,0.534450113773346,13
시청,방송,0.6024045944213867,1
식구,가족,0.6756171584129333,1
신랑,군대,0.5401365756988525,2
신혼,가족,0.683169960975647,1
실감,기대,0.5343434810638428,1
실력,춤,0.5194166302680969,1
실종,살인,0.5558342933654785,10
실화,공포,0.6056075096130371,12
심장,기쁨,0.5264105200767517,2
싸움,전투,0.6696678996086121,1
아내,가족,0.582758903503418,6
아역,액션,0.5058702826499939,1
아웃,액션,0.5564733147621155,1
악당,좀비,0.6801067590713501,2
안내,여행,0.6065822839736938,1
안락,평온,0.6294413805007935,1
암호,과학,0.5643569827079773,9
야광,인형,0.5567842125892639,6
엄마,사랑,0.5908297300338745,4
여자,사랑,0.5380519032478333,5
여행,여행,1,2
연기자,드라마,0.6007305979728699,2
연애,연애,1,1
연출,액션,0.5377380847930908,5
연출력,액션,0.515964686870575,1
영화,만화,0.7536719441413879,194
영화관,드라마,0.5831791758537292,1
영화인,다큐멘터리,0.5932591557502747,2
예고편,드라마,0.5787103772163391,4
예상,기대,0.655988872051239,2
오락,도박,0.677858829498291,2
옷장,인형,0.5678025484085083,1
외국,만화,0.5371031761169434,2
외제,도둑,0.5618473291397095,2
외출,이별,0.5706635117530823,1
욕망,욕망,1,2
운동화,스포츠,0.5475463271141052,1
웃음,개그,0.6434062123298645,1
원룸,가족,0.5716227889060974,1
웨딩드레스,로맨스,0.5020800232887268,3
위기,혼란,0.6975850462913513,1
위빙,액션,0.5779404640197754,2
위압,폭력,0.5011984705924988,1
위증,살인,0.6883998513221741,1
위험,불안,0.6922099590301514,2
위협,폭력,0.639009416103363,4
유머,개그,0.6961884498596191,3
유발,의심,0.6065707206726074,1
육탄전,마법,0.5728029608726501,1
음악,음악,1,3
음향,음악,0.6697120070457458,1
의붓,가족,0.5846958756446838,1
의심,의심,1,1
의외,충격,0.5524848699569702,1
이사,고문,0.5024828314781189,2
이슈,정치,0.619047224521637,1
이웃,가족,0.6304181218147278,2
이해,철학,0.5395932197570801,3
익명,좀비,0.5231932997703552,1
인간성,인간성,1,1
인물,정치,0.5848035216331482,5
인상,기대,0.6044384241104126,2
인종주의,음모론,0.5555687546730042,1
인터넷,컴퓨터,0.609046220779419,2
일상,유쾌,0.5978867411613464,3
입담,개그,0.6110753417015076,1
입양,동물,0.6049808263778687,1
자아,자아,1,1
자연,환경,0.6941760182380676,1
자취,충격,0.5353209376335144,3
잔인,음모,0.569640040397644,4
장르,음악,0.7329081892967224,6
장면,액션,0.5999083518981934,20
장편,만화,0.7140740752220154,2
재미,모험,0.6051297187805176,2
저택,감옥,0.6136187314987183,7
전문,의료,0.6444779634475708,2
전시,미술,0.6214971542358398,1
전통,음식,0.6568764448165894,3
전화,대화,0.5852361917495728,3
점유,상실,0.5438741445541382,1
정보,교통,0.6121577620506287,8
정확,의심,0.5156928300857544,1
제공,여행,0.6024255156517029,1
제작,방송,0.6307950615882874,1
조작,범죄,0.5801150798797607,2
조폭,범죄,0.6374698281288147,1
좌절,절망,0.6658827662467957,1
