Word,Category,Similarity,Frequency
19금,판타지,0.5272679924964905,3
가능,여행,0.6136982440948486,3
가족,가족,1,12
가죽,동물,0.6331756114959717,3
가짜,괴담,0.5858274698257446,1
간극,갈등,0.6181369423866272,1
간접,교육,0.5171768665313721,2
감동,기쁨,0.6450744271278381,1
감상,음악,0.6411212086677551,11
감성,심리,0.6301533579826355,3
감옥,감옥,1,4
감정,심리,0.7588332891464233,5
감탄,열정,0.5392419099807739,1
개념,교육,0.6287856698036194,2
개막작,뮤지컬,0.6037431359291077,3
개입,음모,0.5886576175689697,1
거리,도시,0.60332190990448,1
거미,좀비,0.6427518129348755,1
거장,미술,0.5483318567276001,1
거짓말,부도덕,0.5334540605545044,1
걱정,후회,0.651527464389801,1
건물,학교,0.6180571913719177,1
검색,여행,0.6249870657920837,1
게임,만화,0.7299426198005676,2
격투,액션,0.6852583885192871,1
결혼,연애,0.6863196492195129,10
경고,의심,0.5979491472244263,1
경기장,스포츠,0.5333521962165833,1
경향,정치,0.5916027426719666,3
경험,열정,0.6344258189201355,6
계획,여행,0.6060113906860352,1
고등학교,학교,0.6346824765205383,1
고립,불안,0.661411464214325,1
고모,가족,0.5244710445404053,1
고생,고통,0.5584161281585693,1
고층,도시,0.5431943535804749,1
고통,고통,1,2
공격,전투,0.6404148936271667,1
공부,교육,0.6627280712127686,2
공연,음악,0.7031762599945068,1
공짜,좀비,0.531777560710907,1
공통,환경,0.583020031452179,1
공포,공포,1,124
공포감,무력감,0.6693056225776672,8
공포물,개그,0.6559643149375916,1
공항,교통,0.7404273152351379,1
과정,교육,0.6268183588981628,13
관념,욕망,0.6592566967010498,1
관람,여행,0.5587009191513062,13
관심,기대,0.6249675154685974,5
관통,충격,0.5143977403640747,1
광고,방송,0.6559303998947144,1
괴물,괴물,1,19
교수,윤리,0.563416063785553,2
교육,교육,1,1
구매,여행,0.5682201981544495,1
구조,환경,0.6101574897766113,2
국가,경제,0.7089344263076782,5
국밥,음식,0.6229456067085266,2
규칙,윤리,0.5834123492240906,2
그늘,바다,0.6106565594673157,1
그로테스크,판타지,0.5354764461517334,2
그리움,고독,0.5979834794998169,1
그림자,유령,0.5297560691833496,2
극복,고통,0.6304678916931152,2
극치,충격,0.5205199122428894,1
긍정,희망,0.608379602432251,1
기대,기대,1,7
기대감,기대,0.6246221661567688,5
기름,전기,0.5815778970718384,1
기분,유쾌,0.6678951382637024,12
기쁨,기쁨,1,1
기생,연애,0.5084562301635742,1
기숙사,학교,0.5904747843742371,1
기술,농업,0.6986809968948364,1
기억,사랑,0.6537694931030273,7
긴장,불안,0.6880083084106445,7
날짜,여행,0.5524149537086487,1
남발,괴담,0.5062358379364014,1
남자,사랑,0.5456969141960144,8
남친,연애,0.6194848418235779,1
남편,가족,0.6233720779418945,5
납득,용서,0.5769292116165161,1
내면,내면,1,3
노년,가족,0.5874111652374268,1
노망,고독,0.5637628436088562,1
노무,교육,0.5872817039489746,1
노소,가족,0.5156386494636536,1
노출,충격,0.60725998878479,3
놀라움,기쁨,0.5606492757797241,1
놀이,춤,0.6705771684646606,1
눈물,슬픔,0.6957001090049744,3
눈앞,기대,0.5104065537452698,9
느낌,슬픔,0.6343626976013184,10
능력,교육,0.6137364506721497,1
다짐,열정,0.6131012439727783,1
다큐멘터리,다큐멘터리,1,1
단계,성장,0.6726707220077515,1
단편,만화,0.737099826335907,19
달러,위안,0.6735437512397766,1
당황,충격,0.6099472045898438,2
대처,재난,0.5325601696968079,1
대학원,학교,0.5080148577690125,3
댓글,후회,0.505795419216156,2
데드,액션,0.6570842266082764,1
데뷔,방송,0.5465471744537354,1
데뷔작,드라마,0.5683770775794983,9
도달,발견,0.5293484926223755,1
도시,도시,1,1
도움,기대,0.5482439994812012,3
도착,여행,0.6466491222381592,2
독특,춤,0.5334261655807495,7
동반,가족,0.6541745662689209,1
동영상,가상현실,0.5586168169975281,1
두뇌,과학,0.5985945463180542,1
두려움,두려움,1,3
드라마,드라마,1,11
등불,꿈,0.6749640703201294,1
디지털,컴퓨터,0.6325473189353943,1
딱지,인형,0.5324317216873169,1
로그,액션,0.5863438844680786,1
리듬감,춤,0.5051783919334412,1
마음,기쁨,0.6783162951469421,7
만족,기대,0.6570032238960266,2
만족감,기대,0.5598728656768799,1
매력,열정,0.6489761471748352,2
매체,방송,0.6981302499771118,1
맥락,질서,0.601793110370636,1
머리털,상처,0.5148133039474487,1
먹거리,음식,0.5923094749450684,1
메모,대화,0.5669617652893066,1
메시지,대화,0.5048822164535522,1
명작,만화,0.6867616772651672,5
모습,꿈,0.5368646383285522,27
모양,인형,0.6405982375144958,1
목격,발견,0.6813858151435852,26
몰입,열정,0.6674494743347168,5
무서움,불안,0.5561872124671936,2
문자,대화,0.5297391414642334,1
문제,갈등,0.6495088934898376,6
물건,인형,0.6116355657577515,1
미련,고독,0.6796653270721436,1
미스터리,미스터리,1,10
미스테리,미스터리,0.7573594450950623,5
미신,괴담,0.6642755270004272,1
바이,액션,0.5737445950508118,2
반감,분노,0.6136011481285095,1
반려,동물,0.5831385850906372,1
반사,마법,0.5487768650054932,1
반응,충격,0.5951288342475891,8
발견,발견,1,2
발생,혼란,0.6102904081344604,10
발현,성장,0.5772488117218018,1
방심,후회,0.613030731678009,1
배급,교육,0.5531435608863831,3
배신감,죄책감,0.7084836959838867,1
배척,폭력,0.5783251523971558,1
배치,수색,0.5295758843421936,2
범죄,범죄,1,3
변화,성장,0.7235260605812073,3
병동,가족,0.5666466951370239,4
보조,의료,0.6010368466377258,1
복구,재난,0.569567859172821,1
복귀,생존,0.5351816415786743,2
봉착,고통,0.546981692314148,2
부각,성장,0.5576289892196655,1
