Word,Category,Similarity,Frequency
감동,기쁨,0.6450744271278381,4
감상,음악,0.6411212086677551,2
감정,심리,0.7588332891464233,1
개성,자아,0.5115846395492554,1
개척,탐험,0.6222059726715088,1
거대,괴물,0.5640032887458801,1
거미,좀비,0.6427518129348755,3
검색,여행,0.6249870657920837,1
공부,교육,0.6627280712127686,1
과학자,과학,0.5320860147476196,1
관람,여행,0.5587009191513062,1
관심,기대,0.6249675154685974,2
구멍,상처,0.5373755693435669,2
국가,경제,0.7089344263076782,1
그래픽,컴퓨터,0.6070578694343567,2
그웬,정글,0.5274320244789124,2
기대,기대,1,5
기억,사랑,0.6537694931030273,4
노력,헌신,0.6555296182632446,1
느낌,슬픔,0.6343626976013184,2
능력,교육,0.6137364506721497,6
대립,갈등,0.8246769905090332,1
데이터,컴퓨터,0.5682036876678467,1
두뇌,과학,0.5985945463180542,2
드라마,드라마,1,1
디씨,좀비,0.5701848864555359,1
마음,기쁨,0.6783162951469421,2
만화,만화,1,1
매력,열정,0.6489761471748352,2
멀티,액션,0.6227184534072876,6
명장면,코미디,0.5314233899116516,1
모험,모험,1,1
몰입,열정,0.6674494743347168,1
믹스,음악,0.5708146095275879,2
반점,동물,0.5513553023338318,1
발단,멸망,0.5653038620948792,1
발달,성장,0.7021803855895996,1
방황,이별,0.6669331789016724,1
배급,교육,0.5531435608863831,1
배려,헌신,0.6277512907981873,1
버스,교통,0.730898916721344,10
불의,마법,0.6184589266777039,1
비행,우주,0.6494387984275818,1
빌드,전투,0.5823649764060974,1
사람,꿈,0.5610076785087585,3
사랑,사랑,1,6
사운드,음악,0.5262696146965027,1
사진,미술,0.5546669960021973,1
살해,살인,0.6861730217933655,1
상상,욕망,0.6180667877197266,1
상심,이별,0.6365318298339844,1
색감,미술,0.5213123559951782,1
생각,후회,0.6602693200111389,8
생성,발견,0.5995927453041077,1
서사,신화,0.6202012896537781,1
성장,성장,1,1
세계,경제,0.6071235537528992,14
소동,도둑,0.6143503189086914,1
스파이,드라마,0.5523907542228699,1
시리즈,만화,0.5106303691864014,2
시작,발견,0.534450113773346,3
시즌,방송,0.5284544229507446,4
시청,방송,0.6024045944213867,9
신경,질병,0.5199351906776428,1
신념,욕망,0.6720592975616455,1
실사,만화,0.575007438659668,1
아트,미술,0.6990192532539368,1
악당,좀비,0.6801067590713501,3
애니,만화,0.7641763091087341,1
애니메이션,만화,0.68199223279953,7
액션,액션,1,4
얼룩,도둑,0.6195242404937744,1
여행,여행,1,1
연출,액션,0.5377380847930908,3
열광,분노,0.6348607540130615,2
영상미,액션,0.5695945620536804,3
영웅,신화,0.649358868598938,1
영화,만화,0.7536719441413879,21
영화관,드라마,0.5831791758537292,1
예상,기대,0.655988872051239,1
오디오,컴퓨터,0.5893809199333191,1
원작,만화,0.7227425575256348,1
위기,혼란,0.6975850462913513,1
위로,바다,0.5024420619010925,1
음악,음악,1,4
음향,음악,0.6697120070457458,1
이웃,가족,0.6304181218147278,1
이해,철학,0.5395932197570801,2
인물,정치,0.5848035216331482,1
일상,유쾌,0.5978867411613464,1
작전,전투,0.6892815232276917,1
장르,음악,0.7329081892967224,1
장면,액션,0.5999083518981934,13
재미,모험,0.6051297187805176,5
전문,의료,0.6444779634475708,1
정보,교통,0.6121577620506287,3
줄거리,드라마,0.531794548034668,1
지구,우주,0.7121323943138123,1
질서,질서,1,1
촬영,방송,0.6484997272491455,2
추락,충격,0.5615158081054688,1
추천,여행,0.5768113136291504,2
충격,충격,1,2
캐릭터,인형,0.5306801795959473,4
캡쳐,방송,0.5623729228973389,1
코믹,만화,0.7493361830711365,1
통합,교육,0.6034629344940186,2
티저,신화,0.5522939562797546,1
파워,액션,0.5782656669616699,1
팝콘,음식,0.529098629951477,1
평행,우주,0.6617175936698914,7
포탈,도박,0.5651349425315857,1
학교,학교,1,1
행복,기쁨,0.7726561427116394,1
혼란,혼란,1,2
황홀,기쁨,0.6889752745628357,1
효과,기대,0.5692968964576721,4
후속작,판타지,0.5277939438819885,1
후회,후회,1,1
흥분,충격,0.5841286778450012,1
힌트,절망,0.5217949151992798,1

Category,Count,average
만화,8,0.7196946293115616
음악,6,0.6901376048723856
액션,6,0.6513708531856537
기대,4,0.7125633209943771
기쁨,4,0.6962555348873138
여행,4,0.6901248246431351
드라마,4,0.6668411195278168
교육,4,0.60826775431633
방송,4,0.5854329168796539
충격,3,0.7152148286501566
우주,3,0.6744295954704285
좀비,3,0.6310144861539205
신화,3,0.6072847048441569
미술,3,0.5916662017504374
컴퓨터,3,0.5882141590118408
성장,2,0.8510901927947998
혼란,2,0.8487925231456757
후회,2,0.8301346600055695
사랑,2,0.8268847465515137
모험,2,0.8025648593902588
교통,2,0.6715283393859863
열정,2,0.658212810754776
경제,2,0.6580289900302887
이별,2,0.6517325043678284
욕망,2,0.645063042640686
헌신,2,0.6416404545307159
전투,2,0.6358232498168945
도둑,2,0.6169372797012329
발견,2,0.5670214295387268
과학,2,0.5653402805328369
질서,1,1.0
학교,1,1.0
갈등,1,0.8246769905090332
심리,1,0.7588332891464233
살인,1,0.6861730217933655
의료,1,0.6444779634475708
분노,1,0.6348607540130615
슬픔,1,0.6343626976013184
가족,1,0.6304181218147278
탐험,1,0.6222059726715088
마법,1,0.6184589266777039
유쾌,1,0.5978867411613464
정치,1,0.5848035216331482
멸망,1,0.5653038620948792
도박,1,0.5651349425315857
괴물,1,0.5640032887458801
꿈,1,0.5610076785087585
동물,1,0.5513553023338318
철학,1,0.5395932197570801
상처,1,0.5373755693435669
코미디,1,0.5314233899116516
인형,1,0.5306801795959473
음식,1,0.529098629951477
판타지,1,0.5277939438819885
정글,1,0.5274320244789124
절망,1,0.5217949151992798
