Word,Category,Similarity,Frequency
가수,음악,0.6117961406707764,4
가십,개그,0.5611024498939514,1
가족,가족,1,3
간접,교육,0.5171768665313721,2
감상,음악,0.6411212086677551,3
감성,심리,0.6301533579826355,1
감응,자아,0.5771770477294922,1
감정,심리,0.7588332891464233,10
개관,여행,0.5882094502449036,1
개체,동물,0.595451831817627,1
거리,도시,0.60332190990448,3
걱정,후회,0.651527464389801,1
경험,열정,0.6344258189201355,4
계층,환경,0.5694180130958557,1
고등학교,학교,0.6346824765205383,1
고전,미술,0.6437533497810364,1
공백,불안,0.5762792825698853,1
공연,음악,0.7031762599945068,2
과정,교육,0.6268183588981628,3
관람,여행,0.5587009191513062,1
교감,대화,0.5680186152458191,4
교훈,희망,0.596325695514679,1
기대,기대,1,1
기력,전투,0.5499060750007629,1
기분,유쾌,0.6678951382637024,1
남자,사랑,0.5456969141960144,1
내면,내면,1,1
내재,욕망,0.6369141936302185,1
노래,춤,0.7242721915245056,3
느낌,슬픔,0.6343626976013184,2
댄스,음악,0.7449625134468079,5
데뷔,방송,0.5465471744537354,1
데뷔작,드라마,0.5683770775794983,2
데이트,로맨스,0.5355676412582397,6
도움,기대,0.5482439994812012,1
돌입,추격,0.5638843774795532,1
동작,춤,0.578336238861084,1
두려움,두려움,1,1
또래,가족,0.6356732845306396,5
로맨스,로맨스,1,1
마음,기쁨,0.6783162951469421,3
맥주,음식,0.6920314431190491,1
모습,꿈,0.5368646383285522,3
목표,성장,0.6552416682243347,1
몸짓,춤,0.688373863697052,4
무드,음악,0.6014951467514038,1
무용가,춤,0.5612496733665466,2
문제,갈등,0.6495088934898376,1
뮤즈,신화,0.5225442051887512,1
뮤지션,뮤지컬,0.5509675741195679,1
반항심,죄책감,0.5784380435943604,1
발견,발견,1,4
발전,성장,0.7311267852783203,1
방황,이별,0.6669331789016724,3
변덕,고독,0.7021976113319397,1
변형,충격,0.5152089595794678,1
변화,성장,0.7235260605812073,3
보좌,고문,0.5114907026290894,1
봄날,이별,0.6270255446434021,1
부모,가족,0.6875284910202026,4
분석,교육,0.5877142548561096,1
사람,꿈,0.5610076785087585,11
사랑,사랑,1,20
사회,경제,0.8096231818199158,3
산책,여행,0.5863888263702393,1
상념,고독,0.6749123334884644,1
상대,추격,0.558393657207489,1
상상,욕망,0.6180667877197266,1
상영,방송,0.6350025534629822,2
생각,후회,0.6602693200111389,3
생활,환경,0.7009555697441101,2
샹송,음악,0.6499451994895935,1
서사,신화,0.6202012896537781,1
선택,희망,0.5827092528343201,1
성공,성장,0.6859850287437439,1
성인,교육,0.5841577649116516,1
성장,성장,1,1
세계,경제,0.6071235537528992,5
손끝,고독,0.537104606628418,1
스킨십,연애,0.5839765071868896,1
슬로우,서바이벌,0.5432661771774292,3
슬픔,슬픔,1,1
시작,발견,0.534450113773346,7
신비,기쁨,0.6222472786903381,1
아트,미술,0.6990192532539368,3
안무,춤,0.7005117535591125,5
애매,유쾌,0.5057909488677979,1
애정,사랑,0.719462513923645,1
언어,교육,0.6619911193847656,1
엄마,사랑,0.5908297300338745,2
여자,사랑,0.5380519032478333,1
연극,미술,0.7502412796020508,5
연기자,드라마,0.6007305979728699,1
연애,연애,1,1
연출,액션,0.5377380847930908,4
염증,질병,0.6177191138267517,1
영화,만화,0.7536719441413879,46
예고편,드라마,0.5787103772163391,1
오페라,뮤지컬,0.6098440885543823,1
욕망,욕망,1,1
우려,혼란,0.6615874171257019,1
원고,고문,0.537358820438385,1
위로,바다,0.5024420619010925,1
음료,음식,0.7682728171348572,1
음악,음악,1,13
이름,신화,0.5608668327331543,1
이자,경제,0.5216480493545532,1
이해,철학,0.5395932197570801,2
인디,액션,0.6633222103118896,1
인물,정치,0.5848035216331482,1
인상,기대,0.6044384241104126,4
일상,유쾌,0.5978867411613464,10
자녀,가족,0.7003896832466125,1
자연,환경,0.6941760182380676,1
작곡,음악,0.6980688571929932,1
