Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,15
가슴,상처,0.6098507642745972,2
가역,연애,0.5187197923660278,2
가정,가족,0.7013463377952576,1
가족,가족,1,5
가짜,괴담,0.5858274698257446,1
가치,윤리,0.6346501111984253,2
감기,질병,0.6120592355728149,1
감동,기쁨,0.6450744271278381,22
감상,음악,0.6411212086677551,19
감성,심리,0.6301533579826355,8
감정,심리,0.7588332891464233,14
강판,충격,0.5330600738525391,2
개봉작,드라마,0.5794780254364014,1
개성,자아,0.5115846395492554,1
개요,여행,0.5623396039009094,1
개입,음모,0.5886576175689697,2
거래,도박,0.6013003587722778,1
거짓말,부도덕,0.5334540605545044,1
걱정,후회,0.651527464389801,3
건설,도시,0.6078121066093445,1
검색,여행,0.6249870657920837,2
게임,만화,0.7299426198005676,1
결부,갈등,0.5845047831535339,1
경고,의심,0.5979491472244263,1
경제,경제,1,2
경험,열정,0.6344258189201355,14
계절,이별,0.5606238842010498,3
계획,여행,0.6060113906860352,1
고교,학교,0.6200820207595825,3
고난,고통,0.6465856432914734,1
고등학교,학교,0.6346824765205383,1
고전,미술,0.6437533497810364,1
공고,여행,0.5139516592025757,1
공부,교육,0.6627280712127686,1
공책,만화,0.5820149779319763,1
공포물,개그,0.6559643149375916,1
과정,교육,0.6268183588981628,8
관람,여행,0.5587009191513062,9
관심,기대,0.6249675154685974,6
괴물,괴물,1,1
교외,도시,0.6819154620170593,1
교훈,희망,0.596325695514679,1
구매,여행,0.5682201981544495,1
구조,환경,0.6101574897766113,1
국가,경제,0.7089344263076782,2
군대,군대,1,1
규칙,윤리,0.5834123492240906,2
그래픽,컴퓨터,0.6070578694343567,1
그리움,고독,0.5979834794998169,1
극복,고통,0.6304678916931152,1
극장판,드라마,0.5479550361633301,3
급료,음식,0.5125786662101746,1
긍정,희망,0.608379602432251,2
기대,기대,1,3
기대감,기대,0.6246221661567688,1
기분,유쾌,0.6678951382637024,1
기상천외,미스터리,0.5333998799324036,1
기억,사랑,0.6537694931030273,17
기차,교통,0.6118013858795166,4
기획,교육,0.625312864780426,2
나날,이별,0.6136053204536438,1
나카,만화,0.5161349773406982,1
난관,갈등,0.5635523796081543,1
난사,폭력,0.5636513829231262,1
난항,갈등,0.6503344178199768,1
남녀,평등,0.5715689063072205,1
남자,사랑,0.5456969141960144,4
남작,도둑,0.5521759986877441,1
납치,살인,0.6689104437828064,1
내면,내면,1,3
내역,여행,0.5270281434059143,1
냄새,음식,0.5817655324935913,4
노력,헌신,0.6555296182632446,3
녹음,음악,0.6460626721382141,1
놀이,춤,0.6705771684646606,2
농구,개그,0.6286988854408264,1
눈물,슬픔,0.6957001090049744,2
뉴스,방송,0.70646071434021,1
느낌,슬픔,0.6343626976013184,8
늑대,동물,0.6492973566055298,2
능동,자아,0.532185435295105,3
능력,교육,0.6137364506721497,54
늦잠,후회,0.5144723653793335,1
단락,독재,0.5672053098678589,1
단짝,사랑,0.5452064275741577,1
당황,충격,0.6099472045898438,6
대여,여행,0.6416856050491333,1
대처,재난,0.5325601696968079,2
댓글,후회,0.505795419216156,3
덩크,액션,0.5596431493759155,2
도달,발견,0.5293484926223755,1
도약,성장,0.6517202854156494,1
도움,기대,0.5482439994812012,5
도전,열정,0.6956499814987183,1
동적,액션,0.5924180150032043,1
두려움,두려움,1,1
뒷이야기,다큐멘터리,0.5202109813690186,1
드라마,드라마,1,16
등교,학교,0.5902007222175598,2
등록,여행,0.5735748410224915,3
디스토피아,공상과학,0.6713545918464661,2
또래,가족,0.6356732845306396,3
라이프,판타지,0.5347487926483154,2
러브,액션,0.6233081817626953,1
레일,전기,0.525973916053772,1
로드,액션,0.6272988319396973,13
로맨스,로맨스,1,4
루프,액션,0.5372148752212524,4
리메이크,드라마,0.5311616063117981,2
마녀,유령,0.7514040470123291,2
마술,마법,0.7452477812767029,1
마음,기쁨,0.6783162951469421,27
만끽,평온,0.5107535123825073,1
만화,만화,1,1
만화책,만화,0.6684035062789917,1
맛집,음식,0.6337778568267822,1
매력,열정,0.6489761471748352,2
매미,꿈,0.5454984903335571,3
매치,액션,0.5586719512939453,1
