Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,2
가슴,상처,0.6098507642745972,1
갈등,갈등,1,1
감동,기쁨,0.6450744271278381,3
감상,음악,0.6411212086677551,1
개성,자아,0.5115846395492554,1
검색,여행,0.6249870657920837,1
게임,만화,0.7299426198005676,1
경기장,스포츠,0.5333521962165833,1
경쟁,갈등,0.6576756238937378,1
경험,열정,0.6344258189201355,1
고향,시골,0.6128569841384888,1
과도,권력,0.5410835146903992,2
과오,후회,0.6094723343849182,1
구조,환경,0.6101574897766113,1
국가,경제,0.7089344263076782,1
극복,고통,0.6304678916931152,1
기대,기대,1,2
기억,사랑,0.6537694931030273,1
남자,사랑,0.5456969141960144,1
노력,헌신,0.6555296182632446,1
농구,개그,0.6286988854408264,20
대립,갈등,0.8246769905090332,1
더티,액션,0.6545418500900269,1
도전,열정,0.6956499814987183,2
드라마,드라마,1,3
로프,액션,0.6495073437690735,1
마더,탐정,0.5776160955429077,1
마음,기쁨,0.6783162951469421,1
매력,열정,0.6489761471748352,4
매치,액션,0.5586719512939453,1
모습,꿈,0.5368646383285522,2
몰입,열정,0.6674494743347168,1
문제,갈등,0.6495088934898376,2
불꽃,꿈,0.6512660980224609,1
불변,평등,0.5418583750724792,1
사건,살인,0.7159186005592346,2
사회주의,독재,0.5478858947753906,1
상대,추격,0.558393657207489,2
상황,혼란,0.6442916989326477,3
생각,후회,0.6602693200111389,2
서브,액션,0.61309415102005,1
성공,성장,0.6859850287437439,2
성장,성장,1,1
수레,인형,0.5680888891220093,1
수술,상처,0.585891604423523,2
수술비,고통,0.5091788172721863,2
수행,성장,0.5646498799324036,1
스펙터클,코미디,0.5635918378829956,1
스포츠,스포츠,1,11
시대극,드라마,0.6777624487876892,2
시력,질병,0.5970978140830994,1
시리즈,만화,0.5106303691864014,2
시작,발견,0.534450113773346,5
신경,질병,0.5199351906776428,2
실수,후회,0.5709443092346191,3
실패,후회,0.6084508299827576,2
실화,공포,0.6056075096130371,2
심판,법정,0.5408481955528259,2
아들,가족,0.5667959451675415,2
안타까움,죄책감,0.5365524888038635,1
여자,사랑,0.5380519032478333,2
역사,철학,0.6869469285011292,3
연습,전투,0.5603004097938538,1
연출,액션,0.5377380847930908,1
열기,여행,0.5069565176963806,1
영화,만화,0.7536719441413879,34
예상,기대,0.655988872051239,1
올림픽,스포츠,0.6479299068450928,6
원작,만화,0.7227425575256348,1
음악,음악,1,1
이름,신화,0.5608668327331543,1
이색,음식,0.5815243124961853,1
이해,철학,0.5395932197570801,1
인물,정치,0.5848035216331482,1
인상,기대,0.6044384241104126,2
자료,교육,0.5909054279327393,1
자본주의,경제,0.5420032143592834,1
자연,환경,0.6941760182380676,2
잔재,신화,0.5620097517967224,1
장면,액션,0.5999083518981934,8
재개,방송,0.5998611450195312,1
접전,갈등,0.5993725657463074,1
정보,교통,0.6121577620506287,2
제공,여행,0.6024255156517029,1
제작,방송,0.6307950615882874,1
종료,방송,0.607399046421051,1
주요,도시,0.5643994808197021,2
줄거리,드라마,0.531794548034668,1
즐거움,기쁨,0.6185970902442932,1
직면,고통,0.5117434859275818,1
촬영,방송,0.6484997272491455,1
추천,여행,0.5768113136291504,2
출연,방송,0.659591019153595,1
캐릭터,인형,0.5306801795959473,6
특유,춤,0.5365961194038391,1
포착,발견,0.6197287440299988,1
표정,유쾌,0.5511194467544556,1
표현,대화,0.5644240975379944,1
플롯,개그,0.5973898768424988,1
협력,대화,0.6538437008857727,1
혹사,희생,0.5423957705497742,1
화해,대화,0.665494978427887,1
확인,발견,0.6419516205787659,2
훈련,교육,0.6947369575500488,3

Category,Count,average
액션,6,0.6022436221440634
갈등,5,0.7462468147277832
방송,5,0.629229199886322
여행,5,0.5849757313728332
만화,4,0.6792468726634979
열정,4,0.6616253554821014
후회,4,0.6122841984033585
기대,3,0.7534757653872172
성장,3,0.7502116362253824
드라마,3,0.7365189989407858
스포츠,3,0.727094034353892
기쁨,3,0.6473292708396912
대화,3,0.627920925617218
발견,3,0.5987101594607035
사랑,3,0.5791727701822916
고통,3,0.5504633982976278
음악,2,0.8205606043338776
환경,2,0.6521667540073395
교육,2,0.642821192741394
경제,2,0.6254688203334808
철학,2,0.6132700741291046
개그,2,0.6130443811416626
상처,2,0.5978711843490601
꿈,2,0.5940653681755066
신화,2,0.5614382922649384
질병,2,0.5585165023803711
인형,2,0.5493845343589783
살인,1,0.7159186005592346
헌신,1,0.6555296182632446
혼란,1,0.6442916989326477
시골,1,0.6128569841384888
교통,1,0.6121577620506287
공포,1,0.6056075096130371
정치,1,0.5848035216331482
음식,1,0.5815243124961853
탐정,1,0.5776160955429077
가족,1,0.5667959451675415
도시,1,0.5643994808197021
코미디,1,0.5635918378829956
전투,1,0.5603004097938538
추격,1,0.558393657207489
유쾌,1,0.5511194467544556
독재,1,0.5478858947753906
희생,1,0.5423957705497742
평등,1,0.5418583750724792
권력,1,0.5410835146903992
법정,1,0.5408481955528259
춤,1,0.5365961194038391
죄책감,1,0.5365524888038635
자아,1,0.5115846395492554
